C_chinensis	chromosome	D_sublineata	chromosome
anno1.g2647.t1	A	rna-XM_056786234.1	A
anno1.g2648.t2	A	rna-XM_056786196.1	A
anno1.g2649.t1	A	rna-XM_056786303.1	A
anno1.g2651.t1	A	rna-XM_056787794.1	A
anno1.g2652.t1	A	rna-XM_056787792.1	A
anno1.g2653.t2	A	rna-XM_056787167.1	A
anno1.g2654.t1	A	rna-XM_056787330.1	A
anno1.g2655.t1	A	rna-XM_056776156.1	A
anno1.g2657.t1	A	rna-XM_056782802.1	A
anno1.g2658.t1	A	rna-XM_056783123.1	A
anno1.g2659.t1	A	rna-XM_056782866.1	A
anno1.g2660.t3	A	rna-XM_056781896.1	A
anno1.g2661.t1	A	rna-XM_056781898.1	A
anno1.g2663.t1	A	rna-XM_056782231.1	A
anno1.g2664.t1	A	rna-XM_056782230.1	A
anno1.g2666.t1	A	rna-XM_056780910.1	A
anno1.g2668.t1	A	rna-XM_056780555.1	A
anno1.g2672.t1	A	rna-XM_056780797.1	A
anno1.g2674.t1	A	rna-XM_056781039.1	A
anno1.g2679.t1	A	rna-XM_056780787.1	A
anno1.g2680.t1	A	rna-XM_056776485.1	A
anno1.g2681.t1	A	rna-XM_056775334.1	A
anno1.g2682.t1	A	rna-XM_056791654.1	A
anno1.g2683.t1	A	rna-XM_056783264.1	A
anno1.g2684.t1	A	rna-XM_056780740.1	A
anno1.g2686.t1	A	rna-XM_056782233.1	A
anno1.g2687.t1	A	rna-XM_056780721.1	A
anno1.g2688.t1	A	rna-XM_056781636.1	A
anno1.g2689.t1	A	rna-XM_056774781.1	A
anno1.g2690.t1	A	rna-XM_056783106.1	A
anno1.g2691.t1	A	rna-XM_056786216.1	A
anno1.g2692.t1	A	rna-XM_056781911.1	A
anno1.g2693.t2	A	rna-XM_056777236.1	A
anno1.g2694.t1	A	rna-XM_056777233.1	A
anno1.g2695.t1	A	rna-XM_056777889.1	A
anno1.g2696.t1	A	rna-XM_056778976.1	A
anno1.g2697.t1	A	rna-XM_056778714.1	A
anno1.g2698.t1	A	rna-XM_056783967.1	A
anno1.g2699.t2	A	rna-XM_056778030.1	A
anno1.g2700.t1	A	rna-XM_056778713.1	A
anno1.g2701.t1	A	rna-XM_056779640.1	A
anno1.g2703.t1	A	rna-XM_056791854.1	A
anno1.g2705.t1	A	rna-XM_056782308.1	A
anno1.g2706.t1	A	rna-XM_056783413.1	A
anno1.g2707.t1	A	rna-XM_056777130.1	A
anno1.g2708.t1	A	rna-XM_056777048.1	A
anno1.g2709.t3	A	rna-XM_056791622.1	A
anno1.g2710.t1	A	rna-XM_056778023.1	A
anno1.g2711.t1	A	rna-XM_056781808.1	A
anno1.g2712.t1	A	rna-XM_056780454.1	A
anno1.g2713.t1	A	rna-XM_056783874.1	A
anno1.g2714.t1	A	rna-XM_056775087.1	A
anno1.g2594.t1	A	rna-XM_056788487.1	A
anno1.g2595.t2	A	rna-XM_056788486.1	A
anno1.g2596.t4	A	rna-XM_056779164.1	A
anno1.g2598.t1	A	rna-XM_056780365.1	A
anno1.g2599.t1	A	rna-XM_056790317.1	X
anno1.g2600.t2	A	rna-XM_056781212.1	A
anno1.g2601.t1	A	rna-XM_056779342.1	A
anno1.g2602.t1	A	rna-XM_056780579.1	A
anno1.g2603.t2	A	rna-XM_056790810.1	A
anno1.g2604.t2	A	rna-XM_056774255.1	A
anno1.g2606.t1	A	rna-XM_056774250.1	A
anno1.g2608.t1	A	rna-XM_056780416.1	A
anno1.g2609.t1	A	rna-XM_056790772.1	A
anno1.g2610.t1	A	rna-XM_056791777.1	A
anno1.g2611.t1	A	rna-XM_056788856.1	A
anno1.g2612.t1	A	rna-XM_056782249.1	A
anno1.g2613.t1	A	rna-XM_056790042.1	X
anno1.g2614.t2	A	rna-XM_056775311.1	A
anno1.g2615.t1	A	rna-XM_056774436.1	A
anno1.g2616.t1	A	rna-XM_056774437.1	A
anno1.g2617.t1	A	rna-XM_056774903.1	A
anno1.g2618.t1	A	rna-XM_056775253.1	A
anno1.g2619.t1	A	rna-XM_056775256.1	A
anno1.g2620.t1	A	rna-XM_056775591.1	A
anno1.g2621.t1	A	rna-XM_056785308.1	A
anno1.g12564.t1	X	rna-XM_056789763.1	X
anno1.g12567.t1	X	rna-XM_056790412.1	X
anno1.g2587.t1	A	rna-XM_056789665.1	X
anno1.g12481.t1	A	rna-XM_056775814.1	A
anno1.g12482.t4	A	rna-XM_056785949.1	A
anno1.g12483.t1	A	rna-XM_056788074.1	A
anno1.g12484.t2	A	rna-XM_056785777.1	A
anno1.g12485.t1	A	rna-XM_056788075.1	A
anno1.g12488.t1	A	rna-XM_056779868.1	A
anno1.g12495.t1	A	rna-XM_056784748.1	A
anno1.g12496.t1	A	rna-XM_056784097.1	A
anno1.g12502.t1	A	rna-XM_056792263.1	A
anno1.g12503.t1	A	rna-XM_056792268.1	A
anno1.g12504.t1	A	rna-XM_056792262.1	A
anno1.g12505.t1	A	rna-XM_056791850.1	A
anno1.g12511.t1	A	rna-XM_056783526.1	A
anno1.g12512.t2	A	rna-XM_056783633.1	A
anno1.g12515.t1	A	rna-XM_056776580.1	A
anno1.g12516.t1	A	rna-XM_056773652.1	A
anno1.g12517.t1	A	rna-XM_056773657.1	A
anno1.g12518.t1	A	rna-XM_056773656.1	A
anno1.g12519.t1	A	rna-XM_056773644.1	A
anno1.g12520.t1	A	rna-XM_056782862.1	A
anno1.g12521.t1	A	rna-XM_056779344.1	A
anno1.g12527.t1	A	rna-XM_056779424.1	A
anno1.g12528.t1	A	rna-XM_056779426.1	A
anno1.g12529.t1	A	rna-XM_056784939.1	A
anno1.g12531.t1	A	rna-XM_056784371.1	A
anno1.g12532.t1	A	rna-XM_056779851.1	A
anno1.g12533.t1	A	rna-XM_056785968.1	A
anno1.g12535.t1	A	rna-XM_056779869.1	A
anno1.g12536.t1	A	rna-XM_056784964.1	A
anno1.g12538.t1	A	rna-XM_056785513.1	A
anno1.g12539.t1	A	rna-XM_056778398.1	A
anno1.g12540.t1	A	rna-XM_056784018.1	A
anno1.g12541.t1	A	rna-XM_056793108.1	A
anno1.g12542.t1	A	rna-XM_056785421.1	A
anno1.g12543.t1	A	rna-XM_056778011.1	A
anno1.g12544.t1	A	rna-XM_056779160.1	A
anno1.g12546.t2	A	rna-XM_056788040.1	A
anno1.g12547.t1	A	rna-XM_056787118.1	A
anno1.g12548.t2	A	rna-XM_056773640.1	A
anno1.g12549.t1	A	rna-XM_056773645.1	A
anno1.g12550.t1	A	rna-XM_056782826.1	A
anno1.g12551.t2	A	rna-XM_056776550.1	A
anno1.g12552.t1	A	rna-XM_056781785.1	A
anno1.g12554.t1	A	rna-XM_056782642.1	A
anno1.g12467.t1	A	rna-XM_056780235.1	A
anno1.g12468.t1	A	rna-XM_056778957.1	A
anno1.g12477.t2	A	rna-XM_056788414.1	A
anno1.g12478.t1	A	rna-XM_056780786.1	A
anno1.g12463.t1	A	rna-XM_056785143.1	A
anno1.g12464.t2	A	rna-XM_056775577.1	A
anno1.g2565.t1	A	rna-XM_056777675.1	A
anno1.g2571.t1	A	rna-XM_056787586.1	A
anno1.g2572.t1	A	rna-XM_056787857.1	A
anno1.g2573.t1	A	rna-XM_056787983.1	A
anno1.g2576.t1	A	rna-XM_056785032.1	A
anno1.g2578.t4	A	rna-XM_056784225.1	A
anno1.g2581.t2	A	rna-XM_056785791.1	A
anno1.g2582.t1	A	rna-XM_056788832.1	A
anno1.g2583.t1	A	rna-XM_056786365.1	A
anno1.g2584.t2	A	rna-XM_056787464.1	A
anno1.g2585.t1	A	rna-XM_056787588.1	A
anno1.g2586.t1	A	rna-XM_056787587.1	A
anno1.g2564.t1	A	rna-XM_056781758.1	A
anno1.g12452.t1	A	rna-XM_056779309.1	A
anno1.g12454.t2	A	rna-XM_056778698.1	A
anno1.g12446.t1	A	rna-XM_056780686.1	A
anno1.g12445.t1	A	rna-XM_056783262.1	A
anno1.g12443.t1	A	rna-XM_056775224.1	A
anno1.g12388.t1	A	rna-XM_056776023.1	A
anno1.g12389.t1	A	rna-XM_056778004.1	A
anno1.g12390.t1	A	rna-XM_056775045.1	A
anno1.g12391.t1	A	rna-XM_056776018.1	A
anno1.g12392.t2	A	rna-XM_056776022.1	A
anno1.g12393.t2	A	rna-XM_056790828.1	A
anno1.g12394.t1	A	rna-XM_056784501.1	A
anno1.g12395.t1	A	rna-XM_056793249.1	A
anno1.g12396.t1	A	rna-XM_056784502.1	A
anno1.g12397.t1	A	rna-XM_056785532.1	A
anno1.g12398.t1	A	rna-XM_056784869.1	A
anno1.g12399.t1	A	rna-XM_056784220.1	A
anno1.g12400.t1	A	rna-XM_056778509.1	A
anno1.g12402.t1	A	rna-XM_056782651.1	A
anno1.g12403.t1	A	rna-XM_056782542.1	A
anno1.g12405.t1	A	rna-XM_056777278.1	A
anno1.g12406.t1	A	rna-XM_056773806.1	A
anno1.g12407.t1	A	rna-XM_056773802.1	A
anno1.g12408.t3	A	rna-XM_056773800.1	A
anno1.g12409.t1	A	rna-XM_056787911.1	A
anno1.g12410.t1	A	rna-XM_056787784.1	A
anno1.g12414.t2	A	rna-XM_056777458.1	A
anno1.g12416.t1	A	rna-XM_056777760.1	A
anno1.g12418.t2	A	rna-XM_056777761.1	A
anno1.g12419.t1	A	rna-XM_056779753.1	A
anno1.g12420.t1	A	rna-XM_056784494.1	A
anno1.g12421.t2	A	rna-XM_056785614.1	A
anno1.g12422.t2	A	rna-XM_056784498.1	A
anno1.g12423.t1	A	rna-XM_056785611.1	A
anno1.g12425.t1	A	rna-XM_056782704.1	A
anno1.g12426.t1	A	rna-XM_056781015.1	A
anno1.g12427.t1	A	rna-XM_056775257.1	A
anno1.g12428.t1	A	rna-XM_056792359.1	A
anno1.g12429.t1	A	rna-XM_056786747.1	A
anno1.g12434.t1	A	rna-XM_056792996.1	A
anno1.g12435.t1	A	rna-XM_056792331.1	A
anno1.g12436.t1	A	rna-XM_056790710.1	X
anno1.g12437.t1	A	rna-XM_056783272.1	A
anno1.g12439.t1	A	rna-XM_056783278.1	A
anno1.g12440.t2	A	rna-XM_056779348.1	A
anno1.g12441.t1	A	rna-XM_056782992.1	A
anno1.g12380.t1	A	rna-XM_056773851.1	A
anno1.g12386.t1	A	rna-XM_056782785.1	A
anno1.g2539.t1	A	rna-XM_056784690.1	A
anno1.g2540.t1	A	rna-XM_056786557.1	A
anno1.g2541.t1	A	rna-XM_056776228.1	A
anno1.g2543.t1	A	rna-XM_056789487.1	X
anno1.g2547.t1	A	rna-XM_056789711.1	X
anno1.g2549.t3	A	rna-XM_056775903.1	A
anno1.g2551.t1	A	rna-XM_056786265.1	A
anno1.g2553.t1	A	rna-XM_056779989.1	A
anno1.g2554.t1	A	rna-XM_056786824.1	A
anno1.g2555.t1	A	rna-XM_056786168.1	A
anno1.g2556.t1	A	rna-XM_056790469.1	X
anno1.g2557.t1	A	rna-XM_056786207.1	A
anno1.g2559.t1	A	rna-XM_056780853.1	A
anno1.g12377.t1	A	rna-XM_056779044.1	A
anno1.g12378.t2	A	rna-XM_056774848.1	A
anno1.g12376.t1	A	rna-XM_056788732.1	A
anno1.g12368.t2	A	rna-XM_056782462.1	A
anno1.g12366.t1	A	rna-XM_056787610.1	A
anno1.g12367.t1	A	rna-XM_056792771.1	A
anno1.g12361.t1	A	rna-XM_056776300.1	A
anno1.g12352.t1	X	rna-XM_056789505.1	X
anno1.g12353.t1	X	rna-XM_056789489.1	X
anno1.g12354.t2	X	rna-XM_056790134.1	X
anno1.g12356.t1	X	rna-XM_056789594.1	X
anno1.g12360.t2	X	rna-XM_056790001.1	X
anno1.g2533.t2	A	rna-XM_056783771.1	A
anno1.g2534.t1	A	rna-XM_056782408.1	A
anno1.g2535.t1	A	rna-XM_056783164.1	A
anno1.g2536.t1	A	rna-XM_056787399.1	A
anno1.g12341.t1	A	rna-XM_056779906.1	A
anno1.g12342.t1	A	rna-XM_056779905.1	A
anno1.g12343.t1	A	rna-XM_056780074.1	A
anno1.g12344.t2	A	rna-XM_056780809.1	A
anno1.g12335.t1	A	rna-XM_056778046.1	A
anno1.g12336.t1	A	rna-XM_056780405.1	A
anno1.g12338.t1	A	rna-XM_056785530.1	A
anno1.g12330.t1	A	rna-XM_056780501.1	A
anno1.g2525.t1	A	rna-XM_056789522.1	X
anno1.g12271.t1	A	rna-XM_056779452.1	A
anno1.g12273.t1	A	rna-XM_056782530.1	A
anno1.g12274.t1	A	rna-XM_056773893.1	A
anno1.g12275.t1	A	rna-XM_056773793.1	A
anno1.g12276.t1	A	rna-XM_056773790.1	A
anno1.g12277.t1	A	rna-XM_056782135.1	A
anno1.g12278.t1	A	rna-XM_056773787.1	A
anno1.g12279.t3	A	rna-XM_056773609.1	A
anno1.g12280.t1	A	rna-XM_056786215.1	A
anno1.g12281.t1	A	rna-XM_056786722.1	A
anno1.g12282.t1	A	rna-XM_056775908.1	A
anno1.g12283.t1	A	rna-XM_056784360.1	A
anno1.g12284.t2	A	rna-XM_056784619.1	A
anno1.g12287.t1	A	rna-XM_056778688.1	A
anno1.g12288.t1	A	rna-XM_056790267.1	X
anno1.g12289.t2	A	rna-XM_056787681.1	A
anno1.g12290.t1	A	rna-XM_056779100.1	A
anno1.g12293.t1	A	rna-XM_056779091.1	A
anno1.g12294.t1	A	rna-XM_056779086.1	A
anno1.g12295.t1	A	rna-XM_056778987.1	A
anno1.g12296.t1	A	rna-XM_056779095.1	A
anno1.g12298.t1	A	rna-XM_056780246.1	A
anno1.g12299.t1	A	rna-XM_056787009.1	A
anno1.g12300.t1	A	rna-XM_056787797.1	A
anno1.g12302.t1	A	rna-XM_056777636.1	A
anno1.g12303.t1	A	rna-XM_056790665.1	X
anno1.g12304.t1	A	rna-XM_056785895.1	A
anno1.g12305.t1	A	rna-XM_056779483.1	A
anno1.g12306.t1	A	rna-XM_056773879.1	A
anno1.g12307.t1	A	rna-XM_056793225.1	A
anno1.g12308.t2	A	rna-XM_056790669.1	X
anno1.g12309.t2	A	rna-XM_056777932.1	A
anno1.g12311.t1	A	rna-XM_056780189.1	A
anno1.g12312.t1	A	rna-XM_056780193.1	A
anno1.g12313.t1	A	rna-XM_056780675.1	A
anno1.g12314.t2	A	rna-XM_056787975.1	A
anno1.g12315.t1	A	rna-XM_056788007.1	A
anno1.g12316.t1	A	rna-XM_056787855.1	A
anno1.g12317.t1	A	rna-XM_056788010.1	A
anno1.g12318.t1	A	rna-XM_056787966.1	A
anno1.g12319.t1	A	rna-XM_056787083.1	A
anno1.g12320.t1	A	rna-XM_056774203.1	A
anno1.g12321.t1	A	rna-XM_056778200.1	A
anno1.g12322.t1	A	rna-XM_056778210.1	A
anno1.g12325.t1	A	rna-XM_056793109.1	A
anno1.g12267.t1	X	rna-XM_056782205.1	A
anno1.g12269.t1	X	rna-XM_056790873.1	X
anno1.g12270.t1	X	rna-XM_056790874.1	X
anno1.g12265.t1	A	rna-XM_056779464.1	A
anno1.g12256.t2	X	rna-XM_056790117.1	X
anno1.g12257.t1	X	rna-XM_056790789.1	X
anno1.g12258.t1	X	rna-XM_056790343.1	X
anno1.g12259.t1	X	rna-XM_056790792.1	X
anno1.g12260.t1	X	rna-XM_056789850.1	X
anno1.g12261.t1	X	rna-XM_056781878.1	A
anno1.g12262.t1	X	rna-XM_056789675.1	X
anno1.g12264.t2	X	rna-XM_056790258.1	X
anno1.g2492.t1	A	rna-XM_056789576.1	X
anno1.g2493.t1	A	rna-XM_056790975.1	X
anno1.g2494.t1	A	rna-XM_056790976.1	X
anno1.g2495.t1	A	rna-XM_056790980.1	X
anno1.g2496.t1	A	rna-XM_056774819.1	A
anno1.g2497.t2	A	rna-XM_056790867.1	X
anno1.g2498.t1	A	rna-XM_056790451.1	X
anno1.g2499.t1	A	rna-XM_056776648.1	A
anno1.g2500.t1	A	rna-XM_056786171.1	A
anno1.g2501.t2	A	rna-XM_056785888.1	A
anno1.g2502.t3	A	rna-XM_056776003.1	A
anno1.g2503.t1	A	rna-XM_056784755.1	A
anno1.g2506.t1	A	rna-XM_056774003.1	A
anno1.g2507.t1	A	rna-XM_056785975.1	A
anno1.g2508.t1	A	rna-XM_056786124.1	A
anno1.g2509.t1	A	rna-XM_056786448.1	A
anno1.g2510.t1	A	rna-XM_056786167.1	A
anno1.g2511.t1	A	rna-XM_056782993.1	A
anno1.g2512.t1	A	rna-XM_056784912.1	A
anno1.g2513.t2	A	rna-XM_056783330.1	A
anno1.g2514.t1	A	rna-XM_056777877.1	A
anno1.g2515.t1	A	rna-XM_056785900.1	A
anno1.g2516.t1	A	rna-XM_056785902.1	A
anno1.g2518.t1	A	rna-XM_056785000.1	A
anno1.g2519.t1	A	rna-XM_056785807.1	A
anno1.g2520.t1	A	rna-XM_056783268.1	A
anno1.g2522.t1	A	rna-XM_056783275.1	A
anno1.g2523.t1	A	rna-XM_056785812.1	A
anno1.g2524.t1	A	rna-XM_056780026.1	A
anno1.g12253.t1	A	rna-XM_056790991.1	X
anno1.g12254.t1	A	rna-XM_056790992.1	X
anno1.g12246.t1	A	rna-XM_056775568.1	A
anno1.g12248.t1	A	rna-XM_056775567.1	A
anno1.g12249.t1	A	rna-XM_056776293.1	A
anno1.g12250.t1	A	rna-XM_056786371.1	A
anno1.g12251.t3	A	rna-XM_056787725.1	A
anno1.g2489.t1	A	rna-XM_056793223.1	A
anno1.g2490.t1	A	rna-XM_056792715.1	A
anno1.g2491.t1	A	rna-XM_056792891.1	A
anno1.g12242.t1	A	rna-XM_056779809.1	A
anno1.g12232.t1	A	rna-XM_056792508.1	A
anno1.g12233.t1	A	rna-XM_056784541.1	A
anno1.g12234.t1	A	rna-XM_056784578.1	A
anno1.g12236.t1	A	rna-XM_056784565.1	A
anno1.g12239.t1	A	rna-XM_056777330.1	A
anno1.g12240.t1	A	rna-XM_056777319.1	A
anno1.g12241.t2	A	rna-XM_056776353.1	A
anno1.g12226.t1	A	rna-XM_056779531.1	A
anno1.g12227.t1	A	rna-XM_056789770.1	X
anno1.g12220.t1	A	rna-XM_056781682.1	A
anno1.g2447.t1	A	rna-XM_056791715.1	A
anno1.g2448.t1	A	rna-XM_056778821.1	A
anno1.g2449.t1	A	rna-XM_056777050.1	A
anno1.g2450.t2	A	rna-XM_056777210.1	A
anno1.g2452.t1	A	rna-XM_056782679.1	A
anno1.g2453.t1	A	rna-XM_056775970.1	A
anno1.g2456.t1	A	rna-XM_056775262.1	A
anno1.g2457.t1	A	rna-XM_056775382.1	A
anno1.g2458.t3	A	rna-XM_056774860.1	A
anno1.g2459.t1	A	rna-XM_056774948.1	A
anno1.g2460.t1	A	rna-XM_056775628.1	A
anno1.g2461.t1	A	rna-XM_056774920.1	A
anno1.g2462.t1	A	rna-XM_056775164.1	A
anno1.g2463.t1	A	rna-XM_056775166.1	A
anno1.g2464.t2	A	rna-XM_056775255.1	A
anno1.g2467.t2	A	rna-XM_056783471.1	A
anno1.g2470.t1	A	rna-XM_056775473.1	A
anno1.g2471.t1	A	rna-XM_056775472.1	A
anno1.g2472.t2	A	rna-XM_056775471.1	A
anno1.g2475.t1	A	rna-XM_056775122.1	A
anno1.g2476.t1	A	rna-XM_056792671.1	A
anno1.g2477.t1	A	rna-XM_056793221.1	A
anno1.g2478.t1	A	rna-XM_056780482.1	A
anno1.g2479.t1	A	rna-XM_056780477.1	A
anno1.g12210.t1	A	rna-XM_056783168.1	A
anno1.g12211.t1	A	rna-XM_056781929.1	A
anno1.g12213.t1	A	rna-XM_056783496.1	A
anno1.g12214.t1	A	rna-XM_056780691.1	A
anno1.g12215.t1	A	rna-XM_056780567.1	A
anno1.g12216.t1	A	rna-XM_056787345.1	A
anno1.g12217.t1	A	rna-XM_056786973.1	A
anno1.g12218.t1	A	rna-XM_056774952.1	A
anno1.g2446.t1	A	rna-XM_056779112.1	A
anno1.g2442.t2	A	rna-XM_056787199.1	A
anno1.g2443.t1	A	rna-XM_056791795.1	A
anno1.g2441.t1	A	rna-XM_056783971.1	A
anno1.g12198.t1	A	rna-XM_056780759.1	A
anno1.g12201.t1	A	rna-XM_056780906.1	A
anno1.g12174.t1	A	rna-XM_056792403.1	A
anno1.g12184.t2	A	rna-XM_056783440.1	A
anno1.g12190.t1	A	rna-XM_056792398.1	A
anno1.g12191.t1	A	rna-XM_056773949.1	A
anno1.g12192.t1	A	rna-XM_056788114.1	A
anno1.g12193.t1	A	rna-XM_056788115.1	A
anno1.g12194.t1	A	rna-XM_056780261.1	A
anno1.g12195.t1	A	rna-XM_056783466.1	A
anno1.g12167.t2	A	rna-XM_056785239.1	A
anno1.g12169.t1	A	rna-XM_056788293.1	A
anno1.g2401.t1	A	rna-XM_056781033.1	A
anno1.g2402.t1	A	rna-XM_056780776.1	A
anno1.g2403.t1	A	rna-XM_056780777.1	A
anno1.g2404.t1	A	rna-XM_056777159.1	A
anno1.g2405.t1	A	rna-XM_056780778.1	A
anno1.g2406.t1	A	rna-XM_056781035.1	A
anno1.g2407.t1	A	rna-XM_056781800.1	A
anno1.g2410.t2	A	rna-XM_056779537.1	A
anno1.g2411.t1	A	rna-XM_056779656.1	A
anno1.g2413.t1	A	rna-XM_056778533.1	A
anno1.g2414.t1	A	rna-XM_056779881.1	A
anno1.g2415.t1	A	rna-XM_056779580.1	A
anno1.g2416.t1	A	rna-XM_056779878.1	A
anno1.g2418.t1	A	rna-XM_056778788.1	A
anno1.g2419.t1	A	rna-XM_056773647.1	A
anno1.g2420.t1	A	rna-XM_056778892.1	A
anno1.g2421.t1	A	rna-XM_056779350.1	A
anno1.g2423.t1	A	rna-XM_056781112.1	A
anno1.g2425.t3	A	rna-XM_056781085.1	A
anno1.g2426.t1	A	rna-XM_056781090.1	A
anno1.g2427.t1	A	rna-XM_056781084.1	A
anno1.g2428.t2	A	rna-XM_056781103.1	A
anno1.g2429.t1	A	rna-XM_056781237.1	A
anno1.g2430.t1	A	rna-XM_056791500.1	A
anno1.g2431.t1	A	rna-XM_056781231.1	A
anno1.g2433.t1	A	rna-XM_056781230.1	A
anno1.g2434.t1	A	rna-XM_056790453.1	X
anno1.g2435.t3	A	rna-XM_056788809.1	A
anno1.g12162.t1	A	rna-XM_056792177.1	A
anno1.g12164.t2	A	rna-XM_056774050.1	A
anno1.g12165.t1	A	rna-XM_056774074.1	A
anno1.g12158.t1	A	rna-XM_056782145.1	A
anno1.g12159.t1	A	rna-XM_056786409.1	A
anno1.g12160.t1	A	rna-XM_056782636.1	A
anno1.g12161.t2	A	rna-XM_056782707.1	A
anno1.g12156.t1	A	rna-XM_056775264.1	A
anno1.g12149.t1	A	rna-XM_056787743.1	A
anno1.g12106.t1	A	rna-XM_056789401.1	X
anno1.g12108.t1	A	rna-XM_056778806.1	A
anno1.g12109.t1	A	rna-XM_056786272.1	A
anno1.g12110.t2	A	rna-XM_056785089.1	A
anno1.g12112.t2	A	rna-XM_056781019.1	A
anno1.g12113.t2	A	rna-XM_056776325.1	A
anno1.g12114.t1	A	rna-XM_056784062.1	A
anno1.g12115.t1	A	rna-XM_056784066.1	A
anno1.g12116.t1	A	rna-XM_056776700.1	A
anno1.g12117.t1	A	rna-XM_056781817.1	A
anno1.g12118.t1	A	rna-XM_056785978.1	A
anno1.g12119.t1	A	rna-XM_056776512.1	A
anno1.g12120.t1	A	rna-XM_056782175.1	A
anno1.g12121.t1	A	rna-XM_056786261.1	A
anno1.g12122.t2	A	rna-XM_056785620.1	A
anno1.g12123.t1	A	rna-XM_056792172.1	A
anno1.g12124.t5	A	rna-XM_056787815.1	A
anno1.g12125.t1	A	rna-XM_056776694.1	A
anno1.g12127.t1	A	rna-XM_056784676.1	A
anno1.g12129.t3	A	rna-XM_056791277.1	A
anno1.g12130.t1	A	rna-XM_056783692.1	A
anno1.g12132.t1	A	rna-XM_056784580.1	A
anno1.g12134.t1	A	rna-XM_056792102.1	A
anno1.g12136.t3	A	rna-XM_056777790.1	A
anno1.g12138.t1	A	rna-XM_056780789.1	A
anno1.g12139.t1	A	rna-XM_056786067.1	A
anno1.g12141.t1	A	rna-XM_056790509.1	X
anno1.g12145.t1	A	rna-XM_056788300.1	A
anno1.g2398.t1	A	rna-XM_056781894.1	A
anno1.g12102.t1	A	rna-XM_056786359.1	A
anno1.g12103.t1	A	rna-XM_056792694.1	A
anno1.g12104.t1	A	rna-XM_056792678.1	A
anno1.g12092.t1	A	rna-XM_056789163.1	A
anno1.g12093.t1	A	rna-XM_056782663.1	A
anno1.g2378.t1	A	rna-XM_056792397.1	A
anno1.g2379.t1	A	rna-XM_056774110.1	A
anno1.g2380.t1	A	rna-XM_056774109.1	A
anno1.g2381.t1	A	rna-XM_056774111.1	A
anno1.g2382.t1	A	rna-XM_056774116.1	A
anno1.g2383.t1	A	rna-XM_056774119.1	A
anno1.g2384.t1	A	rna-XM_056774118.1	A
anno1.g2385.t1	A	rna-XM_056774121.1	A
anno1.g2386.t1	A	rna-XM_056774124.1	A
anno1.g2387.t1	A	rna-XM_056779740.1	A
anno1.g2388.t1	A	rna-XM_056779633.1	A
anno1.g2389.t1	A	rna-XM_056776933.1	A
anno1.g2390.t2	A	rna-XM_056784575.1	A
anno1.g2392.t2	A	rna-XM_056774809.1	A
anno1.g2394.t1	A	rna-XM_056787650.1	A
anno1.g2395.t1	A	rna-XM_056793158.1	A
anno1.g2396.t1	A	rna-XM_056791611.1	A
anno1.g12090.t1	A	rna-XM_056780805.1	A
anno1.g12082.t1	A	rna-XM_056774384.1	A
anno1.g12077.t1	A	rna-XM_056773634.1	A
anno1.g12078.t1	A	rna-XM_056777537.1	A
anno1.g12079.t2	A	rna-XM_056777535.1	A
anno1.g12080.t1	A	rna-XM_056777534.1	A
anno1.g12081.t1	A	rna-XM_056784157.1	A
anno1.g12076.t1	A	rna-XM_056782807.1	A
anno1.g12025.t1	A	rna-XM_056777686.1	A
anno1.g12026.t1	A	rna-XM_056791952.1	A
anno1.g12029.t1	A	rna-XM_056785962.1	A
anno1.g12030.t3	A	rna-XM_056773860.1	A
anno1.g12031.t3	A	rna-XM_056774051.1	A
anno1.g12033.t1	A	rna-XM_056774054.1	A
anno1.g12034.t1	A	rna-XM_056773856.1	A
anno1.g12035.t1	A	rna-XM_056774049.1	A
anno1.g12036.t1	A	rna-XM_056774048.1	A
anno1.g12038.t1	A	rna-XM_056792798.1	A
anno1.g12039.t1	A	rna-XM_056789627.1	X
anno1.g12041.t1	A	rna-XM_056774031.1	A
anno1.g12042.t2	A	rna-XM_056774027.1	A
anno1.g12043.t1	A	rna-XM_056773583.1	A
anno1.g12044.t1	A	rna-XM_056773581.1	A
anno1.g12045.t1	A	rna-XM_056792253.1	A
anno1.g12048.t1	A	rna-XM_056774602.1	A
anno1.g12050.t1	A	rna-XM_056773872.1	A
anno1.g12051.t1	A	rna-XM_056774175.1	A
anno1.g12052.t1	A	rna-XM_056774176.1	A
anno1.g12053.t1	A	rna-XM_056779005.1	A
anno1.g12054.t2	A	rna-XM_056792895.1	A
anno1.g12055.t1	A	rna-XM_056792879.1	A
anno1.g12056.t1	A	rna-XM_056784834.1	A
anno1.g12058.t1	A	rna-XM_056779003.1	A
anno1.g12059.t2	A	rna-XM_056779474.1	A
anno1.g12062.t3	A	rna-XM_056780225.1	A
anno1.g12063.t1	A	rna-XM_056780359.1	A
anno1.g12064.t2	A	rna-XM_056785450.1	A
anno1.g12066.t1	A	rna-XM_056793039.1	A
anno1.g12067.t2	A	rna-XM_056785444.1	A
anno1.g12068.t1	A	rna-XM_056785437.1	A
anno1.g12070.t1	A	rna-XM_056786833.1	A
anno1.g12072.t2	A	rna-XM_056790164.1	X
anno1.g12074.t1	A	rna-XM_056791162.1	X
anno1.g12023.t2	A	rna-XM_056786120.1	A
anno1.g12012.t1	A	rna-XM_056788073.1	A
