D_carinulata	chromosome	B_varius	chromosome
rna-XM_057795713.1	A	anno1.g7556.t1	A
rna-XM_057795823.1	A	anno1.g7557.t1	A
rna-XM_057795821.1	A	anno1.g7558.t1	A
rna-XM_057795824.1	A	anno1.g9960.t1	A
rna-XM_057796391.1	A	anno1.g7559.t2	A
rna-XM_057796390.1	A	anno1.g7562.t1	A
rna-XM_057795913.1	A	anno1.g1198.t1	A
rna-XM_057795629.1	A	anno1.g1199.t1	A
rna-XM_057795628.1	A	anno1.g6289.t1	A
rna-XM_057795626.1	A	anno1.g6288.t1	A
rna-XM_057795627.1	A	anno1.g6214.t1	A
rna-XM_057795911.1	A	anno1.g9066.t1	A
rna-XM_057796549.1	A	anno1.g3035.t1	A
rna-XM_057796551.1	A	anno1.g3036.t1	A
rna-XM_057796560.1	A	anno1.g3033.t1	A
rna-XM_057796555.1	A	anno1.g3034.t1	A
rna-XM_057796552.1	A	anno1.g2332.t1	A
rna-XM_057796556.1	A	anno1.g2333.t1	A
rna-XM_057796554.1	A	anno1.g2336.t1	A
rna-XM_057796016.1	A	anno1.g2337.t1	A
rna-XM_057797227.1	A	anno1.g8640.t1	A
rna-XM_057797221.1	A	anno1.g8642.t1	A
rna-XM_057797216.1	A	anno1.g8639.t1	A
rna-XM_057797219.1	A	anno1.g5319.t1	A
rna-XM_057797212.1	A	anno1.g8792.t1	A
rna-XM_057797194.1	A	anno1.g9101.t1	A
rna-XM_057797210.1	A	anno1.g6778.t1	A
rna-XM_057797226.1	A	anno1.g6782.t1	A
rna-XM_057797208.1	A	anno1.g5052.t1	A
rna-XM_057797214.1	A	anno1.g6676.t1	A
rna-XM_057797203.1	A	anno1.g7401.t1	A
rna-XM_057797209.1	A	anno1.g7826.t1	A
rna-XM_057797211.1	A	anno1.g6679.t1	A
rna-XM_057797223.1	A	anno1.g7355.t1	A
rna-XM_057797198.1	A	anno1.g7371.t2	A
rna-XM_057796565.1	A	anno1.g7112.t1	A
rna-XM_057796152.1	A	anno1.g2502.t1	A
rna-XM_057797324.1	A	anno1.g532.t2	A
rna-XM_057796242.1	A	anno1.g530.t1	A
rna-XM_057796254.1	A	anno1.g7414.t1	A
rna-XM_057796248.1	A	anno1.g9442.t2	A
rna-XM_057795712.1	A	anno1.g8618.t1	A
rna-XM_057795711.1	A	anno1.g9441.t1	A
rna-XM_057795710.1	A	anno1.g8620.t1	A
rna-XM_057796920.1	A	anno1.g6830.t1	A
rna-XM_057796914.1	A	anno1.g6831.t1	A
rna-XM_057795970.1	A	anno1.g6719.t1	A
rna-XM_057795971.1	A	anno1.g6721.t1	A
rna-XM_057796481.1	A	anno1.g10428.t1	A
rna-XM_057796484.1	A	anno1.g10400.t1	A
rna-XM_057795735.1	A	anno1.g10399.t1	A
rna-XM_057796355.1	A	anno1.g4085.t1	A
rna-XM_057796197.1	A	anno1.g3780.t1	A
rna-XM_057796177.1	A	anno1.g3511.t1	A
rna-XM_057796615.1	A	anno1.g4082.t1	A
rna-XM_057796617.1	A	anno1.g7436.t1	A
rna-XM_057796494.1	A	anno1.g4256.t1	A
rna-XM_057796389.1	A	anno1.g2097.t2	A
rna-XM_057796829.1	A	anno1.g9336.t1	A
rna-XM_057796834.1	A	anno1.g1420.t1	A
rna-XM_057796831.1	A	anno1.g8585.t1	A
rna-XM_057795504.1	A	anno1.g1096.t2	A
rna-XM_057795929.1	A	anno1.g1098.t2	A
rna-XM_057796259.1	A	anno1.g975.t1	A
rna-XM_057795662.1	A	anno1.g1448.t1	A
rna-XM_057796711.1	A	anno1.g979.t1	A
rna-XM_057796715.1	A	anno1.g1449.t1	A
rna-XM_057796720.1	A	anno1.g2849.t1	A
rna-XM_057796718.1	A	anno1.g1450.t1	A
rna-XM_057796163.1	A	anno1.g2197.t1	A
rna-XM_057795674.1	A	anno1.g843.t2	A
rna-XM_057795812.1	A	anno1.g842.t1	A
rna-XM_057795699.1	A	anno1.g841.t1	A
rna-XM_057796438.1	A	anno1.g840.t1	A
rna-XM_057796113.1	A	anno1.g1009.t1	A
rna-XM_057797299.1	A	anno1.g1008.t1	A
rna-XM_057796313.1	A	anno1.g5089.t1	A
rna-XM_057796240.1	A	anno1.g2194.t1	A
rna-XM_057795852.1	A	anno1.g2195.t2	A
rna-XM_057795853.1	A	anno1.g2196.t1	A
rna-XM_057795866.1	A	anno1.g5221.t3	A
rna-XM_057796937.1	A	anno1.g5222.t1	A
rna-XM_057796941.1	A	anno1.g2173.t1	A
rna-XM_057796942.1	A	anno1.g2172.t1	A
rna-XM_057795942.1	A	anno1.g2171.t1	A
rna-XM_057796460.1	A	anno1.g2170.t2	A
rna-XM_057796461.1	A	anno1.g2169.t1	A
rna-XM_057795903.1	A	anno1.g5734.t2	A
rna-XM_057795905.1	A	anno1.g3627.t1	A
rna-XM_057795789.1	A	anno1.g10910.t1	A
rna-XM_057796135.1	A	anno1.g9985.t1	A
rna-XM_057796162.1	A	anno1.g9608.t1	A
rna-XM_057796161.1	A	anno1.g10370.t1	A
rna-XM_057796426.1	A	anno1.g10125.t1	A
rna-XM_057795684.1	A	anno1.g10127.t1	A
rna-XM_057795771.1	A	anno1.g10128.t1	A
rna-XM_057796479.1	A	anno1.g10129.t2	A
rna-XM_057796485.1	A	anno1.g10133.t2	A
rna-XM_057795664.1	A	anno1.g3395.t1	A
rna-XM_057795663.1	A	anno1.g4262.t1	A
rna-XM_057796199.1	A	anno1.g4888.t1	A
rna-XM_057795760.1	A	anno1.g6144.t2	A
rna-XM_057795768.1	A	anno1.g10901.t1	A
rna-XM_057795764.1	A	anno1.g8451.t1	A
rna-XM_057795749.1	A	anno1.g10903.t1	A
rna-XM_057795762.1	A	anno1.g10902.t1	A
rna-XM_057795765.1	A	anno1.g10893.t1	A
rna-XM_057795752.1	A	anno1.g10891.t1	A
rna-XM_057795763.1	A	anno1.g10889.t1	A
rna-XM_057795767.1	A	anno1.g10888.t1	A
rna-XM_057795756.1	A	anno1.g11376.t1	A
rna-XM_057795851.1	A	anno1.g10887.t1	A
rna-XM_057795916.1	A	anno1.g10886.t1	A
rna-XM_057795561.1	A	anno1.g10909.t1	A
rna-XM_057795559.1	A	anno1.g10911.t1	A
rna-XM_057795566.1	A	anno1.g540.t1	A
rna-XM_057795567.1	A	anno1.g541.t1	A
rna-XM_057795568.1	A	anno1.g5503.t1	A
rna-XM_057795574.1	A	anno1.g5195.t1	A
rna-XM_057795573.1	A	anno1.g404.t2	A
rna-XM_057795570.1	A	anno1.g403.t1	A
rna-XM_057795575.1	A	anno1.g9574.t1	A
rna-XM_057795576.1	A	anno1.g9664.t2	A
rna-XM_057795577.1	A	anno1.g506.t2	A
rna-XM_057795582.1	A	anno1.g9673.t1	A
rna-XM_057795583.1	A	anno1.g11506.t1	A
rna-XM_057795584.1	A	anno1.g9773.t2	A
rna-XM_057795585.1	A	anno1.g8543.t1	A
rna-XM_057795591.1	A	anno1.g3347.t1	A
rna-XM_057795588.1	A	anno1.g3341.t1	A
rna-XM_057795586.1	A	anno1.g3096.t1	A
rna-XM_057795589.1	A	anno1.g11472.t1	A
rna-XM_057795604.1	A	anno1.g11473.t1	A
rna-XM_057795605.1	A	anno1.g2980.t1	A
rna-XM_057796221.1	A	anno1.g11112.t1	A
rna-XM_057795858.1	A	anno1.g11117.t1	A
rna-XM_057795899.1	A	anno1.g4183.t1	A
rna-XM_057795901.1	A	anno1.g4185.t1	A
rna-XM_057797228.1	A	anno1.g3572.t1	A
rna-XM_057796703.1	A	anno1.g10936.t1	A
rna-XM_057796707.1	A	anno1.g2020.t1	A
rna-XM_057796644.1	A	anno1.g11400.t1	A
rna-XM_057796662.1	A	anno1.g11398.t1	A
rna-XM_057796651.1	A	anno1.g3440.t1	A
rna-XM_057796646.1	A	anno1.g3438.t1	A
rna-XM_057796648.1	A	anno1.g3439.t1	A
rna-XM_057796659.1	A	anno1.g2056.t1	A
rna-XM_057796661.1	A	anno1.g2055.t1	A
rna-XM_057796642.1	A	anno1.g2053.t3	A
rna-XM_057795493.1	A	anno1.g11495.t1	A
rna-XM_057796746.1	A	anno1.g11002.t2	A
rna-XM_057796305.1	A	anno1.g10997.t1	A
rna-XM_057796787.1	A	anno1.g10996.t1	A
rna-XM_057796802.1	A	anno1.g9006.t1	A
rna-XM_057796808.1	A	anno1.g3724.t2	A
rna-XM_057796788.1	A	anno1.both_agree_g20798.t3	A
rna-XM_057795887.1	A	anno1.g11411.t2	A
rna-XM_057797276.1	A	anno1.g11378.t1	A
rna-XM_057797264.1	A	anno1.g11379.t1	A
rna-XM_057797273.1	A	anno1.g1529.t1	A
rna-XM_057797256.1	A	anno1.g10003.t1	A
rna-XM_057797259.1	A	anno1.g10006.t2	A
rna-XM_057797280.1	A	anno1.g10008.t1	A
rna-XM_057797281.1	A	anno1.g10007.t1	A
rna-XM_057797275.1	A	anno1.g10193.t1	A
rna-XM_057797268.1	A	anno1.g10198.t1	A
rna-XM_057797284.1	A	anno1.g10199.t2	A
rna-XM_057796747.1	A	anno1.g1630.t1	A
rna-XM_057795551.1	A	anno1.g5882.t1	A
rna-XM_057795547.1	A	anno1.g5907.t1	A
rna-XM_057795550.1	A	anno1.g6162.t1	A
rna-XM_057795800.1	A	anno1.g6472.t1	A
rna-XM_057795721.1	A	anno1.g1388.t2	A
rna-XM_057795722.1	A	anno1.g6116.t1	A
rna-XM_057796663.1	A	anno1.g6258.t1	A
rna-XM_057795973.1	A	anno1.g1626.t1	A
rna-XM_057796490.1	A	anno1.g1866.t1	A
rna-XM_057796144.1	A	anno1.g1865.t1	A
rna-XM_057795778.1	A	anno1.g1864.t1	A
rna-XM_057795649.1	A	anno1.g1868.t1	A
rna-XM_057796182.1	A	anno1.g6329.t1	A
rna-XM_057796181.1	A	anno1.g6164.t1	A
rna-XM_057796764.1	A	anno1.g6011.t1	A
rna-XM_057796769.1	A	anno1.g1390.t1	A
rna-XM_057796896.1	A	anno1.g1397.t3	A
rna-XM_057795881.1	A	anno1.g1393.t1	A
rna-XM_057795902.1	A	anno1.g1391.t1	A
rna-XM_057795691.1	A	anno1.g6476.t2	A
rna-XM_057796760.1	A	anno1.g6478.t1	A
rna-XM_057796763.1	A	anno1.g11049.t1	A
rna-XM_057795833.1	A	anno1.g4659.t1	A
rna-XM_057795940.1	A	anno1.g7600.t1	A
rna-XM_057796664.1	A	anno1.g6663.t1	A
rna-XM_057795920.1	A	anno1.g6664.t1	A
rna-XM_057795921.1	A	anno1.g11978.t2	X
rna-XM_057795848.1	A	anno1.g7827.t1	A
rna-XM_057795796.1	A	anno1.g9143.t1	A
rna-XM_057796224.1	A	anno1.g1910.t1	A
rna-XM_057796414.1	A	anno1.g3737.t1	A
rna-XM_057796412.1	A	anno1.g3738.t1	A
rna-XM_057796442.1	A	anno1.g1223.t1	A
rna-XM_057796751.1	A	anno1.g7973.t1	A
rna-XM_057797344.1	A	anno1.g3901.t1	A
rna-XM_057796511.1	A	anno1.g3806.t1	A
rna-XM_057796464.1	A	anno1.g3805.t1	A
rna-XM_057796164.1	A	anno1.g2604.t1	A
rna-XM_057796166.1	A	anno1.g2605.t1	A
rna-XM_057796626.1	A	anno1.g1406.t1	A
rna-XM_057796625.1	A	anno1.g3289.t1	A
rna-XM_057796628.1	A	anno1.g2607.t1	A
rna-XM_057796629.1	A	anno1.g11347.t1	A
rna-XM_057796638.1	A	anno1.g11346.t1	A
rna-XM_057796634.1	A	anno1.g949.t1	A
rna-XM_057795854.1	A	anno1.g10989.t1	A
rna-XM_057795503.1	A	anno1.g11348.t1	A
rna-XM_057795502.1	A	anno1.g3422.t1	A
rna-XM_057797310.1	A	anno1.g3388.t1	A
rna-XM_057797312.1	A	anno1.g9601.t1	A
rna-XM_057797315.1	A	anno1.g10083.t1	A
rna-XM_057797307.1	A	anno1.g2736.t1	A
rna-XM_057797304.1	A	anno1.g997.t1	A
rna-XM_057797317.1	A	anno1.g10301.t2	A
rna-XM_057797321.1	A	anno1.g3288.t1	A
rna-XM_057797300.1	A	anno1.g3287.t1	A
rna-XM_057797306.1	A	anno1.g3286.t1	A
rna-XM_057797303.1	A	anno1.g11350.t1	A
rna-XM_057797322.1	A	anno1.g11351.t1	A
rna-XM_057797301.1	A	anno1.g9932.t1	A
rna-XM_057797318.1	A	anno1.g9931.t1	A
rna-XM_057797319.1	A	anno1.g9930.t1	A
rna-XM_057797314.1	A	anno1.g9929.t1	A
rna-XM_057796756.1	A	anno1.g9927.t1	A
rna-XM_057796120.1	A	anno1.g9928.t2	A
rna-XM_057796121.1	A	anno1.g9926.t1	A
rna-XM_057796123.1	A	anno1.g9925.t1	A
rna-XM_057796124.1	A	anno1.g9924.t1	A
rna-XM_057796127.1	A	anno1.g9923.t1	A
rna-XM_057796125.1	A	anno1.g9918.t1	A
rna-XM_057796134.1	A	anno1.g9917.t1	A
rna-XM_057796102.1	A	anno1.g9919.t1	A
rna-XM_057797348.1	A	anno1.g9922.t1	A
rna-XM_057797352.1	A	anno1.g9921.t1	A
rna-XM_057797350.1	A	anno1.g9920.t1	A
rna-XM_057796757.1	A	anno1.g8155.t1	A
rna-XM_057796399.1	A	anno1.g8275.t1	A
rna-XM_057796721.1	A	anno1.g8277.t1	A
rna-XM_057796732.1	A	anno1.g8278.t1	A
rna-XM_057795478.1	A	anno1.g10576.t2	A
rna-XM_057796360.1	A	anno1.g10570.t1	A
rna-XM_057796361.1	A	anno1.g10571.t1	A
rna-XM_057798136.1	A	anno1.g601.t1	A
rna-XM_057798121.1	A	anno1.g554.t1	A
rna-XM_057797635.1	A	anno1.g553.t1	A
rna-XM_057797642.1	A	anno1.g1422.t1	A
rna-XM_057797636.1	A	anno1.g1054.t1	A
rna-XM_057798131.1	A	anno1.g1055.t1	A
rna-XM_057798558.1	A	anno1.g10201.t1	A
rna-XM_057798372.1	A	anno1.g10202.t1	A
rna-XM_057798371.1	A	anno1.g1739.t1	A
rna-XM_057798170.1	A	anno1.g4677.t1	A
rna-XM_057798167.1	A	anno1.g4680.t1	A
rna-XM_057799582.1	A	anno1.g600.t2	A
rna-XM_057799579.1	A	anno1.g4283.t3	A
rna-XM_057799586.1	A	anno1.g7231.t3	A
rna-XM_057799610.1	A	anno1.g7233.t1	A
rna-XM_057799612.1	A	anno1.g7230.t1	A
rna-XM_057799613.1	A	anno1.g7237.t2	A
rna-XM_057799614.1	A	anno1.g7325.t1	A
rna-XM_057799620.1	A	anno1.g7468.t1	A
rna-XM_057799619.1	A	anno1.g7467.t2	A
rna-XM_057797821.1	A	anno1.g7466.t1	A
rna-XM_057797822.1	A	anno1.g7326.t1	A
rna-XM_057798352.1	A	anno1.g597.t2	A
rna-XM_057798363.1	A	anno1.g9882.t1	A
rna-XM_057798361.1	A	anno1.g1197.t1	A
rna-XM_057799756.1	A	anno1.g568.t1	A
rna-XM_057799760.1	A	anno1.g9881.t2	A
rna-XM_057799754.1	A	anno1.g9883.t1	A
rna-XM_057797947.1	A	anno1.g7779.t1	A
rna-XM_057797807.1	A	anno1.g9885.t1	A
rna-XM_057797702.1	A	anno1.g9886.t2	A
rna-XM_057797745.1	A	anno1.g6897.t1	A
rna-XM_057798172.1	A	anno1.g6165.t1	A
rna-XM_057799365.1	A	anno1.g7588.t1	A
rna-XM_057799362.1	A	anno1.g7589.t1	A
rna-XM_057799366.1	A	anno1.g7587.t1	A
rna-XM_057797771.1	A	anno1.g7585.t2	A
rna-XM_057797779.1	A	anno1.g7586.t1	A
rna-XM_057798839.1	A	anno1.g7582.t1	A
rna-XM_057798730.1	A	anno1.g7580.t1	A
rna-XM_057797875.1	A	anno1.g7581.t1	A
rna-XM_057798369.1	A	anno1.g6050.t1	A
rna-XM_057797826.1	A	anno1.g6048.t1	A
rna-XM_057798542.1	A	anno1.g6053.t1	A
rna-XM_057798543.1	A	anno1.g6052.t2	A
rna-XM_057797407.1	A	anno1.g8450.t1	A
rna-XM_057797408.1	A	anno1.g10941.t1	A
rna-XM_057798073.1	A	anno1.g8064.t1	A
rna-XM_057799078.1	A	anno1.g10794.t3	A
rna-XM_057799076.1	A	anno1.g10795.t1	A
rna-XM_057799087.1	A	anno1.g8428.t1	A
rna-XM_057799088.1	A	anno1.g6051.t1	A
rna-XM_057799080.1	A	anno1.g7591.t1	A
rna-XM_057799074.1	A	anno1.g7590.t1	A
rna-XM_057799077.1	A	anno1.g7592.t1	A
rna-XM_057799092.1	A	anno1.g3682.t1	A
rna-XM_057798198.1	A	anno1.g7594.t2	A
rna-XM_057797872.1	A	anno1.g3736.t2	A
rna-XM_057798409.1	A	anno1.g6628.t1	A
rna-XM_057797418.1	A	anno1.g7748.t3	A
rna-XM_057797409.1	A	anno1.g2084.t1	A
rna-XM_057797410.1	A	anno1.g2083.t1	A
rna-XM_057797413.1	A	anno1.g7627.t1	A
rna-XM_057797411.1	A	anno1.g2738.t1	A
rna-XM_057797417.1	A	anno1.g2734.t2	A
rna-XM_057798846.1	A	anno1.g743.t1	A
rna-XM_057798845.1	A	anno1.g2718.t1	A
rna-XM_057797361.1	A	anno1.g981.t1	A
rna-XM_057797360.1	A	anno1.g980.t1	A
rna-XM_057797364.1	A	anno1.g8823.t1	A
rna-XM_057799449.1	A	anno1.g8822.t1	A
rna-XM_057799452.1	A	anno1.g3845.t2	A
rna-XM_057799453.1	A	anno1.g3842.t1	A
rna-XM_057797487.1	A	anno1.g3841.t1	A
rna-XM_057797484.1	A	anno1.g4642.t1	A
rna-XM_057797488.1	A	anno1.g3838.t1	A
rna-XM_057797447.1	A	anno1.g6101.t1	A
rna-XM_057797448.1	A	anno1.g10567.t1	A
rna-XM_057798011.1	A	anno1.g5490.t1	A
rna-XM_057798010.1	A	anno1.g3681.t1	A
rna-XM_057797715.1	A	anno1.g6626.t2	A
rna-XM_057798408.1	A	anno1.g6218.t1	A
rna-XM_057798465.1	A	anno1.g1816.t1	A
rna-XM_057798364.1	A	anno1.g9823.t1	A
rna-XM_057798066.1	A	anno1.g6166.t1	A
rna-XM_057798067.1	A	anno1.g1400.t1	A
rna-XM_057797962.1	A	anno1.g6469.t1	A
rna-XM_057797382.1	A	anno1.g6756.t1	A
rna-XM_057797389.1	A	anno1.g9506.t1	A
rna-XM_057797401.1	A	anno1.g9505.t1	A
rna-XM_057797395.1	A	anno1.g9503.t2	A
rna-XM_057797384.1	A	anno1.g2398.t1	A
rna-XM_057797388.1	A	anno1.g2397.t1	A
rna-XM_057797396.1	A	anno1.g2603.t1	A
rna-XM_057797399.1	A	anno1.g7758.t1	A
rna-XM_057797400.1	A	anno1.g7757.t1	A
rna-XM_057798020.1	A	anno1.g3571.t1	A
rna-XM_057798006.1	A	anno1.g431.t1	A
rna-XM_057797678.1	A	anno1.g7322.t1	A
rna-XM_057797683.1	A	anno1.g446.t1	A
rna-XM_057797684.1	A	anno1.g445.t1	A
rna-XM_057798404.1	A	anno1.g441.t1	A
rna-XM_057798134.1	A	anno1.g442.t1	A
rna-XM_057797908.1	A	anno1.g443.t2	A
rna-XM_057797909.1	A	anno1.g435.t1	A
rna-XM_057798578.1	A	anno1.g4767.t1	A
rna-XM_057798577.1	A	anno1.g4768.t1	A
rna-XM_057798572.1	A	anno1.g7226.t1	A
rna-XM_057798573.1	A	anno1.g7227.t1	A
rna-XM_057798580.1	A	anno1.g3810.t2	A
rna-XM_057798579.1	A	anno1.g6975.t1	A
rna-XM_057797963.1	A	anno1.g6983.t1	A
rna-XM_057797897.1	A	anno1.g6982.t1	A
rna-XM_057799785.1	A	anno1.g6978.t1	A
rna-XM_057799789.1	A	anno1.g6976.t1	A
rna-XM_057798083.1	A	anno1.g4732.t1	A
rna-XM_057798086.1	A	anno1.g7202.t1	A
rna-XM_057798087.1	A	anno1.g7203.t1	A
rna-XM_057797647.1	A	anno1.g5032.t1	A
rna-XM_057797648.1	A	anno1.g5029.t1	A
rna-XM_057797651.1	A	anno1.g6944.t1	A
rna-XM_057797649.1	A	anno1.g6943.t1	A
rna-XM_057797654.1	A	anno1.g6945.t1	A
rna-XM_057797961.1	A	anno1.g6949.t2	A
rna-XM_057799207.1	A	anno1.g6950.t1	A
rna-XM_057799216.1	A	anno1.g6948.t1	A
rna-XM_057799220.1	A	anno1.g4747.t1	A
rna-XM_057799218.1	A	anno1.g4750.t1	A
rna-XM_057798180.1	A	anno1.g7524.t1	A
rna-XM_057798183.1	A	anno1.g7523.t1	A
rna-XM_057798177.1	A	anno1.g7521.t1	A
rna-XM_057798181.1	A	anno1.g7522.t1	A
rna-XM_057798178.1	A	anno1.g7248.t1	A
rna-XM_057798185.1	A	anno1.g7250.t1	A
rna-XM_057798186.1	A	anno1.g4725.t2	A
rna-XM_057798189.1	A	anno1.g7725.t1	A
rna-XM_057798188.1	A	anno1.g10223.t1	A
rna-XM_057798194.1	A	anno1.g7460.t2	A
rna-XM_057798842.1	A	anno1.g7786.t1	A
rna-XM_057797542.1	A	anno1.g7788.t1	A
rna-XM_057799295.1	A	anno1.g7791.t3	A
rna-XM_057799299.1	A	anno1.g7793.t1	A
rna-XM_057799304.1	A	anno1.g12022.t1	X
rna-XM_057799305.1	A	anno1.g7796.t1	A
rna-XM_057799321.1	A	anno1.g7797.t1	A
rna-XM_057797546.1	A	anno1.g6961.t1	A
rna-XM_057799323.1	A	anno1.g4697.t2	A
rna-XM_057799324.1	A	anno1.g4693.t1	A
rna-XM_057799325.1	A	anno1.g6958.t1	A
rna-XM_057799327.1	A	anno1.g6957.t2	A
rna-XM_057799329.1	A	anno1.g7810.t1	A
rna-XM_057799330.1	A	anno1.g7809.t1	A
rna-XM_057799336.1	A	anno1.g7492.t2	A
rna-XM_057799338.1	A	anno1.g7493.t1	A
rna-XM_057797431.1	A	anno1.g3563.t1	A
rna-XM_057798344.1	A	anno1.g3565.t1	A
rna-XM_057797782.1	A	anno1.g9511.t1	A
rna-XM_057797786.1	A	anno1.g9512.t2	A
rna-XM_057797783.1	A	anno1.g9428.t1	A
rna-XM_057798848.1	A	anno1.g9430.t1	A
rna-XM_057797924.1	A	anno1.g9429.t1	A
rna-XM_057798248.1	A	anno1.g9432.t1	A
rna-XM_057798100.1	A	anno1.g9078.t1	A
rna-XM_057798562.1	A	anno1.g6581.t1	A
rna-XM_057797549.1	A	anno1.g9076.t1	A
rna-XM_057797550.1	A	anno1.g9081.t1	A
rna-XM_057798704.1	A	anno1.g1798.t1	A
rna-XM_057799710.1	A	anno1.g4936.t1	A
rna-XM_057799722.1	A	anno1.g5689.t1	A
rna-XM_057799723.1	A	anno1.g5690.t1	A
rna-XM_057799718.1	A	anno1.g5691.t1	A
rna-XM_057799712.1	A	anno1.g5692.t2	A
rna-XM_057799466.1	A	anno1.g5700.t2	A
rna-XM_057799480.1	A	anno1.g5701.t1	A
rna-XM_057799479.1	A	anno1.g5341.t1	A
rna-XM_057799484.1	A	anno1.g5340.t2	A
rna-XM_057799485.1	A	anno1.g4182.t1	A
rna-XM_057799489.1	A	anno1.g6287.t1	A
rna-XM_057799497.1	A	anno1.g4938.t1	A
rna-XM_057799494.1	A	anno1.g4940.t1	A
rna-XM_057799498.1	A	anno1.g5339.t1	A
rna-XM_057799491.1	A	anno1.g1418.t1	A
rna-XM_057799493.1	A	anno1.g3223.t1	A
rna-XM_057799499.1	A	anno1.g28.t2	A
rna-XM_057799512.1	A	anno1.g29.t1	A
rna-XM_057799507.1	A	anno1.g3784.t1	A
rna-XM_057799504.1	A	anno1.g4935.t1	A
rna-XM_057799520.1	A	anno1.g10273.t1	A
rna-XM_057799529.1	A	anno1.g10548.t1	A
rna-XM_057799532.1	A	anno1.g10547.t1	A
rna-XM_057799535.1	A	anno1.g6484.t1	A
rna-XM_057799536.1	A	anno1.g6485.t1	A
rna-XM_057798089.1	A	anno1.g2958.t1	A
rna-XM_057797662.1	A	anno1.g2959.t1	A
rna-XM_057797663.1	A	anno1.g6665.t1	A
rna-XM_057797664.1	A	anno1.g2960.t1	A
rna-XM_057798041.1	A	anno1.g9888.t3	A
rna-XM_057798054.1	A	anno1.g3517.t1	A
rna-XM_057798052.1	A	anno1.g2058.t1	A
rna-XM_057798082.1	A	anno1.g434.t2	A
rna-XM_057798447.1	A	anno1.g5087.t2	A
rna-XM_057798446.1	A	anno1.g6622.t2	A
rna-XM_057798175.1	A	anno1.g33.t1	A
rna-XM_057798305.1	A	anno1.g54.t1	A
rna-XM_057798376.1	A	anno1.g8031.t4	A
rna-XM_057797870.1	A	anno1.g4005.t1	A
rna-XM_057797616.1	A	anno1.g2883.t1	A
rna-XM_057799545.1	A	anno1.g1029.t1	A
rna-XM_057799541.1	A	anno1.g4166.t1	A
rna-XM_057797938.1	A	anno1.g4158.t1	A
rna-XM_057797765.1	A	anno1.g3741.t1	A
rna-XM_057797828.1	A	anno1.g1137.t1	A
rna-XM_057797829.1	A	anno1.g11269.t1	A
rna-XM_057797419.1	A	anno1.g2329.t1	A
rna-XM_057797421.1	A	anno1.g9887.t1	A
rna-XM_057799094.1	A	anno1.g9712.t1	A
rna-XM_057799099.1	A	anno1.g6621.t1	A
rna-XM_057799098.1	A	anno1.g9720.t1	A
rna-XM_057799097.1	A	anno1.g6631.t1	A
rna-XM_057799096.1	A	anno1.g6630.t1	A
rna-XM_057798141.1	A	anno1.g6764.t1	A
rna-XM_057798140.1	A	anno1.g6585.t1	A
rna-XM_057798386.1	A	anno1.g6502.t1	A
rna-XM_057797881.1	A	anno1.g10664.t1	A
rna-XM_057798045.1	A	anno1.g5487.t1	A
rna-XM_057797643.1	A	anno1.g2265.t1	A
rna-XM_057799671.1	A	anno1.g4976.t3	A
rna-XM_057798709.1	A	anno1.g5797.t1	A
rna-XM_057798850.1	A	anno1.g10587.t2	A
rna-XM_057799792.1	A	anno1.g1819.t1	A
rna-XM_057799694.1	A	anno1.g5050.t1	A
rna-XM_057799693.1	A	anno1.g9102.t1	A
rna-XM_057799690.1	A	anno1.g11355.t1	A
rna-XM_057798263.1	A	anno1.g6501.t1	A
rna-XM_057797856.1	A	anno1.g3247.t1	A
rna-XM_057799779.1	A	anno1.g6270.t1	A
rna-XM_057797422.1	A	anno1.g10671.t1	A
rna-XM_057797424.1	A	anno1.g10668.t1	A
rna-XM_057797427.1	A	anno1.g5039.t1	A
rna-XM_057797429.1	A	anno1.g5038.t1	A
rna-XM_057797430.1	A	anno1.g5036.t1	A
rna-XM_057798433.1	A	anno1.g5249.t1	A
rna-XM_057797535.1	A	anno1.g347.t1	A
rna-XM_057799622.1	A	anno1.g2776.t2	A
rna-XM_057799625.1	A	anno1.g1799.t1	A
rna-XM_057799626.1	A	anno1.g1800.t1	A
rna-XM_057798841.1	A	anno1.g1801.t1	A
rna-XM_057798074.1	A	anno1.g8596.t1	A
rna-XM_057798076.1	A	anno1.g8976.t1	A
rna-XM_057798005.1	A	anno1.g4570.t1	A
rna-XM_057798497.1	A	anno1.g1697.t1	A
rna-XM_057798972.1	A	anno1.g3549.t1	A
rna-XM_057798977.1	A	anno1.g9721.t2	A
rna-XM_057798981.1	A	anno1.g7767.t1	A
rna-XM_057797670.1	A	anno1.g583.t1	A
rna-XM_057798232.1	A	anno1.g7765.t2	A
rna-XM_057798902.1	A	anno1.g5591.t1	A
rna-XM_057798903.1	A	anno1.g619.t1	A
rna-XM_057798900.1	A	anno1.g11856.t1	X
rna-XM_057798906.1	A	anno1.g6608.t2	A
rna-XM_057798907.1	A	anno1.g6609.t1	A
rna-XM_057798031.1	A	anno1.g6580.t1	A
rna-XM_057798153.1	A	anno1.g10436.t1	A
rna-XM_057798252.1	A	anno1.g6531.t1	A
rna-XM_057799662.1	A	anno1.g2189.t1	A
rna-XM_057799664.1	A	anno1.g5720.t1	A
rna-XM_057797375.1	A	anno1.g10038.t1	A
rna-XM_057797712.1	A	anno1.g10037.t1	A
