D_carinulata	chromosome	C_maculatus	chromosome
rna-XM_057797000.1	A	g11311.t1	A
rna-XM_057797002.1	A	g11140.t1	A
rna-XM_057797005.1	A	g8372.t1	A
rna-XM_057797003.1	A	g10242.t1	A
rna-XM_057797008.1	A	g11605.t1	A
rna-XM_057797006.1	A	g3735.t1	A
rna-XM_057797009.1	A	g442.t1	A
rna-XM_057797014.1	A	g444.t1	A
rna-XM_057797017.1	A	g515.t1	A
rna-XM_057797018.1	A	g12416.t1	A
rna-XM_057797019.1	A	g13362.t1	A
rna-XM_057797021.1	A	g13361.t1	A
rna-XM_057797022.1	A	g13360.t1	A
rna-XM_057797023.1	A	g12460.t1	A
rna-XM_057797025.1	A	g233.t1	A
rna-XM_057797026.1	A	g232.t1	A
rna-XM_057797031.1	A	g231.t1	A
rna-XM_057797030.1	A	g230.t1	A
rna-XM_057797027.1	A	g228.t1	A
rna-XM_057797029.1	A	g227.t1	A
rna-XM_057797033.1	A	g229.t1	A
rna-XM_057797034.1	A	g13428.t2	A
rna-XM_057797036.1	A	g13427.t1	A
rna-XM_057797037.1	A	g13426.t1	A
rna-XM_057797038.1	A	g13424.t1	A
rna-XM_057797042.1	A	g13423.t1	A
rna-XM_057797054.1	A	g329.t1	A
rna-XM_057797067.1	A	g222.t1	A
rna-XM_057797068.1	A	g224.t1	A
rna-XM_057797072.1	A	g225.t1	A
rna-XM_057797074.1	A	g5890.t2	A
rna-XM_057797076.1	A	g5891.t2	A
rna-XM_057797092.1	A	g13890.t1	A
rna-XM_057797083.1	A	g182.t2	A
rna-XM_057797090.1	A	g181.t1	A
rna-XM_057797105.1	A	g185.t1	A
rna-XM_057797108.1	A	g11666.t1	A
rna-XM_057797098.1	A	g13321.t1	A
rna-XM_057797093.1	A	g1173.t2	A
rna-XM_057796218.1	A	g897.t1	A
rna-XM_057797111.1	A	g411.t1	A
rna-XM_057797101.1	A	g9794.t1	A
rna-XM_057797099.1	A	g1219.t1	A
rna-XM_057797109.1	A	g6925.t1	A
rna-XM_057797095.1	A	g7821.t1	A
rna-XM_057797110.1	A	g6924.t1	A
rna-XM_057797113.1	A	g6937.t1	A
rna-XM_057797116.1	A	g6949.t1	A
rna-XM_057797114.1	A	g6948.t2	A
rna-XM_057797115.1	A	g6947.t1	A
rna-XM_057796219.1	A	g6946.t1	A
rna-XM_057796220.1	A	g6944.t1	A
rna-XM_057797122.1	A	g6938.t1	A
rna-XM_057797123.1	A	g6935.t1	A
rna-XM_057797125.1	A	g12456.t1	A
rna-XM_057797131.1	A	g10742.t1	A
rna-XM_057797145.1	A	g6926.t1	A
rna-XM_057797150.1	A	g6928.t1	A
rna-XM_057797181.1	A	g6933.t1	A
rna-XM_057797153.1	A	g6934.t1	A
rna-XM_057797159.1	A	g6936.t1	A
rna-XM_057797184.1	A	g6997.t1	A
rna-XM_057797188.1	A	g6942.t1	A
rna-XM_057797172.1	A	g6940.t1	A
rna-XM_057797175.1	A	g6950.t1	A
rna-XM_057797168.1	A	g187.t1	A
rna-XM_057797174.1	A	g2623.t1	A
rna-XM_057797170.1	A	g186.t1	A
rna-XM_057797156.1	A	g184.t1	A
rna-XM_057797167.1	A	g12815.t2	A
rna-XM_057797182.1	A	g11200.t1	A
rna-XM_057797169.1	A	g2560.t2	A
rna-XM_057797189.1	A	g14737.t1	A
rna-XM_057797191.1	A	g2045.t1	A
rna-XM_057797190.1	A	g2624.t1	A
rna-XM_057797193.1	A	g4907.t1	A
rna-XM_057795947.1	A	g14649.t1	A
rna-XM_057795948.1	A	g14647.t1	A
rna-XM_057795957.1	A	g14650.t1	A
rna-XM_057795855.1	A	g11334.t1	A
rna-XM_057796503.1	A	g11333.t2	A
rna-XM_057795685.1	A	g11328.t3	A
rna-XM_057795786.1	A	g11326.t1	A
rna-XM_057795838.1	A	g11325.t1	A
rna-XM_057795665.1	A	g1124.t1	A
rna-XM_057795668.1	A	g1106.t2	A
rna-XM_057796575.1	A	g1111.t2	A
rna-XM_057796576.1	A	g1110.t1	A
rna-XM_057796569.1	A	g843.t1	A
rna-XM_057796444.1	A	g1108.t1	A
rna-XM_057796445.1	A	g1112.t1	A
rna-XM_057796447.1	A	g1113.t2	A
rna-XM_057796451.1	A	g1117.t1	A
rna-XM_057795742.1	A	g1114.t1	A
rna-XM_057795743.1	A	g1118.t1	A
rna-XM_057796696.1	A	g1119.t1	A
rna-XM_057796699.1	A	g1121.t1	A
rna-XM_057796692.1	A	g1123.t1	A
rna-XM_057796815.1	A	g9630.t1	A
rna-XM_057796827.1	A	g10978.t1	A
rna-XM_057796285.1	A	g10979.t2	A
rna-XM_057796292.1	A	g8885.t1	A
rna-XM_057796936.1	A	g9629.t1	A
rna-XM_057796227.1	A	g10973.t1	A
rna-XM_057795641.1	A	g10972.t1	A
rna-XM_057796022.1	A	g9439.t1	A
rna-XM_057796027.1	A	g9438.t1	A
rna-XM_057795820.1	A	g9437.t1	A
rna-XM_057795769.1	A	g10191.t1	A
rna-XM_057796430.1	A	g2543.t1	A
rna-XM_057795734.1	A	g9627.t1	A
rna-XM_057796846.1	A	g6562.t5	A
rna-XM_057796861.1	A	g5914.t1	A
rna-XM_057796835.1	A	g221.t1	A
rna-XM_057796872.1	A	g13500.t1	A
rna-XM_057796858.1	A	g3734.t1	A
rna-XM_057796867.1	A	g13501.t1	A
rna-XM_057796873.1	A	g13502.t1	A
rna-XM_057796874.1	A	g10639.t2	A
rna-XM_057796856.1	A	g11398.t2	A
rna-XM_057796871.1	A	g1175.t1	A
rna-XM_057796860.1	A	g7411.t1	A
rna-XM_057796864.1	A	g11016.t1	A
rna-XM_057796876.1	A	g5963.t1	A
rna-XM_057796863.1	A	g3404.t2	A
rna-XM_057796865.1	A	g1754.t2	A
rna-XM_057796857.1	A	g3334.t1	A
rna-XM_057796869.1	A	g3335.t2	A
rna-XM_057796880.1	A	g14556.t1	A
rna-XM_057796882.1	A	g14554.t1	A
rna-XM_057796010.1	A	g14551.t1	A
rna-XM_057795883.1	A	g14398.t1	A
rna-XM_057795882.1	A	g14399.t1	A
rna-XM_057795682.1	A	g14402.t1	A
rna-XM_057795846.1	A	g14404.t1	A
rna-XM_057795950.1	A	g14407.t1	A
rna-XM_057795865.1	A	g1196.t1	A
rna-XM_057796109.1	A	g4358.t1	A
rna-XM_057795669.1	A	g4656.t2	A
rna-XM_057796033.1	A	g13219.t1	A
rna-XM_057796458.1	A	g13213.t1	A
rna-XM_057795809.1	A	g691.t1	A
rna-XM_057795492.1	A	g13179.t1	A
rna-XM_057796690.1	A	g5859.t1	A
rna-XM_057796688.1	A	g5860.t2	A
rna-XM_057796691.1	A	g7097.t1	A
rna-XM_057795731.1	A	g9073.t1	A
rna-XM_057795730.1	A	g5067.t1	A
rna-XM_057795729.1	A	g9072.t1	A
rna-XM_057795732.1	A	g6844.t1	A
rna-XM_057795924.1	A	g6795.t2	A
rna-XM_057795945.1	A	g10291.t1	A
rna-XM_057796205.1	A	g9187.t1	A
rna-XM_057796159.1	A	g9238.t1	A
rna-XM_057796614.1	A	g9237.t1	A
rna-XM_057795953.1	A	g8413.t1	A
rna-XM_057795954.1	A	g8414.t1	A
rna-XM_057795555.1	A	g8418.t1	A
rna-XM_057795557.1	A	g2498.t1	A
rna-XM_057795558.1	A	g2501.t1	A
rna-XM_057795477.1	A	g8394.t1	A
rna-XM_057795476.1	A	g1303.t1	A
rna-XM_057796276.1	A	g1301.t1	A
rna-XM_057796277.1	A	g14352.t1	A
rna-XM_057795934.1	A	g1300.t1	A
rna-XM_057795949.1	A	g1296.t1	A
rna-XM_057796279.1	A	g1295.t1	A
rna-XM_057796283.1	A	g1294.t1	A
rna-XM_057796293.1	A	g1286.t1	A
rna-XM_057795936.1	A	g1288.t1	A
rna-XM_057796297.1	A	g1280.t1	A
rna-XM_057796298.1	A	g1281.t1	A
rna-XM_057796304.1	A	g1283.t1	A
rna-XM_057796307.1	A	g1284.t1	A
rna-XM_057795744.1	A	g1279.t1	A
rna-XM_057795917.1	A	g1311.t1	A
rna-XM_057795779.1	A	g1313.t1	A
rna-XM_057795542.1	A	g1316.t1	A
rna-XM_057795775.1	A	g1317.t1	A
rna-XM_057795828.1	A	g1318.t1	A
rna-XM_057795607.1	A	g1319.t1	A
rna-XM_057796327.1	A	g10436.t1	A
rna-XM_057795739.1	A	g1321.t3	A
rna-XM_057796329.1	A	g12603.t1	A
rna-XM_057796924.1	A	g1322.t1	A
rna-XM_057796454.1	A	g1323.t2	A
rna-XM_057796284.1	A	g9070.t1	A
rna-XM_057796112.1	A	g9074.t1	A
rna-XM_057795737.1	A	g9071.t1	A
rna-XM_057795696.1	A	g13212.t1	A
rna-XM_057796013.1	A	g10663.t1	A
rna-XM_057796429.1	A	g10719.t1	A
rna-XM_057795517.1	A	g9527.t1	A
rna-XM_057795516.1	A	g7619.t1	A
rna-XM_057795507.1	A	g13483.t1	A
rna-XM_057795520.1	A	g9178.t1	A
rna-XM_057795519.1	A	g5835.t1	A
rna-XM_057795524.1	A	g3366.t2	A
rna-XM_057795531.1	A	g2893.t1	X
rna-XM_057795527.1	A	g3346.t1	A
rna-XM_057795536.1	A	g6030.t1	A
rna-XM_057795526.1	A	g2430.t1	A
rna-XM_057795522.1	A	g10697.t1	A
rna-XM_057795530.1	A	g939.t1	A
rna-XM_057795533.1	A	g14215.t1	A
rna-XM_057795523.1	A	g4357.t1	A
rna-XM_057795694.1	A	g9140.t1	A
rna-XM_057795693.1	A	g9139.t1	A
rna-XM_057795609.1	A	g9188.t1	A
rna-XM_057796440.1	A	g4693.t1	A
rna-XM_057797335.1	A	g13734.t1	A
rna-XM_057795686.1	A	g9190.t1	A
rna-XM_057796508.1	A	g11633.t1	A
rna-XM_057795951.1	A	g4347.t1	A
rna-XM_057796782.1	A	g4348.t1	A
rna-XM_057796623.1	A	g4350.t2	A
rna-XM_057796624.1	A	g10731.t1	A
rna-XM_057795827.1	A	g10730.t1	A
rna-XM_057796021.1	A	g6764.t1	A
rna-XM_057796020.1	A	g11244.t1	A
rna-XM_057795817.1	A	g12071.t1	A
rna-XM_057796455.1	A	g10415.t1	A
rna-XM_057796884.1	A	g10414.t1	A
rna-XM_057796887.1	A	g10413.t1	A
rna-XM_057796353.1	A	g538.t2	A
rna-XM_057796035.1	A	g1174.t20	A
rna-XM_057796071.1	A	g861.t1	A
rna-XM_057796075.1	A	g864.t2	A
rna-XM_057796091.1	A	g3391.t1	A
rna-XM_057796093.1	A	g5721.t1	A
rna-XM_057796598.1	A	g13947.t1	A
rna-XM_057796600.1	A	g4806.t1	A
rna-XM_057796607.1	A	g5720.t1	A
rna-XM_057796608.1	A	g5719.t1	A
rna-XM_057796601.1	A	g8493.t1	A
rna-XM_057796605.1	A	g7625.t1	A
rna-XM_057796606.1	A	g13432.t1	A
rna-XM_057797292.1	A	g913.t1	A
rna-XM_057797298.1	A	g912.t1	A
rna-XM_057796266.1	A	g911.t1	A
rna-XM_057797326.1	A	g7626.t1	A
rna-XM_057797328.1	A	g14254.t2	A
rna-XM_057797331.1	A	g8169.t1	A
rna-XM_057797333.1	A	g13332.t1	A
rna-XM_057795782.1	A	g352.t1	A
rna-XM_057796012.1	A	g7354.t1	A
rna-XM_057796513.1	A	g6554.t2	A
rna-XM_057796356.1	A	g6658.t1	A
rna-XM_057796532.1	A	g7597.t1	A
rna-XM_057796530.1	A	g7596.t1	A
rna-XM_057796521.1	A	g89.t1	A
rna-XM_057796514.1	A	g7593.t2	A
rna-XM_057796524.1	A	g9376.t1	A
rna-XM_057796529.1	A	g542.t2	A
rna-XM_057796538.1	A	g6338.t1	A
rna-XM_057796539.1	A	g6339.t2	A
rna-XM_057795831.1	A	g1344.t1	A
rna-XM_057795816.1	A	g11093.t1	A
rna-XM_057796108.1	A	g1346.t1	A
rna-XM_057796105.1	A	g1347.t1	A
rna-XM_057796543.1	A	g2336.t1	A
rna-XM_057796540.1	A	g11751.t3	A
rna-XM_057796546.1	A	g5095.t1	A
rna-XM_057795545.1	A	g11159.t1	A
rna-XM_057796198.1	A	g11202.t1	A
rna-XM_057795552.1	A	g13960.t1	A
rna-XM_057795783.1	A	g9954.t1	A
rna-XM_057795907.1	A	g9953.t1	A
rna-XM_057796002.1	A	g12204.t1	A
rna-XM_057796771.1	A	g9952.t1	A
rna-XM_057796778.1	A	g9951.t1	A
rna-XM_057796779.1	A	g9950.t1	A
rna-XM_057796139.1	A	g10350.t1	A
rna-XM_057795836.1	A	g10349.t1	A
rna-XM_057796386.1	A	g10959.t1	A
rna-XM_057795946.1	A	g7138.t1	A
rna-XM_057796154.1	A	g10343.t1	A
rna-XM_057796175.1	A	g12206.t1	A
rna-XM_057795863.1	A	g12203.t1	A
rna-XM_057796216.1	A	g10351.t1	A
rna-XM_057796206.1	A	g10353.t1	A
rna-XM_057796213.1	A	g10355.t1	A
rna-XM_057796264.1	A	g9956.t1	A
rna-XM_057795790.1	A	g9958.t1	A
rna-XM_057795843.1	A	g5049.t1	A
rna-XM_057795841.1	A	g9887.t2	A
rna-XM_057795845.1	A	g9888.t1	A
rna-XM_057796261.1	A	g7011.t1	A
rna-XM_057796462.1	A	g10401.t1	A
rna-XM_057795807.1	A	g1341.t1	A
rna-XM_057796195.1	A	g9968.t1	A
rna-XM_057795622.1	A	g2945.t1	A
rna-XM_057795617.1	A	g487.t1	A
rna-XM_057795623.1	A	g525.t1	A
rna-XM_057796411.1	A	g4479.t1	A
rna-XM_057795856.1	A	g10008.t1	A
rna-XM_057795794.1	A	g432.t1	A
rna-XM_057795792.1	A	g433.t1	A
rna-XM_057795698.1	A	g434.t1	A
rna-XM_057796581.1	A	g472.t1	A
rna-XM_057796580.1	A	g521.t1	A
rna-XM_057796330.1	A	g10009.t1	A
rna-XM_057796332.1	A	g475.t2	A
rna-XM_057795798.1	A	g474.t1	A
rna-XM_057796362.1	A	g13926.t1	A
rna-XM_057796377.1	A	g8537.t1	A
rna-XM_057796373.1	A	g13570.t1	A
rna-XM_057796368.1	A	g5930.t2	A
rna-XM_057796364.1	A	g8510.t2	A
rna-XM_057796384.1	A	g14005.t1	A
rna-XM_057796367.1	A	g8511.t1	A
rna-XM_057796381.1	A	g4510.t1	A
rna-XM_057796378.1	A	g8509.t1	A
rna-XM_057796365.1	A	g13181.t1	A
rna-XM_057795933.1	A	g11067.t1	A
rna-XM_057796337.1	A	g4166.t1	A
rna-XM_057796338.1	A	g7752.t1	A
rna-XM_057796345.1	A	g11065.t1	A
rna-XM_057796349.1	A	g7753.t1	A
rna-XM_057796586.1	A	g7751.t1	A
rna-XM_057796590.1	A	g7750.t1	A
rna-XM_057796593.1	A	g7748.t1	A
rna-XM_057796226.1	A	g7747.t1	A
rna-XM_057796225.1	A	g3740.t1	A
rna-XM_057795885.1	A	g3580.t1	A
rna-XM_057795747.1	A	g3579.t1	A
rna-XM_057796169.1	A	g3578.t1	A
rna-XM_057796167.1	A	g3739.t1	A
rna-XM_057796396.1	A	g11183.t1	A
rna-XM_057795960.1	A	g7744.t1	A
rna-XM_057796187.1	A	g11184.t1	A
rna-XM_057796474.1	A	g12411.t1	A
rna-XM_057796472.1	A	g12410.t1	A
rna-XM_057796477.1	A	g12409.t1	A
rna-XM_057796030.1	A	g12413.t1	A
rna-XM_057796333.1	A	g13203.t1	A
rna-XM_057796301.1	A	g13202.t1	A
rna-XM_057795938.1	A	g13191.t1	A
rna-XM_057796734.1	A	g5970.t1	A
rna-XM_057797337.1	A	g5973.t1	A
rna-XM_057796907.1	A	g5972.t1	A
rna-XM_057796912.1	A	g5971.t1	A
rna-XM_057796183.1	A	g8543.t2	A
rna-XM_057796465.1	A	g8541.t1	A
rna-XM_057796489.1	A	g11612.t1	A
rna-XM_057797289.1	A	g1817.t1	A
rna-XM_057797288.1	A	g10951.t1	A
rna-XM_057795707.1	A	g10948.t1	A
rna-XM_057795795.1	A	g4181.t1	A
rna-XM_057796618.1	A	g10947.t1	A
rna-XM_057796620.1	A	g2226.t1	A
rna-XM_057796621.1	A	g11461.t1	A
rna-XM_057795914.1	A	g12284.t1	A
rna-XM_057796504.1	A	g12285.t1	A
rna-XM_057796507.1	A	g4177.t1	A
rna-XM_057796812.1	A	g4178.t1	A
rna-XM_057796809.1	A	g11165.t1	A
rna-XM_057796811.1	A	g10221.t1	A
rna-XM_057795805.1	A	g3377.t1	A
rna-XM_057795495.1	A	g11164.t1	A
rna-XM_057795724.1	A	g14376.t1	A
rna-XM_057795650.1	A	g4167.t1	A
rna-XM_057795997.1	A	g554.t1	A
rna-XM_057795993.1	A	g13258.t1	A
rna-XM_057795983.1	A	g2212.t1	A
rna-XM_057795995.1	A	g2211.t1	A
rna-XM_057795988.1	A	g2207.t1	A
rna-XM_057795992.1	A	g2209.t1	A
rna-XM_057795990.1	A	g2210.t1	A
rna-XM_057796467.1	A	g7645.t1	A
rna-XM_057796200.1	A	g12430.t1	A
rna-XM_057797255.1	A	g12292.t1	A
rna-XM_057797248.1	A	g12293.t1	A
rna-XM_057795713.1	A	g12294.t1	A
rna-XM_057795823.1	A	g12295.t1	A
rna-XM_057795821.1	A	g12296.t2	A
rna-XM_057795824.1	A	g4512.t1	A
rna-XM_057796391.1	A	g12297.t2	A
rna-XM_057796390.1	A	g12301.t1	A
rna-XM_057795913.1	A	g2042.t1	A
rna-XM_057795629.1	A	g2043.t1	A
rna-XM_057795628.1	A	g2666.t1	A
rna-XM_057795626.1	A	g2665.t1	A
rna-XM_057795627.1	A	g12617.t1	A
rna-XM_057795911.1	A	g7080.t1	A
rna-XM_057796549.1	A	g363.t1	A
rna-XM_057796560.1	A	g365.t2	A
rna-XM_057796555.1	A	g364.t1	A
rna-XM_057796552.1	A	g1004.t1	A
rna-XM_057796556.1	A	g1003.t1	A
rna-XM_057796554.1	A	g1000.t1	A
rna-XM_057796016.1	A	g999.t1	A
rna-XM_057795772.1	A	g7054.t1	A
rna-XM_057797221.1	A	g6207.t1	A
rna-XM_057797215.1	A	g6204.t1	A
rna-XM_057797216.1	A	g6205.t1	A
rna-XM_057797219.1	A	g5064.t1	A
rna-XM_057797212.1	A	g6995.t1	A
rna-XM_057797194.1	A	g7121.t1	A
rna-XM_057797210.1	A	g11155.t1	A
rna-XM_057797226.1	A	g11148.t1	A
rna-XM_057797214.1	A	g11324.t1	A
rna-XM_057797203.1	A	g12133.t1	A
rna-XM_057797209.1	A	g5602.t1	A
rna-XM_057797211.1	A	g11321.t1	A
rna-XM_057797223.1	A	g2511.t1	A
rna-XM_057797206.1	A	g5178.t1	A
rna-XM_057797198.1	A	g12099.t4	A
rna-XM_057796565.1	A	g11858.t1	A
rna-XM_057795849.1	A	g9989.t1	A
rna-XM_057796152.1	A	g1072.t1	A
rna-XM_057797324.1	A	g14027.t2	A
rna-XM_057797325.1	A	g12900.t1	A
rna-XM_057796242.1	A	g14029.t1	A
rna-XM_057796254.1	A	g12147.t1	A
rna-XM_057796248.1	A	g3899.t2	A
rna-XM_057795712.1	A	g6179.t1	A
rna-XM_057795711.1	A	g3898.t1	A
rna-XM_057795710.1	A	g6185.t1	A
rna-XM_057796920.1	A	g11259.t1	A
rna-XM_057796914.1	A	g11252.t1	A
rna-XM_057795970.1	A	g11225.t1	A
rna-XM_057795971.1	A	g11223.t1	A
rna-XM_057796481.1	A	g12568.t2	A
rna-XM_057796484.1	A	g10550.t1	A
rna-XM_057795735.1	A	g10548.t1	A
rna-XM_057796355.1	A	g8160.t1	A
rna-XM_057796197.1	A	g8257.t2	A
rna-XM_057796177.1	A	g7730.t1	A
rna-XM_057796615.1	A	g8157.t1	A
rna-XM_057796616.1	A	g8533.t1	A
rna-XM_057796617.1	A	g291.t2	A
rna-XM_057796494.1	A	g8528.t1	A
rna-XM_057796389.1	A	g872.t1	A
rna-XM_057796829.1	A	g3748.t1	A
rna-XM_057796831.1	A	g2203.t1	A
rna-XM_057795504.1	A	g5111.t1	A
rna-XM_057795929.1	A	g5110.t1	A
rna-XM_057796259.1	A	g9542.t1	A
rna-XM_057795943.1	A	g10544.t1	A
rna-XM_057795886.1	A	g3382.t1	A
rna-XM_057795662.1	A	g3379.t1	A
rna-XM_057796711.1	A	g9547.t1	A
rna-XM_057796715.1	A	g3380.t1	A
rna-XM_057796718.1	A	g3381.t2	A
rna-XM_057796163.1	A	g726.t1	A
rna-XM_057796172.1	A	g8529.t1	A
rna-XM_057796170.1	A	g5572.t1	A
rna-XM_057795674.1	A	g14265.t2	A
rna-XM_057795681.1	A	g14266.t1	A
rna-XM_057795812.1	A	g14264.t1	A
rna-XM_057795699.1	A	g14263.t1	A
rna-XM_057796438.1	A	g14262.t1	A
rna-XM_057796113.1	A	g5179.t1	A
rna-XM_057797299.1	A	g5180.t1	A
rna-XM_057796311.1	A	g13420.t1	A
rna-XM_057796313.1	A	g13418.t2	A
rna-XM_057796322.1	A	g13419.t1	A
rna-XM_057795852.1	A	g749.t2	A
rna-XM_057795853.1	A	g750.t1	A
rna-XM_057795866.1	A	g13540.t2	A
rna-XM_057796941.1	A	g765.t1	A
rna-XM_057796942.1	A	g766.t2	A
rna-XM_057795942.1	A	g767.t2	A
rna-XM_057796460.1	A	g768.t1	A
rna-XM_057796461.1	A	g769.t1	A
rna-XM_057795903.1	A	g13085.t2	A
rna-XM_057795905.1	A	g7831.t1	A
rna-XM_057795789.1	A	g10272.t1	A
rna-XM_057796135.1	A	g4537.t2	A
rna-XM_057796162.1	A	g4158.t1	A
rna-XM_057796161.1	A	g10508.t2	A
rna-XM_057796426.1	A	g4645.t1	A
rna-XM_057795684.1	A	g4648.t1	A
rna-XM_057795771.1	A	g4649.t1	A
rna-XM_057796485.1	A	g4653.t1	A
rna-XM_057795664.1	A	g450.t2	A
rna-XM_057795663.1	A	g8535.t1	A
rna-XM_057796199.1	A	g9221.t1	A
rna-XM_057795760.1	A	g12691.t1	A
rna-XM_057795768.1	A	g10260.t2	A
rna-XM_057795764.1	A	g6566.t1	A
rna-XM_057795749.1	A	g10262.t2	A
rna-XM_057795762.1	A	g10261.t1	A
rna-XM_057795765.1	A	g10059.t1	A
rna-XM_057795752.1	A	g10060.t1	A
rna-XM_057795763.1	A	g10062.t1	A
rna-XM_057795767.1	A	g10063.t1	A
rna-XM_057795756.1	A	g10019.t1	A
rna-XM_057795851.1	A	g10064.t1	A
rna-XM_057795916.1	A	g10065.t1	A
rna-XM_057795561.1	A	g10271.t1	A
rna-XM_057795559.1	A	g10273.t1	A
rna-XM_057795566.1	A	g14019.t1	A
rna-XM_057795567.1	A	g14018.t1	A
rna-XM_057795568.1	A	g13330.t1	A
rna-XM_057795574.1	A	g13444.t2	A
rna-XM_057795573.1	A	g9403.t2	A
rna-XM_057795575.1	A	g4110.t1	A
rna-XM_057795577.1	A	g14052.t1	A
rna-XM_057795582.1	A	g4235.t1	A
rna-XM_057795583.1	A	g9686.t1	A
rna-XM_057795584.1	A	g4315.t1	A
rna-XM_057795585.1	A	g6464.t1	A
rna-XM_057795591.1	A	g65.t2	A
rna-XM_057795588.1	A	g72.t1	A
rna-XM_057795586.1	A	g248.t3	A
rna-XM_057795589.1	A	g10193.t1	A
rna-XM_057795604.1	A	g10192.t1	A
rna-XM_057795605.1	A	g319.t2	A
rna-XM_057796221.1	A	g9970.t1	A
rna-XM_057795858.1	A	g9974.t2	A
rna-XM_057795899.1	A	g8482.t1	A
rna-XM_057795901.1	A	g8480.t1	A
rna-XM_057797228.1	A	g8204.t1	A
rna-XM_057796703.1	A	g10299.t1	A
rna-XM_057796707.1	A	g1343.t1	A
rna-XM_057796644.1	A	g10177.t1	A
rna-XM_057796662.1	A	g10179.t1	A
rna-XM_057796651.1	A	g543.t1	A
rna-XM_057796646.1	A	g539.t3	A
rna-XM_057796648.1	A	g540.t1	A
rna-XM_057796659.1	A	g1381.t1	A
rna-XM_057796661.1	A	g1380.t1	A
rna-XM_057795493.1	A	g9865.t1	A
rna-XM_057796305.1	A	g10358.t1	A
rna-XM_057796787.1	A	g10357.t1	A
rna-XM_057796788.1	A	g14815.t2	A
rna-XM_057795887.1	A	g10165.t1	A
rna-XM_057797276.1	A	g10015.t1	A
rna-XM_057797264.1	A	g10014.t1	A
rna-XM_057797279.1	A	g2520.t1	A
rna-XM_057797282.1	A	g10013.t1	A
rna-XM_057797273.1	A	g3317.t1	A
rna-XM_057797256.1	A	g4630.t1	A
rna-XM_057797259.1	A	g4627.t2	A
rna-XM_057797280.1	A	g4625.t1	A
rna-XM_057797281.1	A	g4626.t1	A
rna-XM_057797275.1	A	g4719.t1	A
rna-XM_057797268.1	A	g4724.t1	A
rna-XM_057797269.1	A	g5181.t1	A
rna-XM_057797284.1	A	g4725.t2	A
rna-XM_057796747.1	A	g14503.t1	A
rna-XM_057795551.1	A	g3032.t1	A
rna-XM_057795547.1	A	g3085.t1	A
rna-XM_057795550.1	A	g12667.t1	A
rna-XM_057795800.1	A	g12886.t1	A
rna-XM_057795721.1	A	g1827.t2	A
rna-XM_057795722.1	A	g12726.t2	A
rna-XM_057796663.1	A	g2633.t1	A
rna-XM_057795813.1	A	g14645.t1	A
rna-XM_057796490.1	A	g14641.t1	A
rna-XM_057796144.1	A	g14643.t1	A
rna-XM_057795649.1	A	g14657.t1	A
rna-XM_057796182.1	A	g2698.t1	A
rna-XM_057796181.1	A	g12665.t1	A
rna-XM_057796764.1	A	g4931.t1	A
rna-XM_057796765.1	A	g1830.t1	A
rna-XM_057796769.1	A	g1832.t2	A
rna-XM_057796896.1	A	g1839.t3	A
rna-XM_057795881.1	A	g1836.t1	A
rna-XM_057795902.1	A	g1835.t1	A
rna-XM_057795691.1	A	g12891.t1	A
rna-XM_057796750.1	A	g12892.t1	A
rna-XM_057796760.1	A	g12897.t1	A
rna-XM_057796763.1	A	g9896.t1	A
rna-XM_057795833.1	A	g8894.t1	A
rna-XM_057795940.1	A	g12340.t1	A
rna-XM_057796664.1	A	g11342.t1	A
rna-XM_057796687.1	A	g11341.t1	A
rna-XM_057795920.1	A	g11340.t1	A
rna-XM_057795921.1	A	g7271.t1	X
rna-XM_057795848.1	A	g5601.t1	A
rna-XM_057795796.1	A	g4107.t1	A
rna-XM_057796224.1	A	g14713.t1	A
rna-XM_057796414.1	A	g8290.t1	A
rna-XM_057796412.1	A	g8289.t1	A
rna-XM_057796442.1	A	g14610.t1	A
rna-XM_057795935.1	A	g8165.t1	A
rna-XM_057796751.1	A	g5834.t1	A
rna-XM_057797344.1	A	g7977.t1	A
rna-XM_057796753.1	A	g14566.t1	A
rna-XM_057796511.1	A	g8229.t1	A
rna-XM_057796464.1	A	g8230.t2	A
rna-XM_057796164.1	A	g1271.t1	A
rna-XM_057796166.1	A	g1270.t2	A
rna-XM_057796626.1	A	g14468.t2	A
rna-XM_057796625.1	A	g132.t1	A
rna-XM_057796628.1	A	g1275.t1	A
rna-XM_057796629.1	A	g10259.t2	A
rna-XM_057796638.1	A	g10258.t1	A
rna-XM_057796634.1	A	g9523.t1	A
rna-XM_057796630.1	A	g10257.t3	A
rna-XM_057795503.1	A	g10049.t1	A
rna-XM_057795502.1	A	g520.t1	A
rna-XM_057797310.1	A	g441.t1	A
rna-XM_057797315.1	A	g4561.t1	A
rna-XM_057797307.1	A	g593.t1	A
rna-XM_057797304.1	A	g14349.t1	A
rna-XM_057797317.1	A	g139.t1	A
rna-XM_057797321.1	A	g133.t1	A
rna-XM_057797300.1	A	g134.t1	A
rna-XM_057797309.1	A	g135.t1	A
rna-XM_057797306.1	A	g136.t2	A
rna-XM_057797303.1	A	g10048.t1	A
rna-XM_057797322.1	A	g10045.t1	A
rna-XM_057797318.1	A	g4483.t1	A
rna-XM_057797319.1	A	g4482.t1	A
rna-XM_057797314.1	A	g4481.t1	A
rna-XM_057796756.1	A	g4478.t1	A
