C_chinensis	chromosome	C_maculatus	chromosome
anno1.g2977.t1	A	g3426.t1	A
anno1.g2978.t1	A	g3427.t1	A
anno1.g2979.t1	A	g3428.t1	A
anno1.g2980.t1	A	g3429.t1	A
anno1.g2981.t3	A	g3430.t1	A
anno1.g2982.t2	A	g3422.t1	A
anno1.g2985.t1	A	g3420.t1	A
anno1.g2986.t2	A	g3419.t2	A
anno1.g2988.t1	A	g3418.t1	A
anno1.g2989.t1	A	g3417.t1	A
anno1.g2990.t2	A	g3416.t2	A
anno1.g2991.t2	A	g3415.t1	A
anno1.g2992.t1	A	g3414.t3	A
anno1.g2993.t1	A	g3413.t1	A
anno1.g2994.t1	A	g3412.t1	A
anno1.g2995.t1	A	g3411.t1	A
anno1.g2997.t1	A	g3410.t1	A
anno1.g2998.t1	A	g3409.t1	A
anno1.g2999.t1	A	g3408.t1	A
anno1.g3000.t1	A	g14468.t2	A
anno1.g3001.t1	A	g14467.t1	A
anno1.g13178.t1	A	g5145.t2	A
anno1.g13179.t2	A	g5144.t1	A
anno1.g13180.t1	A	g5143.t1	A
anno1.g13181.t1	A	g5142.t1	A
anno1.g13182.t1	A	g5141.t1	A
anno1.g13183.t1	A	g5140.t1	A
anno1.g13184.t1	A	g5139.t1	A
anno1.g13176.t1	A	g11533.t1	A
anno1.g13086.t1	A	g14382.t1	A
anno1.g13087.t1	A	g244.t1	A
anno1.g13088.t1	A	g245.t1	A
anno1.g13089.t1	A	g247.t1	A
anno1.g13090.t1	A	g249.t1	A
anno1.g13092.t1	A	g250.t1	A
anno1.g13093.t1	A	g252.t1	A
anno1.g13094.t1	A	g253.t1	A
anno1.g13095.t1	A	g254.t1	A
anno1.g13096.t1	A	g255.t1	A
anno1.g13097.t1	A	g256.t1	A
anno1.g13098.t1	A	g257.t1	A
anno1.g13099.t1	A	g258.t1	A
anno1.g13100.t1	A	g259.t1	A
anno1.g13101.t4	A	g260.t1	A
anno1.g13102.t1	A	g261.t1	A
anno1.g13103.t1	A	g263.t1	A
anno1.g13104.t1	A	g264.t1	A
anno1.g13105.t2	A	g265.t1	A
anno1.g13106.t1	A	g268.t1	A
anno1.g13107.t2	A	g269.t1	A
anno1.g13108.t1	A	g270.t1	A
anno1.g13110.t1	A	g273.t1	A
anno1.g13111.t1	A	g274.t1	A
anno1.g13112.t1	A	g275.t1	A
anno1.g13113.t1	A	g276.t1	A
anno1.g13114.t1	A	g277.t1	A
anno1.g13115.t1	A	g278.t2	A
anno1.g13116.t1	A	g279.t1	A
anno1.g13117.t1	A	g280.t1	A
anno1.g13118.t1	A	g281.t1	A
anno1.g13119.t1	A	g282.t1	A
anno1.g13120.t1	A	g283.t2	A
anno1.g13121.t1	A	g284.t1	A
anno1.g13122.t1	A	g285.t2	A
anno1.g13123.t1	A	g286.t1	A
anno1.g13124.t1	A	g8714.t2	A
anno1.g13126.t1	A	g314.t1	A
anno1.g13127.t1	A	g313.t1	A
anno1.g13128.t1	A	g312.t1	A
anno1.g13129.t1	A	g310.t3	A
anno1.g13130.t1	A	g311.t1	A
anno1.g13131.t1	A	g309.t1	A
anno1.g13133.t1	A	g305.t1	A
anno1.g13134.t1	A	g304.t1	A
anno1.g13135.t1	A	g303.t1	A
anno1.g13136.t1	A	g302.t1	A
anno1.g13137.t1	A	g301.t1	A
anno1.g13138.t1	A	g300.t1	A
anno1.g13139.t1	A	g359.t1	A
anno1.g13140.t1	A	g360.t2	A
anno1.g13141.t1	A	g361.t1	A
anno1.g13142.t2	A	g362.t1	A
anno1.g13143.t1	A	g363.t1	A
anno1.g13146.t1	A	g364.t1	A
anno1.g13147.t1	A	g365.t2	A
anno1.g13148.t1	A	g367.t1	A
anno1.g13149.t1	A	g368.t1	A
anno1.g13150.t1	A	g369.t1	A
anno1.g13151.t1	A	g370.t1	A
anno1.g13152.t2	A	g371.t3	A
anno1.g13153.t1	A	g373.t1	A
anno1.g13154.t1	A	g374.t1	A
anno1.g13155.t1	A	g375.t1	A
anno1.g13156.t1	A	g376.t1	A
anno1.g13159.t1	A	g203.t1	A
anno1.g13161.t1	A	g205.t1	A
anno1.g13162.t3	A	g206.t2	A
anno1.g13163.t1	A	g207.t1	A
anno1.g13164.t1	A	g208.t1	A
anno1.g13165.t1	A	g211.t2	A
anno1.g13166.t1	A	g212.t3	A
anno1.g13167.t1	A	g213.t1	A
anno1.g13168.t2	A	g215.t2	A
anno1.g13169.t1	A	g216.t1	A
anno1.g13170.t1	A	g217.t1	A
anno1.g13171.t1	A	g218.t1	A
anno1.g13172.t1	A	g219.t1	A
anno1.g13173.t1	A	g220.t1	A
anno1.g13174.t2	A	g221.t1	A
anno1.g13062.t4	A	g13124.t1	A
anno1.g13063.t2	A	g13123.t1	A
anno1.g13064.t1	A	g13122.t1	A
anno1.g13065.t1	A	g13121.t1	A
anno1.g13066.t1	A	g13120.t1	A
anno1.g13067.t1	A	g13119.t1	A
anno1.g13070.t1	A	g13117.t1	A
anno1.g13071.t1	A	g13116.t1	A
anno1.g13072.t1	A	g13115.t1	A
anno1.g13073.t1	A	g13114.t1	A
anno1.g13074.t1	A	g13113.t1	A
anno1.g13077.t1	A	g13104.t1	A
anno1.both_agree_g18372.t1	A	g11097.t1	A
anno1.g13079.t1	A	g11099.t1	A
anno1.g13080.t2	A	g11102.t1	A
anno1.g13081.t1	A	g11103.t1	A
anno1.g13082.t1	A	g11104.t1	A
anno1.g13084.t1	A	g13667.t1	A
anno1.g13056.t1	A	g10949.t1	A
anno1.g13058.t1	A	g10948.t1	A
anno1.g13059.t1	A	g10947.t1	A
anno1.g13060.t1	A	g10946.t1	A
anno1.g13054.t1	A	g13214.t1	A
anno1.g13051.t1	Y	g243.t1	A
anno1.g2955.t1	A	g6050.t1	A
anno1.g2957.t1	A	g7453.t3	X
anno1.g2958.t1	A	g3214.t1	A
anno1.g2959.t1	A	g3215.t1	A
anno1.g2960.t1	A	g3216.t1	A
anno1.g2961.t1	A	g3218.t1	A
anno1.g2962.t1	A	g3219.t1	A
anno1.g2963.t2	A	g3220.t1	A
anno1.g2964.t1	A	g3222.t1	A
anno1.g2965.t2	A	g3224.t3	A
anno1.g2967.t1	A	g12588.t1	A
anno1.g13048.t1	A	g2633.t1	A
anno1.g13047.t2	A	g1174.t20	A
anno1.g13044.t1	A	g12089.t1	A
anno1.g13011.t1	A	g4389.t1	A
anno1.g13012.t1	A	g4390.t1	A
anno1.g13013.t3	A	g4391.t4	A
anno1.g13014.t1	A	g4392.t1	A
anno1.g13015.t1	A	g4393.t1	A
anno1.g13016.t1	A	g4395.t1	A
anno1.g13017.t1	A	g4397.t1	A
anno1.g13018.t1	A	g4398.t1	A
anno1.g13019.t1	A	g4399.t1	A
anno1.g13020.t1	A	g4400.t1	A
anno1.g13021.t1	A	g4401.t1	A
anno1.g13022.t1	A	g4402.t1	A
anno1.g13023.t1	A	g4403.t1	A
anno1.g13024.t1	A	g4405.t1	A
anno1.g13025.t1	A	g12724.t1	A
anno1.g13026.t1	A	g4406.t1	A
anno1.g13027.t1	A	g4408.t1	A
anno1.g13028.t1	A	g4409.t1	A
anno1.g13029.t1	A	g4413.t1	A
anno1.g13030.t1	A	g4414.t1	A
anno1.g13031.t1	A	g4415.t1	A
anno1.g13032.t1	A	g4417.t1	A
anno1.g13033.t1	A	g4418.t1	A
anno1.g13034.t1	A	g4421.t2	A
anno1.g13035.t1	A	g4423.t1	A
anno1.g13036.t1	A	g4424.t1	A
anno1.g13037.t1	A	g4425.t1	A
anno1.g13038.t1	A	g4426.t2	A
anno1.g13039.t2	A	g4427.t2	A
anno1.g13040.t1	A	g4428.t2	A
anno1.g13041.t2	A	g4432.t2	A
anno1.g12993.t1	A	g7392.t1	A
anno1.g12997.t1	A	g7499.t1	A
anno1.g13002.t1	A	g7381.t1	A
anno1.g13004.t1	A	g7506.t1	A
anno1.g13005.t1	A	g7507.t1	A
anno1.g13007.t1	A	g7509.t1	A
anno1.g12989.t1	A	g10191.t1	A
anno1.g2953.t1	A	g12191.t4	A
anno1.g12987.t1	A	g2022.t1	A
anno1.g12986.t1	A	g10880.t1	A
anno1.g2905.t1	A	g2941.t1	A
anno1.g2906.t4	A	g9567.t2	A
anno1.g2908.t1	A	g9568.t1	A
anno1.g2909.t1	A	g9569.t1	A
anno1.g2910.t2	A	g9570.t1	A
anno1.g2911.t1	A	g9571.t1	A
anno1.g2913.t1	A	g9572.t1	A
anno1.g2914.t2	A	g9574.t1	A
anno1.g2915.t1	A	g9575.t1	A
anno1.g2916.t1	A	g9576.t1	A
anno1.g2917.t1	A	g9577.t1	A
anno1.g2918.t1	A	g9578.t1	A
anno1.g2919.t1	A	g9579.t1	A
anno1.g2920.t2	A	g9580.t1	A
anno1.g2921.t1	A	g9581.t1	A
anno1.g2922.t1	A	g9582.t1	A
anno1.g2923.t1	A	g9583.t1	A
anno1.g2924.t1	A	g9584.t1	A
anno1.g2926.t1	A	g9591.t1	A
anno1.g2929.t1	A	g9593.t1	A
anno1.g2930.t2	A	g9595.t2	A
anno1.g2931.t1	A	g9596.t1	A
anno1.g2932.t1	A	g9597.t1	A
anno1.g2933.t1	A	g9598.t1	A
anno1.g2934.t1	A	g9599.t1	A
anno1.g2935.t2	A	g9600.t1	A
anno1.g2936.t1	A	g9601.t1	A
anno1.g2937.t1	A	g9605.t1	A
anno1.g2938.t1	A	g9606.t1	A
anno1.g2939.t1	A	g9607.t1	A
anno1.g2940.t1	A	g9608.t1	A
anno1.g2941.t1	A	g9610.t1	A
anno1.g2942.t1	A	g9611.t1	A
anno1.g2943.t1	A	g9612.t1	A
anno1.g2945.t1	A	g5190.t1	A
anno1.g2946.t1	A	g9616.t1	A
anno1.g2948.t1	A	g5189.t1	A
anno1.g2949.t1	A	g5188.t1	A
anno1.g2951.t1	A	g7486.t2	A
anno1.g2952.t2	A	g14417.t1	A
anno1.g12983.t1	A	g326.t1	A
anno1.g12984.t1	A	g327.t2	A
anno1.g12985.t1	A	g328.t1	A
anno1.g12975.t2	X	g1513.t1	X
anno1.g12976.t1	X	g7461.t1	X
anno1.g12979.t1	X	g8729.t1	A
anno1.g12980.t1	X	g7460.t1	X
anno1.g12981.t4	X	g7459.t3	X
anno1.g12982.t2	X	g7458.t7	X
anno1.g12949.t1	A	g8362.t1	A
anno1.g12950.t1	A	g8364.t1	A
anno1.g12951.t1	A	g8367.t2	A
anno1.g12957.t1	A	g7903.t1	A
anno1.g12959.t2	A	g7901.t2	A
anno1.g12960.t1	A	g7900.t1	A
anno1.g12961.t1	A	g7899.t1	A
anno1.g12962.t1	A	g933.t1	A
anno1.g12964.t1	A	g5711.t1	A
anno1.g12965.t1	A	g5710.t1	A
anno1.g12966.t1	A	g5709.t1	A
anno1.g12967.t1	A	g5708.t1	A
anno1.g12968.t1	A	g5707.t1	A
anno1.g12969.t2	A	g5699.t1	A
anno1.g12971.t2	A	g5703.t1	A
anno1.g12972.t1	A	g5702.t1	A
anno1.g12973.t1	A	g7622.t1	A
anno1.g12974.t1	A	g8868.t1	A
anno1.g2902.t1	A	g878.t1	A
anno1.g2881.t2	A	g12752.t1	A
anno1.g2883.t1	A	g12750.t1	A
anno1.g2884.t1	A	g12749.t1	A
anno1.g2886.t1	A	g12747.t1	A
anno1.g2887.t1	A	g12746.t1	A
anno1.g2888.t1	A	g12745.t1	A
anno1.g2889.t1	A	g12744.t1	A
anno1.g2890.t2	A	g12739.t2	A
anno1.g2891.t1	A	g12738.t1	A
anno1.g2892.t2	A	g12737.t3	A
anno1.g2893.t1	A	g12736.t1	A
anno1.g2894.t1	A	g12735.t1	A
anno1.g2895.t1	A	g12734.t2	A
anno1.g2896.t1	A	g12733.t1	A
anno1.g2897.t1	A	g12731.t1	A
anno1.g2898.t2	A	g12730.t1	A
anno1.g12935.t1	A	g455.t1	A
anno1.g12932.t1	A	g12392.t1	A
anno1.g12919.t1	A	g4174.t1	A
anno1.g12920.t1	A	g4173.t1	A
anno1.g12926.t1	A	g4171.t1	A
anno1.g12927.t1	A	g4170.t1	A
anno1.g12928.t1	A	g4169.t1	A
anno1.g12929.t1	A	g4168.t1	A
anno1.g12930.t1	A	g4167.t1	A
anno1.g12931.t1	A	g4166.t1	A
anno1.g12913.t1	A	g12663.t1	A
anno1.g12914.t2	A	g12664.t1	A
anno1.g12900.t2	X	g1644.t1	X
anno1.g12901.t1	X	g1489.t1	X
anno1.g12910.t1	X	g1488.t1	X
anno1.g12911.t1	X	g1487.t1	X
anno1.g2879.t1	A	g3231.t1	A
anno1.g2869.t1	A	g14308.t1	A
anno1.g2870.t1	A	g2494.t1	A
anno1.g2871.t1	A	g2492.t1	A
anno1.g2872.t1	A	g2490.t1	A
anno1.g2875.t1	A	g2487.t1	A
anno1.g2876.t2	A	g2489.t1	A
anno1.g2878.t1	A	g10959.t1	A
anno1.g12889.t1	A	g8023.t1	A
anno1.g12890.t1	A	g8024.t1	A
anno1.g12885.t1	A	g10878.t1	A
anno1.g12869.t1	A	g4969.t1	A
anno1.g12872.t1	A	g4964.t1	A
anno1.g12873.t1	A	g4963.t1	A
anno1.g12874.t1	A	g4962.t1	A
anno1.g12875.t1	A	g4961.t1	A
anno1.g12876.t1	A	g4960.t1	A
anno1.g12877.t1	A	g4959.t1	A
anno1.g12878.t1	A	g4958.t2	A
anno1.g12879.t1	A	g4957.t1	A
anno1.g12880.t1	A	g4956.t1	A
anno1.g12881.t1	A	g4955.t1	A
anno1.g12882.t5	A	g4954.t3	A
anno1.g12883.t1	A	g4953.t1	A
anno1.g12862.t1	A	g8405.t1	A
anno1.g12863.t3	A	g8404.t2	A
anno1.g12864.t1	A	g8403.t1	A
anno1.g12865.t1	A	g8401.t1	A
anno1.g12866.t2	A	g8400.t1	A
anno1.g12867.t1	A	g8399.t1	A
anno1.g2855.t1	A	g5565.t1	A
anno1.g12859.t1	A	g4902.t1	A
anno1.g12861.t4	A	g4903.t3	A
anno1.g12858.t1	A	g10970.t1	A
anno1.g12850.t2	A	g634.t1	A
anno1.g12851.t1	A	g633.t1	A
anno1.g12852.t1	A	g632.t1	A
anno1.g12853.t1	A	g631.t1	A
anno1.g12855.t2	A	g629.t1	A
anno1.g12856.t1	A	g628.t1	A
anno1.g2810.t1	A	g3140.t1	A
anno1.g2813.t1	A	g3141.t1	A
anno1.g2814.t1	A	g3144.t2	A
anno1.g2815.t1	A	g3147.t1	A
anno1.g2816.t1	A	g3149.t1	A
anno1.g2819.t1	A	g3156.t1	A
anno1.g2820.t1	A	g3153.t2	A
anno1.g2821.t1	A	g3155.t1	A
anno1.g2822.t2	A	g3154.t2	A
anno1.g2824.t1	A	g3152.t1	A
anno1.g2826.t1	A	g3117.t1	A
anno1.g2827.t1	A	g131.t1	A
anno1.g2828.t1	A	g144.t1	A
anno1.g2829.t1	A	g143.t1	A
anno1.g2830.t1	A	g142.t1	A
anno1.g2831.t1	A	g141.t1	A
anno1.g2832.t1	A	g138.t1	A
anno1.g2833.t1	A	g13655.t1	A
anno1.g2834.t1	A	g13654.t1	A
anno1.g2835.t1	A	g13653.t1	A
anno1.g2836.t1	A	g13652.t1	A
anno1.g2837.t1	A	g13651.t1	A
anno1.g2838.t1	A	g13650.t1	A
anno1.g2839.t1	A	g13649.t1	A
anno1.g2841.t1	A	g13645.t1	A
anno1.g2842.t1	A	g13644.t1	A
anno1.g2843.t1	A	g13643.t2	A
anno1.g2844.t1	A	g13642.t1	A
anno1.g2845.t2	A	g13641.t2	A
anno1.g2847.t1	A	g12448.t1	A
anno1.g2848.t1	A	g5087.t1	A
anno1.g2850.t1	A	g12453.t1	A
anno1.g12843.t1	X	g7456.t1	X
anno1.g12844.t1	X	g7457.t1	X
anno1.g12845.t1	X	g1518.t1	X
anno1.g12846.t1	X	g1516.t1	X
anno1.g12847.t1	X	g1515.t1	X
anno1.g12848.t1	X	g1514.t2	X
anno1.g12840.t1	A	g934.t1	A
anno1.g12841.t1	A	g932.t1	A
anno1.g12835.t1	A	g14593.t1	A
anno1.g12838.t1	A	g14592.t1	A
anno1.g12832.t1	X	g1477.t1	X
anno1.g12833.t1	X	g262.t1	A
anno1.g12826.t1	X	g1533.t2	X
anno1.g12827.t1	X	g1532.t1	X
anno1.g12828.t2	X	g1531.t2	X
anno1.g12829.t1	X	g1530.t1	X
anno1.g12830.t1	X	g1529.t2	X
anno1.g12816.t2	A	g11985.t1	A
anno1.g12817.t1	A	g5543.t1	A
anno1.g12819.t1	A	g5547.t1	A
anno1.g12820.t1	A	g5548.t1	A
anno1.g12821.t2	A	g5538.t2	A
anno1.g12822.t2	A	g5544.t1	A
anno1.g12824.t1	A	g5539.t1	A
anno1.g12814.t1	A	g2627.t1	A
anno1.g2758.t1	A	g6936.t1	A
anno1.g2759.t1	A	g6935.t1	A
anno1.g2760.t2	A	g6934.t1	A
anno1.g2761.t1	A	g6933.t1	A
anno1.g2762.t1	A	g6932.t1	A
anno1.g2768.t1	A	g6928.t1	A
anno1.g2769.t1	A	g6927.t1	A
anno1.g2770.t1	A	g6926.t1	A
anno1.g2771.t1	A	g6925.t1	A
anno1.g2772.t1	A	g6924.t1	A
anno1.g2773.t1	A	g6923.t1	A
anno1.g2774.t1	A	g6921.t1	A
anno1.g2775.t1	A	g6919.t1	A
anno1.g2776.t1	A	g6918.t1	A
anno1.g2777.t2	A	g6916.t1	A
anno1.g2778.t1	A	g6917.t1	A
anno1.g2779.t1	A	g6915.t1	A
anno1.g2780.t1	A	g6914.t1	A
anno1.g2781.t3	A	g6913.t1	A
anno1.g2782.t2	A	g6912.t2	A
anno1.g2783.t1	A	g6911.t1	A
anno1.g2785.t1	A	g6910.t1	A
anno1.g2786.t2	A	g6909.t1	A
anno1.g2787.t1	A	g6908.t1	A
anno1.g2788.t2	A	g6907.t2	A
anno1.g2789.t1	A	g6906.t2	A
anno1.g2791.t1	A	g6905.t1	A
anno1.g2792.t1	A	g6904.t1	A
anno1.g2793.t1	A	g6903.t1	A
anno1.g2794.t1	A	g6902.t1	A
anno1.g2795.t1	A	g6901.t1	A
anno1.g2796.t1	A	g7052.t1	A
anno1.g2797.t1	A	g7080.t1	A
anno1.g2798.t1	A	g7054.t1	A
anno1.g2800.t1	A	g7081.t1	A
anno1.g2801.t1	A	g7057.t1	A
anno1.g2802.t2	A	g7058.t1	A
anno1.g2803.t1	A	g7083.t1	A
anno1.g2804.t1	A	g7063.t2	A
anno1.g12808.t1	A	g4117.t1	A
anno1.g12795.t1	A	g7105.t1	A
anno1.g12796.t4	A	g7104.t1	A
anno1.g12797.t2	A	g7113.t1	A
anno1.g12799.t2	A	g7114.t2	A
anno1.g12800.t1	A	g7115.t1	A
anno1.g12802.t1	A	g7117.t1	A
anno1.g12803.t1	A	g7118.t1	A
anno1.g12788.t1	A	g7553.t1	A
anno1.g12789.t1	A	g7337.t1	A
anno1.g12790.t1	A	g7555.t1	A
anno1.g12791.t1	A	g7556.t1	A
anno1.g12792.t1	A	g7334.t1	A
anno1.g12793.t1	A	g7333.t1	A
anno1.g12786.t1	A	g5120.t1	A
anno1.g12787.t1	A	g5119.t1	A
anno1.g2754.t1	A	g680.t1	A
anno1.g12774.t1	A	g14282.t1	A
anno1.g12775.t1	A	g14284.t1	A
anno1.g12776.t1	A	g14281.t1	A
anno1.g12777.t1	A	g2972.t1	A
anno1.g12782.t1	A	g14274.t1	A
anno1.g12783.t1	A	g14273.t1	A
anno1.g12784.t1	A	g14272.t1	A
anno1.g12785.t1	A	g14265.t2	A
anno1.g12771.t1	A	g10956.t1	A
anno1.g12772.t2	A	g10957.t4	A
anno1.g12773.t2	A	g10958.t1	A
anno1.g12763.t1	A	g13915.t1	A
anno1.g12766.t1	A	g13911.t1	A
anno1.g12768.t1	A	g13907.t1	A
anno1.g12762.t1	A	g11122.t1	A
anno1.g2744.t1	A	g236.t1	A
anno1.g2745.t1	A	g237.t1	A
anno1.g2746.t1	A	g8761.t1	A
anno1.g2747.t1	A	g238.t1	A
anno1.g2748.t1	A	g239.t1	A
anno1.g2749.t1	A	g240.t1	A
anno1.g2751.t1	A	g7225.t1	A
anno1.g2752.t1	A	g14386.t1	A
anno1.g2753.t1	A	g14385.t1	A
anno1.g12758.t1	A	g9973.t1	A
anno1.g12759.t1	A	g9972.t1	A
anno1.g12761.t1	A	g9970.t1	A
anno1.g12757.t1	A	g5478.t1	A
anno1.g12746.t1	A	g4840.t1	A
anno1.g12747.t1	A	g4841.t1	A
anno1.g12748.t1	A	g4842.t1	A
anno1.g12749.t1	A	g4761.t1	A
anno1.g12750.t1	A	g4760.t1	A
anno1.g12739.t1	A	g3309.t1	A
anno1.g12740.t1	A	g3308.t1	A
anno1.g12741.t1	A	g3307.t1	A
anno1.g12742.t1	A	g3306.t1	A
anno1.g12708.t1	A	g10938.t1	A
anno1.g12709.t1	A	g10937.t1	A
anno1.g12710.t1	A	g3562.t1	A
anno1.g12711.t1	A	g10935.t1	A
anno1.g12712.t1	A	g10934.t3	A
anno1.g12713.t1	A	g10933.t1	A
anno1.g12716.t2	A	g10932.t2	A
anno1.g12717.t2	A	g10931.t2	A
anno1.g12719.t1	A	g6003.t1	A
anno1.g12720.t1	A	g10929.t3	A
anno1.g12721.t1	A	g10928.t1	A
anno1.g12723.t1	A	g10927.t1	A
anno1.g12724.t1	A	g10926.t2	A
anno1.g12726.t1	A	g10925.t1	A
anno1.g12727.t1	A	g10924.t1	A
anno1.g12728.t1	A	g10923.t1	A
anno1.g12730.t1	A	g10922.t2	A
anno1.g12731.t1	A	g10921.t1	A
anno1.g12733.t1	A	g10920.t1	A
anno1.g12735.t1	A	g10919.t1	A
anno1.g12736.t1	A	g10918.t1	A
anno1.g12703.t1	A	g11025.t1	A
anno1.g12705.t1	A	g11028.t1	A
anno1.g12706.t1	A	g11031.t1	A
anno1.g12696.t1	A	g13881.t1	A
anno1.g12698.t2	A	g7548.t1	A
anno1.g12699.t1	A	g7549.t1	A
anno1.g12701.t1	A	g7546.t1	A
anno1.g12702.t1	A	g7544.t1	A
anno1.g12687.t2	A	g1819.t1	A
anno1.g12688.t1	A	g10954.t1	A
anno1.g12690.t1	A	g10953.t1	A
anno1.g12692.t2	A	g10955.t2	A
anno1.g2729.t1	X	g1631.t1	X
anno1.g2730.t1	X	g1632.t1	X
anno1.g2731.t1	X	g1636.t1	X
anno1.g2734.t1	X	g1638.t1	X
anno1.g2735.t1	X	g1639.t1	X
anno1.g12683.t1	A	g8808.t1	A
anno1.g12680.t1	X	g2894.t1	X
anno1.g12678.t1	A	g944.t1	A
anno1.g12677.t1	A	g5418.t1	Y
anno1.g12661.t1	A	g12105.t1	A
anno1.g12662.t1	A	g12107.t1	A
anno1.g12663.t1	A	g12108.t1	A
anno1.g12664.t1	A	g12113.t1	A
anno1.g12665.t1	A	g12114.t1	A
anno1.g12667.t4	A	g12118.t1	A
anno1.g12671.t3	A	g12123.t2	A
anno1.g12672.t1	A	g12124.t1	A
anno1.g12673.t1	A	g12125.t2	A
anno1.g12674.t1	A	g12126.t1	A
anno1.g12675.t1	A	g12129.t1	A
anno1.g12676.t1	A	g12130.t1	A
anno1.g12658.t1	A	g2564.t1	A
anno1.g12649.t1	A	g551.t1	A
anno1.g12650.t1	A	g552.t1	A
anno1.g12651.t1	A	g554.t1	A
anno1.g12652.t1	A	g555.t1	A
anno1.g12653.t1	A	g556.t1	A
anno1.g12654.t1	A	g557.t1	A
anno1.g12645.t1	A	g10422.t1	A
anno1.g12646.t1	A	g10423.t2	A
anno1.g2725.t1	A	g5571.t1	A
anno1.g12644.t1	A	g14418.t1	A
anno1.g12637.t1	A	g4104.t1	A
anno1.g12638.t1	A	g4103.t1	A
anno1.g12640.t1	A	g4099.t1	A
anno1.g12643.t1	A	g4100.t1	A
anno1.g2724.t1	A	g10262.t2	A
anno1.g12635.t2	A	g4092.t1	A
anno1.g2720.t2	A	g8270.t1	A
anno1.g12633.t1	A	g7454.t2	X
anno1.g12592.t2	A	g14758.t1	A
anno1.g12593.t1	A	g14772.t2	A
anno1.g12594.t1	A	g14771.t1	A
anno1.g12595.t1	A	g14770.t1	A
anno1.g12596.t1	A	g14769.t1	A
anno1.g12597.t1	A	g14768.t1	A
anno1.g12598.t1	A	g14767.t1	A
anno1.g12599.t1	A	g14766.t1	A
anno1.g12600.t1	A	g14764.t1	A
anno1.g12601.t1	A	g14763.t1	A
anno1.g12602.t1	A	g14762.t1	A
anno1.g12603.t1	A	g14755.t1	A
anno1.g12604.t1	A	g14756.t1	A
anno1.g12605.t1	A	g14757.t1	A
anno1.g12609.t3	A	g14774.t2	A
anno1.g12610.t1	A	g14775.t2	A
anno1.g12611.t1	A	g14776.t1	A
anno1.g12612.t1	A	g14777.t1	A
anno1.both_agree_g17207.t2	A	g14778.t1	A
anno1.g12614.t1	A	g14779.t1	A
anno1.g12615.t1	A	g11090.t1	A
anno1.g12616.t1	A	g11089.t1	A
anno1.g12618.t1	A	g14743.t2	A
anno1.g12619.t1	A	g14741.t1	A
anno1.g12620.t1	A	g14742.t1	A
anno1.g12621.t1	A	g14740.t1	A
anno1.g12622.t1	A	g14739.t1	A
anno1.g12623.t1	A	g14738.t1	A
anno1.g12624.t1	A	g14737.t1	A
anno1.g12626.t1	A	g14736.t1	A
anno1.g12627.t2	A	g14735.t2	A
anno1.g12579.t1	A	g3482.t1	A
anno1.g12581.t1	A	g3485.t1	A
anno1.g12587.t1	A	g3496.t1	A
anno1.g12589.t1	A	g3498.t1	A
anno1.g12590.t1	A	g3499.t3	A
anno1.g12570.t1	A	g9887.t2	A
anno1.g12571.t2	A	g9889.t2	A
anno1.g12574.t1	A	g9890.t3	A
anno1.g12576.t1	A	g9891.t1	A
anno1.g12577.t1	A	g9893.t1	A
anno1.g12578.t2	A	g9894.t2	A
anno1.g2624.t1	A	g699.t1	A
anno1.g2625.t2	A	g700.t1	A
anno1.g2626.t1	A	g701.t1	A
anno1.g2627.t1	A	g702.t1	A
anno1.g2628.t2	A	g703.t1	A
anno1.g2630.t1	A	g704.t2	A
anno1.g2631.t1	A	g705.t2	A
anno1.g2632.t1	A	g706.t2	A
anno1.g2633.t1	A	g707.t1	A
anno1.g2634.t1	A	g708.t1	A
anno1.g2635.t1	A	g709.t1	A
anno1.g2636.t1	A	g710.t1	A
anno1.g2637.t2	A	g711.t1	A
anno1.g2638.t1	A	g712.t1	A
anno1.g2639.t2	A	g713.t3	A
anno1.g2640.t1	A	g714.t1	A
anno1.g2641.t1	A	g715.t1	A
anno1.g2642.t1	A	g1060.t1	A
anno1.g2643.t1	A	g1057.t1	A
anno1.g2644.t2	A	g1056.t1	A
anno1.g2645.t1	A	g1054.t1	A
anno1.g2647.t1	A	g1053.t1	A
anno1.g2648.t2	A	g1052.t2	A
anno1.g2649.t1	A	g1050.t1	A
anno1.g2650.t1	A	g1051.t1	A
anno1.g2652.t1	A	g1049.t1	A
anno1.g2653.t2	A	g1048.t1	A
anno1.g2654.t1	A	g1047.t1	A
anno1.g2655.t1	A	g1046.t1	A
anno1.g2656.t1	A	g1045.t3	A
anno1.g2657.t1	A	g1044.t1	A
anno1.g2658.t1	A	g1043.t1	A
anno1.g2659.t1	A	g1042.t1	A
anno1.g2660.t3	A	g1041.t1	A
anno1.g2661.t1	A	g1040.t1	A
anno1.g2662.t1	A	g1039.t1	A
anno1.g2663.t1	A	g1038.t1	A
anno1.g2664.t1	A	g1037.t1	A
anno1.g2665.t1	A	g1036.t1	A
anno1.g2666.t1	A	g1035.t1	A
anno1.g2667.t1	A	g1034.t1	A
anno1.g2668.t1	A	g1033.t1	A
anno1.g2673.t1	A	g4558.t1	A
anno1.g2674.t1	A	g1028.t1	A
anno1.g2675.t1	A	g1027.t1	A
anno1.g2676.t1	A	g1026.t1	A
anno1.g2677.t1	A	g1025.t1	A
