C_maculatus	chromosome	B_varius	chromosome
g6408.t1	A	anno1.g8583.t3	A
g6409.t2	A	anno1.g8582.t1	A
g6410.t1	A	anno1.g8581.t1	A
g6414.t2	A	anno1.g8580.t1	A
g6416.t1	A	anno1.g8579.t2	A
g6420.t1	A	anno1.g8577.t1	A
g6421.t1	A	anno1.g8575.t1	A
g6422.t1	A	anno1.g8574.t1	A
g6423.t1	A	anno1.g8573.t1	A
g6424.t1	A	anno1.g8572.t1	A
g6425.t1	A	anno1.g8571.t1	A
g6426.t1	A	anno1.g8570.t1	A
g6427.t1	A	anno1.g8569.t1	A
g6430.t1	A	anno1.g8568.t1	A
g6435.t1	A	anno1.g8566.t1	A
g6440.t1	A	anno1.g8565.t1	A
g6441.t1	A	anno1.g8564.t1	A
g6442.t1	A	anno1.g8563.t1	A
g6446.t1	A	anno1.g8561.t1	A
g6448.t1	A	anno1.g8558.t1	A
g6449.t1	A	anno1.g8557.t1	A
g6450.t1	A	anno1.g8556.t1	A
g6451.t1	A	anno1.g8555.t1	A
g6452.t1	A	anno1.g8554.t2	A
g6453.t3	A	anno1.g8553.t3	A
g6454.t1	A	anno1.g8552.t1	A
g6455.t1	A	anno1.g8551.t1	A
g6457.t1	A	anno1.g8549.t1	A
g6460.t1	A	anno1.g8548.t1	A
g6462.t1	A	anno1.g8546.t1	A
g6463.t1	A	anno1.g8545.t1	A
g6464.t1	A	anno1.g8543.t1	A
g6465.t2	A	anno1.g8542.t1	A
g6470.t1	A	anno1.g8540.t1	A
g6471.t1	A	anno1.g8538.t1	A
g6472.t1	A	anno1.g8536.t1	A
g6474.t1	A	anno1.g8533.t1	A
g6475.t1	A	anno1.g8532.t1	A
g6476.t1	A	anno1.g8531.t1	A
g6477.t1	A	anno1.g8529.t1	A
g6478.t1	A	anno1.g8528.t3	A
g6479.t1	A	anno1.g8527.t1	A
g6480.t1	A	anno1.g8526.t1	A
g6481.t1	A	anno1.g8525.t1	A
g6482.t1	A	anno1.g8524.t2	A
g6484.t1	A	anno1.g8523.t1	A
g6486.t2	A	anno1.g8522.t1	A
g6487.t1	A	anno1.g8521.t1	A
g6488.t1	A	anno1.g8520.t3	A
g6489.t1	A	anno1.g8519.t1	A
g6490.t1	A	anno1.g8518.t1	A
g6491.t2	A	anno1.g8517.t2	A
g6506.t1	A	anno1.g8509.t1	A
g6509.t1	A	anno1.g8504.t1	A
g6511.t1	A	anno1.g7376.t1	A
g6515.t1	A	anno1.g8501.t1	A
g6517.t1	A	anno1.g8499.t1	A
g6521.t1	A	anno1.g8495.t1	A
g6524.t1	A	anno1.g8493.t1	A
g6526.t2	A	anno1.g8491.t1	A
g6533.t1	A	anno1.g8487.t1	A
g6534.t1	A	anno1.g8486.t1	A
g6537.t1	A	anno1.g8479.t2	A
g6543.t1	A	anno1.g8475.t3	A
g6545.t1	A	anno1.g8473.t1	A
g6550.t1	A	anno1.g8467.t1	A
g6551.t1	A	anno1.g8466.t1	A
g6557.t1	A	anno1.g8458.t1	A
g6558.t1	A	anno1.g8457.t1	A
g6561.t1	A	anno1.g8453.t1	A
g6566.t1	A	anno1.g8451.t1	A
g6568.t1	A	anno1.g8450.t1	A
g6585.t1	A	anno1.g8868.t1	A
g6590.t1	A	anno1.g8871.t1	A
g6592.t1	A	anno1.g8873.t1	A
g6597.t3	A	anno1.g8877.t5	A
g6598.t1	A	anno1.g8878.t1	A
g6601.t1	A	anno1.g8881.t1	A
g6609.t2	A	anno1.g8511.t2	A
g6610.t1	A	anno1.g8510.t1	A
g6612.t1	A	anno1.g8506.t1	A
g6613.t1	A	anno1.g8505.t1	A
g6615.t1	A	anno1.g8503.t1	A
g6617.t1	A	anno1.g8502.t1	A
g6619.t1	A	anno1.g8500.t1	A
g6621.t1	A	anno1.g8498.t2	A
g6622.t1	A	anno1.g8497.t1	A
g6624.t1	A	anno1.g8496.t1	A
g6627.t1	A	anno1.g8494.t2	A
g6629.t1	A	anno1.g8492.t1	A
g6631.t1	A	anno1.g8489.t1	A
g6634.t1	A	anno1.g8488.t1	A
g6637.t4	A	anno1.g8485.t4	A
g6638.t1	A	anno1.g8482.t1	A
g6640.t1	A	anno1.g8478.t1	A
g6643.t1	A	anno1.g8477.t1	A
g6648.t1	A	anno1.g8471.t1	A
g6650.t1	A	anno1.g8470.t1	A
g6651.t1	A	anno1.g8469.t1	A
g6652.t2	A	anno1.g8468.t1	A
g6655.t1	A	anno1.g8465.t1	A
g6656.t1	A	anno1.g8464.t2	A
g6657.t2	A	anno1.g8462.t2	A
g6658.t1	A	anno1.g8461.t1	A
g6659.t1	A	anno1.g8460.t1	A
g6664.t3	A	anno1.g8452.t1	A
g6669.t1	A	anno1.g1260.t1	A
g6673.t1	A	anno1.g8447.t1	A
g6678.t1	A	anno1.g8430.t1	A
g6679.t1	A	anno1.g8437.t1	A
g6680.t1	A	anno1.g8438.t1	A
g6681.t1	A	anno1.g8439.t1	A
g6682.t2	A	anno1.g8429.t2	A
g6683.t1	A	anno1.g8428.t1	A
g6684.t1	A	anno1.g8421.t1	A
g6685.t1	A	anno1.g8436.t1	A
g6687.t1	A	anno1.g8615.t1	A
g6690.t1	A	anno1.g8614.t1	A
g6692.t2	A	anno1.g8866.t1	A
g6695.t1	A	anno1.g8867.t1	A
g6697.t1	A	anno1.g8869.t1	A
g6699.t1	A	anno1.g8870.t1	A
g6701.t1	A	anno1.g8872.t1	A
g6703.t1	A	anno1.g8874.t1	A
g6706.t1	A	anno1.g1911.t1	A
g6708.t1	A	anno1.g8876.t1	A
g6711.t2	A	anno1.g8879.t2	A
g6712.t1	A	anno1.g8880.t1	A
g6714.t1	A	anno1.g8882.t1	A
g6716.t1	A	anno1.g8884.t2	A
g6717.t1	A	anno1.g8885.t1	A
g6718.t1	A	anno1.g8886.t1	A
g6720.t1	A	anno1.g8887.t1	A
g6721.t1	A	anno1.g8888.t1	A
g6724.t1	A	anno1.g8889.t1	A
g6725.t1	A	anno1.g8890.t1	A
g6726.t1	A	anno1.g8891.t1	A
g6730.t1	A	anno1.g8892.t1	A
g6734.t1	A	anno1.g8893.t1	A
g6735.t2	A	anno1.g8894.t1	A
g6736.t1	A	anno1.g8895.t1	A
g6737.t2	A	anno1.g8896.t1	A
g6738.t1	A	anno1.g8897.t1	A
g6739.t1	A	anno1.g8898.t1	A
g6741.t1	A	anno1.g8899.t1	A
g6743.t1	A	anno1.g8900.t1	A
g6744.t1	A	anno1.g8901.t1	A
g6747.t2	A	anno1.g8902.t1	A
g6748.t1	A	anno1.g8903.t1	A
g6749.t1	A	anno1.g8904.t1	A
g6750.t1	A	anno1.g8905.t1	A
g6751.t1	A	anno1.g8906.t1	A
g6752.t1	A	anno1.g8907.t1	A
g6753.t1	A	anno1.g8908.t1	A
g6755.t2	A	anno1.g8909.t1	A
g6756.t1	A	anno1.g8910.t1	A
g6757.t1	A	anno1.g8911.t1	A
g6758.t1	A	anno1.g8912.t1	A
g6759.t1	A	anno1.g8913.t1	A
g6760.t1	A	anno1.g8914.t1	A
g6761.t1	A	anno1.g8915.t1	A
g6762.t1	A	anno1.g8916.t1	A
g6763.t1	A	anno1.g8917.t1	A
g6764.t1	A	anno1.g8918.t1	A
g6765.t1	A	anno1.g8919.t1	A
g6766.t1	A	anno1.g8920.t1	A
g6767.t1	A	anno1.g8921.t1	A
g6768.t1	A	anno1.g8923.t1	A
g6769.t1	A	anno1.g8924.t1	A
g6770.t1	A	anno1.g8925.t1	A
g6771.t2	A	anno1.g8926.t1	A
g6772.t1	A	anno1.g8927.t1	A
g6773.t1	A	anno1.g8928.t2	A
g6774.t1	A	anno1.g8929.t1	A
g6775.t1	A	anno1.g8930.t1	A
g6777.t1	A	anno1.g8931.t1	A
g6778.t1	A	anno1.g8932.t1	A
g6779.t1	A	anno1.g8933.t1	A
g6780.t1	A	anno1.g8934.t1	A
g6781.t1	A	anno1.g8935.t1	A
g6782.t1	A	anno1.g8936.t1	A
g6783.t1	A	anno1.g8937.t1	A
g6784.t1	A	anno1.g8938.t1	A
g6785.t1	A	anno1.g8939.t1	A
g6786.t1	A	anno1.g8940.t1	A
g6787.t1	A	anno1.g8941.t1	A
g6788.t1	A	anno1.g8942.t1	A
g6789.t1	A	anno1.g8943.t1	A
g6790.t3	A	anno1.g8944.t1	A
g6791.t1	A	anno1.g8945.t1	A
g6792.t1	A	anno1.g8946.t1	A
g6793.t1	A	anno1.g8948.t1	A
g6794.t1	A	anno1.g8949.t1	A
g6795.t2	A	anno1.g8950.t1	A
g6797.t1	A	anno1.g8951.t1	A
g6798.t1	A	anno1.g8952.t1	A
g6800.t1	A	anno1.g8955.t1	A
g6804.t1	A	anno1.g8958.t1	A
g6805.t2	A	anno1.g8959.t1	A
g6806.t1	A	anno1.g8960.t1	A
g6807.t1	A	anno1.g8961.t1	A
g6809.t1	A	anno1.g8962.t1	A
g6811.t1	A	anno1.g8963.t1	A
g6812.t1	A	anno1.g8964.t2	A
g6813.t1	A	anno1.g8965.t1	A
g6815.t1	A	anno1.g8966.t1	A
g6817.t1	A	anno1.g8967.t1	A
g6818.t1	A	anno1.g8968.t1	A
g6819.t2	A	anno1.g8969.t2	A
g6820.t1	A	anno1.g8970.t1	A
g6821.t2	A	anno1.g8971.t1	A
g6824.t3	A	anno1.g8972.t1	A
g6825.t1	A	anno1.g8973.t1	A
g6826.t2	A	anno1.g15.t1	A
g6830.t1	A	anno1.g8975.t1	A
g6831.t1	A	anno1.g8976.t1	A
g6832.t1	A	anno1.g8977.t1	A
g6834.t1	A	anno1.g8978.t2	A
g6835.t2	A	anno1.g8790.t2	A
g6836.t1	A	anno1.g8789.t1	A
g6837.t1	A	anno1.g8788.t1	A
g6838.t1	A	anno1.g8787.t1	A
g6839.t1	A	anno1.g8786.t1	A
g6840.t1	A	anno1.g8785.t1	A
g6841.t1	A	anno1.g8784.t1	A
g6842.t1	A	anno1.g8783.t1	A
g6844.t1	A	anno1.g8782.t1	A
g6845.t1	A	anno1.g8781.t1	A
g6846.t1	A	anno1.g8780.t1	A
g6847.t1	A	anno1.g8779.t1	A
g6848.t1	A	anno1.g5936.t1	A
g6849.t1	A	anno1.g8777.t1	A
g6852.t1	A	anno1.g8774.t1	A
g6853.t1	A	anno1.g8773.t1	A
g6854.t2	A	anno1.g8772.t2	A
g6855.t1	A	anno1.g8771.t1	A
g6856.t1	A	anno1.g8770.t1	A
g6857.t1	A	anno1.g8865.t1	A
g6858.t1	A	anno1.g8864.t1	A
g6859.t2	A	anno1.g8863.t1	A
g6862.t1	A	anno1.g8862.t1	A
g6864.t1	A	anno1.g8861.t1	A
g6865.t1	A	anno1.g8860.t1	A
g6866.t1	A	anno1.g8859.t1	A
g6867.t1	A	anno1.g8858.t1	A
g6870.t2	A	anno1.g8857.t1	A
g6872.t1	A	anno1.g8856.t1	A
g6873.t1	A	anno1.g8855.t1	A
g6876.t1	A	anno1.g8854.t1	A
g6877.t1	A	anno1.g8853.t1	A
g6878.t1	A	anno1.g8852.t1	A
g6879.t1	A	anno1.g8851.t1	A
g6880.t1	A	anno1.g8850.t1	A
g6881.t1	A	anno1.g8849.t1	A
g6882.t1	A	anno1.g8848.t1	A
g6883.t1	A	anno1.g8847.t1	A
g6884.t2	A	anno1.g8845.t1	A
g6885.t1	A	anno1.g8844.t1	A
g6887.t1	A	anno1.g8843.t1	A
g6888.t1	A	anno1.g8842.t1	A
g6889.t1	A	anno1.g8841.t1	A
g6893.t1	A	anno1.g8840.t1	A
g6897.t1	A	anno1.g8839.t1	A
g6898.t1	A	anno1.g8838.t1	A
g6900.t1	A	anno1.g8837.t1	A
g6903.t1	A	anno1.g9064.t3	A
g6904.t1	A	anno1.g9063.t1	A
g6905.t1	A	anno1.g9062.t1	A
g6906.t2	A	anno1.g9061.t2	A
g6907.t2	A	anno1.g9060.t2	A
g6908.t1	A	anno1.g9059.t1	A
g6909.t1	A	anno1.g9058.t2	A
g6910.t1	A	anno1.g9057.t1	A
g6911.t1	A	anno1.g9056.t1	A
g6912.t2	A	anno1.g9055.t2	A
g6913.t1	A	anno1.g9054.t1	A
g6914.t1	A	anno1.g9053.t1	A
g6916.t1	A	anno1.g9049.t2	A
g6917.t1	A	anno1.g9050.t1	A
g6918.t1	A	anno1.g9048.t1	A
g6919.t1	A	anno1.g9047.t1	A
g6920.t1	A	anno1.g9046.t1	A
g6921.t1	A	anno1.g9045.t1	A
g6923.t1	A	anno1.g9044.t1	A
g6924.t1	A	anno1.g9042.t1	A
g6925.t1	A	anno1.g9041.t1	A
g6926.t1	A	anno1.g9040.t1	A
g6928.t1	A	anno1.g9039.t1	A
g6934.t1	A	anno1.g9034.t2	A
g6935.t1	A	anno1.g9030.t1	A
g6936.t1	A	anno1.g9029.t1	A
g6937.t1	A	anno1.g9028.t1	A
g6939.t1	A	anno1.g9027.t1	A
g6940.t1	A	anno1.g9026.t1	A
g6942.t1	A	anno1.g9025.t1	A
g6945.t1	A	anno1.g9023.t1	A
g6946.t1	A	anno1.g9022.t1	A
g6947.t1	A	anno1.g9021.t1	A
g6948.t2	A	anno1.g9020.t1	A
g6949.t1	A	anno1.g9019.t1	A
g6950.t1	A	anno1.g9018.t1	A
g6951.t1	A	anno1.g9017.t2	A
g6952.t1	A	anno1.g9702.t1	A
g6953.t2	A	anno1.g11793.t1	X
g6955.t1	A	anno1.g9013.t1	A
g6956.t1	A	anno1.g9012.t1	A
g6957.t1	A	anno1.g9011.t1	A
g6958.t2	A	anno1.g9010.t1	A
g6959.t1	A	anno1.g9009.t1	A
g6960.t1	A	anno1.g602.t1	A
g6962.t1	A	anno1.g9005.t1	A
g6963.t1	A	anno1.g9004.t1	A
g6964.t1	A	anno1.g9003.t1	A
g6965.t1	A	anno1.g9002.t1	A
g6966.t1	A	anno1.g9001.t1	A
g6969.t1	A	anno1.g8998.t3	A
g6971.t1	A	anno1.g8996.t1	A
g6972.t1	A	anno1.g8995.t1	A
g6974.t1	A	anno1.g8994.t1	A
g6975.t1	A	anno1.g8993.t1	A
g6976.t1	A	anno1.g8992.t1	A
g6977.t1	A	anno1.g8991.t1	A
g6978.t1	A	anno1.g8990.t1	A
g6980.t1	A	anno1.g8989.t1	A
g6981.t1	A	anno1.g8988.t1	A
g6982.t1	A	anno1.g8987.t1	A
g6983.t1	A	anno1.g8986.t1	A
g6984.t1	A	anno1.g8985.t1	A
g6986.t1	A	anno1.g8984.t1	A
g6987.t1	A	anno1.g8983.t1	A
g6989.t1	A	anno1.g8982.t2	A
g6990.t1	A	anno1.g8981.t1	A
g6992.t1	A	anno1.g8980.t1	A
g6993.t1	A	anno1.g8979.t1	A
g6994.t1	A	anno1.g8791.t3	A
g6995.t1	A	anno1.g8792.t1	A
g6996.t1	A	anno1.g8793.t1	A
g6997.t1	A	anno1.g8794.t1	A
g6998.t1	A	anno1.g8795.t1	A
g6999.t1	A	anno1.g8796.t1	A
g7000.t2	A	anno1.g8797.t1	A
g7001.t1	A	anno1.g8798.t1	A
g7003.t1	A	anno1.g8799.t1	A
g7004.t1	A	anno1.g8800.t1	A
g7005.t2	A	anno1.g8801.t2	A
g7006.t2	A	anno1.g8803.t1	A
g7007.t1	A	anno1.g8804.t1	A
g7008.t1	A	anno1.g8805.t1	A
g7009.t1	A	anno1.g8806.t1	A
g7010.t1	A	anno1.g8807.t1	A
g7011.t1	A	anno1.g8808.t1	A
g7012.t1	A	anno1.g8809.t2	A
g7013.t1	A	anno1.g8810.t1	A
g7017.t1	A	anno1.g8811.t1	A
g7018.t1	A	anno1.g4877.t1	A
g7026.t1	A	anno1.g8815.t1	A
g7027.t2	A	anno1.g8817.t1	A
g7028.t2	A	anno1.g8818.t3	A
g7029.t1	A	anno1.g8819.t1	A
g7031.t3	A	anno1.g8820.t1	A
g7032.t1	A	anno1.g8822.t1	A
g7033.t1	A	anno1.g8823.t1	A
g7039.t1	A	anno1.g8825.t1	A
g7040.t1	A	anno1.g8826.t1	A
g7041.t1	A	anno1.g8827.t1	A
g7043.t1	A	anno1.g8829.t1	A
g7044.t1	A	anno1.g8831.t1	A
g7046.t2	A	anno1.g8832.t2	A
g7047.t1	A	anno1.g8833.t1	A
g7048.t1	A	anno1.g8834.t1	A
g7049.t1	A	anno1.g8835.t1	A
g7050.t1	A	anno1.g8836.t1	A
g7052.t1	A	anno1.g9065.t1	A
g7054.t1	A	anno1.g9067.t1	A
g7057.t1	A	anno1.g9070.t1	A
g7059.t1	A	anno1.g9072.t1	A
g7063.t2	A	anno1.g9073.t1	A
g7064.t1	A	anno1.g9074.t1	A
g7070.t1	A	anno1.g9077.t1	A
g7072.t1	A	anno1.g9080.t1	A
g7074.t1	A	anno1.g8830.t2	A
g7080.t1	A	anno1.g9066.t1	A
g7081.t1	A	anno1.g9069.t2	A
g7082.t1	A	anno1.g9071.t1	A
g7087.t1	A	anno1.g9075.t1	A
g7088.t1	A	anno1.g9076.t1	A
g7091.t1	A	anno1.g9078.t1	A
g7092.t1	A	anno1.g9079.t1	A
g7095.t1	A	anno1.g9081.t1	A
g7096.t2	A	anno1.g9083.t1	A
g7098.t1	A	anno1.g9082.t1	A
g7099.t1	A	anno1.g9084.t1	A
g7102.t1	A	anno1.g9085.t1	A
g7103.t1	A	anno1.g9086.t1	A
g7104.t1	A	anno1.g9093.t1	A
g7105.t1	A	anno1.g9092.t1	A
g7106.t1	A	anno1.g9091.t1	A
g7107.t2	A	anno1.g9090.t2	A
g7108.t2	A	anno1.g9089.t1	A
g7110.t1	A	anno1.g9088.t1	A
g7111.t1	A	anno1.g9087.t1	A
g7113.t1	A	anno1.g9095.t1	A
g7114.t2	A	anno1.g9096.t1	A
g7115.t1	A	anno1.g9097.t1	A
g7116.t1	A	anno1.g9098.t1	A
g7117.t1	A	anno1.g9099.t1	A
g7118.t1	A	anno1.g9100.t1	A
g7121.t1	A	anno1.g9101.t1	A
g7122.t1	A	anno1.g9102.t1	A
g7123.t2	A	anno1.g9103.t2	A
g7124.t1	A	anno1.g9104.t1	A
g7125.t1	A	anno1.g9105.t1	A
g7126.t1	A	anno1.g9106.t1	A
g7127.t1	A	anno1.g9107.t1	A
g7128.t1	A	anno1.g9108.t1	A
g7129.t1	A	anno1.g9109.t1	A
g7130.t1	A	anno1.g9110.t1	A
g7131.t1	A	anno1.g9111.t1	A
g7132.t1	A	anno1.g9112.t1	A
g7133.t1	A	anno1.g9113.t1	A
g7136.t1	A	anno1.g9114.t1	A
g7137.t1	A	anno1.g9115.t1	A
g7140.t1	A	anno1.g9116.t1	A
g7141.t1	A	anno1.g9117.t1	A
g7142.t1	A	anno1.g9118.t1	A
g7143.t1	A	anno1.g9119.t1	A
g7146.t1	A	anno1.g9120.t1	A
g7147.t1	A	anno1.g9122.t1	A
g7148.t1	A	anno1.g9121.t1	A
g7149.t1	A	anno1.g9123.t1	A
g7150.t1	A	anno1.g9125.t1	A
g7152.t1	A	anno1.g9126.t4	A
g7153.t1	A	anno1.g9127.t1	A
g7156.t1	A	anno1.g9128.t1	A
g7158.t1	A	anno1.g9131.t1	A
g7711.t1	A	anno1.g3452.t3	A
g7713.t1	A	anno1.g3453.t1	A
g7714.t1	A	anno1.g3454.t1	A
g7715.t1	A	anno1.g3456.t1	A
g7716.t1	A	anno1.g3457.t1	A
g7717.t2	A	anno1.g3459.t2	A
g7718.t1	A	anno1.g3460.t1	A
g7719.t1	A	anno1.g3461.t1	A
g7720.t1	A	anno1.g3462.t2	A
g7721.t2	A	anno1.g3463.t1	A
g7722.t1	A	anno1.g3464.t1	A
g7723.t2	A	anno1.g3504.t1	A
g7725.t5	A	anno1.g3506.t1	A
g7726.t2	A	anno1.g3507.t1	A
g7727.t1	A	anno1.g3508.t1	A
g7728.t1	A	anno1.g3509.t2	A
g7729.t1	A	anno1.g3510.t1	A
g7730.t1	A	anno1.g3511.t1	A
g7731.t2	A	anno1.g3512.t1	A
g7732.t1	A	anno1.g3513.t1	A
g7733.t1	A	anno1.g3514.t1	A
g7734.t1	A	anno1.g3516.t2	A
g7735.t1	A	anno1.g3517.t1	A
g7736.t1	A	anno1.g3518.t1	A
g7737.t3	A	anno1.g3519.t3	A
g7738.t1	A	anno1.g3520.t1	A
g7739.t1	A	anno1.g3521.t1	A
g7740.t1	A	anno1.g3522.t1	A
g7741.t1	A	anno1.g3523.t1	A
g7742.t1	A	anno1.g3524.t1	A
g7744.t1	A	anno1.g3525.t1	A
g7745.t1	A	anno1.g3526.t1	A
g7746.t1	A	anno1.g3527.t1	A
g7747.t1	A	anno1.g3528.t1	A
g7748.t1	A	anno1.g3529.t1	A
g7750.t1	A	anno1.g3530.t1	A
g7751.t1	A	anno1.g3531.t1	A
g7752.t1	A	anno1.g3532.t1	A
g7753.t1	A	anno1.g3533.t1	A
g7754.t1	A	anno1.g3534.t1	A
g7755.t1	A	anno1.g3535.t2	A
g7756.t1	A	anno1.g3839.t1	A
g7757.t1	A	anno1.g3837.t1	A
g7758.t1	A	anno1.g3838.t1	A
g7759.t1	A	anno1.g3836.t1	A
g7760.t1	A	anno1.g3835.t1	A
g7761.t1	A	anno1.g3832.t1	A
g7762.t2	A	anno1.g3833.t2	A
g7763.t1	A	anno1.g3834.t1	A
g7764.t2	A	anno1.g3830.t1	A
g7765.t1	A	anno1.g3829.t1	A
g7766.t1	A	anno1.g3828.t1	A
g7767.t2	A	anno1.g3827.t2	A
g7768.t1	A	anno1.g3826.t1	A
g7769.t1	A	anno1.g3825.t1	A
g7770.t2	A	anno1.g3824.t2	A
g7771.t1	A	anno1.g3823.t1	A
g7772.t1	A	anno1.g3822.t2	A
g7773.t1	A	anno1.g3821.t1	A
g7774.t3	A	anno1.g3580.t3	A
g7775.t1	A	anno1.g3581.t3	A
g7777.t1	A	anno1.g3543.t2	A
g7781.t1	A	anno1.g3583.t1	A
g7782.t2	A	anno1.g3585.t2	A
g7783.t1	A	anno1.g3586.t1	A
g7784.t1	A	anno1.g3587.t1	A
g7786.t1	A	anno1.g3588.t1	A
g7787.t1	A	anno1.g3589.t1	A
g7788.t1	A	anno1.g3591.t1	A
g7789.t1	A	anno1.g3590.t1	A
g7790.t1	A	anno1.g3592.t1	A
g7791.t1	A	anno1.g3593.t1	A
g7792.t1	A	anno1.g3594.t1	A
g7793.t1	A	anno1.g3595.t1	A
g7794.t1	A	anno1.g3596.t1	A
g7795.t1	A	anno1.g3597.t1	A
g7796.t1	A	anno1.g3598.t1	A
g7797.t1	A	anno1.g3599.t1	A
g7798.t1	A	anno1.g3601.t1	A
g7799.t1	A	anno1.g3602.t1	A
g7800.t1	A	anno1.g3603.t1	A
g7806.t1	A	anno1.g3604.t1	A
g7807.t1	A	anno1.g3605.t1	A
g7808.t1	A	anno1.g3606.t1	A
g7809.t1	A	anno1.g3607.t1	A
g7810.t1	A	anno1.g3608.t1	A
g7816.t1	A	anno1.g3611.t1	A
g7817.t1	A	anno1.g3612.t1	A
g7818.t1	A	anno1.g3614.t1	A
g7819.t1	A	anno1.g3615.t2	A
g7820.t1	A	anno1.g3616.t1	A
g7821.t1	A	anno1.g3618.t1	A
g7822.t2	A	anno1.g3619.t1	A
g7823.t1	A	anno1.g3620.t1	A
g7826.t2	A	anno1.g3622.t1	A
g7828.t1	A	anno1.g3623.t1	A
g7829.t1	A	anno1.g3625.t1	A
g7830.t2	A	anno1.g3626.t1	A
g7831.t1	A	anno1.g3627.t1	A
g7832.t2	A	anno1.g3628.t2	A
g7833.t2	A	anno1.g3629.t2	A
g7836.t1	A	anno1.g3630.t1	A
g7837.t1	A	anno1.g3631.t1	A
g7840.t1	A	anno1.g3632.t1	A
g7841.t1	A	anno1.g3633.t1	A
g7842.t1	A	anno1.g3634.t1	A
g7844.t1	A	anno1.g3637.t1	A
g7845.t1	A	anno1.g3640.t1	A
g7846.t1	A	anno1.g3641.t1	A
g7848.t1	A	anno1.g3643.t1	A
g7849.t1	A	anno1.g3644.t1	A
g7850.t1	A	anno1.g3645.t1	A
g7851.t1	A	anno1.g3646.t1	A
g7852.t1	A	anno1.g6257.t1	A
g7853.t3	A	anno1.g3647.t1	A
g7854.t1	A	anno1.g3648.t1	A
g7855.t1	A	anno1.g3651.t1	A
g7856.t1	A	anno1.g3650.t1	A
g7857.t1	A	anno1.g3652.t1	A
g7858.t1	A	anno1.g3653.t1	A
g7859.t1	A	anno1.g3654.t1	A
g7860.t1	A	anno1.g3655.t1	A
g7861.t1	A	anno1.g3656.t1	A
g7862.t1	A	anno1.g11097.t1	A
g7863.t1	A	anno1.g3658.t1	A
g7864.t1	A	anno1.g3659.t1	A
g7865.t1	A	anno1.g3661.t1	A
g7866.t1	A	anno1.g3662.t1	A
g7868.t1	A	anno1.g3663.t1	A
g7877.t1	A	anno1.g3665.t1	A
g7878.t1	A	anno1.g3666.t1	A
g7879.t1	A	anno1.g3667.t1	A
g7881.t1	A	anno1.g3669.t1	A
g7883.t1	A	anno1.g3670.t1	A
g7884.t1	A	anno1.g3671.t1	A
g7885.t1	A	anno1.g3672.t1	A
g7888.t3	A	anno1.g3673.t2	A
g7889.t1	A	anno1.g3674.t1	A
g7890.t1	A	anno1.g3675.t2	A
g7891.t1	A	anno1.g3676.t1	A
g7892.t1	A	anno1.g3677.t1	A
g7893.t1	A	anno1.g3678.t1	A
g7894.t1	A	anno1.g3679.t1	A
g7896.t1	A	anno1.g3680.t1	A
g7897.t1	A	anno1.g3681.t1	A
g7898.t1	A	anno1.g3682.t1	A
g7899.t1	A	anno1.g9423.t1	A
g7900.t1	A	anno1.g3683.t1	A
g7901.t2	A	anno1.g3684.t1	A
g7902.t1	A	anno1.g3685.t1	A
g7903.t1	A	anno1.g3686.t1	A
g7904.t1	A	anno1.g3887.t1	A
g7913.t1	A	anno1.g3872.t1	A
g7914.t2	A	anno1.g3871.t1	A
g7915.t1	A	anno1.g3870.t1	A
g7916.t2	A	anno1.g3869.t1	A
g7917.t1	A	anno1.g3868.t2	A
g7918.t1	A	anno1.g3867.t1	A
g7920.t2	A	anno1.g3866.t1	A
g7921.t1	A	anno1.g3865.t1	A
g7922.t1	A	anno1.g3864.t1	A
g7923.t1	A	anno1.g3863.t1	A
g7924.t1	A	anno1.g3862.t1	A
g7925.t1	A	anno1.g3859.t3	A
g7928.t1	A	anno1.g3886.t1	A
g7931.t1	A	anno1.g3858.t1	A
g7933.t1	A	anno1.g3857.t1	A
g7934.t1	A	anno1.g3856.t1	A
g7936.t1	A	anno1.g3855.t1	A
g7938.t1	A	anno1.g3854.t1	A
g7939.t1	A	anno1.g3853.t1	A
g7940.t2	A	anno1.g3851.t6	A
g7942.t1	A	anno1.g3850.t2	A
g7944.t2	A	anno1.g3849.t1	A
g7945.t1	A	anno1.g3848.t1	A
g7946.t2	A	anno1.g3847.t1	A
g7947.t1	A	anno1.g3846.t1	A
g7948.t1	A	anno1.g3845.t2	A
g7949.t1	A	anno1.g3844.t2	A
g7951.t1	A	anno1.g3842.t1	A
g7952.t1	A	anno1.g3841.t1	A
g7953.t1	A	anno1.g3840.t1	A
g7954.t2	A	anno1.g3700.t2	A
g7955.t1	A	anno1.g3701.t1	A
g7956.t1	A	anno1.g1627.t1	A
g7958.t2	A	anno1.g3703.t1	A
g7959.t1	A	anno1.g3702.t1	A
g7960.t1	A	anno1.g3888.t1	A
g7961.t1	A	anno1.g3889.t4	A
g7962.t1	A	anno1.g3890.t1	A
g7963.t1	A	anno1.g3891.t1	A
g7965.t1	A	anno1.g3892.t1	A
g7966.t1	A	anno1.g3893.t1	A
g7970.t1	A	anno1.g3895.t1	A
g7971.t1	A	anno1.g3896.t1	A
g7972.t1	A	anno1.g3897.t1	A
g7973.t1	A	anno1.g3898.t3	A
g7974.t2	A	anno1.g3899.t1	A
g7976.t1	A	anno1.g3900.t1	A
g7977.t1	A	anno1.g3901.t1	A
