B_varius	chromosome	A_obtectus	chromosome
anno1.g2412.t1	A	anno1.g6228.t1	A
anno1.g2413.t1	A	anno1.g6227.t1	A
anno1.g2415.t2	A	anno1.g6225.t1	A
anno1.g2417.t1	A	anno1.g6224.t1	A
anno1.g2418.t1	A	anno1.g6223.t1	A
anno1.g2419.t1	A	anno1.g6222.t1	A
anno1.g2420.t1	A	anno1.g6221.t1	A
anno1.g2421.t2	A	anno1.g6220.t13	A
anno1.g2422.t1	A	anno1.g12675.t1	A
anno1.g2424.t1	A	anno1.g6802.t1	A
anno1.g2426.t1	A	anno1.g14310.t1	A
anno1.g2427.t1	A	anno1.g14311.t1	A
anno1.g2428.t1	A	anno1.g14313.t1	A
anno1.g2429.t1	A	anno1.g6214.t1	A
anno1.g2430.t1	A	anno1.g14315.t1	A
anno1.g2431.t4	A	anno1.g6212.t2	A
anno1.g2432.t1	A	anno1.g6211.t1	A
anno1.g2433.t2	A	anno1.g6123.t1	A
anno1.g2435.t1	A	anno1.g6122.t2	A
anno1.g2436.t1	A	anno1.g6121.t1	A
anno1.g2437.t1	A	anno1.g6119.t3	A
anno1.g2438.t3	A	anno1.g6118.t1	A
anno1.g2439.t1	A	anno1.g6117.t1	A
anno1.g2440.t1	A	anno1.g6116.t1	A
anno1.g2441.t1	A	anno1.g6115.t1	A
anno1.g2442.t1	A	anno1.g6114.t1	A
anno1.g2444.t1	A	anno1.g6113.t1	A
anno1.g2445.t1	A	anno1.g6110.t1	A
anno1.g2446.t3	A	anno1.g6104.t3	A
anno1.g2447.t1	A	anno1.g6100.t1	A
anno1.g2448.t1	A	anno1.g6099.t1	A
anno1.g2449.t1	A	anno1.both_agree_g15325.t1	A
anno1.g2451.t2	A	anno1.g6097.t1	A
anno1.g2452.t1	A	anno1.g6096.t1	A
anno1.g2453.t1	A	anno1.g6095.t1	A
anno1.g2454.t1	A	anno1.g6094.t1	A
anno1.g2455.t1	A	anno1.g6093.t1	A
anno1.g2458.t1	A	anno1.g6091.t1	A
anno1.g2459.t1	A	anno1.g6090.t1	A
anno1.g2460.t1	A	anno1.g6331.t1	A
anno1.g2461.t1	A	anno1.g6332.t1	A
anno1.g2464.t1	A	anno1.g6335.t2	A
anno1.g2466.t1	A	anno1.g6337.t1	A
anno1.g2469.t1	A	anno1.g3339.t1	A
anno1.g2470.t1	A	anno1.g6339.t1	A
anno1.g2471.t1	A	anno1.g6344.t1	A
anno1.g2472.t1	A	anno1.g6345.t1	A
anno1.g2473.t1	A	anno1.g6346.t1	A
anno1.g2474.t1	A	anno1.g6347.t1	A
anno1.g2475.t1	A	anno1.g6348.t1	A
anno1.g2477.t2	A	anno1.g6349.t1	A
anno1.g2478.t1	A	anno1.g6350.t2	A
anno1.g2479.t1	A	anno1.g6353.t1	A
anno1.g2480.t1	A	anno1.g6887.t1	A
anno1.g2481.t1	A	anno1.g6886.t1	A
anno1.g2482.t2	A	anno1.g6885.t5	A
anno1.g2483.t1	A	anno1.g6884.t1	A
anno1.g2484.t1	A	anno1.g6883.t1	A
anno1.g2486.t1	A	anno1.g6882.t2	A
anno1.g2487.t1	A	anno1.g6881.t1	A
anno1.g2488.t1	A	anno1.g6880.t1	A
anno1.g2489.t1	A	anno1.g6879.t1	A
anno1.g2490.t1	A	anno1.g6878.t1	A
anno1.g2491.t1	A	anno1.g6877.t1	A
anno1.g2492.t1	A	anno1.g6876.t1	A
anno1.g2493.t1	A	anno1.g6875.t1	A
anno1.g2494.t1	A	anno1.g6874.t1	A
anno1.g2495.t1	A	anno1.g6862.t1	A
anno1.g2496.t1	A	anno1.g6868.t1	A
anno1.g2497.t1	A	anno1.g6869.t1	A
anno1.g2498.t1	A	anno1.g6872.t1	A
anno1.g2499.t1	A	anno1.g6873.t1	A
anno1.g2500.t1	A	anno1.g6355.t1	A
anno1.g2501.t1	A	anno1.g11870.t3	A
anno1.g2502.t1	A	anno1.g6357.t1	A
anno1.g2503.t1	A	anno1.g6358.t2	A
anno1.g2504.t1	A	anno1.g6359.t3	A
anno1.g2505.t1	A	anno1.g6365.t1	A
anno1.g2506.t1	A	anno1.g6366.t1	A
anno1.g2508.t2	A	anno1.g6367.t2	A
anno1.g2509.t1	A	anno1.g6368.t1	A
anno1.g2510.t1	A	anno1.g6369.t1	A
anno1.g2511.t1	A	anno1.g6370.t1	A
anno1.g2512.t1	A	anno1.g6397.t1	A
anno1.g2513.t1	A	anno1.g604.t1	A
anno1.g2514.t1	A	anno1.g6396.t1	A
anno1.g2515.t1	A	anno1.g6395.t1	A
anno1.g2516.t1	A	anno1.g6394.t1	A
anno1.g2517.t1	A	anno1.g6393.t1	A
anno1.g2518.t2	A	anno1.g6392.t1	A
anno1.g2519.t1	A	anno1.g6391.t1	A
anno1.g2520.t1	A	anno1.g6390.t1	A
anno1.g2521.t2	A	anno1.g6388.t1	A
anno1.g2522.t1	A	anno1.g6387.t1	A
anno1.g2526.t2	A	anno1.g6386.t2	A
anno1.g2528.t1	A	anno1.g2544.t1	A
anno1.g2532.t1	A	anno1.g6380.t1	A
anno1.g2533.t1	A	anno1.g6379.t1	A
anno1.g2534.t1	A	anno1.g6377.t2	A
anno1.g2535.t2	A	anno1.g6376.t1	A
anno1.g2536.t1	A	anno1.g6375.t1	A
anno1.g2537.t1	A	anno1.g6374.t1	A
anno1.g2538.t1	A	anno1.g6373.t1	A
anno1.g2539.t1	A	anno1.g14838.t2	A
anno1.g2540.t1	A	anno1.g6372.t1	A
anno1.g2541.t1	A	anno1.g6371.t1	A
anno1.g2542.t1	A	anno1.g14683.t1	A
anno1.g2543.t1	A	anno1.g14689.t1	A
anno1.g2544.t1	A	anno1.g6412.t1	A
anno1.g2545.t1	A	anno1.g6411.t2	A
anno1.g2546.t1	A	anno1.g14684.t1	A
anno1.g2547.t1	A	anno1.g14682.t1	A
anno1.g2548.t1	A	anno1.g14680.t1	A
anno1.g2549.t1	A	anno1.g14679.t1	A
anno1.g2550.t1	A	anno1.g6404.t1	A
anno1.g2551.t1	A	anno1.g14677.t1	A
anno1.g2552.t1	A	anno1.g14676.t1	A
anno1.g2553.t1	A	anno1.g6401.t1	A
anno1.g2554.t1	A	anno1.g14675.t1	A
anno1.g2555.t2	A	anno1.g14674.t2	A
anno1.g2556.t1	A	anno1.g6398.t1	A
anno1.g2559.t1	A	anno1.g12587.t1	A
anno1.g2560.t1	A	anno1.g6419.t1	A
anno1.g2561.t1	A	anno1.g6420.t1	A
anno1.g2563.t1	A	anno1.g6422.t2	A
anno1.g2564.t1	A	anno1.g6425.t1	A
anno1.g2567.t1	A	anno1.g6427.t1	A
anno1.g2568.t1	A	anno1.g14670.t1	A
anno1.g2569.t1	A	anno1.g14669.t1	A
anno1.g2579.t2	A	anno1.g5792.t6	A
anno1.g2581.t1	A	anno1.g5790.t1	A
anno1.g2582.t2	A	anno1.g5789.t2	A
anno1.g2583.t1	A	anno1.g5779.t1	A
anno1.g2584.t1	A	anno1.g5780.t1	A
anno1.g2585.t1	A	anno1.g5781.t1	A
anno1.g2586.t1	A	anno1.g5782.t1	A
anno1.g2587.t1	A	anno1.g5784.t1	A
anno1.g2588.t1	A	anno1.g5786.t1	A
anno1.g2589.t2	A	anno1.g5787.t1	A
anno1.g2590.t1	A	anno1.g5788.t1	A
anno1.g2598.t1	A	anno1.g5778.t1	A
anno1.g2599.t1	A	anno1.g5776.t1	A
anno1.g2600.t1	A	anno1.g5775.t1	A
anno1.g2601.t1	A	anno1.g5774.t1	A
anno1.g2602.t1	A	anno1.g5773.t1	A
anno1.g2603.t1	A	anno1.g5772.t1	A
anno1.g2604.t1	A	anno1.g5767.t1	A
anno1.g2605.t1	A	anno1.g5768.t1	A
anno1.g2606.t1	A	anno1.g5769.t1	A
anno1.g2607.t1	A	anno1.g5771.t1	A
anno1.g2608.t1	A	anno1.g5770.t1	A
anno1.g2609.t1	A	anno1.g6019.t1	A
anno1.g2610.t1	A	anno1.g6456.t1	A
anno1.g2611.t1	A	anno1.g6455.t1	A
anno1.g2613.t1	A	anno1.g6457.t1	A
anno1.g2616.t1	A	anno1.g6460.t1	A
anno1.g2617.t1	A	anno1.g6461.t1	A
anno1.g2618.t1	A	anno1.g6462.t1	A
anno1.g2619.t1	A	anno1.g6463.t1	A
anno1.g2620.t1	A	anno1.g6464.t1	A
anno1.g2621.t1	A	anno1.g6465.t1	A
anno1.g2622.t1	A	anno1.g6467.t1	A
anno1.g2624.t1	A	anno1.g6468.t1	A
anno1.g2626.t1	A	anno1.g6471.t1	A
anno1.g2627.t1	A	anno1.g6472.t1	A
anno1.g2629.t1	A	anno1.g6474.t1	A
anno1.g2633.t1	A	anno1.g6475.t1	A
anno1.g2635.t1	A	anno1.g6479.t1	A
anno1.g2637.t1	A	anno1.g6485.t1	A
anno1.g2639.t1	A	anno1.g6487.t2	A
anno1.g2640.t1	A	anno1.g6488.t1	A
anno1.g2642.t1	A	anno1.g6491.t1	A
anno1.g2644.t1	A	anno1.g6492.t2	A
anno1.g2645.t2	A	anno1.g6493.t1	A
anno1.g2646.t1	A	anno1.g6494.t1	A
anno1.g2647.t1	A	anno1.g6498.t1	A
anno1.g2659.t1	A	anno1.g6511.t2	A
anno1.g2661.t2	A	anno1.g6512.t1	A
anno1.g2662.t1	A	anno1.g6513.t2	A
anno1.g2663.t1	A	anno1.g1367.t1	A
anno1.g2664.t1	A	anno1.g6514.t1	A
anno1.g2667.t2	A	anno1.g6516.t3	A
anno1.g2669.t2	A	anno1.g6517.t2	A
anno1.g2670.t1	A	anno1.g6518.t1	A
anno1.g2671.t1	A	anno1.g6519.t1	A
anno1.g2673.t1	A	anno1.g6520.t4	A
anno1.g2674.t1	A	anno1.g6521.t1	A
anno1.g2675.t1	A	anno1.g6522.t2	A
anno1.g2678.t1	A	anno1.g6523.t1	A
anno1.g2679.t1	A	anno1.g6525.t1	A
anno1.g2680.t1	A	anno1.g6526.t1	A
anno1.g2682.t1	A	anno1.g6528.t3	A
anno1.g2683.t1	A	anno1.g6529.t1	A
anno1.g2684.t1	A	anno1.g6530.t1	A
anno1.g2685.t1	A	anno1.g6531.t1	A
anno1.g2686.t1	A	anno1.g6532.t1	A
anno1.g2687.t1	A	anno1.g6533.t1	A
anno1.g2688.t1	A	anno1.g5875.t1	A
anno1.g2689.t1	A	anno1.g5872.t1	A
anno1.g2690.t1	A	anno1.g5871.t1	A
anno1.g2691.t2	A	anno1.g5870.t1	A
anno1.g2692.t1	A	anno1.g5869.t2	A
anno1.g2694.t1	A	anno1.g5866.t2	A
anno1.g2706.t1	A	anno1.g5860.t2	A
anno1.g2708.t1	A	anno1.g5859.t1	A
anno1.g2710.t1	A	anno1.g10288.t1	A
anno1.g2718.t1	A	anno1.g5997.t1	A
anno1.g2722.t2	A	anno1.g1696.t1	X
anno1.g2734.t2	A	anno1.g5996.t1	A
anno1.g2735.t1	A	anno1.g9293.t1	A
anno1.g2736.t1	A	anno1.g5995.t2	A
anno1.g2738.t1	A	anno1.g5994.t1	A
anno1.g2739.t1	A	anno1.g5901.t1	A
anno1.g2740.t1	A	anno1.g5898.t1	A
anno1.g2741.t1	A	anno1.g5895.t1	A
anno1.g2743.t1	A	anno1.g6950.t1	A
anno1.g2744.t3	A	anno1.g5837.t3	A
anno1.g2746.t1	A	anno1.g5835.t1	A
anno1.g2748.t1	A	anno1.g5836.t1	A
anno1.g2751.t1	A	anno1.g6501.t1	A
anno1.g2757.t1	A	anno1.g5830.t1	A
anno1.g2759.t1	A	anno1.g5831.t1	A
anno1.g2762.t1	A	anno1.g5827.t1	A
anno1.g2763.t1	A	anno1.g9802.t1	A
anno1.g2764.t1	A	anno1.g5935.t1	A
anno1.g2766.t1	A	anno1.g5937.t1	A
anno1.g2767.t1	A	anno1.g5938.t1	A
anno1.g2768.t1	A	anno1.g5940.t1	A
anno1.g2769.t1	A	anno1.g5941.t1	A
anno1.g2770.t1	A	anno1.g5899.t1	A
anno1.g2771.t1	A	anno1.g9160.t1	A
anno1.g2772.t1	A	anno1.g2653.t1	A
anno1.g2775.t1	A	anno1.g5796.t1	A
anno1.g2778.t1	A	anno1.g6657.t1	A
anno1.g2779.t1	A	anno1.g6658.t1	A
anno1.g2780.t1	A	anno1.g6656.t1	A
anno1.g2781.t2	A	anno1.g6655.t1	A
anno1.g2782.t2	A	anno1.g6654.t1	A
anno1.g2783.t1	A	anno1.g6653.t1	A
anno1.g2784.t1	A	anno1.g6651.t1	A
anno1.g2785.t1	A	anno1.g5998.t1	A
anno1.g2786.t1	A	anno1.g13961.t1	A
anno1.g2787.t1	A	anno1.g5798.t1	A
anno1.g2790.t2	A	anno1.g6453.t1	A
anno1.g2791.t1	A	anno1.g6649.t1	A
anno1.g2792.t1	A	anno1.g6650.t1	A
anno1.g2794.t1	A	anno1.g6051.t1	A
anno1.g2795.t1	A	anno1.g6052.t1	A
anno1.g2796.t1	A	anno1.g6053.t1	A
anno1.g2804.t1	A	anno1.g6059.t1	A
anno1.g2805.t1	A	anno1.g6060.t1	A
anno1.g2806.t1	A	anno1.g6061.t1	A
anno1.g2808.t3	A	anno1.g6062.t1	A
anno1.g2811.t1	A	anno1.g6064.t2	A
anno1.g2812.t2	A	anno1.g6065.t1	A
anno1.g2814.t1	A	anno1.g6066.t1	A
anno1.g2815.t1	A	anno1.g6071.t3	A
anno1.g2818.t1	A	anno1.g6072.t1	A
anno1.g2821.t1	A	anno1.g6075.t1	A
anno1.g2822.t1	A	anno1.g6076.t1	A
anno1.g2823.t2	A	anno1.g6078.t2	A
anno1.g2824.t1	A	anno1.g6077.t1	A
anno1.g2825.t1	A	anno1.g6079.t2	A
anno1.g2826.t1	A	anno1.g6080.t1	A
anno1.g2827.t1	A	anno1.g6081.t1	A
anno1.g2829.t1	A	anno1.g6082.t1	A
anno1.g2833.t1	A	anno1.g8044.t1	A
anno1.g2842.t1	A	anno1.g7108.t1	A
anno1.g2843.t1	A	anno1.g7109.t1	A
anno1.g2844.t1	A	anno1.g7110.t1	A
anno1.g2845.t1	A	anno1.g7111.t1	A
anno1.g2846.t1	A	anno1.g7112.t1	A
anno1.g2847.t1	A	anno1.g7113.t1	A
anno1.g2848.t1	A	anno1.g7115.t1	A
anno1.g2851.t1	A	anno1.g9992.t1	A
anno1.g2862.t1	A	anno1.g7204.t1	A
anno1.g2866.t1	A	anno1.g1686.t1	X
anno1.g2869.t1	A	anno1.g7134.t1	A
anno1.g2876.t1	A	anno1.g8462.t1	A
anno1.g2882.t2	A	anno1.g6791.t2	A
anno1.g2883.t1	A	anno1.g6792.t2	A
anno1.g2884.t1	A	anno1.g6795.t1	A
anno1.g2885.t1	A	anno1.g6796.t1	A
anno1.g2886.t1	A	anno1.g6798.t1	A
anno1.g2888.t1	A	anno1.g6800.t1	A
anno1.g2889.t1	A	anno1.g6804.t1	A
anno1.g2890.t2	A	anno1.g6805.t1	A
anno1.g2891.t1	A	anno1.g6806.t2	A
anno1.g2892.t1	A	anno1.g6807.t1	A
anno1.g2893.t1	A	anno1.g6808.t1	A
anno1.g2894.t2	A	anno1.g6860.t1	A
anno1.g2895.t1	A	anno1.g6859.t1	A
anno1.g2897.t2	A	anno1.g6858.t3	A
anno1.g2898.t1	A	anno1.g6857.t1	A
anno1.g2899.t1	A	anno1.g6856.t1	A
anno1.g2900.t1	A	anno1.g6855.t1	A
anno1.g2901.t1	A	anno1.g6854.t1	A
anno1.g2902.t1	A	anno1.g6853.t1	A
anno1.g2903.t1	A	anno1.g6852.t2	A
anno1.g2904.t1	A	anno1.g6851.t1	A
anno1.g2905.t1	A	anno1.g6850.t1	A
anno1.g2906.t2	A	anno1.g6849.t2	A
anno1.g2907.t1	A	anno1.g6848.t1	A
anno1.g2908.t1	A	anno1.g6847.t1	A
anno1.g2909.t1	A	anno1.g6846.t1	A
anno1.g2910.t1	A	anno1.g6845.t1	A
anno1.g2911.t1	A	anno1.g6844.t1	A
anno1.g2912.t1	A	anno1.g6842.t2	A
anno1.g2914.t1	A	anno1.g6840.t1	A
anno1.g2915.t4	A	anno1.g6839.t3	A
anno1.g2916.t1	A	anno1.g6838.t1	A
anno1.g2917.t1	A	anno1.g6837.t1	A
anno1.g2918.t1	A	anno1.g6832.t1	A
anno1.g2919.t1	A	anno1.g6831.t1	A
anno1.g2920.t1	A	anno1.g6830.t1	A
anno1.g2921.t2	A	anno1.g6828.t1	A
anno1.g2922.t1	A	anno1.g6829.t2	A
anno1.g2923.t1	A	anno1.g6827.t1	A
anno1.g2924.t1	A	anno1.g6826.t1	A
anno1.g2925.t1	A	anno1.g6825.t1	A
anno1.g2926.t1	A	anno1.g6824.t1	A
anno1.g2928.t3	A	anno1.g6821.t2	A
anno1.g2929.t1	A	anno1.g6820.t1	A
anno1.g2930.t1	A	anno1.g6819.t1	A
anno1.g2931.t1	A	anno1.g380.t1	A
anno1.g2932.t1	A	anno1.g6817.t1	A
anno1.g2936.t1	A	anno1.g6815.t2	A
anno1.g2937.t1	A	anno1.g6814.t1	A
anno1.g2938.t1	A	anno1.g6813.t1	A
anno1.g2940.t1	A	anno1.g6812.t1	A
anno1.g2941.t1	A	anno1.g6811.t1	A
anno1.g2942.t1	A	anno1.g6809.t1	A
anno1.g2944.t1	A	anno1.g6783.t1	A
anno1.g2945.t1	A	anno1.g5140.t1	A
anno1.g2947.t1	A	anno1.g6776.t1	A
anno1.g2948.t1	A	anno1.g6771.t1	A
anno1.g2950.t1	A	anno1.g6772.t1	A
anno1.g2951.t1	A	anno1.g6773.t1	A
anno1.g2953.t1	A	anno1.g6770.t1	A
anno1.g2954.t1	A	anno1.g6768.t4	A
anno1.g2955.t2	A	anno1.g6767.t2	A
anno1.g2956.t1	A	anno1.g1359.t1	A
anno1.g2958.t1	A	anno1.g6765.t1	A
anno1.g2959.t1	A	anno1.g6764.t1	A
anno1.g2960.t1	A	anno1.g6763.t1	A
anno1.g2962.t2	A	anno1.g6755.t1	A
anno1.g2963.t1	A	anno1.g6757.t1	A
anno1.g2964.t1	A	anno1.g6758.t1	A
anno1.g2967.t1	A	anno1.g6753.t1	A
anno1.g2968.t1	A	anno1.g6752.t2	A
anno1.g2969.t1	A	anno1.g6751.t1	A
anno1.g2972.t1	A	anno1.g6750.t1	A
anno1.g2973.t2	A	anno1.g6749.t1	A
anno1.g2975.t1	A	anno1.g6748.t1	A
anno1.g2976.t1	A	anno1.g6745.t1	A
anno1.g2977.t1	A	anno1.g6744.t1	A
anno1.g2978.t1	A	anno1.g6741.t1	A
anno1.g2979.t1	A	anno1.g6740.t1	A
anno1.g2980.t1	A	anno1.g6739.t1	A
anno1.g2981.t2	A	anno1.g6737.t3	A
anno1.g2982.t1	A	anno1.g6736.t1	A
anno1.g2983.t1	A	anno1.g6735.t1	A
anno1.g2984.t1	A	anno1.g6733.t1	A
anno1.g2985.t1	A	anno1.g6732.t1	A
anno1.g2991.t1	A	anno1.g6730.t1	A
anno1.g2995.t1	A	anno1.g6725.t2	A
anno1.g2996.t1	A	anno1.g6724.t1	A
anno1.g2997.t1	A	anno1.g6723.t1	A
anno1.g2998.t2	A	anno1.g6722.t1	A
anno1.g3004.t1	A	anno1.g5816.t1	A
anno1.both_agree_g6056.t1	A	anno1.g6713.t1	A
anno1.g3011.t1	A	anno1.g6712.t2	A
anno1.g3012.t1	A	anno1.g6711.t1	A
anno1.g3013.t1	A	anno1.g6710.t3	A
anno1.g3014.t1	A	anno1.g6709.t1	A
anno1.g3015.t1	A	anno1.g6708.t2	A
anno1.g3017.t1	A	anno1.g6707.t1	A
anno1.g3020.t1	A	anno1.g6705.t2	A
anno1.g3021.t1	A	anno1.g6704.t1	A
anno1.g3022.t1	A	anno1.g6703.t1	A
anno1.g3023.t1	A	anno1.g6702.t1	A
anno1.g3024.t2	A	anno1.g6701.t2	A
anno1.g3025.t1	A	anno1.g6699.t2	A
anno1.g3026.t1	A	anno1.g6700.t1	A
anno1.g3027.t1	A	anno1.g6698.t1	A
anno1.g3028.t3	A	anno1.g6697.t2	A
anno1.g3030.t1	A	anno1.g6695.t1	A
anno1.g3031.t1	A	anno1.g6694.t1	A
anno1.g3032.t1	A	anno1.g6693.t1	A
anno1.g3033.t1	A	anno1.g6691.t3	A
anno1.g3034.t1	A	anno1.g6690.t1	A
anno1.g3035.t1	A	anno1.g6689.t1	A
anno1.g3037.t1	A	anno1.g6688.t1	A
anno1.g3038.t1	A	anno1.g6687.t1	A
anno1.g3039.t2	A	anno1.g6685.t1	A
anno1.g3040.t1	A	anno1.g6684.t2	A
anno1.g3041.t1	A	anno1.g6682.t2	A
anno1.g3043.t1	A	anno1.g6677.t1	A
anno1.g3044.t1	A	anno1.g6676.t1	A
anno1.g3045.t1	A	anno1.g6674.t1	A
anno1.g3055.t1	A	anno1.g6669.t1	A
anno1.g3058.t1	A	anno1.g6665.t1	A
anno1.g3059.t1	A	anno1.g6664.t1	A
anno1.g3060.t1	A	anno1.g2766.t1	A
anno1.g3061.t1	A	anno1.g6662.t1	A
anno1.g3062.t1	A	anno1.g6661.t1	A
anno1.g3063.t1	A	anno1.g6659.t1	A
anno1.g3064.t1	A	anno1.g6050.t1	A
anno1.g3065.t1	A	anno1.g6048.t1	A
anno1.g3066.t1	A	anno1.g6047.t1	A
anno1.g3067.t1	A	anno1.g6046.t1	A
anno1.g3068.t1	A	anno1.g6045.t1	A
anno1.g3069.t1	A	anno1.g6044.t1	A
anno1.g3070.t1	A	anno1.g6043.t1	A
anno1.g3071.t1	A	anno1.g6042.t1	A
anno1.g3072.t1	A	anno1.g6041.t1	A
anno1.g3073.t1	A	anno1.g6040.t1	A
anno1.g3074.t1	A	anno1.g6039.t2	A
anno1.g3077.t1	A	anno1.g6033.t1	A
anno1.g3079.t2	A	anno1.g6032.t1	A
anno1.g3080.t1	A	anno1.g6031.t2	A
anno1.g3082.t1	A	anno1.g7027.t1	A
anno1.g3083.t1	A	anno1.g7026.t1	A
anno1.g3084.t1	A	anno1.g7025.t1	A
anno1.g3085.t1	A	anno1.g7024.t2	A
anno1.g3086.t1	A	anno1.g7023.t1	A
anno1.g3087.t1	A	anno1.g7020.t1	A
anno1.g3089.t1	A	anno1.g7018.t1	A
anno1.g3090.t1	A	anno1.g7017.t1	A
anno1.g3091.t1	A	anno1.g7016.t1	A
anno1.g3092.t1	A	anno1.g7013.t1	A
anno1.g3093.t1	A	anno1.g7012.t1	A
anno1.g3095.t1	A	anno1.g7003.t2	A
anno1.g3096.t1	A	anno1.g7001.t1	A
anno1.g3098.t1	A	anno1.g7000.t1	A
anno1.g3099.t1	A	anno1.g6999.t1	A
anno1.g3106.t1	A	anno1.g6997.t1	A
anno1.g3108.t1	A	anno1.g6994.t1	A
anno1.g3110.t1	A	anno1.g14320.t1	A
anno1.g3111.t1	A	anno1.g6988.t1	A
anno1.g3112.t1	A	anno1.g6986.t1	A
anno1.g3115.t1	A	anno1.g6023.t1	A
anno1.g3118.t1	A	anno1.g6025.t1	A
anno1.g3120.t1	A	anno1.g6027.t1	A
anno1.g3123.t1	A	anno1.g6028.t1	A
anno1.g3124.t1	A	anno1.g6029.t1	A
anno1.g3125.t1	A	anno1.g6030.t1	A
anno1.g3126.t1	A	anno1.g7029.t1	A
anno1.g3127.t1	A	anno1.g7030.t1	A
anno1.g3128.t1	A	anno1.g7031.t1	A
anno1.g3129.t1	A	anno1.g6323.t1	A
anno1.g3130.t1	A	anno1.g7032.t1	A
anno1.g3131.t1	A	anno1.g7034.t1	A
anno1.g3132.t1	A	anno1.g7035.t1	A
anno1.g3135.t1	A	anno1.g7036.t1	A
anno1.g3136.t2	A	anno1.g7039.t2	A
anno1.g3137.t1	A	anno1.g7040.t1	A
anno1.g3138.t1	A	anno1.g7042.t1	A
anno1.g3139.t1	A	anno1.g7043.t1	A
anno1.g3140.t1	A	anno1.g7044.t1	A
anno1.g3141.t1	A	anno1.g7045.t1	A
anno1.g3142.t2	A	anno1.g7047.t2	A
anno1.g3143.t2	A	anno1.g7048.t1	A
anno1.g3144.t1	A	anno1.g7049.t1	A
anno1.g3145.t2	A	anno1.g7051.t1	A
anno1.g3146.t1	A	anno1.g7068.t1	A
anno1.g3147.t1	A	anno1.g7070.t2	A
anno1.g3150.t1	A	anno1.g7163.t1	A
anno1.g3151.t1	A	anno1.g7162.t1	A
anno1.g3152.t1	A	anno1.g7161.t1	A
anno1.g3153.t1	A	anno1.g10148.t1	A
anno1.g3157.t1	A	anno1.g7160.t2	A
anno1.g3158.t1	A	anno1.g7157.t1	A
anno1.g3160.t1	A	anno1.g7138.t1	A
anno1.g3161.t1	A	anno1.g7071.t2	A
anno1.g3162.t1	A	anno1.g7139.t1	A
anno1.g3165.t1	A	anno1.g7141.t1	A
anno1.g3166.t1	A	anno1.g7142.t1	A
anno1.g3167.t1	A	anno1.g7143.t1	A
anno1.g3169.t1	A	anno1.g7144.t2	A
anno1.g3170.t4	A	anno1.g7145.t3	A
anno1.g3171.t2	A	anno1.g7146.t1	A
anno1.g3172.t2	A	anno1.g7147.t2	A
anno1.g3173.t1	A	anno1.g14750.t1	A
anno1.g3174.t1	A	anno1.g6106.t1	A
anno1.g3175.t1	A	anno1.g6107.t1	A
anno1.g3176.t1	A	anno1.g6108.t1	A
anno1.g3177.t1	A	anno1.g7210.t1	A
anno1.g3178.t1	A	anno1.g7209.t1	A
anno1.g3179.t1	A	anno1.g7208.t1	A
anno1.g3183.t3	A	anno1.g7198.t1	A
anno1.g3184.t1	A	anno1.g7197.t2	A
anno1.g3185.t1	A	anno1.g7196.t1	A
anno1.g3186.t1	A	anno1.g7194.t1	A
anno1.g3188.t1	A	anno1.g7192.t1	A
anno1.g3189.t1	A	anno1.g7191.t1	A
anno1.g3190.t2	A	anno1.g7190.t2	A
anno1.g3191.t1	A	anno1.g7189.t2	A
anno1.g3192.t1	A	anno1.g7188.t1	A
anno1.g3194.t1	A	anno1.g11072.t1	A
anno1.g3195.t1	A	anno1.g7183.t1	A
anno1.g3196.t1	A	anno1.g7181.t2	A
anno1.g3197.t1	A	anno1.g7180.t1	A
anno1.g3199.t1	A	anno1.g7179.t1	A
anno1.g3200.t1	A	anno1.g7178.t1	A
anno1.g3201.t1	A	anno1.g7177.t1	A
anno1.g3202.t1	A	anno1.g7176.t1	A
anno1.g3203.t1	A	anno1.g7261.t2	A
anno1.g3205.t1	A	anno1.g7262.t1	A
anno1.g3206.t1	A	anno1.g7263.t1	A
anno1.g3208.t1	A	anno1.g7264.t2	A
anno1.g3209.t1	A	anno1.g7265.t1	A
anno1.g3213.t1	A	anno1.g7273.t2	A
anno1.g3214.t1	A	anno1.g7266.t1	A
anno1.g3215.t1	A	anno1.g7267.t1	A
anno1.g3217.t2	A	anno1.g7268.t2	A
anno1.g3218.t1	A	anno1.g7270.t1	A
anno1.g3220.t1	A	anno1.g7271.t1	A
anno1.g3221.t1	A	anno1.g14326.t1	A
anno1.g3222.t1	A	anno1.g7171.t1	A
anno1.g3223.t1	A	anno1.g14327.t1	A
anno1.g3224.t1	A	anno1.g7168.t1	A
anno1.g3225.t1	A	anno1.g7167.t1	A
anno1.g3226.t1	A	anno1.g7074.t1	A
anno1.g3227.t1	A	anno1.g7075.t1	A
anno1.g3228.t1	A	anno1.g7058.t1	A
anno1.g3229.t1	A	anno1.g7077.t2	A
anno1.g3230.t1	A	anno1.g7078.t1	A
anno1.g3232.t1	A	anno1.g7080.t1	A
anno1.g3233.t1	A	anno1.g7082.t1	A
anno1.g3234.t1	A	anno1.g7063.t1	A
anno1.g3235.t1	A	anno1.g7064.t1	A
anno1.g3236.t1	A	anno1.g7065.t1	A
anno1.g3238.t1	A	anno1.g7067.t1	A
anno1.g3241.t1	A	anno1.g7090.t2	A
anno1.g3245.t1	A	anno1.g7092.t1	A
anno1.g3247.t1	A	anno1.g7097.t1	A
