A_obtectus	chromosome	B_siliquastri	chromosome
anno1.g3737.t1	A	BRAKERILHT00000003840	A
anno1.g3742.t1	A	BRAKERILHT00000011836	A
anno1.g3743.t1	A	BRAKERILHT00000003285	A
anno1.g3744.t1	A	BRAKERILHT00000003788	A
anno1.g3747.t2	A	BRAKERILHT00000003988	A
anno1.g3748.t1	A	BRAKERILHT00000002187	A
anno1.g3749.t2	A	BRAKERILHT00000003451	A
anno1.g3750.t1	A	BRAKERILHT00000003632	A
anno1.g3752.t3	A	BRAKERILHT00000004216	A
anno1.g3753.t1	A	BRAKERILHT00000003137	A
anno1.g3756.t2	A	BRAKERILHT00000003480	A
anno1.g3764.t1	A	BRAKERILHT00000003102	A
anno1.g3765.t1	A	BRAKERILHT00000017897	X
anno1.g3766.t1	A	BRAKERILHT00000003842	A
anno1.g3767.t1	A	BRAKERILHT00000003534	A
anno1.g3774.t1	A	BRAKERILHT00000004123	A
anno1.g3778.t1	A	BRAKERILHT00000002654	A
anno1.g3779.t2	A	BRAKERILHT00000004061	A
anno1.g3786.t1	A	BRAKERILHT00000002591	A
anno1.g3787.t1	A	BRAKERILHT00000004041	A
anno1.g3788.t1	A	BRAKERILHT00000002527	A
anno1.g3789.t1	A	BRAKERILHT00000002787	A
anno1.g3790.t1	A	BRAKERILHT00000003401	A
anno1.g3791.t1	A	BRAKERILHT00000002209	A
anno1.g3793.t1	A	BRAKERILHT00000002845	A
anno1.g3795.t1	A	BRAKERILHT00000003164	A
anno1.g3796.t1	A	BRAKERILHT00000003409	A
anno1.g3797.t1	A	BRAKERILHT00000002422	A
anno1.g3798.t1	A	BRAKERILHT00000003283	A
anno1.g3799.t1	A	BRAKERILHT00000002721	A
anno1.g3801.t1	A	BRAKERILHT00000003226	A
anno1.g3803.t1	A	BRAKERILHT00000003705	A
anno1.g3804.t1	A	BRAKERILHT00000004248	A
anno1.g3805.t1	A	BRAKERILHT00000004077	A
anno1.g3806.t1	A	BRAKERILHT00000004396	A
anno1.g3807.t1	A	BRAKERILHT00000003089	A
anno1.g3808.t1	A	BRAKERILHT00000003991	A
anno1.g3809.t1	A	BRAKERILHT00000003455	A
anno1.g3810.t1	A	BRAKERILHT00000002671	A
anno1.g3811.t1	A	BRAKERILHT00000004307	A
anno1.g3812.t1	A	BRAKERILHT00000002310	A
anno1.g3813.t1	A	BRAKERILHT00000003563	A
anno1.g3814.t1	A	BRAKERILHT00000004062	A
anno1.g3815.t1	A	BRAKERILHT00000004353	A
anno1.g3816.t1	A	BRAKERILHT00000002574	A
anno1.g3817.t1	A	BRAKERILHT00000003146	A
anno1.g3819.t1	A	BRAKERILHT00000002351	A
anno1.g3821.t1	A	BRAKERILHT00000004119	A
anno1.g3823.t1	A	BRAKERILHT00000003307	A
anno1.g3824.t1	A	BRAKERILHT00000002507	A
anno1.g3825.t1	A	BRAKERILHT00000004296	A
anno1.g3826.t3	A	BRAKERILHT00000004277	A
anno1.g3827.t1	A	BRAKERILHT00000003493	A
anno1.g3828.t1	A	BRAKERILHT00000002970	A
anno1.g3829.t1	A	BRAKERILHT00000002181	A
anno1.g3830.t1	A	BRAKERILHT00000003958	A
anno1.g3831.t1	A	BRAKERILHT00000003633	A
anno1.g3832.t1	A	BRAKERILHT00000003477	A
anno1.g3833.t1	A	BRAKERILHT00000002505	A
anno1.g3836.t1	A	BRAKERILHT00000002347	A
anno1.g3837.t1	A	BRAKERILHT00000003313	A
anno1.g3839.t1	A	BRAKERILHT00000002979	A
anno1.g3842.t2	A	BRAKERILHT00000004273	A
anno1.g3843.t1	A	BRAKERILHT00000007853	A
anno1.g3845.t1	A	BRAKERILHT00000003815	A
anno1.g3846.t1	A	BRAKERILHT00000003309	A
anno1.g3848.t1	A	BRAKERILHT00000003927	A
anno1.g3849.t2	A	BRAKERILHT00000002432	A
anno1.g3850.t1	A	BRAKERILHT00000002445	A
anno1.g3852.t1	A	BRAKERILHT00000003680	A
anno1.g3853.t1	A	BRAKERILHT00000002694	A
anno1.g3854.t1	A	BRAKERILHT00000004191	A
anno1.g3856.t2	A	BRAKERILHT00000002683	A
anno1.g3857.t1	A	BRAKERILHT00000003196	A
anno1.g3858.t1	A	BRAKERILHT00000003434	A
anno1.g3859.t2	A	BRAKERILHT00000003326	A
anno1.g3860.t1	A	BRAKERILHT00000002337	A
anno1.g3861.t1	A	BRAKERILHT00000003622	A
anno1.g3862.t2	A	BRAKERILHT00000002670	A
anno1.g3863.t2	A	BRAKERILHT00000002667	A
anno1.g3864.t1	A	BRAKERILHT00000003973	A
anno1.g3867.t1	A	BRAKERILHT00000003345	A
anno1.g3868.t1	A	BRAKERILHT00000002992	A
anno1.g3869.t1	A	BRAKERILHT00000003749	A
anno1.g3870.t1	A	BRAKERILHT00000004267	A
anno1.g3871.t1	A	BRAKERILHT00000002460	A
anno1.g3873.t2	A	BRAKERILHT00000003914	A
anno1.g3875.t1	A	BRAKERILHT00000003348	A
anno1.g3876.t1	A	BRAKERILHT00000002914	A
anno1.g3877.t1	A	BRAKERILHT00000002406	A
anno1.g3878.t1	A	BRAKERILHT00000003042	A
anno1.g3879.t1	A	BRAKERILHT00000004169	A
anno1.g3880.t1	A	BRAKERILHT00000003702	A
anno1.g3881.t1	A	BRAKERILHT00000003222	A
anno1.g3882.t1	A	BRAKERILHT00000003338	A
anno1.g3883.t1	A	BRAKERILHT00000002723	A
anno1.g3884.t1	A	BRAKERILHT00000003216	A
anno1.g3885.t1	A	BRAKERILHT00000003726	A
anno1.g3886.t2	A	BRAKERILHT00000002361	A
anno1.g3887.t1	A	BRAKERILHT00000002862	A
anno1.g3888.t1	A	BRAKERILHT00000003383	A
anno1.g3889.t1	A	BRAKERILHT00000004019	A
anno1.g3890.t1	A	BRAKERILHT00000003916	A
anno1.g3891.t1	A	BRAKERILHT00000002393	A
anno1.g3892.t1	A	BRAKERILHT00000003694	A
anno1.g3893.t1	A	BRAKERILHT00000003665	A
anno1.g3896.t1	A	BRAKERILHT00000006917	A
anno1.g3900.t1	A	BRAKERILHT00000002793	A
anno1.g3903.t1	A	BRAKERILHT00000018083	Y
anno1.g3904.t1	A	BRAKERILHT00000002934	A
anno1.g3905.t1	A	BRAKERILHT00000004432	A
anno1.g3906.t1	A	BRAKERILHT00000003177	A
anno1.g3911.t1	A	BRAKERILHT00000002583	A
anno1.g3912.t1	A	BRAKERILHT00000003572	A
anno1.g3913.t1	A	BRAKERILHT00000002490	A
anno1.g3914.t1	A	BRAKERILHT00000003229	A
anno1.g3916.t4	A	BRAKERILHT00000004433	A
anno1.g3917.t1	A	BRAKERILHT00000002512	A
anno1.g3918.t1	A	BRAKERILHT00000002766	A
anno1.g3919.t1	A	BRAKERILHT00000003400	A
anno1.g3920.t1	A	BRAKERILHT00000004382	A
anno1.g3921.t1	A	BRAKERILHT00000002213	A
anno1.g3922.t1	A	BRAKERILHT00000003209	A
anno1.g3924.t1	A	BRAKERILHT00000002376	A
anno1.g3925.t2	A	BRAKERILHT00000002835	A
anno1.g3926.t1	A	BRAKERILHT00000003297	A
anno1.g3932.t1	A	BRAKERILHT00000003786	A
anno1.g3933.t1	A	BRAKERILHT00000004281	A
anno1.g3934.t1	A	BRAKERILHT00000002508	A
anno1.g3935.t1	A	BRAKERILHT00000003176	A
anno1.g3936.t1	A	BRAKERILHT00000004429	A
anno1.g3937.t1	A	BRAKERILHT00000003770	A
anno1.g3939.t1	A	BRAKERILHT00000003245	A
anno1.g3940.t1	A	BRAKERILHT00000002557	A
anno1.g3944.t1	A	BRAKERILHT00000002441	A
anno1.g3945.t1	A	BRAKERILHT00000002368	A
anno1.g3947.t3	A	BRAKERILHT00000004106	A
anno1.g3949.t1	A	BRAKERILHT00000003153	A
anno1.g3952.t2	A	BRAKERILHT00000002836	A
anno1.g3954.t2	A	BRAKERILHT00000002476	A
anno1.g3953.t3	A	BRAKERILHT00000002303	A
anno1.g3955.t1	A	BRAKERILHT00000003592	A
anno1.g3957.t1	A	BRAKERILHT00000004346	A
anno1.g3958.t1	A	BRAKERILHT00000002224	A
anno1.g3959.t1	A	BRAKERILHT00000002872	A
anno1.g3960.t1	A	BRAKERILHT00000003500	A
anno1.g3961.t1	A	BRAKERILHT00000003527	A
anno1.g3962.t1	A	BRAKERILHT00000002418	A
anno1.g3963.t1	A	BRAKERILHT00000003233	A
anno1.g3964.t2	A	BRAKERILHT00000003429	A
anno1.g3965.t1	A	BRAKERILHT00000004312	A
anno1.g3966.t1	A	BRAKERILHT00000002520	A
anno1.g3967.t2	A	BRAKERILHT00000003132	A
anno1.g3968.t1	A	BRAKERILHT00000002498	A
anno1.g3969.t1	A	BRAKERILHT00000003497	A
anno1.g3971.t1	A	BRAKERILHT00000002795	A
anno1.g3973.t1	A	BRAKERILHT00000003569	A
anno1.g3974.t1	A	BRAKERILHT00000003057	A
anno1.g3975.t1	A	BRAKERILHT00000002569	A
anno1.g3976.t1	A	BRAKERILHT00000003766	A
anno1.g3977.t1	A	BRAKERILHT00000003557	A
anno1.g3978.t1	A	BRAKERILHT00000002817	A
anno1.g3979.t1	A	BRAKERILHT00000004102	A
anno1.g3980.t1	A	BRAKERILHT00000006362	A
anno1.g3981.t1	A	BRAKERILHT00000004152	A
anno1.g3982.t1	A	BRAKERILHT00000002489	A
anno1.g3983.t1	A	BRAKERILHT00000002940	A
anno1.g3984.t2	A	BRAKERILHT00000003439	A
anno1.g3985.t1	A	BRAKERILHT00000003800	A
anno1.g3986.t1	A	BRAKERILHT00000002216	A
anno1.g3987.t1	A	BRAKERILHT00000004335	A
anno1.g3988.t1	A	BRAKERILHT00000002622	A
anno1.g3990.t1	A	BRAKERILHT00000002653	A
anno1.g3991.t3	A	BRAKERILHT00000002220	A
anno1.g3992.t1	A	BRAKERILHT00000002452	A
anno1.g3993.t1	A	BRAKERILHT00000003586	A
anno1.g3994.t1	A	BRAKERILHT00000002183	A
anno1.g3995.t1	A	BRAKERILHT00000002957	A
anno1.g3996.t1	A	BRAKERILHT00000003780	A
anno1.g3997.t1	A	BRAKERILHT00000002231	A
anno1.g3998.t1	A	BRAKERILHT00000004416	A
anno1.g3999.t1	A	BRAKERILHT00000003510	A
anno1.g4000.t1	A	BRAKERILHT00000003995	A
anno1.g4001.t1	A	BRAKERILHT00000003470	A
anno1.g4002.t3	A	BRAKERILHT00000003645	A
anno1.g4004.t1	A	BRAKERILHT00000010973	A
anno1.g4006.t1	A	BRAKERILHT00000003810	A
anno1.g4007.t1	A	BRAKERILHT00000004377	A
anno1.g4008.t1	A	BRAKERILHT00000004158	A
anno1.g4011.t1	A	BRAKERILHT00000003150	A
anno1.g4013.t1	A	BRAKERILHT00000003901	A
anno1.g4014.t1	A	BRAKERILHT00000003339	A
anno1.g4016.t1	A	BRAKERILHT00000002853	A
anno1.g4017.t3	A	BRAKERILHT00000002315	A
anno1.g4018.t1	A	BRAKERILHT00000002475	A
anno1.g4020.t1	A	BRAKERILHT00000003612	A
anno1.g4021.t1	A	BRAKERILHT00000002737	A
anno1.g4022.t1	A	BRAKERILHT00000003883	A
anno1.g4025.t1	A	BRAKERILHT00000002878	A
anno1.g4026.t1	A	BRAKERILHT00000003392	A
anno1.g4029.t1	A	BRAKERILHT00000003755	A
anno1.g4033.t1	A	BRAKERILHT00000003009	A
anno1.g4034.t1	A	BRAKERILHT00000004166	A
anno1.g4036.t1	A	BRAKERILHT00000004051	A
anno1.g4037.t1	A	BRAKERILHT00000003496	A
anno1.g4042.t1	A	BRAKERILHT00000003535	A
anno1.g4043.t1	A	BRAKERILHT00000002774	A
anno1.g4044.t4	A	BRAKERILHT00000002350	A
anno1.g4046.t1	A	BRAKERILHT00000004110	A
anno1.g4048.t1	A	BRAKERILHT00000002664	A
anno1.g4049.t1	A	BRAKERILHT00000004318	A
anno1.g4055.t1	A	BRAKERILHT00000004238	A
anno1.g4058.t1	A	BRAKERILHT00000007051	A
anno1.g4060.t1	A	BRAKERILHT00000007024	A
anno1.g4061.t1	A	BRAKERILHT00000006991	A
anno1.g4062.t1	A	BRAKERILHT00000007375	A
anno1.g4063.t1	A	BRAKERILHT00000008297	A
anno1.g4064.t2	A	BRAKERILHT00000008065	A
anno1.g4066.t1	A	BRAKERILHT00000008328	A
anno1.g4067.t1	A	BRAKERILHT00000006542	A
anno1.g4068.t1	A	BRAKERILHT00000007718	A
anno1.g4070.t1	A	BRAKERILHT00000006854	A
anno1.g4074.t1	A	BRAKERILHT00000008099	A
anno1.g4077.t1	A	BRAKERILHT00000008390	A
anno1.g4078.t1	A	BRAKERILHT00000008456	A
anno1.g4079.t1	A	BRAKERILHT00000007895	A
anno1.g4080.t2	A	BRAKERILHT00000007219	A
anno1.g4081.t1	A	BRAKERILHT00000006767	A
anno1.g4082.t1	A	BRAKERILHT00000006811	A
anno1.g4083.t1	A	BRAKERILHT00000007340	A
anno1.g4084.t1	A	BRAKERILHT00000008145	A
anno1.g4086.t1	A	BRAKERILHT00000007800	A
anno1.g4087.t1	A	BRAKERILHT00000006638	A
anno1.g4088.t1	A	BRAKERILHT00000008100	A
anno1.g4089.t1	A	BRAKERILHT00000007540	A
anno1.g4090.t2	A	BRAKERILHT00000007127	A
anno1.g4092.t1	A	BRAKERILHT00000006742	A
anno1.g4093.t1	A	BRAKERILHT00000007237	A
anno1.g4094.t1	A	BRAKERILHT00000007750	A
anno1.g4095.t1	A	BRAKERILHT00000007288	A
anno1.g4096.t1	A	BRAKERILHT00000006575	A
anno1.g4097.t1	A	BRAKERILHT00000007444	A
anno1.g4098.t1	A	BRAKERILHT00000006776	A
anno1.g4100.t2	A	BRAKERILHT00000007182	A
anno1.g4101.t1	A	BRAKERILHT00000008221	A
anno1.g4102.t1	A	BRAKERILHT00000007602	A
anno1.g4103.t1	A	BRAKERILHT00000008160	A
anno1.g4104.t1	A	BRAKERILHT00000006908	A
anno1.g4105.t1	A	BRAKERILHT00000007967	A
anno1.g4106.t1	A	BRAKERILHT00000008422	A
anno1.g4107.t1	A	BRAKERILHT00000007203	A
anno1.g4108.t6	A	BRAKERILHT00000006662	A
anno1.g4109.t1	A	BRAKERILHT00000006666	A
anno1.g4110.t1	A	BRAKERILHT00000008094	A
anno1.g4111.t1	A	BRAKERILHT00000007520	A
anno1.g4112.t1	A	BRAKERILHT00000007432	A
anno1.g4113.t1	A	BRAKERILHT00000006860	A
anno1.g4114.t1	A	BRAKERILHT00000007850	A
anno1.g4115.t1	A	BRAKERILHT00000008311	A
anno1.g4116.t1	A	BRAKERILHT00000008212	A
anno1.g4117.t2	A	BRAKERILHT00000008344	A
anno1.g4118.t1	A	BRAKERILHT00000007138	A
anno1.g4119.t1	A	BRAKERILHT00000008404	A
anno1.g4120.t1	A	BRAKERILHT00000007094	A
anno1.g4121.t1	A	BRAKERILHT00000008098	A
anno1.g4122.t1	A	BRAKERILHT00000008224	A
anno1.g4123.t1	A	BRAKERILHT00000007684	A
anno1.g4124.t1	A	BRAKERILHT00000007812	A
anno1.g4125.t1	A	BRAKERILHT00000007216	A
anno1.g4126.t2	A	BRAKERILHT00000006722	A
anno1.g4127.t1	A	BRAKERILHT00000007543	A
anno1.g4128.t1	A	BRAKERILHT00000006907	A
anno1.g4129.t1	A	BRAKERILHT00000007891	A
anno1.g4130.t1	A	BRAKERILHT00000006967	A
anno1.g4131.t1	A	BRAKERILHT00000008415	A
anno1.g4132.t1	A	BRAKERILHT00000007876	A
anno1.g4134.t1	A	BRAKERILHT00000007531	A
anno1.g4135.t1	A	BRAKERILHT00000007463	A
anno1.g4136.t3	A	BRAKERILHT00000006760	A
anno1.g4137.t1	A	BRAKERILHT00000008348	A
anno1.g4138.t1	A	BRAKERILHT00000007714	A
anno1.g4139.t1	A	BRAKERILHT00000007605	A
anno1.g4140.t1	A	BRAKERILHT00000008021	A
anno1.g4141.t1	A	BRAKERILHT00000007496	A
anno1.g4142.t1	A	BRAKERILHT00000008083	A
anno1.g4143.t1	A	BRAKERILHT00000008151	A
anno1.g4146.t1	A	BRAKERILHT00000008011	A
anno1.g4147.t2	A	BRAKERILHT00000007933	A
anno1.g4148.t1	A	BRAKERILHT00000008388	A
anno1.g4149.t1	A	BRAKERILHT00000008337	A
anno1.g4151.t2	A	BRAKERILHT00000007013	A
anno1.g4152.t1	A	BRAKERILHT00000007720	A
anno1.g4153.t1	A	BRAKERILHT00000008174	A
anno1.g4154.t1	A	BRAKERILHT00000006582	A
anno1.g4155.t4	A	BRAKERILHT00000006753	A
anno1.g4156.t1	A	BRAKERILHT00000008455	A
anno1.g4157.t1	A	BRAKERILHT00000007780	A
anno1.g4158.t2	A	BRAKERILHT00000006770	A
anno1.g4159.t1	A	BRAKERILHT00000007628	A
anno1.g4161.t1	A	BRAKERILHT00000006512	A
anno1.g4162.t1	A	BRAKERILHT00000007042	A
anno1.g4164.t1	A	BRAKERILHT00000008181	A
anno1.g4165.t1	A	BRAKERILHT00000007064	A
anno1.g4166.t2	A	BRAKERILHT00000006997	A
anno1.g4167.t1	A	BRAKERILHT00000006945	A
anno1.g4168.t1	A	BRAKERILHT00000007713	A
anno1.g4169.t1	A	BRAKERILHT00000007122	A
anno1.g4171.t1	A	BRAKERILHT00000006601	A
anno1.g4172.t2	A	BRAKERILHT00000008029	A
anno1.g4173.t1	A	BRAKERILHT00000007991	A
anno1.g4174.t1	A	BRAKERILHT00000007947	A
anno1.g4176.t2	A	BRAKERILHT00000007373	A
anno1.g4177.t2	A	BRAKERILHT00000007694	A
anno1.g4178.t1	A	BRAKERILHT00000007380	A
anno1.g4179.t1	A	BRAKERILHT00000007206	A
anno1.g4182.t1	A	BRAKERILHT00000007833	A
anno1.g4183.t1	A	BRAKERILHT00000006524	A
anno1.g4184.t1	A	BRAKERILHT00000006990	A
anno1.g4185.t2	A	BRAKERILHT00000006841	A
anno1.g4186.t1	A	BRAKERILHT00000007738	A
anno1.g4187.t1	A	BRAKERILHT00000008166	A
anno1.g4188.t1	A	BRAKERILHT00000006831	A
anno1.g4190.t2	A	BRAKERILHT00000007524	A
anno1.g4191.t1	A	BRAKERILHT00000007063	A
anno1.g4189.t2	A	BRAKERILHT00000008336	A
anno1.g4192.t2	A	BRAKERILHT00000007856	A
anno1.g4193.t1	A	BRAKERILHT00000007119	A
anno1.g4194.t1	A	BRAKERILHT00000008077	A
anno1.g4197.t1	A	BRAKERILHT00000006502	A
anno1.g4199.t1	A	BRAKERILHT00000006621	A
anno1.g4200.t1	A	BRAKERILHT00000007151	A
anno1.g4201.t1	A	BRAKERILHT00000006851	A
anno1.g4202.t1	A	BRAKERILHT00000008107	A
anno1.g4203.t1	A	BRAKERILHT00000011195	A
anno1.g4205.t1	A	BRAKERILHT00000007706	A
anno1.g4206.t1	A	BRAKERILHT00000007816	A
anno1.g4207.t1	A	BRAKERILHT00000006622	A
anno1.g4208.t1	A	BRAKERILHT00000007175	A
anno1.g4209.t1	A	BRAKERILHT00000006626	A
anno1.g4210.t1	A	BRAKERILHT00000008007	A
anno1.g4211.t2	A	BRAKERILHT00000007722	A
anno1.g4212.t1	A	BRAKERILHT00000007130	A
anno1.g4213.t1	A	BRAKERILHT00000006728	A
anno1.g4214.t2	A	BRAKERILHT00000008179	A
anno1.g4215.t1	A	BRAKERILHT00000007406	A
anno1.g4216.t1	A	BRAKERILHT00000006897	A
anno1.g4217.t1	A	BRAKERILHT00000006636	A
anno1.g4218.t1	A	BRAKERILHT00000008069	A
anno1.g4219.t1	A	BRAKERILHT00000007478	A
anno1.g4220.t1	A	BRAKERILHT00000007482	A
anno1.g4221.t1	A	BRAKERILHT00000008357	A
anno1.g4222.t1	A	BRAKERILHT00000006893	A
anno1.g4223.t1	A	BRAKERILHT00000007763	A
anno1.g4224.t1	A	BRAKERILHT00000008353	A
anno1.g4225.t1	A	BRAKERILHT00000006719	A
anno1.g4226.t1	A	BRAKERILHT00000008193	A
anno1.g4227.t1	A	BRAKERILHT00000007898	A
anno1.g4228.t1	A	BRAKERILHT00000007087	A
anno1.g4229.t1	A	BRAKERILHT00000007449	A
anno1.g4230.t1	A	BRAKERILHT00000007746	A
anno1.g4231.t1	A	BRAKERILHT00000007207	A
anno1.g4233.t3	A	BRAKERILHT00000007785	A
anno1.g4234.t1	A	BRAKERILHT00000008399	A
anno1.g4235.t2	A	BRAKERILHT00000006916	A
anno1.g4236.t1	A	BRAKERILHT00000007005	A
anno1.g4237.t2	A	BRAKERILHT00000007737	A
anno1.g4238.t1	A	BRAKERILHT00000007426	A
anno1.g4239.t1	A	BRAKERILHT00000008097	A
anno1.g4240.t1	A	BRAKERILHT00000006664	A
anno1.g4241.t1	A	BRAKERILHT00000007606	A
anno1.g4242.t1	A	BRAKERILHT00000007530	A
anno1.g4243.t2	A	BRAKERILHT00000007034	A
anno1.g4244.t1	A	BRAKERILHT00000007342	A
anno1.g4245.t1	A	BRAKERILHT00000006925	A
anno1.g4246.t1	A	BRAKERILHT00000007522	A
anno1.g4247.t1	A	BRAKERILHT00000008093	A
anno1.g4249.t1	A	BRAKERILHT00000008034	A
anno1.g4250.t1	A	BRAKERILHT00000006923	A
anno1.g4251.t1	A	BRAKERILHT00000007384	A
anno1.g4253.t1	A	BRAKERILHT00000007875	A
anno1.g4254.t1	A	BRAKERILHT00000008191	A
anno1.g4256.t1	A	BRAKERILHT00000007002	A
anno1.g4261.t1	A	BRAKERILHT00000007788	A
anno1.g4262.t2	A	BRAKERILHT00000008001	A
anno1.g4263.t1	A	BRAKERILHT00000006941	A
anno1.g4267.t1	A	BRAKERILHT00000007124	A
anno1.g4268.t2	A	BRAKERILHT00000007597	A
anno1.g4269.t1	A	BRAKERILHT00000007651	A
anno1.g4270.t1	A	BRAKERILHT00000007912	A
anno1.g4271.t1	A	BRAKERILHT00000007224	A
anno1.g4272.t1	A	BRAKERILHT00000007938	A
anno1.g4273.t2	A	BRAKERILHT00000006655	A
anno1.g4274.t1	A	BRAKERILHT00000006594	A
anno1.g4275.t1	A	BRAKERILHT00000007866	A
anno1.g4276.t1	A	BRAKERILHT00000007423	A
anno1.g4277.t1	A	BRAKERILHT00000008132	A
anno1.g4278.t1	A	BRAKERILHT00000007287	A
anno1.g4279.t1	A	BRAKERILHT00000006552	A
anno1.g4280.t1	A	BRAKERILHT00000007984	A
anno1.g4281.t1	A	BRAKERILHT00000007973	A
anno1.g4282.t1	A	BRAKERILHT00000008371	A
anno1.g4283.t2	A	BRAKERILHT00000007978	A
anno1.g4284.t1	A	BRAKERILHT00000007099	A
anno1.g4285.t1	A	BRAKERILHT00000007695	A
anno1.g4286.t1	A	BRAKERILHT00000007965	A
anno1.g4287.t1	A	BRAKERILHT00000008294	A
anno1.g4288.t1	A	BRAKERILHT00000007395	A
anno1.g4289.t1	A	BRAKERILHT00000007212	A
anno1.g4290.t1	A	BRAKERILHT00000006743	A
anno1.g4291.t1	A	BRAKERILHT00000007414	A
anno1.g4292.t2	A	BRAKERILHT00000007615	A
anno1.g4293.t1	A	BRAKERILHT00000007810	A
anno1.g4294.t1	A	BRAKERILHT00000006915	A
anno1.g4295.t1	A	BRAKERILHT00000007230	A
anno1.g4296.t1	A	BRAKERILHT00000006529	A
anno1.g4297.t1	A	BRAKERILHT00000006738	A
anno1.g4298.t2	A	BRAKERILHT00000006790	A
anno1.g4299.t1	A	BRAKERILHT00000007222	A
anno1.g4300.t1	A	BRAKERILHT00000007935	A
anno1.g4301.t1	A	BRAKERILHT00000007250	A
anno1.g4302.t1	A	BRAKERILHT00000007871	A
anno1.g4303.t1	A	BRAKERILHT00000007091	A
anno1.g4304.t1	A	BRAKERILHT00000007673	A
anno1.g4305.t1	A	BRAKERILHT00000008109	A
anno1.g4306.t2	A	BRAKERILHT00000006716	A
anno1.g4307.t1	A	BRAKERILHT00000007761	A
anno1.g4308.t1	A	BRAKERILHT00000006518	A
anno1.g4310.t1	A	BRAKERILHT00000007018	A
anno1.g4311.t1	A	BRAKERILHT00000008296	A
anno1.g4312.t1	A	BRAKERILHT00000007025	A
anno1.g4313.t1	A	BRAKERILHT00000007598	A
anno1.g4314.t1	A	BRAKERILHT00000007859	A
anno1.g4315.t1	A	BRAKERILHT00000008443	A
anno1.g4316.t1	A	BRAKERILHT00000007376	A
anno1.g4317.t3	A	BRAKERILHT00000007954	A
anno1.g4319.t1	A	BRAKERILHT00000007234	A
anno1.g4320.t1	A	BRAKERILHT00000006823	A
anno1.g4321.t2	A	BRAKERILHT00000007553	A
anno1.g4322.t1	A	BRAKERILHT00000007779	A
anno1.g4323.t1	A	BRAKERILHT00000007570	A
anno1.g4324.t1	A	BRAKERILHT00000008155	A
anno1.g4325.t1	A	BRAKERILHT00000007346	A
anno1.g4327.t1	A	BRAKERILHT00000007950	A
anno1.g4328.t1	A	BRAKERILHT00000008172	A
anno1.g4329.t2	A	BRAKERILHT00000008341	A
anno1.g4330.t1	A	BRAKERILHT00000007926	A
anno1.g4331.t2	A	BRAKERILHT00000007294	A
anno1.g4332.t1	A	BRAKERILHT00000006815	A
anno1.g4333.t1	A	BRAKERILHT00000007227	A
anno1.g4334.t1	A	BRAKERILHT00000007925	A
anno1.g4335.t1	A	BRAKERILHT00000008382	A
anno1.g4336.t1	A	BRAKERILHT00000006602	A
anno1.g4338.t1	A	BRAKERILHT00000006836	A
anno1.g4339.t1	A	BRAKERILHT00000008140	A
anno1.g4340.t1	A	BRAKERILHT00000006557	A
anno1.g4341.t1	A	BRAKERILHT00000006992	A
anno1.g4343.t1	A	BRAKERILHT00000006824	A
anno1.g4346.t1	A	BRAKERILHT00000008310	A
anno1.g4348.t2	A	BRAKERILHT00000006950	A
anno1.g4349.t1	A	BRAKERILHT00000008253	A
anno1.g4350.t1	A	BRAKERILHT00000007608	A
anno1.g4352.t1	A	BRAKERILHT00000007992	A
anno1.g4353.t1	A	BRAKERILHT00000007546	A
anno1.g4354.t1	A	BRAKERILHT00000007836	A
anno1.g4355.t4	A	BRAKERILHT00000006867	A
anno1.g4356.t2	A	BRAKERILHT00000007999	A
anno1.g4357.t1	A	BRAKERILHT00000007090	A
anno1.g4359.t1	A	BRAKERILHT00000006554	A
anno1.g4360.t1	A	BRAKERILHT00000008235	A
anno1.g4363.t1	A	BRAKERILHT00000015181	A
anno1.g4367.t1	A	BRAKERILHT00000008204	A
anno1.g4368.t1	A	BRAKERILHT00000006519	A
anno1.g4369.t1	A	BRAKERILHT00000007274	A
anno1.g4370.t1	A	BRAKERILHT00000006785	A
anno1.g4371.t1	A	BRAKERILHT00000007215	A
anno1.g4372.t1	A	BRAKERILHT00000007892	A
anno1.g4373.t1	A	BRAKERILHT00000008467	A
anno1.g4374.t2	A	BRAKERILHT00000007770	A
anno1.g4375.t1	A	BRAKERILHT00000006996	A
anno1.g4376.t2	A	BRAKERILHT00000006627	A
anno1.g4377.t1	A	BRAKERILHT00000006894	A
anno1.g4378.t1	A	BRAKERILHT00000008359	A
anno1.g4379.t1	A	BRAKERILHT00000007400	A
anno1.g4382.t1	A	BRAKERILHT00000006849	A
anno1.g4383.t1	A	BRAKERILHT00000008057	A
anno1.g4384.t1	A	BRAKERILHT00000007490	A
anno1.g4386.t1	A	BRAKERILHT00000007137	A
anno1.g4387.t1	A	BRAKERILHT00000006483	A
anno1.g4388.t1	A	BRAKERILHT00000007803	A
anno1.g4391.t1	A	BRAKERILHT00000008276	A
anno1.g4393.t1	A	BRAKERILHT00000007600	A
anno1.g4394.t1	A	BRAKERILHT00000006484	A
anno1.g4403.t1	A	BRAKERILHT00000007135	A
anno1.g4405.t1	A	BRAKERILHT00000007701	A
anno1.g4406.t2	A	BRAKERILHT00000008195	A
anno1.g4407.t2	A	BRAKERILHT00000006589	A
anno1.g4408.t1	A	BRAKERILHT00000007329	A
anno1.g4409.t2	A	BRAKERILHT00000007917	A
anno1.g4410.t1	A	BRAKERILHT00000008280	A
