D_carinulata	chromosome	D_sublineata	chromosome
rna-XM_057797189.1	A	rna-XM_056778637.1	A
rna-XM_057797151.1	A	rna-XM_056780000.1	A
rna-XM_057797158.1	A	rna-XM_056778624.1	A
rna-XM_057797191.1	A	rna-XM_056778625.1	A
rna-XM_057797190.1	A	rna-XM_056778621.1	A
rna-XM_057797193.1	A	rna-XM_056778630.1	A
rna-XM_057795947.1	A	rna-XM_056778633.1	A
rna-XM_057795948.1	A	rna-XM_056778635.1	A
rna-XM_057795957.1	A	rna-XM_056778638.1	A
rna-XM_057795959.1	A	rna-XM_056778632.1	A
rna-XM_057795855.1	A	rna-XM_056779063.1	A
rna-XM_057796503.1	A	rna-XM_056778884.1	A
rna-XM_057795685.1	A	rna-XM_056778902.1	A
rna-XM_057795786.1	A	rna-XM_056778936.1	A
rna-XM_057795838.1	A	rna-XM_056779000.1	A
rna-XM_057795665.1	A	rna-XM_056779586.1	A
rna-XM_057795668.1	A	rna-XM_056779122.1	A
rna-XM_057796575.1	A	rna-XM_056779140.1	A
rna-XM_057796576.1	A	rna-XM_056779142.1	A
rna-XM_057796569.1	A	rna-XM_056779138.1	A
rna-XM_057796444.1	A	rna-XM_056779710.1	A
rna-XM_057796445.1	A	rna-XM_056779709.1	A
rna-XM_057796447.1	A	rna-XM_056778481.1	A
rna-XM_057796451.1	A	rna-XM_056778483.1	A
rna-XM_057795742.1	A	rna-XM_056778823.1	A
rna-XM_057795743.1	A	rna-XM_056778822.1	A
rna-XM_057796696.1	A	rna-XM_056779263.1	A
rna-XM_057796699.1	A	rna-XM_056778729.1	A
rna-XM_057796692.1	A	rna-XM_056779380.1	A
rna-XM_057796815.1	A	rna-XM_056778640.1	A
rna-XM_057796827.1	A	rna-XM_056778651.1	A
rna-XM_057796285.1	A	rna-XM_056779223.1	A
rna-XM_057796292.1	A	rna-XM_056779224.1	A
rna-XM_057796936.1	A	rna-XM_056778560.1	A
rna-XM_057796227.1	A	rna-XM_056779998.1	A
rna-XM_057795641.1	A	rna-XM_056778782.1	A
rna-XM_057796022.1	A	rna-XM_056779997.1	A
rna-XM_057796027.1	A	rna-XM_056778919.1	A
rna-XM_057795820.1	A	rna-XM_056779995.1	A
rna-XM_057796430.1	A	rna-XM_056779532.1	A
rna-XM_057795734.1	A	rna-XM_056778808.1	A
rna-XM_057795640.1	A	rna-XM_056778885.1	A
rna-XM_057796846.1	A	rna-XM_056779164.1	A
rna-XM_057796861.1	A	rna-XM_056779286.1	A
rna-XM_057796835.1	A	rna-XM_056779836.1	A
rna-XM_057796872.1	A	rna-XM_056779835.1	A
rna-XM_057796858.1	A	rna-XM_056779833.1	A
rna-XM_057796867.1	A	rna-XM_056779831.1	A
rna-XM_057796873.1	A	rna-XM_056779832.1	A
rna-XM_057796874.1	A	rna-XM_056779830.1	A
rna-XM_057796856.1	A	rna-XM_056779829.1	A
rna-XM_057796871.1	A	rna-XM_056779828.1	A
rna-XM_057796860.1	A	rna-XM_056779825.1	A
rna-XM_057796864.1	A	rna-XM_056779827.1	A
rna-XM_057796876.1	A	rna-XM_056779822.1	A
rna-XM_057796863.1	A	rna-XM_056779819.1	A
rna-XM_057796865.1	A	rna-XM_056779817.1	A
rna-XM_057796857.1	A	rna-XM_056779816.1	A
rna-XM_057796869.1	A	rna-XM_056779818.1	A
rna-XM_057796880.1	A	rna-XM_056779813.1	A
rna-XM_057796882.1	A	rna-XM_056779811.1	A
rna-XM_057795888.1	A	rna-XM_056779993.1	A
rna-XM_057796010.1	A	rna-XM_056779992.1	A
rna-XM_057795883.1	A	rna-XM_056779809.1	A
rna-XM_057795682.1	A	rna-XM_056778830.1	A
rna-XM_057795846.1	A	rna-XM_056779120.1	A
rna-XM_057795815.1	A	rna-XM_056779075.1	A
rna-XM_057795950.1	A	rna-XM_056779163.1	A
rna-XM_057795865.1	A	rna-XM_056779429.1	A
rna-XM_057796109.1	A	rna-XM_056779767.1	A
rna-XM_057795669.1	A	rna-XM_056779766.1	A
rna-XM_057796033.1	A	rna-XM_056779378.1	A
rna-XM_057795932.1	A	rna-XM_056779144.1	A
rna-XM_057796458.1	A	rna-XM_056778818.1	A
rna-XM_057795806.1	A	rna-XM_056779989.1	A
rna-XM_057795809.1	A	rna-XM_056779287.1	A
rna-XM_057795963.1	A	rna-XM_056779241.1	A
rna-XM_057796309.1	A	rna-XM_056779984.1	A
rna-XM_057795492.1	A	rna-XM_056778780.1	A
rna-XM_057796690.1	A	rna-XM_056778778.1	A
rna-XM_057796688.1	A	rna-XM_056778774.1	A
rna-XM_057796691.1	A	rna-XM_056778773.1	A
rna-XM_057795731.1	A	rna-XM_056778772.1	A
rna-XM_057795730.1	A	rna-XM_056778771.1	A
rna-XM_057795729.1	A	rna-XM_056778770.1	A
rna-XM_057795924.1	A	rna-XM_056778764.1	A
rna-XM_057795922.1	A	rna-XM_056778763.1	A
rna-XM_057796702.1	A	rna-XM_056778761.1	A
rna-XM_057796260.1	A	rna-XM_056779982.1	A
rna-XM_057795912.1	A	rna-XM_056778759.1	A
rna-XM_057795945.1	A	rna-XM_056778757.1	A
rna-XM_057795770.1	A	rna-XM_056778758.1	A
rna-XM_057795671.1	A	rna-XM_056778755.1	A
rna-XM_057796471.1	A	rna-XM_056778754.1	A
rna-XM_057796205.1	A	rna-XM_056778753.1	A
rna-XM_057796159.1	A	rna-XM_056778751.1	A
rna-XM_057796614.1	A	rna-XM_056778750.1	A
rna-XM_057795705.1	A	rna-XM_056779981.1	A
rna-XM_057795953.1	A	rna-XM_056778749.1	A
rna-XM_057795954.1	A	rna-XM_056778567.1	A
rna-XM_057795555.1	A	rna-XM_056778561.1	A
rna-XM_057795557.1	A	rna-XM_056778565.1	A
rna-XM_057795558.1	A	rna-XM_056779191.1	A
rna-XM_057795475.1	A	rna-XM_056778800.1	A
rna-XM_057796272.1	A	rna-XM_056779976.1	A
rna-XM_057795477.1	A	rna-XM_056779069.1	A
rna-XM_057795476.1	A	rna-XM_056778859.1	A
rna-XM_057796276.1	A	rna-XM_056779201.1	A
rna-XM_057795934.1	A	rna-XM_056779215.1	A
rna-XM_057796137.1	A	rna-XM_056779973.1	A
rna-XM_057795949.1	A	rna-XM_056779158.1	A
rna-XM_057796279.1	A	rna-XM_056779972.1	A
rna-XM_057796280.1	A	rna-XM_056780797.1	A
rna-XM_057796281.1	A	rna-XM_056779971.1	A
rna-XM_057796283.1	A	rna-XM_056779970.1	A
rna-XM_057795944.1	A	rna-XM_056779240.1	A
rna-XM_057796294.1	A	rna-XM_056779964.1	A
rna-XM_057795936.1	A	rna-XM_056779963.1	A
rna-XM_057796296.1	A	rna-XM_056779962.1	A
rna-XM_057796297.1	A	rna-XM_056779961.1	A
rna-XM_057796298.1	A	rna-XM_056779960.1	A
rna-XM_057796299.1	A	rna-XM_056779959.1	A
rna-XM_057796302.1	A	rna-XM_056779958.1	A
rna-XM_057796304.1	A	rna-XM_056779957.1	A
rna-XM_057796307.1	A	rna-XM_056779186.1	A
rna-XM_057795744.1	A	rna-XM_056778697.1	A
rna-XM_057795917.1	A	rna-XM_056779292.1	A
rna-XM_057796111.1	A	rna-XM_056778696.1	A
rna-XM_057795779.1	A	rna-XM_056779234.1	A
rna-XM_057795654.1	A	rna-XM_056780031.1	A
rna-XM_057795542.1	A	rna-XM_056778579.1	A
rna-XM_057795775.1	A	rna-XM_056779028.1	A
rna-XM_057795828.1	A	rna-XM_056779040.1	A
rna-XM_057795607.1	A	rna-XM_056778515.1	A
rna-XM_057796328.1	A	rna-XM_056791258.1	Y
rna-XM_057795739.1	A	rna-XM_056778513.1	A
rna-XM_057796329.1	A	rna-XM_056781722.1	A
rna-XM_057796924.1	A	rna-XM_056779712.1	A
rna-XM_057796929.1	A	rna-XM_056779718.1	A
rna-XM_057796454.1	A	rna-XM_056779719.1	A
rna-XM_057796284.1	A	rna-XM_056779340.1	A
rna-XM_057796112.1	A	rna-XM_056778686.1	A
rna-XM_057795737.1	A	rna-XM_056778684.1	A
rna-XM_057795696.1	A	rna-XM_056779546.1	A
rna-XM_057796418.1	A	rna-XM_056779947.1	A
rna-XM_057796013.1	A	rna-XM_056779317.1	A
rna-XM_057796429.1	A	rna-XM_056779352.1	A
rna-XM_057795517.1	A	rna-XM_056779348.1	A
rna-XM_057795516.1	A	rna-XM_056779347.1	A
rna-XM_057795507.1	A	rna-XM_056779928.1	A
rna-XM_057795520.1	A	rna-XM_056779368.1	A
rna-XM_057795519.1	A	rna-XM_056779366.1	A
rna-XM_057795524.1	A	rna-XM_056779329.1	A
rna-XM_057795527.1	A	rna-XM_056779531.1	A
rna-XM_057795536.1	A	rna-XM_056779145.1	A
rna-XM_057795526.1	A	rna-XM_056778602.1	A
rna-XM_057795522.1	A	rna-XM_056778600.1	A
rna-XM_057795530.1	A	rna-XM_056779557.1	A
rna-XM_057795533.1	A	rna-XM_056778839.1	A
rna-XM_057795523.1	A	rna-XM_056779747.1	A
rna-XM_057795694.1	A	rna-XM_056779746.1	A
rna-XM_057795693.1	A	rna-XM_056779745.1	A
rna-XM_057795609.1	A	rna-XM_056779744.1	A
rna-XM_057796441.1	A	rna-XM_056779200.1	A
rna-XM_057796440.1	A	rna-XM_056779198.1	A
rna-XM_057797335.1	A	rna-XM_056779328.1	A
rna-XM_057795686.1	A	rna-XM_056779358.1	A
rna-XM_057796508.1	A	rna-XM_056779001.1	A
rna-XM_057795951.1	A	rna-XM_056779324.1	A
rna-XM_057796782.1	A	rna-XM_056779321.1	A
rna-XM_057796623.1	A	rna-XM_056779319.1	A
rna-XM_057796624.1	A	rna-XM_056779320.1	A
rna-XM_057795827.1	A	rna-XM_056779938.1	A
rna-XM_057796352.1	A	rna-XM_056786882.1	A
rna-XM_057796021.1	A	rna-XM_056779707.1	A
rna-XM_057796020.1	A	rna-XM_056778837.1	A
rna-XM_057795972.1	A	rna-XM_056779595.1	A
rna-XM_057796921.1	A	rna-XM_056779273.1	A
rna-XM_057795817.1	A	rna-XM_056778957.1	A
rna-XM_057796410.1	A	rna-XM_056779563.1	A
rna-XM_057796455.1	A	rna-XM_056779123.1	A
rna-XM_057796884.1	A	rna-XM_056779213.1	A
rna-XM_057796887.1	A	rna-XM_056778980.1	A
rna-XM_057796890.1	A	rna-XM_056779181.1	A
rna-XM_057796886.1	A	rna-XM_056779886.1	A
rna-XM_057796354.1	A	rna-XM_056788534.1	A
rna-XM_057796035.1	A	rna-XM_056779680.1	A
rna-XM_057796073.1	A	rna-XM_056779701.1	A
rna-XM_057796071.1	A	rna-XM_056779677.1	A
rna-XM_057796075.1	A	rna-XM_056779663.1	A
rna-XM_057796091.1	A	rna-XM_056778658.1	A
rna-XM_057796093.1	A	rna-XM_056778660.1	A
rna-XM_057796094.1	A	rna-XM_056779935.1	A
rna-XM_057796594.1	A	rna-XM_056780015.1	A
rna-XM_057796598.1	A	rna-XM_056779590.1	A
rna-XM_057796600.1	A	rna-XM_056779589.1	A
rna-XM_057796607.1	A	rna-XM_056780017.1	A
rna-XM_057796608.1	A	rna-XM_056780018.1	A
rna-XM_057796601.1	A	rna-XM_056779587.1	A
rna-XM_057796605.1	A	rna-XM_056779757.1	A
rna-XM_057796606.1	A	rna-XM_056779400.1	A
rna-XM_057797292.1	A	rna-XM_056779520.1	A
rna-XM_057797298.1	A	rna-XM_056779523.1	A
rna-XM_057796266.1	A	rna-XM_056779509.1	A
rna-XM_057797326.1	A	rna-XM_056779508.1	A
rna-XM_057797328.1	A	rna-XM_056779504.1	A
rna-XM_057797331.1	A	rna-XM_056779500.1	A
rna-XM_057797333.1	A	rna-XM_056779251.1	A
rna-XM_057795782.1	A	rna-XM_056778999.1	A
rna-XM_057796012.1	A	rna-XM_056779584.1	A
rna-XM_057796513.1	A	rna-XM_056779031.1	A
rna-XM_057796356.1	A	rna-XM_056779583.1	A
rna-XM_057796534.1	A	rna-XM_056778974.1	A
rna-XM_057796532.1	A	rna-XM_056778927.1	A
rna-XM_057796530.1	A	rna-XM_056778925.1	A
rna-XM_057796521.1	A	rna-XM_056779582.1	A
rna-XM_057796514.1	A	rna-XM_056778920.1	A
rna-XM_057796358.1	A	rna-XM_056774832.1	A
rna-XM_057796524.1	A	rna-XM_056779761.1	A
rna-XM_057796529.1	A	rna-XM_056779760.1	A
rna-XM_057796538.1	A	rna-XM_056779758.1	A
rna-XM_057796539.1	A	rna-XM_056779759.1	A
rna-XM_057795831.1	A	rna-XM_056778441.1	A
rna-XM_057795816.1	A	rna-XM_056778444.1	A
rna-XM_057796105.1	A	rna-XM_056778443.1	A
rna-XM_057796543.1	A	rna-XM_056778914.1	A
rna-XM_057796540.1	A	rna-XM_056778908.1	A
rna-XM_057796546.1	A	rna-XM_056778576.1	A
rna-XM_057796392.1	A	rna-XM_056779369.1	A
rna-XM_057795545.1	A	rna-XM_056778507.1	A
rna-XM_057796198.1	A	rna-XM_056779245.1	A
rna-XM_057795552.1	A	rna-XM_056778903.1	A
rna-XM_057795776.1	A	rna-XM_056778664.1	A
rna-XM_057795784.1	A	rna-XM_056778663.1	A
rna-XM_057795785.1	A	rna-XM_056779656.1	A
rna-XM_057795783.1	A	rna-XM_056779655.1	A
rna-XM_057795907.1	A	rna-XM_056778533.1	A
rna-XM_057796002.1	A	rna-XM_056778532.1	A
rna-XM_057796771.1	A	rna-XM_056779881.1	A
rna-XM_057796778.1	A	rna-XM_056779580.1	A
rna-XM_057796779.1	A	rna-XM_056779878.1	A
rna-XM_057796781.1	A	rna-XM_056779879.1	A
rna-XM_057796139.1	A	rna-XM_056779389.1	A
rna-XM_057796386.1	A	rna-XM_056785572.1	A
rna-XM_057796154.1	A	rna-XM_056779527.1	A
rna-XM_057796175.1	A	rna-XM_056779232.1	A
rna-XM_057795863.1	A	rna-XM_056779041.1	A
rna-XM_057796214.1	A	rna-XM_056778734.1	A
rna-XM_057796216.1	A	rna-XM_056778735.1	A
rna-XM_057796206.1	A	rna-XM_056778845.1	A
rna-XM_057796213.1	A	rna-XM_056779033.1	A
rna-XM_057796395.1	A	rna-XM_056779574.1	A
rna-XM_057796210.1	A	rna-XM_056779729.1	A
rna-XM_057796208.1	A	rna-XM_056779726.1	A
rna-XM_057796209.1	A	rna-XM_056779727.1	A
rna-XM_057796212.1	A	rna-XM_056778900.1	A
rna-XM_057796264.1	A	rna-XM_056779537.1	A
rna-XM_057795790.1	A	rna-XM_056778824.1	A
rna-XM_057795843.1	A	rna-XM_056778793.1	A
rna-XM_057795841.1	A	rna-XM_056778791.1	A
rna-XM_057796261.1	A	rna-XM_056778794.1	A
rna-XM_057796462.1	A	rna-XM_056779307.1	A
rna-XM_057795807.1	A	rna-XM_056780035.1	A
rna-XM_057796195.1	A	rna-XM_056779214.1	A
rna-XM_057795890.1	A	rna-XM_056779566.1	A
rna-XM_057795622.1	A	rna-XM_056778821.1	A
rna-XM_057795617.1	A	rna-XM_056778445.1	A
rna-XM_057795623.1	A	rna-XM_056778452.1	A
rna-XM_057796411.1	A	rna-XM_056785787.1	A
rna-XM_057795856.1	A	rna-XM_056779068.1	A
rna-XM_057795835.1	A	rna-XM_056779124.1	A
rna-XM_057795794.1	A	rna-XM_056780033.1	A
rna-XM_057795792.1	A	rna-XM_056780032.1	A
rna-XM_057795698.1	A	rna-XM_056779371.1	A
rna-XM_057796581.1	A	rna-XM_056779372.1	A
rna-XM_057796580.1	A	rna-XM_056779370.1	A
rna-XM_057796330.1	A	rna-XM_056778732.1	A
rna-XM_057796332.1	A	rna-XM_056779030.1	A
rna-XM_057796362.1	A	rna-XM_056779736.1	A
rna-XM_057796377.1	A	rna-XM_056779733.1	A
rna-XM_057796371.1	A	rna-XM_056779732.1	A
rna-XM_057796368.1	A	rna-XM_056779730.1	A
rna-XM_057796364.1	A	rna-XM_056779343.1	A
rna-XM_057796384.1	A	rna-XM_056779305.1	A
rna-XM_057796367.1	A	rna-XM_056779303.1	A
rna-XM_057796380.1	A	rna-XM_056779564.1	A
rna-XM_057796381.1	A	rna-XM_056779560.1	A
rna-XM_057796378.1	A	rna-XM_056780048.1	A
rna-XM_057796382.1	A	rna-XM_056780051.1	A
rna-XM_057796365.1	A	rna-XM_056780047.1	A
rna-XM_057795933.1	A	rna-XM_056778520.1	A
rna-XM_057796335.1	A	rna-XM_056778518.1	A
rna-XM_057796337.1	A	rna-XM_056778519.1	A
rna-XM_057796338.1	A	rna-XM_056778987.1	A
rna-XM_057796345.1	A	rna-XM_056779101.1	A
rna-XM_057796349.1	A	rna-XM_056779095.1	A
rna-XM_057796586.1	A	rna-XM_056779086.1	A
rna-XM_057796590.1	A	rna-XM_056779091.1	A
rna-XM_057796593.1	A	rna-XM_056779096.1	A
rna-XM_057796226.1	A	rna-XM_056779100.1	A
rna-XM_057796225.1	A	rna-XM_056779082.1	A
rna-XM_057795885.1	A	rna-XM_056779085.1	A
rna-XM_057795747.1	A	rna-XM_056779097.1	A
rna-XM_057796169.1	A	rna-XM_056779081.1	A
rna-XM_057796167.1	A	rna-XM_056779079.1	A
rna-XM_057796396.1	A	rna-XM_056778689.1	A
rna-XM_057795960.1	A	rna-XM_056778688.1	A
rna-XM_057796187.1	A	rna-XM_056779228.1	A
rna-XM_057796474.1	A	rna-XM_056778971.1	A
rna-XM_057796472.1	A	rna-XM_056778968.1	A
rna-XM_057796477.1	A	rna-XM_056778967.1	A
rna-XM_057796030.1	A	rna-XM_056778781.1	A
rna-XM_057796333.1	A	rna-XM_056779573.1	A
rna-XM_057796301.1	A	rna-XM_056779390.1	A
rna-XM_057795938.1	A	rna-XM_056779239.1	A
rna-XM_057796734.1	A	rna-XM_056779550.1	A
rna-XM_057795610.1	A	rna-XM_056778962.1	A
rna-XM_057797337.1	A	rna-XM_056779919.1	A
rna-XM_057796907.1	A	rna-XM_056779360.1	A
rna-XM_057796912.1	A	rna-XM_056779159.1	A
rna-XM_057796428.1	A	rna-XM_056779338.1	A
rna-XM_057796032.1	A	rna-XM_056779336.1	A
rna-XM_057796183.1	A	rna-XM_056779277.1	A
rna-XM_057796465.1	A	rna-XM_056778826.1	A
rna-XM_057796489.1	A	rna-XM_056779549.1	A
rna-XM_057797289.1	A	rna-XM_056778711.1	A
rna-XM_057797288.1	A	rna-XM_056778709.1	A
rna-XM_057795707.1	A	rna-XM_056779900.1	A
rna-XM_057795795.1	A	rna-XM_056779899.1	A
rna-XM_057796618.1	A	rna-XM_056779898.1	A
rna-XM_057796619.1	A	rna-XM_056779146.1	A
rna-XM_057796620.1	A	rna-XM_056778889.1	A
rna-XM_057796621.1	A	rna-XM_056778888.1	A
rna-XM_057795727.1	A	rna-XM_056778960.1	A
rna-XM_057795914.1	A	rna-XM_056779230.1	A
rna-XM_057796504.1	A	rna-XM_056780046.1	A
rna-XM_057796505.1	A	rna-XM_056778670.1	A
rna-XM_057796507.1	A	rna-XM_056779558.1	A
rna-XM_057796812.1	A	rna-XM_056779755.1	A
rna-XM_057796809.1	A	rna-XM_056779749.1	A
rna-XM_057796811.1	A	rna-XM_056779753.1	A
rna-XM_057795805.1	A	rna-XM_056778944.1	A
rna-XM_057795495.1	A	rna-XM_056778722.1	A
rna-XM_057795724.1	A	rna-XM_056778603.1	A
rna-XM_057795650.1	A	rna-XM_056779262.1	A
rna-XM_057795991.1	A	rna-XM_056778934.1	A
rna-XM_057795997.1	A	rna-XM_056778812.1	A
rna-XM_057795993.1	A	rna-XM_056778811.1	A
rna-XM_057795983.1	A	rna-XM_056778809.1	A
rna-XM_057795995.1	A	rna-XM_056779462.1	A
rna-XM_057795988.1	A	rna-XM_056778939.1	A
rna-XM_057795992.1	A	rna-XM_056778728.1	A
rna-XM_057795990.1	A	rna-XM_056778726.1	A
rna-XM_057796273.1	A	rna-XM_056779269.1	A
rna-XM_057796737.1	A	rna-XM_056779540.1	A
rna-XM_057796466.1	A	rna-XM_056779011.1	A
rna-XM_057796467.1	A	rna-XM_056779278.1	A
rna-XM_057796200.1	A	rna-XM_056779374.1	A
rna-XM_057796397.1	A	rna-XM_056778918.1	A
rna-XM_057797229.1	A	rna-XM_056779175.1	A
rna-XM_057797255.1	A	rna-XM_056778882.1	A
rna-XM_057797248.1	A	rna-XM_056778879.1	A
rna-XM_057795713.1	A	rna-XM_056778864.1	A
rna-XM_057795719.1	A	rna-XM_056778866.1	A
rna-XM_057795823.1	A	rna-XM_056778878.1	A
rna-XM_057795821.1	A	rna-XM_056778876.1	A
rna-XM_057796391.1	A	rna-XM_056778863.1	A
rna-XM_057796390.1	A	rna-XM_056778862.1	A
rna-XM_057795913.1	A	rna-XM_056779009.1	A
rna-XM_057795629.1	A	rna-XM_056778708.1	A
rna-XM_057795628.1	A	rna-XM_056778707.1	A
rna-XM_057795626.1	A	rna-XM_056778705.1	A
rna-XM_057795627.1	A	rna-XM_056778706.1	A
rna-XM_057795911.1	A	rna-XM_056778460.1	A
rna-XM_057796549.1	A	rna-XM_056778455.1	A
rna-XM_057796550.1	A	rna-XM_056778456.1	A
rna-XM_057796551.1	A	rna-XM_056778459.1	A
rna-XM_057796560.1	A	rna-XM_056778457.1	A
rna-XM_057796555.1	A	rna-XM_056778454.1	A
rna-XM_057796552.1	A	rna-XM_056778976.1	A
rna-XM_057796556.1	A	rna-XM_056778714.1	A
rna-XM_057796554.1	A	rna-XM_056778713.1	A
rna-XM_057796016.1	A	rna-XM_056779640.1	A
rna-XM_057795772.1	A	rna-XM_056779535.1	A
rna-XM_057797222.1	A	rna-XM_056779647.1	A
rna-XM_057797227.1	A	rna-XM_056779648.1	A
rna-XM_057797221.1	A	rna-XM_056779646.1	A
rna-XM_057797215.1	A	rna-XM_056779643.1	A
rna-XM_057797216.1	A	rna-XM_056779644.1	A
rna-XM_057797219.1	A	rna-XM_056779645.1	A
rna-XM_057797212.1	A	rna-XM_056779642.1	A
rna-XM_057797194.1	A	rna-XM_056779639.1	A
rna-XM_057797202.1	A	rna-XM_056779591.1	A
rna-XM_057797218.1	A	rna-XM_056779533.1	A
rna-XM_057797226.1	A	rna-XM_056778966.1	A
rna-XM_057797208.1	A	rna-XM_056779050.1	A
rna-XM_057797214.1	A	rna-XM_056779276.1	A
rna-XM_057797203.1	A	rna-XM_056779275.1	A
rna-XM_057797209.1	A	rna-XM_056779740.1	A
rna-XM_057797224.1	A	rna-XM_056779741.1	A
rna-XM_057797211.1	A	rna-XM_056779738.1	A
rna-XM_057797223.1	A	rna-XM_056779739.1	A
rna-XM_057797217.1	A	rna-XM_056779196.1	A
rna-XM_057797206.1	A	rna-XM_056779194.1	A
rna-XM_057797207.1	A	rna-XM_056779195.1	A
rna-XM_057797198.1	A	rna-XM_056779114.1	A
rna-XM_057797334.1	A	rna-XM_056778440.1	A
rna-XM_057796564.1	A	rna-XM_056779650.1	A
rna-XM_057796562.1	A	rna-XM_056779649.1	A
rna-XM_057796566.1	A	rna-XM_056779530.1	A
rna-XM_057796567.1	A	rna-XM_056779887.1	A
rna-XM_057796565.1	A	rna-XM_056778617.1	A
rna-XM_057795849.1	A	rna-XM_056779526.1	A
rna-XM_057796145.1	A	rna-XM_056778676.1	A
rna-XM_057796152.1	A	rna-XM_056778906.1	A
rna-XM_057797324.1	A	rna-XM_056778857.1	A
rna-XM_057797325.1	A	rna-XM_056779525.1	A
rna-XM_057796242.1	A	rna-XM_056779107.1	A
rna-XM_057796254.1	A	rna-XM_056779346.1	A
rna-XM_057796248.1	A	rna-XM_056779786.1	A
rna-XM_057795712.1	A	rna-XM_056778693.1	A
rna-XM_057795711.1	A	rna-XM_056778692.1	A
rna-XM_057795710.1	A	rna-XM_056778690.1	A
rna-XM_057796920.1	A	rna-XM_056778574.1	A
rna-XM_057796914.1	A	rna-XM_056778569.1	A
rna-XM_057796919.1	A	rna-XM_056778573.1	A
rna-XM_057795967.1	A	rna-XM_056778854.1	A
rna-XM_057795970.1	A	rna-XM_056778856.1	A
rna-XM_057795971.1	A	rna-XM_056778850.1	A
rna-XM_057796481.1	A	rna-XM_056778848.1	A
rna-XM_057796484.1	A	rna-XM_056778851.1	A
rna-XM_057795735.1	A	rna-XM_056778842.1	A
rna-XM_057795736.1	A	rna-XM_056778843.1	A
rna-XM_057796355.1	A	rna-XM_056778508.1	A
rna-XM_057796197.1	A	rna-XM_056779361.1	A
rna-XM_057796177.1	A	rna-XM_056779452.1	A
rna-XM_057796615.1	A	rna-XM_056779902.1	A
rna-XM_057796616.1	A	rna-XM_056778943.1	A
rna-XM_057796617.1	A	rna-XM_056778531.1	A
rna-XM_057796494.1	A	rna-XM_056778829.1	A
rna-XM_057796495.1	A	rna-XM_056779222.1	A
rna-XM_057796501.1	A	rna-XM_056779110.1	A
rna-XM_057796389.1	A	rna-XM_056778739.1	A
rna-XM_057796829.1	A	rna-XM_056778742.1	A
rna-XM_057796834.1	A	rna-XM_056778682.1	A
rna-XM_057796831.1	A	rna-XM_056779161.1	A
rna-XM_057795504.1	A	rna-XM_056779034.1	A
rna-XM_057795929.1	A	rna-XM_056779267.1	A
rna-XM_057795930.1	A	rna-XM_056779268.1	A
rna-XM_057796259.1	A	rna-XM_056779221.1	A
rna-XM_057796258.1	A	rna-XM_056779220.1	A
rna-XM_057796257.1	A	rna-XM_056779483.1	A
rna-XM_057795943.1	A	rna-XM_056779482.1	A
rna-XM_057795886.1	A	rna-XM_056779148.1	A
rna-XM_057795662.1	A	rna-XM_056779793.1	A
rna-XM_057795660.1	A	rna-XM_056779792.1	A
rna-XM_057796711.1	A	rna-XM_056779391.1	A
rna-XM_057796715.1	A	rna-XM_056779393.1	A
rna-XM_057796720.1	A	rna-XM_056779399.1	A
rna-XM_057796718.1	A	rna-XM_056779397.1	A
rna-XM_057796163.1	A	rna-XM_056779325.1	A
rna-XM_057796172.1	A	rna-XM_056779480.1	A
rna-XM_057796170.1	A	rna-XM_056779010.1	A
rna-XM_057796174.1	A	rna-XM_056779244.1	A
rna-XM_057795674.1	A	rna-XM_056778489.1	A
rna-XM_057795675.1	A	rna-XM_056778490.1	A
rna-XM_057795677.1	A	rna-XM_056778494.1	A
rna-XM_057795679.1	A	rna-XM_056778493.1	A
rna-XM_057795812.1	A	rna-XM_056778985.1	A
rna-XM_057795699.1	A	rna-XM_056778819.1	A
rna-XM_057796438.1	A	rna-XM_056778990.1	A
rna-XM_057796113.1	A	rna-XM_056778694.1	A
rna-XM_057797299.1	A	rna-XM_056778695.1	A
rna-XM_057796311.1	A	rna-XM_056779842.1	A
rna-XM_057796313.1	A	rna-XM_056779843.1	A
rna-XM_057796240.1	A	rna-XM_056779441.1	A
rna-XM_057795852.1	A	rna-XM_056779189.1	A
rna-XM_057795853.1	A	rna-XM_056779190.1	A
rna-XM_057795866.1	A	rna-XM_056779911.1	A
rna-XM_057796937.1	A	rna-XM_056779909.1	A
rna-XM_057796941.1	A	rna-XM_056779905.1	A
rna-XM_057796942.1	A	rna-XM_056779906.1	A
rna-XM_057795942.1	A	rna-XM_056779904.1	A
rna-XM_057796460.1	A	rna-XM_056778950.1	A
rna-XM_057796461.1	A	rna-XM_056778953.1	A
rna-XM_057795903.1	A	rna-XM_056778946.1	A
rna-XM_057795905.1	A	rna-XM_056778952.1	A
rna-XM_057796135.1	A	rna-XM_056779470.1	A
rna-XM_057796162.1	A	rna-XM_056779018.1	A
rna-XM_057796161.1	A	rna-XM_056779017.1	A
rna-XM_057796426.1	A	rna-XM_056779016.1	A
rna-XM_057795684.1	A	rna-XM_056779785.1	A
rna-XM_057795771.1	A	rna-XM_056779783.1	A
rna-XM_057796479.1	A	rna-XM_056778787.1	A
rna-XM_057796485.1	A	rna-XM_056779070.1	A
rna-XM_057795664.1	A	rna-XM_056779029.1	A
rna-XM_057795663.1	A	rna-XM_056778616.1	A
rna-XM_057796199.1	A	rna-XM_056779334.1	A
rna-XM_057795760.1	A	rna-XM_056778979.1	A
