C_chinensis	chromosome	B_siliquastri	chromosome
anno1.g12392.t2	A	BRAKERILHT00000011876	A
anno1.g12393.t2	A	BRAKERILHT00000011726	A
anno1.g12394.t1	A	BRAKERILHT00000011414	A
anno1.g12395.t1	A	BRAKERILHT00000011154	A
anno1.g12396.t1	A	BRAKERILHT00000011691	A
anno1.g12398.t1	A	BRAKERILHT00000012296	A
anno1.g12399.t1	A	BRAKERILHT00000010682	A
anno1.g12400.t1	A	BRAKERILHT00000010501	A
anno1.g12402.t1	A	BRAKERILHT00000010905	A
anno1.g12403.t1	A	BRAKERILHT00000011258	A
anno1.g12405.t1	A	BRAKERILHT00000011408	A
anno1.g12406.t1	A	BRAKERILHT00000011123	A
anno1.g12407.t1	A	BRAKERILHT00000010594	A
anno1.g12408.t3	A	BRAKERILHT00000012229	A
anno1.g12409.t1	A	BRAKERILHT00000011152	A
anno1.g12410.t1	A	BRAKERILHT00000012050	A
anno1.g12411.t1	A	BRAKERILHT00000012191	A
anno1.g12412.t1	A	BRAKERILHT00000011799	A
anno1.g12413.t1	A	BRAKERILHT00000011358	A
anno1.g12414.t2	A	BRAKERILHT00000011515	A
anno1.g12415.t1	A	BRAKERILHT00000010681	A
anno1.g12416.t1	A	BRAKERILHT00000011548	A
anno1.g12418.t2	A	BRAKERILHT00000011112	A
anno1.g12419.t1	A	BRAKERILHT00000010457	A
anno1.g12420.t1	A	BRAKERILHT00000011766	A
anno1.g12421.t2	A	BRAKERILHT00000012055	A
anno1.g12422.t2	A	BRAKERILHT00000010694	A
anno1.g12423.t1	A	BRAKERILHT00000011199	A
anno1.g12424.t1	A	BRAKERILHT00000002869	A
anno1.g12425.t1	A	BRAKERILHT00000015512	A
anno1.g12426.t1	A	BRAKERILHT00000014277	A
anno1.g12427.t1	A	BRAKERILHT00000014049	A
anno1.g12428.t1	A	BRAKERILHT00000014576	A
anno1.g12429.t1	A	BRAKERILHT00000014729	A
anno1.g12430.t1	A	BRAKERILHT00000014362	A
anno1.g12434.t1	A	BRAKERILHT00000014548	A
anno1.g12435.t1	A	BRAKERILHT00000014214	A
anno1.g12436.t1	A	BRAKERILHT00000014560	A
anno1.g12437.t1	A	BRAKERILHT00000014783	A
anno1.g12438.t1	A	BRAKERILHT00000015205	A
anno1.g12439.t1	A	BRAKERILHT00000014881	A
anno1.g12440.t2	A	BRAKERILHT00000014234	A
anno1.g12441.t1	A	BRAKERILHT00000014669	A
anno1.g12380.t1	A	BRAKERILHT00000005811	A
anno1.g12384.t1	A	BRAKERILHT00000006223	A
anno1.g12386.t1	A	BRAKERILHT00000006026	A
anno1.g2539.t1	A	BRAKERILHT00000002900	A
anno1.g2540.t1	A	BRAKERILHT00000003365	A
anno1.g2541.t1	A	BRAKERILHT00000002470	A
anno1.g2543.t1	A	BRAKERILHT00000003739	A
anno1.g2547.t1	A	BRAKERILHT00000003123	A
anno1.g2548.t1	A	BRAKERILHT00000004162	A
anno1.g2549.t3	A	BRAKERILHT00000003156	A
anno1.g2553.t1	A	BRAKERILHT00000003937	A
anno1.g2554.t1	A	BRAKERILHT00000002462	A
anno1.g2555.t1	A	BRAKERILHT00000003826	A
anno1.g2556.t1	A	BRAKERILHT00000004048	A
anno1.g2557.t1	A	BRAKERILHT00000003029	A
anno1.g2558.t2	A	BRAKERILHT00000003513	A
anno1.g2559.t1	A	BRAKERILHT00000003669	A
anno1.g2560.t1	A	BRAKERILHT00000004171	A
anno1.g12377.t1	A	BRAKERILHT00000015658	A
anno1.g12378.t2	A	BRAKERILHT00000016637	A
anno1.g12376.t1	A	BRAKERILHT00000016526	A
anno1.g12368.t2	A	BRAKERILHT00000005128	A
anno1.g12369.t1	A	BRAKERILHT00000004706	A
anno1.g12366.t1	A	BRAKERILHT00000013165	A
anno1.g12367.t1	A	BRAKERILHT00000013874	A
anno1.g12361.t1	A	BRAKERILHT00000008390	A
anno1.g12352.t1	X	BRAKERILHT00000017626	X
anno1.g12353.t1	X	BRAKERILHT00000017276	X
anno1.g12354.t2	X	BRAKERILHT00000017400	X
anno1.g12356.t1	X	BRAKERILHT00000017180	X
anno1.g12359.t1	X	BRAKERILHT00000001769	A
anno1.g12360.t2	X	BRAKERILHT00000018037	X
anno1.g2529.t1	A	BRAKERILHT00000017803	X
anno1.g2530.t2	A	BRAKERILHT00000010062	A
anno1.g2531.t1	A	BRAKERILHT00000009010	A
anno1.g2532.t1	A	BRAKERILHT00000008818	A
anno1.g2533.t2	A	BRAKERILHT00000010033	A
anno1.g2534.t1	A	BRAKERILHT00000008523	A
anno1.g2535.t1	A	BRAKERILHT00000009508	A
anno1.g2536.t1	A	BRAKERILHT00000009924	A
anno1.g12350.t1	A	BRAKERILHT00000004164	A
anno1.g2528.t1	A	BRAKERILHT00000014650	A
anno1.g12341.t1	A	BRAKERILHT00000001717	A
anno1.g12342.t1	A	BRAKERILHT00000000020	A
anno1.g12343.t1	A	BRAKERILHT00000001331	A
anno1.g12344.t2	A	BRAKERILHT00000001675	A
anno1.g12331.t1	A	BRAKERILHT00000014186	A
anno1.g12335.t1	A	BRAKERILHT00000015050	A
anno1.g12336.t1	A	BRAKERILHT00000014139	A
anno1.g12337.t1	A	BRAKERILHT00000014562	A
anno1.g12338.t1	A	BRAKERILHT00000014688	A
anno1.g12339.t1	A	BRAKERILHT00000014105	A
anno1.g12329.t1	A	BRAKERILHT00000000455	A
anno1.g12330.t1	A	BRAKERILHT00000000028	A
anno1.g2525.t1	A	BRAKERILHT00000017696	X
anno1.g12271.t1	A	BRAKERILHT00000005707	A
anno1.g12272.t1	A	BRAKERILHT00000004881	A
anno1.g12273.t1	A	BRAKERILHT00000006355	A
anno1.g12274.t1	A	BRAKERILHT00000006379	A
anno1.g12275.t1	A	BRAKERILHT00000005534	A
anno1.g12276.t1	A	BRAKERILHT00000005216	A
anno1.g12277.t1	A	BRAKERILHT00000004879	A
anno1.g12278.t1	A	BRAKERILHT00000006217	A
anno1.g12279.t3	A	BRAKERILHT00000005926	A
anno1.g12280.t1	A	BRAKERILHT00000005681	A
anno1.g12281.t1	A	BRAKERILHT00000005103	A
anno1.g12282.t1	A	BRAKERILHT00000004575	A
anno1.g12283.t1	A	BRAKERILHT00000005366	A
anno1.g12284.t2	A	BRAKERILHT00000005889	A
anno1.g12287.t1	A	BRAKERILHT00000005994	A
anno1.g12288.t1	A	BRAKERILHT00000004662	A
anno1.g12291.t1	A	BRAKERILHT00000005105	A
anno1.g12292.t1	A	BRAKERILHT00000005715	A
anno1.g12293.t1	A	BRAKERILHT00000004725	A
anno1.g12294.t1	A	BRAKERILHT00000006109	A
anno1.g12295.t1	A	BRAKERILHT00000004952	A
anno1.g12296.t1	A	BRAKERILHT00000005526	A
anno1.g12298.t1	A	BRAKERILHT00000005226	A
anno1.g12299.t1	A	BRAKERILHT00000005813	A
anno1.g12300.t1	A	BRAKERILHT00000004781	A
anno1.g12301.t1	A	BRAKERILHT00000005107	A
anno1.g12302.t1	A	BRAKERILHT00000005623	A
anno1.g12303.t1	A	BRAKERILHT00000004645	A
anno1.g12304.t1	A	BRAKERILHT00000004946	A
anno1.g12305.t1	A	BRAKERILHT00000005525	A
anno1.g12306.t1	A	BRAKERILHT00000006364	A
anno1.g12307.t1	A	BRAKERILHT00000006438	A
anno1.g12308.t2	A	BRAKERILHT00000004917	A
anno1.g12309.t2	A	BRAKERILHT00000004922	A
anno1.g12311.t1	A	BRAKERILHT00000005075	A
anno1.g12312.t1	A	BRAKERILHT00000005871	A
anno1.g12313.t1	A	BRAKERILHT00000004802	A
anno1.g12314.t2	A	BRAKERILHT00000005102	A
anno1.g12315.t1	A	BRAKERILHT00000005603	A
anno1.g12316.t1	A	BRAKERILHT00000006170	A
anno1.g12317.t1	A	BRAKERILHT00000006043	A
anno1.g12318.t1	A	BRAKERILHT00000005319	A
anno1.g12319.t1	A	BRAKERILHT00000005903	A
anno1.g12320.t1	A	BRAKERILHT00000009048	A
anno1.g12321.t1	A	BRAKERILHT00000006271	A
anno1.g12322.t1	A	BRAKERILHT00000006108	A
anno1.g12324.t2	A	BRAKERILHT00000006115	A
anno1.g12325.t1	A	BRAKERILHT00000018031	X
anno1.g12328.t1	A	BRAKERILHT00000014446	A
anno1.g12269.t1	X	BRAKERILHT00000017177	X
anno1.g12270.t1	X	BRAKERILHT00000017041	X
anno1.g12265.t1	A	BRAKERILHT00000016334	A
anno1.g12255.t1	X	BRAKERILHT00000017395	X
anno1.g12256.t2	X	BRAKERILHT00000017708	X
anno1.g12258.t1	X	BRAKERILHT00000017528	X
anno1.g12259.t1	X	BRAKERILHT00000017288	X
anno1.g12260.t1	X	BRAKERILHT00000017760	X
anno1.g12261.t1	X	BRAKERILHT00000017052	X
anno1.g12262.t1	X	BRAKERILHT00000017187	X
anno1.g12264.t2	X	BRAKERILHT00000018011	X
anno1.g2492.t1	A	BRAKERILHT00000011116	A
anno1.g2493.t1	A	BRAKERILHT00000011868	A
anno1.g2494.t1	A	BRAKERILHT00000010497	A
anno1.g2495.t1	A	BRAKERILHT00000010776	A
anno1.g2496.t1	A	BRAKERILHT00000011299	A
anno1.g2497.t2	A	BRAKERILHT00000011616	A
anno1.g2498.t1	A	BRAKERILHT00000012169	A
anno1.g2499.t1	A	BRAKERILHT00000010876	A
anno1.g2500.t1	A	BRAKERILHT00000011155	A
anno1.g2501.t2	A	BRAKERILHT00000012037	A
anno1.g2502.t3	A	BRAKERILHT00000010426	A
anno1.g2505.t1	A	BRAKERILHT00000010743	A
anno1.g2506.t1	A	BRAKERILHT00000011577	A
anno1.g2507.t1	A	BRAKERILHT00000011741	A
anno1.g2508.t1	A	BRAKERILHT00000012152	A
anno1.g2509.t1	A	BRAKERILHT00000010757	A
anno1.g2510.t1	A	BRAKERILHT00000011561	A
anno1.g2511.t1	A	BRAKERILHT00000011885	A
anno1.g2512.t1	A	BRAKERILHT00000011622	A
anno1.g2513.t2	A	BRAKERILHT00000012161	A
anno1.g2514.t1	A	BRAKERILHT00000010637	A
anno1.g2515.t1	A	BRAKERILHT00000011657	A
anno1.g2516.t1	A	BRAKERILHT00000011487	A
anno1.g2518.t1	A	BRAKERILHT00000011257	A
anno1.g2519.t1	A	BRAKERILHT00000011804	A
anno1.g2521.t2	A	BRAKERILHT00000011059	A
anno1.g2522.t1	A	BRAKERILHT00000011044	A
anno1.g2523.t1	A	BRAKERILHT00000011559	A
anno1.g12252.t1	A	BRAKERILHT00000012148	A
anno1.g12253.t1	A	BRAKERILHT00000011893	A
anno1.g12246.t1	A	BRAKERILHT00000000764	A
anno1.g12247.t1	A	BRAKERILHT00000011590	A
anno1.g12248.t1	A	BRAKERILHT00000000152	A
anno1.g12249.t1	A	BRAKERILHT00000001497	A
anno1.g12250.t1	A	BRAKERILHT00000000538	A
anno1.g12251.t3	A	BRAKERILHT00000002088	A
anno1.g2491.t1	A	BRAKERILHT00000004760	A
anno1.g12242.t1	A	BRAKERILHT00000015992	A
anno1.g12243.t1	A	BRAKERILHT00000015796	A
anno1.g12232.t1	A	BRAKERILHT00000015133	A
anno1.g12233.t1	A	BRAKERILHT00000014256	A
anno1.g12234.t1	A	BRAKERILHT00000014663	A
anno1.g12235.t1	A	BRAKERILHT00000015193	A
anno1.g12236.t1	A	BRAKERILHT00000015160	A
anno1.g12241.t2	A	BRAKERILHT00000015220	A
anno1.g12227.t1	A	BRAKERILHT00000015694	A
anno1.g12230.t1	A	BRAKERILHT00000016512	A
anno1.g12231.t1	A	BRAKERILHT00000016126	A
anno1.g12222.t2	A	BRAKERILHT00000015864	A
anno1.g12220.t1	A	BRAKERILHT00000004370	A
anno1.g2483.t1	A	BRAKERILHT00000005435	A
anno1.g2447.t1	A	BRAKERILHT00000000433	A
anno1.g2448.t1	A	BRAKERILHT00000000380	A
anno1.g2449.t1	A	BRAKERILHT00000002132	A
anno1.g2450.t2	A	BRAKERILHT00000000616	A
anno1.g2452.t1	A	BRAKERILHT00000001062	A
anno1.g2453.t1	A	BRAKERILHT00000002025	A
anno1.g2454.t1	A	BRAKERILHT00000001254	A
anno1.g2455.t1	A	BRAKERILHT00000000031	A
anno1.g2457.t1	A	BRAKERILHT00000000184	A
anno1.g2458.t3	A	BRAKERILHT00000002009	A
anno1.g2459.t1	A	BRAKERILHT00000002158	A
anno1.g2461.t1	A	BRAKERILHT00000001408	A
anno1.g2462.t1	A	BRAKERILHT00000001090	A
anno1.g2463.t1	A	BRAKERILHT00000000466	A
anno1.g2469.t1	A	BRAKERILHT00000000215	A
anno1.g2470.t1	A	BRAKERILHT00000000899	A
anno1.g2472.t2	A	BRAKERILHT00000001180	A
anno1.g2476.t1	A	BRAKERILHT00000000298	A
anno1.g2477.t1	A	BRAKERILHT00000001233	A
anno1.g2478.t1	A	BRAKERILHT00000000241	A
anno1.g2479.t1	A	BRAKERILHT00000001179	A
anno1.g12210.t1	A	BRAKERILHT00000008718	A
anno1.g12211.t1	A	BRAKERILHT00000009667	A
anno1.g12213.t1	A	BRAKERILHT00000008632	A
anno1.g12214.t1	A	BRAKERILHT00000008972	A
anno1.g12215.t1	A	BRAKERILHT00000009505	A
anno1.g12216.t1	A	BRAKERILHT00000010060	A
anno1.g12217.t1	A	BRAKERILHT00000009031	A
anno1.g12218.t1	A	BRAKERILHT00000010165	A
anno1.g12219.t1	A	BRAKERILHT00000009524	A
anno1.g12207.t1	A	BRAKERILHT00000015703	A
anno1.g12208.t1	A	BRAKERILHT00000016684	A
anno1.g2446.t1	A	BRAKERILHT00000013883	A
anno1.g2442.t2	A	BRAKERILHT00000004019	A
anno1.g2443.t1	A	BRAKERILHT00000003383	A
anno1.g12198.t1	A	BRAKERILHT00000010748	A
anno1.g12199.t1	A	BRAKERILHT00000011670	A
anno1.g12174.t1	A	BRAKERILHT00000008869	A
anno1.g12175.t1	A	BRAKERILHT00000008848	A
anno1.g12180.t2	A	BRAKERILHT00000010402	A
anno1.g12184.t2	A	BRAKERILHT00000011124	A
anno1.g12187.t1	A	BRAKERILHT00000017805	X
anno1.g12190.t1	A	BRAKERILHT00000009834	A
anno1.g12191.t1	A	BRAKERILHT00000009140	A
anno1.g12192.t1	A	BRAKERILHT00000009615	A
anno1.g12193.t1	A	BRAKERILHT00000008884	A
anno1.g12194.t1	A	BRAKERILHT00000008596	A
anno1.g12195.t1	A	BRAKERILHT00000010159	A
anno1.g12196.t1	A	BRAKERILHT00000009443	A
anno1.g2438.t1	A	BRAKERILHT00000011296	A
anno1.g2440.t1	A	BRAKERILHT00000011831	A
anno1.g2436.t1	A	BRAKERILHT00000011049	A
anno1.g12167.t2	A	BRAKERILHT00000015502	A
anno1.g12169.t1	A	BRAKERILHT00000014456	A
anno1.g2401.t1	A	BRAKERILHT00000010611	A
anno1.g2402.t1	A	BRAKERILHT00000012123	A
anno1.g2403.t1	A	BRAKERILHT00000010893	A
anno1.g2404.t1	A	BRAKERILHT00000011043	A
anno1.g2405.t1	A	BRAKERILHT00000011705	A
anno1.g2406.t1	A	BRAKERILHT00000011873	A
anno1.g2407.t1	A	BRAKERILHT00000011881	A
anno1.g2410.t2	A	BRAKERILHT00000011607	A
anno1.g2411.t1	A	BRAKERILHT00000011982	A
anno1.g2412.t1	A	BRAKERILHT00000011186	A
anno1.g2413.t1	A	BRAKERILHT00000012265	A
anno1.g2414.t1	A	BRAKERILHT00000010509	A
anno1.g2415.t1	A	BRAKERILHT00000011000	A
anno1.g2416.t1	A	BRAKERILHT00000011183	A
anno1.g2417.t1	A	BRAKERILHT00000011450	A
anno1.g2418.t1	A	BRAKERILHT00000011818	A
anno1.g2419.t1	A	BRAKERILHT00000011926	A
anno1.g2420.t1	A	BRAKERILHT00000011045	A
anno1.g2421.t1	A	BRAKERILHT00000011855	A
anno1.g2423.t1	A	BRAKERILHT00000011781	A
anno1.g2424.t1	A	BRAKERILHT00000010891	A
anno1.g2426.t1	A	BRAKERILHT00000010634	A
anno1.g2427.t1	A	BRAKERILHT00000010619	A
anno1.g2428.t2	A	BRAKERILHT00000011789	A
anno1.g2429.t1	A	BRAKERILHT00000011359	A
anno1.g2430.t1	A	BRAKERILHT00000011449	A
anno1.g2431.t1	A	BRAKERILHT00000010784	A
anno1.g2432.t1	A	BRAKERILHT00000011836	A
anno1.g2433.t1	A	BRAKERILHT00000012143	A
anno1.g2434.t1	A	BRAKERILHT00000010773	A
anno1.g2435.t3	A	BRAKERILHT00000011056	A
anno1.g12162.t1	A	BRAKERILHT00000013818	A
anno1.g12164.t2	A	BRAKERILHT00000013421	A
anno1.g12165.t1	A	BRAKERILHT00000013400	A
anno1.g12158.t1	A	BRAKERILHT00000005844	A
anno1.g12159.t1	A	BRAKERILHT00000006185	A
anno1.g12160.t1	A	BRAKERILHT00000004504	A
anno1.g12161.t2	A	BRAKERILHT00000005838	A
anno1.g12155.t1	A	BRAKERILHT00000003797	A
anno1.g12149.t1	A	BRAKERILHT00000000675	A
anno1.g12106.t1	A	BRAKERILHT00000012889	A
anno1.g12108.t1	A	BRAKERILHT00000013600	A
anno1.g12109.t1	A	BRAKERILHT00000013018	A
anno1.g12112.t2	A	BRAKERILHT00000013651	A
anno1.g12113.t2	A	BRAKERILHT00000012670	A
anno1.g12115.t1	A	BRAKERILHT00000012701	A
anno1.g12116.t1	A	BRAKERILHT00000012540	A
anno1.g12117.t1	A	BRAKERILHT00000012900	A
anno1.g12118.t1	A	BRAKERILHT00000013350	A
anno1.g12121.t1	A	BRAKERILHT00000015062	A
anno1.g12122.t2	A	BRAKERILHT00000013474	A
anno1.g12123.t1	A	BRAKERILHT00000013940	A
anno1.g12124.t5	A	BRAKERILHT00000012899	A
anno1.g12125.t1	A	BRAKERILHT00000013836	A
anno1.g12127.t1	A	BRAKERILHT00000014318	A
anno1.g12128.t1	A	BRAKERILHT00000014465	A
anno1.g12129.t3	A	BRAKERILHT00000014913	A
anno1.g12130.t1	A	BRAKERILHT00000014073	A
anno1.g12131.t1	A	BRAKERILHT00000014927	A
anno1.g12132.t1	A	BRAKERILHT00000015268	A
anno1.g12134.t1	A	BRAKERILHT00000014826	A
anno1.g12136.t3	A	BRAKERILHT00000014808	A
anno1.g12138.t1	A	BRAKERILHT00000014161	A
anno1.g12139.t1	A	BRAKERILHT00000014597	A
anno1.g12141.t1	A	BRAKERILHT00000014554	A
anno1.g12145.t1	A	BRAKERILHT00000014193	A
anno1.g12146.t1	A	BRAKERILHT00000015336	A
anno1.g12147.t1	A	BRAKERILHT00000014901	A
anno1.g2398.t1	A	BRAKERILHT00000011051	A
anno1.g2399.t1	A	BRAKERILHT00000011496	A
anno1.g12100.t1	A	BRAKERILHT00000006511	A
anno1.g12101.t1	A	BRAKERILHT00000007630	A
anno1.g12102.t1	A	BRAKERILHT00000008313	A
anno1.g12103.t1	A	BRAKERILHT00000006787	A
anno1.g12104.t1	A	BRAKERILHT00000007454	A
anno1.g12092.t1	A	BRAKERILHT00000013674	A
anno1.g12093.t1	A	BRAKERILHT00000012378	A
anno1.g12094.t3	A	BRAKERILHT00000014004	A
anno1.g2377.t1	A	BRAKERILHT00000003068	A
anno1.g2378.t1	A	BRAKERILHT00000003651	A
anno1.g2379.t1	A	BRAKERILHT00000004331	A
anno1.g2380.t1	A	BRAKERILHT00000002669	A
anno1.g2381.t1	A	BRAKERILHT00000004225	A
anno1.g2382.t1	A	BRAKERILHT00000004323	A
anno1.g2383.t1	A	BRAKERILHT00000002707	A
anno1.g2384.t1	A	BRAKERILHT00000003063	A
anno1.g2385.t1	A	BRAKERILHT00000004211	A
anno1.g2386.t1	A	BRAKERILHT00000003575	A
anno1.g2387.t1	A	BRAKERILHT00000002328	A
anno1.g2388.t1	A	BRAKERILHT00000002963	A
anno1.g2389.t1	A	BRAKERILHT00000003824	A
anno1.g2390.t2	A	BRAKERILHT00000002961	A
anno1.g2391.t1	A	BRAKERILHT00000003183	A
anno1.g2392.t2	A	BRAKERILHT00000004185	A
anno1.g2393.t1	A	BRAKERILHT00000002811	A
anno1.g2394.t1	A	BRAKERILHT00000003435	A
anno1.g2395.t1	A	BRAKERILHT00000003066	A
anno1.g2396.t1	A	BRAKERILHT00000004252	A
anno1.g12090.t1	A	BRAKERILHT00000000341	A
anno1.g12085.t1	A	BRAKERILHT00000005184	A
anno1.g12086.t1	A	BRAKERILHT00000005872	A
anno1.g12082.t1	A	BRAKERILHT00000012969	A
anno1.g12083.t1	A	BRAKERILHT00000013497	A
anno1.g12077.t1	A	BRAKERILHT00000016444	A
anno1.g12078.t1	A	BRAKERILHT00000016062	A
anno1.g12079.t2	A	BRAKERILHT00000015667	A
anno1.g12080.t1	A	BRAKERILHT00000016936	A
anno1.g12081.t1	A	BRAKERILHT00000015844	A
anno1.g12076.t1	A	BRAKERILHT00000004953	A
anno1.g12029.t1	A	BRAKERILHT00000012764	A
anno1.g12030.t3	A	BRAKERILHT00000013852	A
anno1.g12031.t3	A	BRAKERILHT00000012810	A
anno1.g12033.t1	A	BRAKERILHT00000012753	A
anno1.g12034.t1	A	BRAKERILHT00000012680	A
anno1.g12035.t1	A	BRAKERILHT00000012795	A
anno1.g12038.t1	A	BRAKERILHT00000013262	A
anno1.g12039.t1	A	BRAKERILHT00000013806	A
anno1.g12040.t1	A	BRAKERILHT00000012491	A
anno1.g12041.t1	A	BRAKERILHT00000013380	A
anno1.g12042.t2	A	BRAKERILHT00000013626	A
anno1.g12043.t1	A	BRAKERILHT00000012928	A
anno1.g12044.t1	A	BRAKERILHT00000012639	A
anno1.g12045.t1	A	BRAKERILHT00000013853	A
anno1.g12046.t1	A	BRAKERILHT00000013359	A
anno1.g12048.t1	A	BRAKERILHT00000013829	A
anno1.g12050.t1	A	BRAKERILHT00000012629	A
anno1.g12051.t1	A	BRAKERILHT00000012516	A
anno1.g12052.t1	A	BRAKERILHT00000013721	A
anno1.g12054.t2	A	BRAKERILHT00000013076	A
anno1.g12055.t1	A	BRAKERILHT00000012590	A
anno1.g12056.t1	A	BRAKERILHT00000012709	A
anno1.g12057.t2	A	BRAKERILHT00000013613	A
anno1.g12058.t1	A	BRAKERILHT00000013975	A
anno1.g12059.t2	A	BRAKERILHT00000012776	A
anno1.g12061.t1	A	BRAKERILHT00000013778	A
anno1.g12062.t3	A	BRAKERILHT00000012602	A
anno1.g12063.t1	A	BRAKERILHT00000012770	A
anno1.g12064.t2	A	BRAKERILHT00000013477	A
anno1.g12065.t1	A	BRAKERILHT00000013024	A
anno1.g12066.t1	A	BRAKERILHT00000012519	A
anno1.g12068.t1	A	BRAKERILHT00000013259	A
anno1.g12069.t1	A	BRAKERILHT00000012794	A
anno1.g12070.t1	A	BRAKERILHT00000013125	A
anno1.g12071.t1	A	BRAKERILHT00000013691	A
anno1.g12072.t2	A	BRAKERILHT00000013423	A
anno1.g12074.t1	A	BRAKERILHT00000012465	A
anno1.g12023.t2	A	BRAKERILHT00000015740	A
anno1.g12014.t1	A	BRAKERILHT00000008364	A
anno1.g12015.t1	A	BRAKERILHT00000007928	A
anno1.g12016.t3	A	BRAKERILHT00000008266	A
anno1.g12018.t1	A	BRAKERILHT00000008035	A
anno1.g12020.t1	A	BRAKERILHT00000007331	A
anno1.g12021.t1	A	BRAKERILHT00000007116	A
anno1.g12008.t1	A	BRAKERILHT00000006850	A
anno1.g12009.t1	A	BRAKERILHT00000007020	A
anno1.g12010.t2	A	BRAKERILHT00000007607	A
anno1.g12011.t1	A	BRAKERILHT00000007627	A
anno1.g12007.t1	A	BRAKERILHT00000014007	A
anno1.g2345.t1	X	BRAKERILHT00000017318	X
anno1.g2346.t1	X	BRAKERILHT00000017844	X
anno1.g2347.t1	X	BRAKERILHT00000017334	X
anno1.g2348.t1	X	BRAKERILHT00000017957	X
anno1.g2349.t3	X	BRAKERILHT00000017408	X
anno1.g2350.t2	X	BRAKERILHT00000018021	X
anno1.g2351.t1	X	BRAKERILHT00000018003	X
anno1.g2353.t2	X	BRAKERILHT00000017554	X
anno1.g2354.t1	X	BRAKERILHT00000017561	X
anno1.g2355.t1	X	BRAKERILHT00000017195	X
anno1.g2357.t1	X	BRAKERILHT00000017513	X
anno1.g2358.t1	X	BRAKERILHT00000017486	X
anno1.g2360.t1	X	BRAKERILHT00000003974	A
anno1.g2362.t1	X	BRAKERILHT00000017380	X
anno1.g2364.t1	X	BRAKERILHT00000018007	X
anno1.g2365.t2	X	BRAKERILHT00000017281	X
anno1.g2366.t1	X	BRAKERILHT00000017892	X
anno1.g2367.t1	X	BRAKERILHT00000017443	X
anno1.g2370.t1	X	BRAKERILHT00000017132	X
anno1.g2371.t1	X	BRAKERILHT00000018023	X
anno1.g2372.t1	X	BRAKERILHT00000017178	X
anno1.g2373.t1	X	BRAKERILHT00000018019	X
anno1.g2374.t1	X	BRAKERILHT00000013343	A
anno1.g12002.t1	A	BRAKERILHT00000012339	A
anno1.g12003.t1	A	BRAKERILHT00000011656	A
anno1.g12004.t2	A	BRAKERILHT00000010718	A
anno1.g12006.t1	A	BRAKERILHT00000011092	A
anno1.g11999.t1	A	BRAKERILHT00000005770	A
anno1.g12000.t1	A	BRAKERILHT00000005988	A
anno1.g12001.t2	A	BRAKERILHT00000005352	A
anno1.g11998.t1	A	BRAKERILHT00000000307	A
anno1.g2344.t1	A	BRAKERILHT00000016400	A
anno1.g11997.t1	A	BRAKERILHT00000017960	X
anno1.g11993.t2	A	BRAKERILHT00000000212	A
anno1.g11995.t1	A	BRAKERILHT00000002168	A
anno1.g2341.t1	A	BRAKERILHT00000002262	A
anno1.g11988.t1	A	BRAKERILHT00000002986	A
anno1.g11989.t1	A	BRAKERILHT00000002508	A
anno1.g11991.t1	A	BRAKERILHT00000003176	A
anno1.g11992.t1	A	BRAKERILHT00000004429	A
anno1.g2339.t1	A	BRAKERILHT00000013053	A
anno1.g2340.t1	A	BRAKERILHT00000013490	A
anno1.g11914.t1	A	BRAKERILHT00000009284	A
anno1.g11915.t1	A	BRAKERILHT00000010388	A
anno1.g11916.t1	A	BRAKERILHT00000009159	A
anno1.g11917.t1	A	BRAKERILHT00000008773	A
anno1.g11918.t1	A	BRAKERILHT00000009207	A
anno1.g11919.t1	A	BRAKERILHT00000009738	A
anno1.g11921.t1	A	BRAKERILHT00000009591	A
anno1.g11923.t1	A	BRAKERILHT00000009891	A
anno1.g11924.t1	A	BRAKERILHT00000008482	A
anno1.g11925.t1	A	BRAKERILHT00000008777	A
anno1.g11927.t1	A	BRAKERILHT00000009721	A
anno1.g11928.t2	A	BRAKERILHT00000010408	A
anno1.g11929.t1	A	BRAKERILHT00000009779	A
anno1.g11933.t1	A	BRAKERILHT00000009202	A
anno1.g11934.t2	A	BRAKERILHT00000010295	A
anno1.g11935.t2	A	BRAKERILHT00000009544	A
anno1.g11936.t2	A	BRAKERILHT00000010130	A
anno1.g11939.t1	A	BRAKERILHT00000009654	A
anno1.g11940.t1	A	BRAKERILHT00000009836	A
anno1.g11941.t1	A	BRAKERILHT00000009379	A
anno1.g11942.t1	A	BRAKERILHT00000009065	A
anno1.g11947.t1	A	BRAKERILHT00000010072	A
anno1.g11948.t1	A	BRAKERILHT00000010211	A
anno1.g11949.t1	A	BRAKERILHT00000008711	A
anno1.g11950.t1	A	BRAKERILHT00000009124	A
anno1.g11951.t1	A	BRAKERILHT00000009538	A
anno1.g11952.t1	A	BRAKERILHT00000009978	A
anno1.g11953.t1	A	BRAKERILHT00000008952	A
anno1.g11955.t1	A	BRAKERILHT00000008664	A
anno1.g11956.t1	A	BRAKERILHT00000009718	A
anno1.g11958.t1	A	BRAKERILHT00000008859	A
anno1.g11959.t1	A	BRAKERILHT00000009934	A
anno1.g11960.t1	A	BRAKERILHT00000009071	A
anno1.g11961.t1	A	BRAKERILHT00000009135	A
anno1.g11962.t1	A	BRAKERILHT00000009509	A
anno1.g11964.t2	A	BRAKERILHT00000008828	A
