A_obtectus	chromosome	D_carinulata	chromosome
anno1.g4095.t1	A	rna-XM_057806147.1	A
anno1.g4096.t1	A	rna-XM_057803726.1	A
anno1.g4097.t1	A	rna-XM_057802513.1	A
anno1.g4098.t1	A	rna-XM_057808015.1	A
anno1.g4100.t2	A	rna-XM_057797447.1	A
anno1.g4101.t1	A	rna-XM_057812231.1	A
anno1.g4102.t1	A	rna-XM_057813252.1	X
anno1.g4103.t1	A	rna-XM_057800414.1	A
anno1.g4104.t1	A	rna-XM_057811770.1	A
anno1.g4105.t1	A	rna-XM_057805173.1	A
anno1.g4106.t1	A	rna-XM_057801364.1	A
anno1.g4107.t1	A	rna-XM_057801730.1	A
anno1.g4108.t6	A	rna-XM_057815270.1	A
anno1.g4109.t1	A	rna-XM_057816731.1	A
anno1.g4110.t1	A	rna-XM_057816730.1	A
anno1.g4111.t1	A	rna-XM_057812632.1	A
anno1.g4112.t1	A	rna-XM_057814169.1	A
anno1.g4113.t1	A	rna-XM_057796764.1	A
anno1.g4114.t1	A	rna-XM_057815504.1	A
anno1.g4115.t1	A	rna-XM_057815511.1	A
anno1.g4116.t1	A	rna-XM_057804983.1	X
anno1.g4117.t2	A	rna-XM_057815436.1	A
anno1.g4118.t1	A	rna-XM_057795196.1	A
anno1.g4120.t1	A	rna-XM_057795198.1	A
anno1.g4121.t1	A	rna-XM_057815502.1	A
anno1.g4122.t1	A	rna-XM_057815516.1	A
anno1.g4123.t1	A	rna-XM_057803577.1	A
anno1.g4124.t1	A	rna-XM_057815520.1	A
anno1.g4125.t1	A	rna-XM_057815513.1	A
anno1.g4126.t2	A	rna-XM_057795760.1	A
anno1.g4127.t1	A	rna-XM_057815517.1	A
anno1.g4128.t1	A	rna-XM_057811354.1	A
anno1.g4129.t1	A	rna-XM_057815514.1	A
anno1.g4130.t1	A	rna-XM_057815522.1	A
anno1.g4131.t1	A	rna-XM_057806657.1	A
anno1.g4132.t1	A	rna-XM_057815831.1	A
anno1.g4133.t1	A	rna-XM_057812800.1	A
anno1.g4134.t1	A	rna-XM_057814949.1	A
anno1.g4136.t3	A	rna-XM_057816169.1	A
anno1.g4137.t1	A	rna-XM_057815361.1	A
anno1.g4138.t1	A	rna-XM_057812801.1	A
anno1.g4139.t1	A	rna-XM_057808009.1	X
anno1.g4142.t1	A	rna-XM_057807416.1	X
anno1.g4143.t1	A	rna-XM_057816830.1	X
anno1.g4146.t1	A	rna-XM_057816100.1	A
anno1.g4147.t2	A	rna-XM_057806938.1	X
anno1.g4148.t1	A	rna-XM_057796181.1	A
anno1.g4149.t1	A	rna-XM_057798172.1	A
anno1.g4151.t2	A	rna-XM_057799039.1	A
anno1.g4152.t1	A	rna-XM_057812989.1	A
anno1.g4153.t1	A	rna-XM_057800955.1	A
anno1.g4154.t1	A	rna-XM_057800103.1	A
anno1.g4155.t4	A	rna-XM_057810865.1	A
anno1.g4157.t1	A	rna-XM_057810142.1	A
anno1.g4158.t2	A	rna-XM_057810778.1	A
anno1.g4159.t1	A	rna-XM_057810034.1	A
anno1.g4160.t1	A	rna-XM_057796200.1	A
anno1.g4162.t1	A	rna-XM_057810412.1	A
anno1.g4164.t1	A	rna-XM_057797042.1	A
anno1.g4165.t1	A	rna-XM_057797038.1	A
anno1.g4167.t1	A	rna-XM_057797037.1	A
anno1.g4168.t1	A	rna-XM_057797036.1	A
anno1.g4170.t1	A	rna-XM_057797034.1	A
anno1.g4171.t1	A	rna-XM_057803946.1	A
anno1.g4172.t2	A	rna-XM_057803945.1	A
anno1.g4173.t1	A	rna-XM_057803939.1	A
anno1.g4174.t1	A	rna-XM_057796606.1	A
anno1.g4176.t2	A	rna-XM_057808418.1	A
anno1.g4177.t2	A	rna-XM_057798447.1	A
anno1.g4178.t1	A	rna-XM_057807838.1	A
anno1.g4179.t1	A	rna-XM_057807746.1	A
anno1.g4182.t1	A	rna-XM_057797018.1	A
anno1.g4183.t1	A	rna-XM_057796477.1	A
anno1.g4184.t1	A	rna-XM_057796472.1	A
anno1.g4185.t2	A	rna-XM_057801649.1	A
anno1.g4186.t1	A	rna-XM_057796030.1	A
anno1.g4187.t1	A	rna-XM_057801647.1	A
anno1.g4188.t1	A	rna-XM_057802027.1	A
anno1.g4190.t2	A	rna-XM_057808897.1	X
anno1.g4189.t2	A	rna-XM_057808886.1	X
anno1.g4192.t2	A	rna-XM_057806859.1	X
anno1.g4193.t1	A	rna-XM_057795063.1	A
anno1.g4194.t1	A	rna-XM_057804101.1	A
anno1.g4199.t1	A	rna-XM_057802899.1	A
anno1.g4201.t1	A	rna-XM_057799041.1	A
anno1.g4202.t1	A	rna-XM_057798513.1	A
anno1.g4209.t1	A	rna-XM_057795350.1	A
anno1.g4211.t2	A	rna-XM_057798506.1	A
anno1.g4212.t1	A	rna-XM_057816330.1	A
anno1.g4213.t1	A	rna-XM_057795730.1	A
anno1.g4214.t2	A	rna-XM_057805009.1	A
anno1.g4216.t1	A	rna-XM_057797219.1	A
anno1.g4217.t1	A	rna-XM_057795363.1	A
anno1.g4218.t1	A	rna-XM_057808635.1	A
anno1.g4219.t1	A	rna-XM_057815669.1	A
anno1.g4221.t1	A	rna-XM_057795226.1	A
anno1.g4222.t1	A	rna-XM_057806011.1	A
anno1.g4223.t1	A	rna-XM_057795280.1	A
anno1.g4224.t1	A	rna-XM_057810859.1	A
anno1.g4225.t1	A	rna-XM_057809826.1	A
anno1.g4226.t1	A	rna-XM_057798550.1	A
anno1.g4227.t1	A	rna-XM_057810282.1	X
anno1.g4228.t1	A	rna-XM_057815870.1	A
anno1.g4229.t1	A	rna-XM_057805177.1	A
anno1.g4230.t1	A	rna-XM_057810417.1	A
anno1.g4231.t1	A	rna-XM_057806305.1	A
anno1.g4233.t3	A	rna-XM_057806295.1	A
anno1.g4234.t1	A	rna-XM_057806319.1	A
anno1.g4235.t2	A	rna-XM_057806308.1	A
anno1.g4236.t1	A	rna-XM_057814605.1	A
anno1.g4237.t2	A	rna-XM_057808667.1	X
anno1.g4238.t1	A	rna-XM_057807265.1	A
anno1.g4239.t1	A	rna-XM_057807447.1	A
anno1.g4240.t1	A	rna-XM_057807285.1	A
anno1.g4241.t1	A	rna-XM_057807277.1	A
anno1.g4242.t1	A	rna-XM_057809407.1	A
anno1.g4243.t2	A	rna-XM_057795439.1	A
anno1.g4244.t1	A	rna-XM_057816808.1	A
anno1.g4245.t1	A	rna-XM_057809394.1	A
anno1.g4246.t1	A	rna-XM_057808680.1	X
anno1.g4249.t1	A	rna-XM_057803060.1	X
anno1.g4250.t1	A	rna-XM_057800542.1	A
anno1.g4251.t1	A	rna-XM_057808654.1	X
anno1.g4253.t1	A	rna-XM_057800581.1	A
anno1.g4254.t1	A	rna-XM_057800251.1	A
anno1.g4261.t1	A	rna-XM_057812108.1	A
anno1.g4262.t2	A	rna-XM_057816929.1	A
anno1.g4263.t1	A	rna-XM_057816748.1	A
anno1.g4267.t1	A	rna-XM_057816745.1	A
anno1.g4268.t2	A	rna-XM_057816871.1	A
anno1.g4269.t1	A	rna-XM_057808747.1	X
anno1.g4270.t1	A	rna-XM_057816316.1	A
anno1.g4271.t1	A	rna-XM_057797167.1	A
anno1.g4272.t1	A	rna-XM_057804680.1	X
anno1.g4273.t2	A	rna-XM_057798542.1	A
anno1.g4274.t1	A	rna-XM_057798543.1	A
anno1.g4275.t1	A	rna-XM_057799088.1	A
anno1.g4276.t1	A	rna-XM_057798369.1	A
anno1.g4277.t1	A	rna-XM_057797393.1	A
anno1.g4278.t1	A	rna-XM_057797826.1	A
anno1.g4279.t1	A	rna-XM_057809265.1	A
anno1.g4280.t1	A	rna-XM_057816253.1	A
anno1.g4281.t1	A	rna-XM_057816414.1	A
anno1.g4282.t1	A	rna-XM_057808819.1	A
anno1.g4283.t2	A	rna-XM_057815888.1	A
anno1.g4284.t1	A	rna-XM_057798048.1	X
anno1.g4285.t1	A	rna-XM_057797462.1	X
anno1.g4286.t1	A	rna-XM_057816331.1	A
anno1.g4287.t1	A	rna-XM_057794866.1	A
anno1.g4288.t1	A	rna-XM_057814839.1	A
anno1.g4289.t1	A	rna-XM_057797332.1	X
anno1.g4290.t1	A	rna-XM_057807573.1	A
anno1.g4291.t1	A	rna-XM_057807267.1	A
anno1.g4292.t2	A	rna-XM_057807283.1	A
anno1.g4293.t1	A	rna-XM_057807574.1	A
anno1.g4294.t1	A	rna-XM_057800413.1	A
anno1.g4295.t1	A	rna-XM_057796004.1	A
anno1.g4296.t1	A	rna-XM_057799953.1	A
anno1.g4297.t1	A	rna-XM_057798066.1	A
anno1.g4298.t2	A	rna-XM_057810151.1	A
anno1.g4299.t1	A	rna-XM_057810148.1	A
anno1.g4300.t1	A	rna-XM_057810149.1	A
anno1.g4301.t1	A	rna-XM_057799033.1	A
anno1.g4302.t1	A	rna-XM_057802774.1	A
anno1.g4304.t1	A	rna-XM_057799917.1	A
anno1.g4305.t1	A	rna-XM_057799919.1	A
anno1.g4307.t1	A	rna-XM_057797949.1	A
anno1.g4308.t1	A	rna-XM_057798481.1	A
anno1.g4309.t1	A	rna-XM_057798119.1	A
anno1.g4310.t1	A	rna-XM_057799652.1	A
anno1.g4312.t1	A	rna-XM_057799656.1	A
anno1.g4313.t1	A	rna-XM_057810800.1	A
anno1.g4314.t1	A	rna-XM_057805514.1	A
anno1.g4315.t1	A	rna-XM_057802247.1	A
anno1.g4316.t1	A	rna-XM_057812825.1	A
anno1.g4317.t3	A	rna-XM_057813365.1	A
anno1.g4319.t1	A	rna-XM_057803189.1	A
anno1.g4320.t1	A	rna-XM_057813924.1	A
anno1.g4321.t2	A	rna-XM_057813922.1	A
anno1.g4322.t1	A	rna-XM_057815051.1	A
anno1.g4323.t1	A	rna-XM_057795574.1	A
anno1.g4324.t1	A	rna-XM_057807420.1	A
anno1.g4325.t1	A	rna-XM_057807415.1	A
anno1.g4327.t1	A	rna-XM_057807424.1	A
anno1.g4328.t1	A	rna-XM_057807422.1	A
anno1.g4329.t2	A	rna-XM_057807426.1	A
anno1.g4330.t1	A	rna-XM_057807433.1	A
anno1.g4331.t2	A	rna-XM_057807430.1	A
anno1.g4332.t1	A	rna-XM_057807410.1	A
anno1.g4333.t1	A	rna-XM_057807408.1	A
anno1.g4334.t1	A	rna-XM_057796966.1	A
anno1.g4336.t1	A	rna-XM_057805166.1	A
anno1.g4338.t1	A	rna-XM_057796313.1	A
anno1.g4339.t1	A	rna-XM_057796322.1	A
anno1.g4340.t1	A	rna-XM_057802555.1	A
anno1.g4341.t1	A	rna-XM_057802086.1	A
anno1.g4343.t1	A	rna-XM_057808079.1	A
anno1.g4346.t1	A	rna-XM_057807881.1	A
anno1.g4348.t2	A	rna-XM_057807888.1	A
anno1.g4349.t1	A	rna-XM_057807887.1	A
anno1.g4350.t1	A	rna-XM_057808824.1	A
anno1.g4352.t1	A	rna-XM_057804225.1	A
anno1.g4353.t1	A	rna-XM_057804214.1	A
anno1.g4354.t1	A	rna-XM_057804221.1	A
anno1.g4355.t4	A	rna-XM_057809567.1	A
anno1.g4356.t2	A	rna-XM_057809702.1	A
anno1.g4357.t1	A	rna-XM_057804203.1	A
anno1.g4358.t1	A	rna-XM_057797177.1	A
anno1.g4359.t1	A	rna-XM_057809571.1	A
anno1.g4363.t1	A	rna-XM_057799167.1	A
anno1.g4367.t1	A	rna-XM_057809856.1	A
anno1.g4368.t1	A	rna-XM_057808827.1	A
anno1.g4369.t1	A	rna-XM_057808826.1	A
anno1.g4370.t1	A	rna-XM_057801126.1	A
anno1.g4371.t1	A	rna-XM_057794922.1	A
anno1.g4372.t1	A	rna-XM_057805114.1	A
anno1.g4373.t1	A	rna-XM_057805120.1	A
anno1.g4374.t2	A	rna-XM_057802378.1	A
anno1.g4376.t2	A	rna-XM_057804758.1	A
anno1.g4379.t1	A	rna-XM_057798028.1	A
anno1.g4380.t2	A	rna-XM_057798029.1	A
anno1.g4382.t1	A	rna-XM_057797827.1	A
anno1.g4384.t1	A	rna-XM_057798679.1	A
anno1.g4386.t1	A	rna-XM_057813863.1	A
anno1.g4390.t1	A	rna-XM_057801401.1	A
anno1.g4403.t1	A	rna-XM_057814707.1	A
anno1.g4404.t1	A	rna-XM_057798688.1	A
anno1.g4405.t1	A	rna-XM_057808727.1	A
anno1.g4406.t2	A	rna-XM_057815112.1	A
anno1.g4407.t2	A	rna-XM_057798684.1	A
anno1.g4408.t1	A	rna-XM_057807718.1	A
anno1.g4409.t2	A	rna-XM_057816267.1	A
anno1.g4410.t1	A	rna-XM_057816191.1	A
anno1.g4411.t1	A	rna-XM_057799743.1	A
anno1.g4412.t1	A	rna-XM_057794902.1	A
anno1.g4413.t1	A	rna-XM_057816113.1	A
anno1.g4416.t1	A	rna-XM_057816199.1	A
anno1.g4418.t1	A	rna-XM_057816200.1	A
anno1.g4419.t1	A	rna-XM_057808051.1	A
anno1.g4421.t2	A	rna-XM_057808077.1	A
anno1.g4422.t1	A	rna-XM_057812486.1	A
anno1.g4423.t1	A	rna-XM_057813306.1	A
anno1.g4424.t1	A	rna-XM_057810453.1	A
anno1.g4425.t1	A	rna-XM_057810801.1	A
anno1.g4427.t1	A	rna-XM_057812849.1	A
anno1.g4429.t1	A	rna-XM_057815957.1	A
anno1.g4430.t2	A	rna-XM_057800349.1	A
anno1.g4431.t5	A	rna-XM_057814434.1	A
anno1.g4432.t1	A	rna-XM_057812314.1	A
anno1.g4433.t1	A	rna-XM_057802108.1	A
anno1.g4434.t1	A	rna-XM_057811707.1	A
anno1.g4435.t1	A	rna-XM_057794901.1	A
anno1.g4436.t1	A	rna-XM_057810067.1	A
anno1.g4437.t1	A	rna-XM_057800379.1	A
anno1.g4440.t1	A	rna-XM_057813377.1	A
anno1.g4442.t1	A	rna-XM_057795903.1	A
anno1.g4443.t1	A	rna-XM_057804845.1	A
anno1.g4444.t1	A	rna-XM_057804848.1	A
anno1.g4445.t1	A	rna-XM_057816447.1	A
anno1.g4446.t1	A	rna-XM_057801336.1	A
anno1.g4448.t1	A	rna-XM_057801335.1	A
anno1.g4450.t1	A	rna-XM_057797445.1	X
anno1.g4452.t1	A	rna-XM_057803020.1	A
anno1.g4453.t1	A	rna-XM_057796336.1	X
anno1.g4454.t1	A	rna-XM_057795361.1	A
anno1.g4455.t1	A	rna-XM_057801310.1	A
anno1.g4460.t1	A	rna-XM_057799664.1	A
anno1.g4463.t1	A	rna-XM_057806513.1	A
anno1.g4465.t1	A	rna-XM_057801314.1	A
anno1.g4476.t3	A	rna-XM_057801286.1	A
anno1.g4477.t1	A	rna-XM_057805812.1	A
anno1.g4478.t3	A	rna-XM_057799480.1	A
anno1.g4479.t4	A	rna-XM_057799466.1	A
anno1.g4480.t1	A	rna-XM_057810547.1	X
anno1.g4484.t1	A	rna-XM_057799247.1	A
anno1.g4485.t1	A	rna-XM_057799712.1	A
anno1.g4486.t2	A	rna-XM_057799718.1	A
anno1.g4487.t1	A	rna-XM_057799723.1	A
anno1.g4489.t1	A	rna-XM_057799722.1	A
anno1.g4492.t1	A	rna-XM_057801947.1	A
anno1.g4493.t1	A	rna-XM_057804630.1	A
anno1.g4494.t2	A	rna-XM_057803016.1	A
anno1.g4495.t1	A	rna-XM_057803019.1	A
anno1.g4496.t1	A	rna-XM_057810622.1	A
anno1.g4497.t2	A	rna-XM_057799709.1	A
anno1.g4500.t2	A	rna-XM_057805530.1	A
anno1.g4501.t2	A	rna-XM_057810032.1	A
anno1.g4503.t1	A	rna-XM_057811086.1	A
anno1.g4504.t3	A	rna-XM_057813270.1	A
anno1.g4505.t1	A	rna-XM_057810755.1	A
anno1.g4507.t1	A	rna-XM_057815047.1	A
anno1.g4508.t1	A	rna-XM_057815634.1	A
anno1.g4509.t1	A	rna-XM_057815629.1	A
anno1.g4511.t1	A	rna-XM_057802138.1	A
anno1.g4517.t1	A	rna-XM_057802131.1	A
anno1.g4520.t1	A	rna-XM_057810731.1	A
anno1.g4521.t1	A	rna-XM_057798709.1	A
anno1.g4523.t1	A	rna-XM_057802137.1	A
anno1.g4525.t1	A	rna-XM_057803023.1	A
anno1.g4526.t1	A	rna-XM_057803032.1	A
anno1.g4527.t1	A	rna-XM_057802329.1	A
anno1.g4528.t1	A	rna-XM_057803790.1	A
anno1.g4532.t1	A	rna-XM_057801927.1	A
anno1.g4533.t1	A	rna-XM_057815940.1	A
anno1.g4534.t1	A	rna-XM_057813923.1	A
anno1.g4537.t1	A	rna-XM_057805810.1	A
anno1.g4538.t1	A	rna-XM_057795349.1	X
anno1.g4544.t1	A	rna-XM_057806099.1	A
anno1.g4545.t1	A	rna-XM_057805041.1	A
anno1.g4547.t1	A	rna-XM_057805045.1	A
anno1.g4548.t1	A	rna-XM_057805048.1	A
anno1.g4549.t2	A	rna-XM_057805052.1	A
anno1.g4550.t2	A	rna-XM_057808011.1	A
anno1.g4551.t1	A	rna-XM_057808342.1	A
anno1.g4552.t2	A	rna-XM_057808325.1	A
anno1.g4554.t2	A	rna-XM_057808330.1	A
anno1.g4556.t1	A	rna-XM_057807966.1	A
anno1.g4558.t1	A	rna-XM_057808333.1	A
anno1.g4561.t1	A	rna-XM_057808923.1	A
anno1.g4562.t1	A	rna-XM_057808924.1	A
anno1.g4563.t1	A	rna-XM_057807796.1	A
anno1.g4564.t1	A	rna-XM_057813336.1	A
anno1.g4566.t1	A	rna-XM_057804088.1	A
anno1.g4567.t1	A	rna-XM_057808161.1	A
anno1.g4568.t1	A	rna-XM_057807722.1	A
anno1.g4570.t2	A	rna-XM_057808332.1	A
anno1.g4573.t1	A	rna-XM_057815597.1	A
anno1.g4575.t1	A	rna-XM_057808124.1	A
anno1.g4576.t1	A	rna-XM_057808514.1	A
anno1.g4577.t1	A	rna-XM_057808297.1	A
anno1.g4578.t1	A	rna-XM_057808580.1	A
anno1.g4581.t1	A	rna-XM_057808298.1	A
anno1.g4582.t1	A	rna-XM_057808302.1	A
anno1.g4583.t1	A	rna-XM_057808299.1	A
anno1.g4585.t1	A	rna-XM_057808187.1	A
anno1.g4586.t1	A	rna-XM_057808126.1	A
anno1.g4591.t1	A	rna-XM_057810922.1	A
anno1.g4592.t1	A	rna-XM_057798844.1	A
anno1.g4598.t1	A	rna-XM_057815879.1	A
anno1.g4600.t1	A	rna-XM_057797022.1	A
anno1.g4601.t1	A	rna-XM_057797021.1	A
anno1.g4602.t1	A	rna-XM_057797019.1	A
anno1.g4603.t1	A	rna-XM_057802059.1	A
anno1.g4605.t1	A	rna-XM_057802356.1	A
anno1.g4606.t2	A	rna-XM_057813933.1	A
anno1.g4611.t1	A	rna-XM_057803267.1	A
anno1.g4616.t1	A	rna-XM_057798817.1	A
anno1.g4617.t2	A	rna-XM_057799766.1	A
anno1.g4620.t1	A	rna-XM_057815114.1	A
anno1.g4621.t2	A	rna-XM_057811347.1	A
anno1.g4622.t1	A	rna-XM_057811345.1	A
anno1.g4623.t2	A	rna-XM_057812100.1	A
anno1.g4624.t1	A	rna-XM_057813076.1	A
anno1.g4625.t1	A	rna-XM_057815310.1	Y
anno1.g4626.t1	A	rna-XM_057800922.1	A
anno1.g4627.t1	A	rna-XM_057801054.1	A
anno1.g4628.t1	A	rna-XM_057813948.1	A
anno1.g4631.t1	A	rna-XM_057811388.1	A
anno1.g4632.t1	A	rna-XM_057816926.1	A
anno1.g4633.t1	A	rna-XM_057815248.1	Y
anno1.g4634.t1	A	rna-XM_057811379.1	A
anno1.g4635.t2	A	rna-XM_057813168.1	A
anno1.g4637.t1	A	rna-XM_057815016.1	A
anno1.g4638.t1	A	rna-XM_057808372.1	A
anno1.g4639.t1	A	rna-XM_057810737.1	A
anno1.g4641.t1	A	rna-XM_057801489.1	A
anno1.g4642.t1	A	rna-XM_057801493.1	A
anno1.g4647.t1	A	rna-XM_057796937.1	A
anno1.g4652.t1	A	rna-XM_057812225.1	A
anno1.g4653.t1	A	rna-XM_057799762.1	A
anno1.g4656.t1	A	rna-XM_057816677.1	A
anno1.g4657.t1	A	rna-XM_057803260.1	A
anno1.g4658.t1	A	rna-XM_057814778.1	A
anno1.g4659.t2	A	rna-XM_057811382.1	A
anno1.g4660.t1	A	rna-XM_057801499.1	A
anno1.g4661.t1	A	rna-XM_057801494.1	A
anno1.g4663.t2	A	rna-XM_057795866.1	A
anno1.g4665.t1	A	rna-XM_057813795.1	A
anno1.g4666.t2	A	rna-XM_057803276.1	A
anno1.g4667.t1	A	rna-XM_057801755.1	A
anno1.g4668.t2	A	rna-XM_057815641.1	A
anno1.g4669.t1	A	rna-XM_057805678.1	A
anno1.g4670.t1	A	rna-XM_057805406.1	A
anno1.g4671.t1	A	rna-XM_057805685.1	A
anno1.g4672.t1	A	rna-XM_057812386.1	A
anno1.g4673.t1	A	rna-XM_057795696.1	A
anno1.g4675.t2	A	rna-XM_057796458.1	A
anno1.g4685.t1	A	rna-XM_057798549.1	A
anno1.g4686.t1	A	rna-XM_057812494.1	A
anno1.g4687.t1	A	rna-XM_057811532.1	A
anno1.g4689.t1	A	rna-XM_057811630.1	A
anno1.g4690.t1	A	rna-XM_057812124.1	A
anno1.g4691.t1	A	rna-XM_057802991.1	X
anno1.g4692.t1	A	rna-XM_057812039.1	A
anno1.g4693.t1	A	rna-XM_057815765.1	X
anno1.g4694.t1	A	rna-XM_057796118.1	X
anno1.g4695.t1	A	rna-XM_057806640.1	X
anno1.g4696.t2	A	rna-XM_057816301.1	A
anno1.g4697.t1	A	rna-XM_057816456.1	A
anno1.g4698.t1	A	rna-XM_057815556.1	A
anno1.g4699.t1	A	rna-XM_057800710.1	A
anno1.g4701.t1	A	rna-XM_057798902.1	A
anno1.g4702.t1	A	rna-XM_057813205.1	A
anno1.g4703.t1	A	rna-XM_057813194.1	A
anno1.both_agree_g12774.t1	A	rna-XM_057797358.1	A
anno1.g4705.t2	A	rna-XM_057800167.1	A
anno1.g4706.t1	A	rna-XM_057800669.1	A
anno1.g4708.t1	A	rna-XM_057800670.1	A
anno1.g4709.t1	A	rna-XM_057814088.1	A
anno1.g4711.t1	A	rna-XM_057800711.1	A
anno1.g4712.t1	A	rna-XM_057800999.1	A
anno1.g4713.t1	A	rna-XM_057800738.1	A
anno1.g4714.t1	A	rna-XM_057802785.1	A
anno1.g4715.t1	A	rna-XM_057794894.1	A
anno1.g4716.t2	A	rna-XM_057813419.1	A
anno1.g4721.t1	A	rna-XM_057811199.1	A
anno1.g4723.t1	A	rna-XM_057795111.1	A
anno1.g4724.t1	A	rna-XM_057795993.1	A
anno1.g4725.t2	A	rna-XM_057797972.1	X
anno1.g4727.t1	A	rna-XM_057810959.1	A
anno1.g4728.t1	A	rna-XM_057795112.1	A
anno1.g4736.t2	A	rna-XM_057811563.1	A
anno1.g4738.t2	A	rna-XM_057801812.1	A
anno1.g4739.t2	A	rna-XM_057803917.1	A
anno1.g4740.t2	A	rna-XM_057813001.1	X
anno1.g4742.t1	A	rna-XM_057812192.1	A
anno1.g4743.t1	A	rna-XM_057802696.1	A
anno1.g4744.t1	A	rna-XM_057816333.1	A
anno1.g4745.t1	A	rna-XM_057801761.1	A
anno1.g4747.t1	A	rna-XM_057804808.1	A
anno1.g4750.t1	A	rna-XM_057812073.1	A
anno1.g4752.t1	A	rna-XM_057811278.1	A
anno1.g4753.t1	A	rna-XM_057812362.1	A
anno1.g4755.t2	A	rna-XM_057812364.1	A
anno1.g4756.t1	A	rna-XM_057812358.1	A
anno1.g4757.t1	A	rna-XM_057812360.1	A
anno1.g4758.t1	A	rna-XM_057815645.1	A
anno1.g4759.t2	A	rna-XM_057815829.1	A
anno1.g4760.t1	A	rna-XM_057812352.1	A
anno1.g4761.t1	A	rna-XM_057812356.1	A
anno1.g4762.t1	A	rna-XM_057815497.1	A
anno1.g4763.t1	A	rna-XM_057815509.1	A
anno1.g4764.t1	A	rna-XM_057811535.1	A
anno1.g4766.t1	A	rna-XM_057808728.1	A
anno1.g4767.t1	A	rna-XM_057805361.1	A
anno1.g4768.t1	A	rna-XM_057805357.1	A
anno1.g4769.t1	A	rna-XM_057816418.1	A
anno1.g4770.t1	A	rna-XM_057816419.1	A
anno1.g4771.t1	A	rna-XM_057815609.1	A
anno1.g4772.t1	A	rna-XM_057816533.1	A
anno1.g4773.t2	A	rna-XM_057797781.1	A
anno1.g4774.t1	A	rna-XM_057799699.1	A
anno1.g4775.t2	A	rna-XM_057804713.1	A
anno1.g4776.t1	A	rna-XM_057802948.1	A
anno1.g4777.t2	A	rna-XM_057801967.1	A
anno1.g4778.t1	A	rna-XM_057800695.1	A
anno1.g4779.t1	A	rna-XM_057800692.1	A
anno1.g4781.t1	A	rna-XM_057800693.1	A
anno1.g4782.t1	A	rna-XM_057800694.1	A
anno1.g4783.t1	A	rna-XM_057800050.1	A
anno1.g4784.t1	A	rna-XM_057815996.1	X
anno1.g4785.t1	A	rna-XM_057797098.1	A
anno1.g4786.t1	A	rna-XM_057815688.1	A
anno1.g4790.t1	A	rna-XM_057814401.1	A
anno1.g4791.t1	A	rna-XM_057814383.1	A
anno1.g4792.t1	A	rna-XM_057811529.1	A
anno1.g4794.t1	A	rna-XM_057811623.1	A
anno1.g4796.t1	A	rna-XM_057811629.1	A
anno1.g4797.t1	A	rna-XM_057795568.1	A
anno1.g4802.t1	A	rna-XM_057797333.1	A
anno1.g4803.t1	A	rna-XM_057804403.1	A
anno1.g4804.t1	A	rna-XM_057805215.1	A
anno1.g4805.t2	A	rna-XM_057805213.1	A
anno1.g4806.t1	A	rna-XM_057808612.1	A
anno1.g4807.t1	A	rna-XM_057809555.1	A
anno1.g4808.t2	A	rna-XM_057804355.1	A
anno1.g4809.t2	A	rna-XM_057804354.1	A
anno1.g4810.t1	A	rna-XM_057803969.1	A
anno1.g4811.t1	A	rna-XM_057801138.1	A
anno1.g4812.t1	A	rna-XM_057812633.1	A
anno1.g4817.t1	A	rna-XM_057798118.1	A
anno1.g4818.t1	A	rna-XM_057798070.1	A
anno1.g4819.t1	A	rna-XM_057798011.1	A
anno1.g4822.t1	A	rna-XM_057812972.1	A
anno1.g4823.t1	A	rna-XM_057813455.1	A
anno1.g4825.t1	A	rna-XM_057805096.1	A
anno1.g4826.t1	A	rna-XM_057805098.1	A
anno1.g4827.t1	A	rna-XM_057805111.1	A
anno1.g4828.t1	A	rna-XM_057805112.1	A
anno1.g4829.t3	A	rna-XM_057805115.1	A
anno1.g4830.t1	A	rna-XM_057809563.1	A
anno1.g4831.t1	A	rna-XM_057796333.1	A
anno1.g4832.t1	A	rna-XM_057796301.1	A
anno1.g4833.t1	A	rna-XM_057812304.1	A
anno1.g4835.t1	A	rna-XM_057812258.1	A
anno1.g4836.t1	A	rna-XM_057802577.1	A
anno1.g4837.t1	A	rna-XM_057803700.1	A
anno1.g4838.t1	A	rna-XM_057802499.1	A
anno1.g4841.t1	A	rna-XM_057802570.1	A
anno1.g4842.t1	A	rna-XM_057802543.1	A
anno1.g4843.t1	A	rna-XM_057795938.1	A
anno1.g4844.t1	A	rna-XM_057795430.1	A
anno1.g4845.t1	A	rna-XM_057815239.1	A
anno1.g4846.t1	A	rna-XM_057798597.1	A
anno1.g4847.t1	A	rna-XM_057816485.1	A
anno1.g4852.t1	A	rna-XM_057796365.1	A
anno1.g4855.t1	A	rna-XM_057795492.1	A
anno1.g4856.t1	A	rna-XM_057812939.1	A
anno1.g4857.t1	A	rna-XM_057810686.1	A
anno1.g4858.t1	A	rna-XM_057797714.1	A
anno1.g4862.t1	A	rna-XM_057816027.1	A
anno1.g4865.t1	A	rna-XM_057814809.1	A
anno1.g4866.t1	A	rna-XM_057811661.1	A
anno1.g4867.t1	A	rna-XM_057811321.1	A
anno1.g4868.t1	A	rna-XM_057811323.1	A
anno1.g4869.t2	A	rna-XM_057805529.1	A
anno1.g4870.t1	A	rna-XM_057805528.1	A
