D_sublineata	chromosome	B_siliquastri	chromosome
rna-XM_056773922.1	A	BRAKERILHT00000008694	A
rna-XM_056773923.1	A	BRAKERILHT00000004722	A
rna-XM_056792714.1	A	BRAKERILHT00000005507	A
rna-XM_056792715.1	A	BRAKERILHT00000005323	A
rna-XM_056773924.1	A	BRAKERILHT00000005710	A
rna-XM_056792562.1	A	BRAKERILHT00000004493	A
rna-XM_056773742.1	A	BRAKERILHT00000000026	A
rna-XM_056773743.1	A	BRAKERILHT00000005944	A
rna-XM_056792495.1	A	BRAKERILHT00000010040	A
rna-XM_056792963.1	A	BRAKERILHT00000005108	A
rna-XM_056793062.1	A	BRAKERILHT00000004605	A
rna-XM_056793244.1	A	BRAKERILHT00000005177	A
rna-XM_056792604.1	A	BRAKERILHT00000004897	A
rna-XM_056792608.1	A	BRAKERILHT00000015413	A
rna-XM_056792346.1	A	BRAKERILHT00000014160	A
rna-XM_056793146.1	A	BRAKERILHT00000013439	A
rna-XM_056773927.1	A	BRAKERILHT00000013469	A
rna-XM_056793147.1	A	BRAKERILHT00000011336	A
rna-XM_056793150.1	A	BRAKERILHT00000015583	A
rna-XM_056793154.1	A	BRAKERILHT00000015204	A
rna-XM_056793153.1	A	BRAKERILHT00000001932	A
rna-XM_056793156.1	A	BRAKERILHT00000004265	A
rna-XM_056793155.1	A	BRAKERILHT00000003861	A
rna-XM_056793158.1	A	BRAKERILHT00000003066	A
rna-XM_056793163.1	A	BRAKERILHT00000012341	A
rna-XM_056793162.1	A	BRAKERILHT00000015155	A
rna-XM_056793159.1	A	BRAKERILHT00000015682	A
rna-XM_056793161.1	A	BRAKERILHT00000012407	A
rna-XM_056793160.1	A	BRAKERILHT00000014646	A
rna-XM_056793181.1	A	BRAKERILHT00000014697	A
rna-XM_056793166.1	A	BRAKERILHT00000012645	A
rna-XM_056793169.1	A	BRAKERILHT00000013921	A
rna-XM_056793175.1	A	BRAKERILHT00000012943	A
rna-XM_056793171.1	A	BRAKERILHT00000013481	A
rna-XM_056793179.1	A	BRAKERILHT00000012999	A
rna-XM_056793168.1	A	BRAKERILHT00000012778	A
rna-XM_056793183.1	A	BRAKERILHT00000013968	A
rna-XM_056793185.1	A	BRAKERILHT00000013361	A
rna-XM_056793194.1	A	BRAKERILHT00000012939	A
rna-XM_056793193.1	A	BRAKERILHT00000005206	A
rna-XM_056793192.1	A	BRAKERILHT00000004638	A
rna-XM_056793186.1	A	BRAKERILHT00000004634	A
rna-XM_056793195.1	A	BRAKERILHT00000005622	A
rna-XM_056774163.1	A	BRAKERILHT00000016136	A
rna-XM_056774162.1	A	BRAKERILHT00000015571	A
rna-XM_056792851.1	A	BRAKERILHT00000014528	A
rna-XM_056792849.1	A	BRAKERILHT00000004840	A
rna-XM_056792591.1	A	BRAKERILHT00000004845	A
rna-XM_056792595.1	A	BRAKERILHT00000015704	A
rna-XM_056792593.1	A	BRAKERILHT00000005740	A
rna-XM_056792159.1	A	BRAKERILHT00000003420	A
rna-XM_056792154.1	A	BRAKERILHT00000012591	A
rna-XM_056792158.1	A	BRAKERILHT00000003465	A
rna-XM_056792153.1	A	BRAKERILHT00000002196	A
rna-XM_056773928.1	A	BRAKERILHT00000002831	A
rna-XM_056773930.1	A	BRAKERILHT00000003731	A
rna-XM_056773933.1	A	BRAKERILHT00000003453	A
rna-XM_056792155.1	A	BRAKERILHT00000003287	A
rna-XM_056792161.1	A	BRAKERILHT00000002910	A
rna-XM_056792638.1	A	BRAKERILHT00000003764	A
rna-XM_056792909.1	A	BRAKERILHT00000003329	A
rna-XM_056792145.1	A	BRAKERILHT00000002944	A
rna-XM_056792146.1	A	BRAKERILHT00000002463	A
rna-XM_056792634.1	A	BRAKERILHT00000002358	A
rna-XM_056792716.1	A	BRAKERILHT00000003939	A
rna-XM_056792620.1	A	BRAKERILHT00000016384	A
rna-XM_056792619.1	A	BRAKERILHT00000016871	A
rna-XM_056773827.1	A	BRAKERILHT00000012769	A
rna-XM_056773829.1	A	BRAKERILHT00000012660	A
rna-XM_056773828.1	A	BRAKERILHT00000013670	A
rna-XM_056793217.1	A	BRAKERILHT00000003361	A
rna-XM_056791986.1	A	BRAKERILHT00000002866	A
rna-XM_056791983.1	A	BRAKERILHT00000014476	A
rna-XM_056791985.1	A	BRAKERILHT00000005033	A
rna-XM_056791984.1	A	BRAKERILHT00000002324	A
rna-XM_056792361.1	A	BRAKERILHT00000016747	A
rna-XM_056774178.1	A	BRAKERILHT00000009135	A
rna-XM_056792675.1	A	BRAKERILHT00000011995	A
rna-XM_056792568.1	A	BRAKERILHT00000015527	A
rna-XM_056773696.1	A	BRAKERILHT00000004020	A
rna-XM_056773726.1	A	BRAKERILHT00000002108	A
rna-XM_056773732.1	A	BRAKERILHT00000006056	A
rna-XM_056793077.1	A	BRAKERILHT00000005491	A
rna-XM_056793079.1	A	BRAKERILHT00000004613	A
rna-XM_056793081.1	A	BRAKERILHT00000004733	A
rna-XM_056793082.1	A	BRAKERILHT00000004470	A
rna-XM_056793078.1	A	BRAKERILHT00000006291	A
rna-XM_056793085.1	A	BRAKERILHT00000005555	A
rna-XM_056793083.1	A	BRAKERILHT00000005395	A
rna-XM_056792408.1	A	BRAKERILHT00000005834	A
rna-XM_056792421.1	A	BRAKERILHT00000012002	A
rna-XM_056792422.1	A	BRAKERILHT00000006732	A
rna-XM_056792423.1	A	BRAKERILHT00000007308	A
rna-XM_056792428.1	A	BRAKERILHT00000003656	A
rna-XM_056792426.1	A	BRAKERILHT00000002243	A
rna-XM_056792430.1	A	BRAKERILHT00000002327	A
rna-XM_056792441.1	A	BRAKERILHT00000016491	A
rna-XM_056792449.1	A	BRAKERILHT00000015717	A
rna-XM_056792455.1	A	BRAKERILHT00000003121	A
rna-XM_056792457.1	A	BRAKERILHT00000013765	A
rna-XM_056792452.1	A	BRAKERILHT00000015910	A
rna-XM_056792450.1	A	BRAKERILHT00000011975	A
rna-XM_056792462.1	A	BRAKERILHT00000011532	A
rna-XM_056792464.1	A	BRAKERILHT00000014733	A
rna-XM_056793102.1	A	BRAKERILHT00000014098	A
rna-XM_056793103.1	A	BRAKERILHT00000014843	A
rna-XM_056773936.1	A	BRAKERILHT00000015464	A
rna-XM_056792920.1	A	BRAKERILHT00000014585	A
rna-XM_056792917.1	A	BRAKERILHT00000014245	A
rna-XM_056791933.1	A	BRAKERILHT00000012651	A
rna-XM_056792489.1	A	BRAKERILHT00000011590	A
rna-XM_056791995.1	A	BRAKERILHT00000013881	A
rna-XM_056791992.1	A	BRAKERILHT00000011207	A
rna-XM_056791997.1	A	BRAKERILHT00000011665	A
rna-XM_056792259.1	A	BRAKERILHT00000011695	A
rna-XM_056792261.1	A	BRAKERILHT00000012284	A
rna-XM_056792260.1	A	BRAKERILHT00000006952	A
rna-XM_056792262.1	A	BRAKERILHT00000005088	A
rna-XM_056792265.1	A	BRAKERILHT00000006091	A
rna-XM_056792263.1	A	BRAKERILHT00000005958	A
rna-XM_056792268.1	A	BRAKERILHT00000005912	A
rna-XM_056792267.1	A	BRAKERILHT00000012831	A
rna-XM_056792269.1	A	BRAKERILHT00000013619	A
rna-XM_056792952.1	A	BRAKERILHT00000004995	A
rna-XM_056792953.1	A	BRAKERILHT00000014945	A
rna-XM_056793013.1	A	BRAKERILHT00000015382	A
rna-XM_056793012.1	A	BRAKERILHT00000014616	A
rna-XM_056793014.1	A	BRAKERILHT00000007917	A
rna-XM_056792825.1	A	BRAKERILHT00000014218	A
rna-XM_056773674.1	A	BRAKERILHT00000014820	A
rna-XM_056773682.1	A	BRAKERILHT00000015396	A
rna-XM_056773684.1	A	BRAKERILHT00000014056	A
rna-XM_056773683.1	A	BRAKERILHT00000012846	A
rna-XM_056774143.1	A	BRAKERILHT00000014174	A
rna-XM_056774145.1	A	BRAKERILHT00000015027	A
rna-XM_056774144.1	A	BRAKERILHT00000014738	A
rna-XM_056774147.1	A	BRAKERILHT00000014404	A
rna-XM_056773596.1	A	BRAKERILHT00000014812	A
rna-XM_056773594.1	A	BRAKERILHT00000015049	A
rna-XM_056773598.1	A	BRAKERILHT00000014932	A
rna-XM_056773991.1	A	BRAKERILHT00000014407	A
rna-XM_056773989.1	A	BRAKERILHT00000014800	A
rna-XM_056773988.1	A	BRAKERILHT00000014320	A
rna-XM_056773986.1	A	BRAKERILHT00000014586	A
rna-XM_056793129.1	A	BRAKERILHT00000007975	A
rna-XM_056773938.1	A	BRAKERILHT00000008005	A
rna-XM_056792837.1	A	BRAKERILHT00000000199	A
rna-XM_056792839.1	A	BRAKERILHT00000001472	A
rna-XM_056773941.1	A	BRAKERILHT00000001481	A
rna-XM_056792381.1	A	BRAKERILHT00000001976	A
rna-XM_056773756.1	A	BRAKERILHT00000000194	A
rna-XM_056773762.1	A	BRAKERILHT00000000787	A
rna-XM_056773761.1	A	BRAKERILHT00000001112	A
rna-XM_056773759.1	A	BRAKERILHT00000001710	A
rna-XM_056773763.1	A	BRAKERILHT00000014232	A
rna-XM_056792085.1	A	BRAKERILHT00000012386	A
rna-XM_056791991.1	A	BRAKERILHT00000008858	A
rna-XM_056791988.1	A	BRAKERILHT00000010359	A
rna-XM_056792353.1	A	BRAKERILHT00000009816	A
rna-XM_056773942.1	A	BRAKERILHT00000008532	A
rna-XM_056773823.1	A	BRAKERILHT00000008493	A
rna-XM_056773825.1	A	BRAKERILHT00000001152	A
rna-XM_056792796.1	A	BRAKERILHT00000000264	A
rna-XM_056792683.1	A	BRAKERILHT00000001762	A
rna-XM_056792687.1	A	BRAKERILHT00000001933	A
rna-XM_056792859.1	A	BRAKERILHT00000001761	A
rna-XM_056792368.1	A	BRAKERILHT00000002073	A
rna-XM_056792984.1	A	BRAKERILHT00000001464	A
rna-XM_056792986.1	A	BRAKERILHT00000002059	A
rna-XM_056792314.1	A	BRAKERILHT00000001784	A
rna-XM_056792987.1	A	BRAKERILHT00000001107	A
rna-XM_056792990.1	A	BRAKERILHT00000001110	A
rna-XM_056792995.1	A	BRAKERILHT00000012003	A
rna-XM_056792996.1	A	BRAKERILHT00000014548	A
rna-XM_056792993.1	A	BRAKERILHT00000015610	A
rna-XM_056792297.1	A	BRAKERILHT00000015337	A
rna-XM_056792301.1	A	BRAKERILHT00000000195	A
rna-XM_056792166.1	A	BRAKERILHT00000001150	A
rna-XM_056792602.1	A	BRAKERILHT00000001740	A
rna-XM_056792907.1	A	BRAKERILHT00000010926	A
rna-XM_056792908.1	A	BRAKERILHT00000014260	A
rna-XM_056792926.1	A	BRAKERILHT00000008157	A
rna-XM_056792927.1	A	BRAKERILHT00000014936	A
rna-XM_056792076.1	A	BRAKERILHT00000000279	A
rna-XM_056792074.1	A	BRAKERILHT00000014813	A
rna-XM_056792072.1	A	BRAKERILHT00000007478	A
rna-XM_056792403.1	A	BRAKERILHT00000008869	A
rna-XM_056773946.1	A	BRAKERILHT00000014109	A
rna-XM_056773949.1	A	BRAKERILHT00000009140	A
rna-XM_056792326.1	A	BRAKERILHT00000015499	A
rna-XM_056793076.1	A	BRAKERILHT00000009370	A
rna-XM_056792645.1	A	BRAKERILHT00000014833	A
rna-XM_056792646.1	A	BRAKERILHT00000000036	A
rna-XM_056792905.1	A	BRAKERILHT00000016405	A
rna-XM_056792906.1	A	BRAKERILHT00000000453	A
rna-XM_056774072.1	A	BRAKERILHT00000010213	A
rna-XM_056774073.1	A	BRAKERILHT00000008946	A
rna-XM_056774071.1	A	BRAKERILHT00000002562	A
rna-XM_056774068.1	A	BRAKERILHT00000014673	A
rna-XM_056774092.1	A	BRAKERILHT00000016162	A
rna-XM_056774098.1	A	BRAKERILHT00000009433	A
rna-XM_056774096.1	A	BRAKERILHT00000015955	A
rna-XM_056792319.1	A	BRAKERILHT00000015420	A
rna-XM_056792640.1	A	BRAKERILHT00000000029	A
rna-XM_056792641.1	A	BRAKERILHT00000001541	A
rna-XM_056791964.1	A	BRAKERILHT00000000980	A
rna-XM_056791965.1	A	BRAKERILHT00000010340	A
rna-XM_056791970.1	A	BRAKERILHT00000001226	A
rna-XM_056791968.1	A	BRAKERILHT00000000370	A
rna-XM_056776052.1	A	BRAKERILHT00000008246	A
rna-XM_056776056.1	A	BRAKERILHT00000006489	A
rna-XM_056776062.1	A	BRAKERILHT00000006893	A
rna-XM_056776066.1	A	BRAKERILHT00000001176	A
rna-XM_056774486.1	A	BRAKERILHT00000000393	A
rna-XM_056774487.1	A	BRAKERILHT00000000982	A
rna-XM_056775143.1	A	BRAKERILHT00000001307	A
rna-XM_056775096.1	A	BRAKERILHT00000000086	A
rna-XM_056775082.1	A	BRAKERILHT00000001639	A
rna-XM_056775087.1	A	BRAKERILHT00000000946	A
rna-XM_056774878.1	A	BRAKERILHT00000000235	A
rna-XM_056774506.1	A	BRAKERILHT00000001189	A
rna-XM_056774509.1	A	BRAKERILHT00000001765	A
rna-XM_056774360.1	A	BRAKERILHT00000002104	A
rna-XM_056774824.1	A	BRAKERILHT00000000674	A
rna-XM_056775596.1	A	BRAKERILHT00000000132	A
rna-XM_056775595.1	A	BRAKERILHT00000000562	A
rna-XM_056774729.1	A	BRAKERILHT00000008351	A
rna-XM_056774730.1	A	BRAKERILHT00000007724	A
rna-XM_056775584.1	A	BRAKERILHT00000008367	A
rna-XM_056774516.1	A	BRAKERILHT00000007782	A
rna-XM_056774812.1	A	BRAKERILHT00000016465	A
rna-XM_056775033.1	A	BRAKERILHT00000015690	A
rna-XM_056775032.1	A	BRAKERILHT00000003079	A
rna-XM_056775337.1	A	BRAKERILHT00000009777	A
rna-XM_056774859.1	A	BRAKERILHT00000015988	A
rna-XM_056775608.1	A	BRAKERILHT00000016120	A
rna-XM_056775386.1	A	BRAKERILHT00000016386	A
rna-XM_056776320.1	A	BRAKERILHT00000016231	A
rna-XM_056774518.1	A	BRAKERILHT00000016614	A
rna-XM_056774970.1	A	BRAKERILHT00000016727	A
rna-XM_056775379.1	A	BRAKERILHT00000015756	A
rna-XM_056774762.1	A	BRAKERILHT00000007331	A
rna-XM_056774761.1	A	BRAKERILHT00000006617	A
rna-XM_056775184.1	A	BRAKERILHT00000008158	A
rna-XM_056775089.1	A	BRAKERILHT00000016112	A
rna-XM_056775088.1	A	BRAKERILHT00000006428	A
rna-XM_056775285.1	A	BRAKERILHT00000007207	A
rna-XM_056776265.1	A	BRAKERILHT00000008399	A
rna-XM_056776250.1	A	BRAKERILHT00000007785	A
rna-XM_056776257.1	A	BRAKERILHT00000006916	A
rna-XM_056776254.1	A	BRAKERILHT00000014464	A
rna-XM_056776259.1	A	BRAKERILHT00000016498	A
rna-XM_056775210.1	A	BRAKERILHT00000015950	A
rna-XM_056774964.1	A	BRAKERILHT00000016152	A
rna-XM_056774941.1	A	BRAKERILHT00000016127	A
rna-XM_056774943.1	A	BRAKERILHT00000012653	A
rna-XM_056774938.1	A	BRAKERILHT00000008548	A
rna-XM_056775381.1	A	BRAKERILHT00000009687	A
rna-XM_056774350.1	A	BRAKERILHT00000016779	A
rna-XM_056774357.1	A	BRAKERILHT00000012080	A
rna-XM_056774355.1	A	BRAKERILHT00000013688	A
rna-XM_056774818.1	A	BRAKERILHT00000009486	A
rna-XM_056775301.1	A	BRAKERILHT00000003097	A
rna-XM_056776196.1	A	BRAKERILHT00000016071	A
rna-XM_056775259.1	A	BRAKERILHT00000006971	A
rna-XM_056774976.1	A	BRAKERILHT00000008416	A
rna-XM_056774982.1	A	BRAKERILHT00000007046	A
rna-XM_056774984.1	A	BRAKERILHT00000009908	A
rna-XM_056775055.1	A	BRAKERILHT00000015991	A
rna-XM_056775050.1	A	BRAKERILHT00000003528	A
rna-XM_056775062.1	A	BRAKERILHT00000016146	A
rna-XM_056775061.1	A	BRAKERILHT00000006717	A
rna-XM_056775070.1	A	BRAKERILHT00000006057	A
rna-XM_056775071.1	A	BRAKERILHT00000005445	A
rna-XM_056775078.1	A	BRAKERILHT00000005141	A
rna-XM_056775339.1	A	BRAKERILHT00000005279	A
rna-XM_056774682.1	A	BRAKERILHT00000005222	A
rna-XM_056775172.1	A	BRAKERILHT00000006406	A
rna-XM_056775762.1	A	BRAKERILHT00000005003	A
rna-XM_056775764.1	A	BRAKERILHT00000005688	A
rna-XM_056775752.1	A	BRAKERILHT00000005427	A
rna-XM_056775585.1	A	BRAKERILHT00000002021	A
rna-XM_056775594.1	A	BRAKERILHT00000002964	A
rna-XM_056775591.1	A	BRAKERILHT00000003742	A
rna-XM_056775299.1	A	BRAKERILHT00000009092	A
rna-XM_056774975.1	A	BRAKERILHT00000008526	A
rna-XM_056775168.1	A	BRAKERILHT00000008657	A
rna-XM_056774974.1	A	BRAKERILHT00000010037	A
rna-XM_056775211.1	A	BRAKERILHT00000009470	A
rna-XM_056774821.1	A	BRAKERILHT00000009381	A
rna-XM_056774736.1	A	BRAKERILHT00000008852	A
rna-XM_056775418.1	A	BRAKERILHT00000010233	A
rna-XM_056775615.1	A	BRAKERILHT00000009701	A
rna-XM_056774771.1	A	BRAKERILHT00000008217	A
rna-XM_056774772.1	A	BRAKERILHT00000000137	A
rna-XM_056775257.1	A	BRAKERILHT00000014049	A
rna-XM_056774779.1	A	BRAKERILHT00000007859	A
rna-XM_056775248.1	A	BRAKERILHT00000005298	A
rna-XM_056774840.1	A	BRAKERILHT00000013035	A
rna-XM_056774531.1	A	BRAKERILHT00000006868	A
rna-XM_056774262.1	A	BRAKERILHT00000002410	A
rna-XM_056774265.1	A	BRAKERILHT00000015911	A
rna-XM_056775315.1	A	BRAKERILHT00000011262	A
rna-XM_056776323.1	A	BRAKERILHT00000013947	A
rna-XM_056776325.1	A	BRAKERILHT00000012670	A
rna-XM_056776238.1	A	BRAKERILHT00000011925	A
rna-XM_056775344.1	A	BRAKERILHT00000011902	A
rna-XM_056776096.1	A	BRAKERILHT00000011151	A
rna-XM_056776097.1	A	BRAKERILHT00000014858	A
rna-XM_056774793.1	A	BRAKERILHT00000001164	A
rna-XM_056774796.1	A	BRAKERILHT00000000246	A
rna-XM_056774804.1	A	BRAKERILHT00000000636	A
rna-XM_056774809.1	A	BRAKERILHT00000004185	A
rna-XM_056776270.1	A	BRAKERILHT00000016757	A
rna-XM_056776275.1	A	BRAKERILHT00000001587	A
rna-XM_056774767.1	A	BRAKERILHT00000016494	A
rna-XM_056775349.1	A	BRAKERILHT00000014491	A
rna-XM_056774819.1	A	BRAKERILHT00000011299	A
rna-XM_056774832.1	A	BRAKERILHT00000001751	A
rna-XM_056774839.1	A	BRAKERILHT00000010173	A
rna-XM_056774375.1	A	BRAKERILHT00000006762	A
rna-XM_056774873.1	A	BRAKERILHT00000003794	A
rna-XM_056774380.1	A	BRAKERILHT00000013271	A
rna-XM_056774384.1	A	BRAKERILHT00000012969	A
rna-XM_056774389.1	A	BRAKERILHT00000014403	A
rna-XM_056774392.1	A	BRAKERILHT00000012067	A
rna-XM_056774397.1	A	BRAKERILHT00000015078	A
rna-XM_056774398.1	A	BRAKERILHT00000013172	A
rna-XM_056774407.1	A	BRAKERILHT00000016731	A
rna-XM_056774400.1	A	BRAKERILHT00000013241	A
rna-XM_056774406.1	A	BRAKERILHT00000013050	A
rna-XM_056774405.1	A	BRAKERILHT00000013422	A
rna-XM_056775445.1	A	BRAKERILHT00000008254	A
rna-XM_056774768.1	A	BRAKERILHT00000002817	A
rna-XM_056776047.1	A	BRAKERILHT00000000475	A
rna-XM_056776051.1	A	BRAKERILHT00000001872	A
rna-XM_056774505.1	A	BRAKERILHT00000003203	A
rna-XM_056774488.1	A	BRAKERILHT00000002887	A
rna-XM_056775450.1	A	BRAKERILHT00000014696	A
rna-XM_056774870.1	A	BRAKERILHT00000013120	A
rna-XM_056774872.1	A	BRAKERILHT00000013994	A
rna-XM_056775649.1	A	BRAKERILHT00000004005	A
rna-XM_056775921.1	A	BRAKERILHT00000002568	A
rna-XM_056775924.1	A	BRAKERILHT00000015549	A
rna-XM_056775927.1	A	BRAKERILHT00000012198	A
rna-XM_056775926.1	A	BRAKERILHT00000003035	A
rna-XM_056775932.1	A	BRAKERILHT00000003162	A
rna-XM_056775933.1	A	BRAKERILHT00000012665	A
rna-XM_056775930.1	A	BRAKERILHT00000013038	A
rna-XM_056775928.1	A	BRAKERILHT00000013827	A
rna-XM_056775934.1	A	BRAKERILHT00000013458	A
rna-XM_056775936.1	A	BRAKERILHT00000012979	A
rna-XM_056775937.1	A	BRAKERILHT00000005179	A
rna-XM_056775938.1	A	BRAKERILHT00000006197	A
rna-XM_056775939.1	A	BRAKERILHT00000002381	A
rna-XM_056775941.1	A	BRAKERILHT00000005939	A
rna-XM_056775943.1	A	BRAKERILHT00000005337	A
rna-XM_056775948.1	A	BRAKERILHT00000002573	A
rna-XM_056775947.1	A	BRAKERILHT00000005305	A
rna-XM_056775944.1	A	BRAKERILHT00000008715	A
rna-XM_056775945.1	A	BRAKERILHT00000010061	A
rna-XM_056775949.1	A	BRAKERILHT00000002591	A
rna-XM_056775453.1	A	BRAKERILHT00000004041	A
rna-XM_056775957.1	A	BRAKERILHT00000013661	A
rna-XM_056775959.1	A	BRAKERILHT00000011399	A
rna-XM_056775960.1	A	BRAKERILHT00000011896	A
rna-XM_056775964.1	A	BRAKERILHT00000012727	A
rna-XM_056775961.1	A	BRAKERILHT00000012120	A
rna-XM_056775458.1	A	BRAKERILHT00000015213	A
rna-XM_056775387.1	A	BRAKERILHT00000009006	A
rna-XM_056776067.1	A	BRAKERILHT00000013117	A
rna-XM_056774805.1	A	BRAKERILHT00000004668	A
rna-XM_056775769.1	A	BRAKERILHT00000006471	A
rna-XM_056775777.1	A	BRAKERILHT00000005170	A
rna-XM_056775782.1	A	BRAKERILHT00000003256	A
rna-XM_056775783.1	A	BRAKERILHT00000003042	A
rna-XM_056775391.1	A	BRAKERILHT00000003442	A
rna-XM_056775643.1	A	BRAKERILHT00000003882	A
rna-XM_056775641.1	A	BRAKERILHT00000002612	A
rna-XM_056775106.1	A	BRAKERILHT00000003236	A
rna-XM_056775109.1	A	BRAKERILHT00000002728	A
rna-XM_056775104.1	A	BRAKERILHT00000004210	A
rna-XM_056775289.1	A	BRAKERILHT00000003609	A
rna-XM_056774507.1	A	BRAKERILHT00000003522	A
rna-XM_056774678.1	A	BRAKERILHT00000004028	A
rna-XM_056774680.1	A	BRAKERILHT00000003018	A
rna-XM_056775192.1	A	BRAKERILHT00000004338	A
rna-XM_056775886.1	A	BRAKERILHT00000002718	A
rna-XM_056774775.1	A	BRAKERILHT00000003134	A
rna-XM_056775099.1	A	BRAKERILHT00000003390	A
rna-XM_056775098.1	A	BRAKERILHT00000003491	A
rna-XM_056775466.1	A	BRAKERILHT00000008099	A
rna-XM_056775236.1	A	BRAKERILHT00000008967	A
rna-XM_056775237.1	A	BRAKERILHT00000008513	A
rna-XM_056774886.1	A	BRAKERILHT00000009503	A
rna-XM_056775467.1	A	BRAKERILHT00000009886	A
rna-XM_056775795.1	A	BRAKERILHT00000003574	A
rna-XM_056775796.1	A	BRAKERILHT00000002742	A
rna-XM_056775800.1	A	BRAKERILHT00000003180	A
rna-XM_056775802.1	A	BRAKERILHT00000003076	A
rna-XM_056774891.1	A	BRAKERILHT00000004161	A
rna-XM_056774889.1	A	BRAKERILHT00000003607	A
rna-XM_056774890.1	A	BRAKERILHT00000004208	A
rna-XM_056774529.1	A	BRAKERILHT00000003198	A
rna-XM_056775471.1	A	BRAKERILHT00000001180	A
rna-XM_056775473.1	A	BRAKERILHT00000000899	A
rna-XM_056775166.1	A	BRAKERILHT00000000466	A
rna-XM_056775163.1	A	BRAKERILHT00000006402	A
rna-XM_056775164.1	A	BRAKERILHT00000001090	A
rna-XM_056774920.1	A	BRAKERILHT00000001408	A
rna-XM_056774948.1	A	BRAKERILHT00000002158	A
rna-XM_056774860.1	A	BRAKERILHT00000002009	A
rna-XM_056775382.1	A	BRAKERILHT00000000184	A
rna-XM_056774995.1	A	BRAKERILHT00000001721	A
rna-XM_056775970.1	A	BRAKERILHT00000002025	A
rna-XM_056775972.1	A	BRAKERILHT00000005665	A
rna-XM_056775978.1	A	BRAKERILHT00000007307	A
rna-XM_056775982.1	A	BRAKERILHT00000007159	A
rna-XM_056775986.1	A	BRAKERILHT00000006612	A
rna-XM_056775989.1	A	BRAKERILHT00000002810	A
rna-XM_056775990.1	A	BRAKERILHT00000002306	A
rna-XM_056775992.1	A	BRAKERILHT00000006747	A
rna-XM_056775999.1	A	BRAKERILHT00000005360	A
rna-XM_056775998.1	A	BRAKERILHT00000005828	A
rna-XM_056776007.1	A	BRAKERILHT00000006436	A
rna-XM_056776005.1	A	BRAKERILHT00000005091	A
rna-XM_056776008.1	A	BRAKERILHT00000008486	A
rna-XM_056776010.1	A	BRAKERILHT00000012502	A
rna-XM_056776012.1	A	BRAKERILHT00000005808	A
rna-XM_056776013.1	A	BRAKERILHT00000004640	A
rna-XM_056776015.1	A	BRAKERILHT00000006019	A
rna-XM_056776022.1	A	BRAKERILHT00000011876	A
rna-XM_056776018.1	A	BRAKERILHT00000010519	A
rna-XM_056776023.1	A	BRAKERILHT00000012065	A
rna-XM_056775044.1	A	BRAKERILHT00000001277	A
rna-XM_056775045.1	A	BRAKERILHT00000011019	A
rna-XM_056775173.1	A	BRAKERILHT00000007288	A
rna-XM_056775321.1	A	BRAKERILHT00000010490	A
rna-XM_056774887.1	A	BRAKERILHT00000014762	A
rna-XM_056775476.1	A	BRAKERILHT00000004589	A
rna-XM_056774473.1	A	BRAKERILHT00000013388	A
rna-XM_056774300.1	A	BRAKERILHT00000010573	A
rna-XM_056774303.1	A	BRAKERILHT00000011950	A
rna-XM_056775436.1	A	BRAKERILHT00000012404	A
rna-XM_056774934.1	A	BRAKERILHT00000013618	A
rna-XM_056775372.1	A	BRAKERILHT00000013584	A
rna-XM_056776033.1	A	BRAKERILHT00000012743	A
rna-XM_056776035.1	A	BRAKERILHT00000012833	A
rna-XM_056776036.1	A	BRAKERILHT00000013049	A
rna-XM_056776034.1	A	BRAKERILHT00000012500	A
rna-XM_056776031.1	A	BRAKERILHT00000013270	A
rna-XM_056774429.1	A	BRAKERILHT00000013713	A
rna-XM_056775203.1	A	BRAKERILHT00000008804	A
rna-XM_056774439.1	A	BRAKERILHT00000013384	A
rna-XM_056774864.1	A	BRAKERILHT00000013343	A
rna-XM_056775479.1	A	BRAKERILHT00000013209	A
rna-XM_056776215.1	A	BRAKERILHT00000013456	A
rna-XM_056774754.1	A	BRAKERILHT00000012421	A
rna-XM_056774962.1	A	BRAKERILHT00000016003	A
rna-XM_056774968.1	A	BRAKERILHT00000015229	A
rna-XM_056775601.1	A	BRAKERILHT00000014401	A
rna-XM_056775604.1	A	BRAKERILHT00000014541	A
rna-XM_056775605.1	A	BRAKERILHT00000014740	A
rna-XM_056775157.1	A	BRAKERILHT00000012533	A
rna-XM_056775160.1	A	BRAKERILHT00000002771	A
rna-XM_056775161.1	A	BRAKERILHT00000013859	A
rna-XM_056775606.1	A	BRAKERILHT00000013642	A
rna-XM_056774885.1	A	BRAKERILHT00000012931	A
rna-XM_056775482.1	A	BRAKERILHT00000012435	A
rna-XM_056774549.1	A	BRAKERILHT00000014010	A
rna-XM_056774561.1	A	BRAKERILHT00000000718	A
rna-XM_056774542.1	A	BRAKERILHT00000015587	A
rna-XM_056774564.1	A	BRAKERILHT00000015178	A
rna-XM_056774569.1	A	BRAKERILHT00000014512	A
rna-XM_056774589.1	A	BRAKERILHT00000015090	A
rna-XM_056774587.1	A	BRAKERILHT00000014630	A
rna-XM_056774590.1	A	BRAKERILHT00000007051	A
rna-XM_056774593.1	A	BRAKERILHT00000014530	A
rna-XM_056774595.1	A	BRAKERILHT00000005231	A
rna-XM_056774596.1	A	BRAKERILHT00000006157	A
rna-XM_056774597.1	A	BRAKERILHT00000014794	A
