C_chinensis	chromosome	A_obtectus	chromosome
anno1.g12736.t1	A	anno1.g473.t2	A
anno1.g12703.t1	A	anno1.g11068.t1	A
anno1.g12704.t2	A	anno1.g11005.t1	A
anno1.g12705.t1	A	anno1.g11008.t1	A
anno1.g12706.t1	A	anno1.g11798.t1	A
anno1.g12698.t2	A	anno1.g13102.t1	A
anno1.g12699.t1	A	anno1.g2542.t1	A
anno1.g12702.t1	A	anno1.g13101.t1	A
anno1.g12686.t1	A	anno1.g3444.t1	A
anno1.g12687.t2	A	anno1.g3998.t1	A
anno1.g12688.t1	A	anno1.g3997.t1	A
anno1.g12689.t1	A	anno1.g3995.t1	A
anno1.g12690.t1	A	anno1.g3996.t1	A
anno1.g12692.t2	A	anno1.g3994.t1	A
anno1.g2729.t1	X	anno1.g2022.t1	X
anno1.g2730.t1	X	anno1.g2023.t1	X
anno1.g2731.t1	X	anno1.g2034.t1	X
anno1.g2732.t5	X	anno1.g2033.t1	X
anno1.g2734.t1	X	anno1.g1967.t1	X
anno1.g12683.t1	A	anno1.g10751.t1	A
anno1.g12680.t1	X	anno1.g1855.t1	X
anno1.g12681.t1	X	anno1.g1856.t1	X
anno1.g12664.t1	A	anno1.g3345.t1	A
anno1.g12665.t1	A	anno1.g3346.t1	A
anno1.g12667.t4	A	anno1.g3348.t1	A
anno1.g12671.t3	A	anno1.g3351.t1	A
anno1.g12672.t1	A	anno1.g3353.t1	A
anno1.g12675.t1	A	anno1.g3356.t3	A
anno1.g12657.t1	A	anno1.g5457.t1	A
anno1.g12659.t1	A	anno1.g5458.t1	A
anno1.g12649.t1	A	anno1.g2653.t1	A
anno1.g12650.t1	A	anno1.g9160.t1	A
anno1.g12651.t1	A	anno1.g5941.t1	A
anno1.g12652.t1	A	anno1.g5940.t1	A
anno1.g12653.t1	A	anno1.g5938.t1	A
anno1.g12654.t1	A	anno1.g5936.t2	A
anno1.g12645.t1	A	anno1.g532.t1	A
anno1.g12646.t1	A	anno1.g531.t1	A
anno1.g2725.t1	A	anno1.g14744.t1	A
anno1.g12644.t1	A	anno1.g12989.t1	A
anno1.g12638.t1	A	anno1.g11992.t1	A
anno1.g12640.t1	A	anno1.g7438.t1	A
anno1.g12643.t1	A	anno1.g7437.t1	A
anno1.g2724.t1	A	anno1.g857.t2	A
anno1.g12635.t2	A	anno1.g7445.t1	A
anno1.g2720.t2	A	anno1.g11628.t1	A
anno1.g12633.t1	A	anno1.g2027.t2	X
anno1.g12592.t2	A	anno1.g13268.t1	A
anno1.g12593.t1	A	anno1.g13251.t1	A
anno1.g12594.t1	A	anno1.g13257.t1	A
anno1.g12595.t1	A	anno1.g13256.t1	A
anno1.g12596.t1	A	anno1.g13252.t1	A
anno1.g12597.t1	A	anno1.g13253.t1	A
anno1.g12598.t1	A	anno1.g13254.t1	A
anno1.g12599.t1	A	anno1.g13259.t1	A
anno1.g12600.t1	A	anno1.g13261.t1	A
anno1.g12601.t1	A	anno1.g13262.t1	A
anno1.g12602.t1	A	anno1.g13263.t1	A
anno1.g12603.t1	A	anno1.g13264.t1	A
anno1.g12604.t1	A	anno1.g13265.t1	A
anno1.g12605.t1	A	anno1.g13266.t1	A
anno1.g12609.t3	A	anno1.g13248.t3	A
anno1.g12610.t1	A	anno1.g13249.t1	A
anno1.g12611.t1	A	anno1.g13247.t1	A
anno1.g12612.t1	A	anno1.g13239.t1	A
anno1.both_agree_g17207.t2	A	anno1.g13240.t1	A
anno1.g12614.t1	A	anno1.g13241.t1	A
anno1.g12615.t1	A	anno1.g13242.t1	A
anno1.g12616.t1	A	anno1.g13244.t1	A
anno1.g12618.t1	A	anno1.g13245.t1	A
anno1.g12619.t1	A	anno1.g13246.t1	A
anno1.g12620.t1	A	anno1.g2569.t1	A
anno1.g12621.t1	A	anno1.g13274.t1	A
anno1.g12622.t1	A	anno1.g13275.t1	A
anno1.g12623.t1	A	anno1.g13276.t1	A
anno1.g12624.t1	A	anno1.g13277.t1	A
anno1.g12626.t1	A	anno1.g13279.t1	A
anno1.g12627.t2	A	anno1.g13280.t2	A
anno1.g12579.t1	A	anno1.g12844.t2	A
anno1.g12581.t1	A	anno1.g12842.t1	A
anno1.g12588.t1	A	anno1.g13121.t1	A
anno1.g12589.t1	A	anno1.g13120.t1	A
anno1.g12590.t1	A	anno1.g13119.t2	A
anno1.g12570.t1	A	anno1.g1143.t1	A
anno1.g12571.t2	A	anno1.g1142.t1	A
anno1.g12574.t1	A	anno1.g1141.t2	A
anno1.g12576.t1	A	anno1.g1140.t1	A
anno1.g12577.t1	A	anno1.g1139.t1	A
anno1.g12578.t2	A	anno1.g1138.t3	A
anno1.g2625.t2	A	anno1.g6959.t2	A
anno1.g2626.t1	A	anno1.g6960.t1	A
anno1.g2627.t1	A	anno1.g7589.t1	A
anno1.g2628.t2	A	anno1.g7588.t1	A
anno1.g2630.t1	A	anno1.g7656.t1	A
anno1.g2631.t1	A	anno1.g6961.t1	A
anno1.g2632.t1	A	anno1.g6962.t2	A
anno1.g2633.t1	A	anno1.g6964.t2	A
anno1.g2634.t1	A	anno1.g6965.t1	A
anno1.g2636.t1	A	anno1.g6968.t1	A
anno1.g2637.t2	A	anno1.g6969.t5	A
anno1.g2638.t1	A	anno1.g6970.t2	A
anno1.g2639.t2	A	anno1.g6971.t1	A
anno1.g2640.t1	A	anno1.g6972.t2	A
anno1.g2641.t1	A	anno1.g6973.t1	A
anno1.g2642.t1	A	anno1.g6259.t1	A
anno1.g2643.t1	A	anno1.g6261.t1	A
anno1.g2644.t2	A	anno1.g6262.t2	A
anno1.g2646.t1	A	anno1.g6263.t1	A
anno1.g2647.t1	A	anno1.g6264.t1	A
anno1.g2648.t2	A	anno1.g6265.t2	A
anno1.g2649.t1	A	anno1.g6268.t1	A
anno1.g2650.t1	A	anno1.g6267.t1	A
anno1.g2651.t1	A	anno1.g6269.t1	A
anno1.g2652.t1	A	anno1.g6270.t1	A
anno1.g2653.t2	A	anno1.g6271.t1	A
anno1.g2654.t1	A	anno1.g6272.t1	A
anno1.g2655.t1	A	anno1.g6273.t1	A
anno1.g2656.t1	A	anno1.g6274.t1	A
anno1.g2658.t1	A	anno1.g6275.t1	A
anno1.g2659.t1	A	anno1.g6276.t2	A
anno1.g2660.t3	A	anno1.g6277.t3	A
anno1.g2661.t1	A	anno1.g6278.t1	A
anno1.g2662.t1	A	anno1.g6279.t1	A
anno1.g2663.t1	A	anno1.g6280.t1	A
anno1.g2664.t1	A	anno1.g6281.t1	A
anno1.g2665.t1	A	anno1.g6282.t1	A
anno1.g2667.t1	A	anno1.g6283.t1	A
anno1.g2668.t1	A	anno1.g6285.t1	A
anno1.g2670.t1	A	anno1.g10843.t1	A
anno1.g2673.t1	A	anno1.g4592.t1	A
anno1.g2674.t1	A	anno1.g6290.t1	A
anno1.g2675.t1	A	anno1.g6291.t1	A
anno1.g2677.t1	A	anno1.g6292.t1	A
anno1.both_agree_g21132.t2	A	anno1.g6293.t1	A
anno1.g2679.t1	A	anno1.g6295.t1	A
anno1.g2680.t1	A	anno1.g6296.t1	A
anno1.g2681.t1	A	anno1.g6298.t2	A
anno1.g2682.t1	A	anno1.g6299.t2	A
anno1.g2683.t1	A	anno1.g6300.t2	A
anno1.g2684.t1	A	anno1.g6301.t1	A
anno1.g2685.t1	A	anno1.g6302.t1	A
anno1.g2686.t1	A	anno1.g6303.t1	A
anno1.g2687.t1	A	anno1.g6304.t1	A
anno1.g2688.t1	A	anno1.g6306.t2	A
anno1.g2689.t1	A	anno1.g6307.t1	A
anno1.g2690.t1	A	anno1.g6308.t1	A
anno1.g2691.t1	A	anno1.g6309.t1	A
anno1.g2692.t1	A	anno1.g6310.t1	A
anno1.g2693.t2	A	anno1.g6311.t1	A
anno1.g2694.t1	A	anno1.g6312.t2	A
anno1.g2695.t1	A	anno1.g6313.t1	A
anno1.g2696.t1	A	anno1.g6314.t1	A
anno1.g2697.t1	A	anno1.g6315.t1	A
anno1.g2698.t1	A	anno1.g6317.t1	A
anno1.g2699.t2	A	anno1.g6318.t1	A
anno1.g2700.t1	A	anno1.g6319.t1	A
anno1.g2701.t1	A	anno1.g6320.t1	A
anno1.g2702.t2	A	anno1.g6321.t1	A
anno1.g2703.t1	A	anno1.g6322.t1	A
anno1.g2704.t1	A	anno1.g6324.t2	A
anno1.g2705.t1	A	anno1.g6325.t1	A
anno1.g2706.t1	A	anno1.g6326.t1	A
anno1.g2707.t1	A	anno1.g6328.t1	A
anno1.g2708.t1	A	anno1.g6329.t1	A
anno1.g2709.t3	A	anno1.g6330.t3	A
anno1.g2710.t1	A	anno1.g14623.t1	A
anno1.g2711.t1	A	anno1.g14294.t1	A
anno1.g2712.t1	A	anno1.g7170.t1	A
anno1.g2713.t1	A	anno1.g7175.t1	A
anno1.g2714.t1	A	anno1.g7281.t1	A
anno1.g2716.t1	A	anno1.g8166.t1	A
anno1.g2595.t2	A	anno1.g9272.t1	A
anno1.g2596.t4	A	anno1.g9270.t3	A
anno1.g2597.t1	A	anno1.g9271.t1	A
anno1.g2598.t1	A	anno1.g2395.t1	A
anno1.g2599.t1	A	anno1.g2396.t1	A
anno1.g2600.t2	A	anno1.g2397.t2	A
anno1.g2602.t1	A	anno1.g2399.t1	A
anno1.g2603.t2	A	anno1.g2400.t3	A
anno1.g2604.t2	A	anno1.g2401.t1	A
anno1.g2606.t1	A	anno1.g2402.t1	A
anno1.g2609.t1	A	anno1.g2404.t2	A
anno1.g2610.t1	A	anno1.g2403.t1	A
anno1.g2611.t1	A	anno1.g2405.t1	A
anno1.g2612.t1	A	anno1.g2406.t1	A
anno1.g2613.t1	A	anno1.g2407.t1	A
anno1.g2614.t2	A	anno1.g2409.t3	A
anno1.g2615.t1	A	anno1.g2985.t1	A
anno1.g2616.t1	A	anno1.g2986.t2	A
anno1.g2617.t1	A	anno1.g2987.t1	A
anno1.g2618.t1	A	anno1.g2988.t1	A
anno1.g2619.t1	A	anno1.g2989.t2	A
anno1.g2620.t1	A	anno1.g2991.t1	A
anno1.g2621.t1	A	anno1.g2992.t1	A
anno1.g12564.t1	X	anno1.g2149.t1	X
anno1.g12562.t1	A	anno1.g8771.t1	A
anno1.g2587.t1	A	anno1.both_agree_g316.t1	A
anno1.g12560.t1	A	anno1.g5321.t1	A
anno1.g12481.t1	A	anno1.g11731.t1	A
anno1.g12482.t4	A	anno1.g11729.t3	A
anno1.g12483.t1	A	anno1.g11728.t1	A
anno1.g12484.t2	A	anno1.g11727.t1	A
anno1.g12485.t1	A	anno1.g11421.t1	A
anno1.g12486.t1	A	anno1.g11419.t1	A
anno1.g12488.t1	A	anno1.g11417.t1	A
anno1.g12491.t1	A	anno1.g4633.t1	A
anno1.g12495.t1	A	anno1.g11414.t1	A
anno1.g12496.t1	A	anno1.g11412.t2	A
anno1.g12502.t1	A	anno1.g11411.t2	A
anno1.g12503.t1	A	anno1.g11410.t1	A
anno1.g12504.t1	A	anno1.g11409.t1	A
anno1.g12505.t1	A	anno1.g11407.t1	A
anno1.g12507.t1	A	anno1.g11404.t1	A
anno1.g12510.t1	A	anno1.g11402.t1	A
anno1.g12511.t1	A	anno1.g11401.t1	A
anno1.g12512.t2	A	anno1.g11400.t1	A
anno1.g12513.t1	A	anno1.g2961.t1	A
anno1.g12514.t1	A	anno1.g11399.t1	A
anno1.g12515.t1	A	anno1.g11398.t1	A
anno1.g12516.t1	A	anno1.g11395.t1	A
anno1.g12517.t1	A	anno1.g11394.t1	A
anno1.g12518.t1	A	anno1.g11393.t1	A
anno1.g12519.t1	A	anno1.g11392.t1	A
anno1.g12520.t1	A	anno1.g11391.t1	A
anno1.g12521.t1	A	anno1.g11390.t1	A
anno1.g12522.t1	A	anno1.g14740.t1	A
anno1.g12523.t1	A	anno1.g14739.t2	A
anno1.g12524.t1	A	anno1.g14738.t1	A
anno1.g12525.t1	A	anno1.g14737.t1	A
anno1.g12527.t1	A	anno1.g11383.t1	A
anno1.g12528.t1	A	anno1.g11381.t1	A
anno1.g12529.t1	A	anno1.g11378.t1	A
anno1.g12531.t1	A	anno1.g11376.t1	A
anno1.g12532.t1	A	anno1.g11372.t1	A
anno1.g12533.t1	A	anno1.g11370.t1	A
anno1.g12535.t1	A	anno1.g11369.t7	A
anno1.g12536.t1	A	anno1.g11368.t1	A
anno1.g12538.t1	A	anno1.g11367.t1	A
anno1.g12539.t1	A	anno1.g11878.t1	A
anno1.g12540.t1	A	anno1.g11366.t2	A
anno1.g12541.t1	A	anno1.g11365.t1	A
anno1.g12542.t1	A	anno1.g11364.t1	A
anno1.g12543.t1	A	anno1.g11361.t1	A
anno1.g12544.t1	A	anno1.g11360.t1	A
anno1.g12546.t2	A	anno1.g11356.t1	A
anno1.g12547.t1	A	anno1.g11355.t1	A
anno1.g12548.t2	A	anno1.g11354.t3	A
anno1.g12549.t1	A	anno1.g11353.t1	A
anno1.g12550.t1	A	anno1.g11352.t1	A
anno1.g12551.t2	A	anno1.g11351.t2	A
anno1.g12552.t1	A	anno1.g11350.t2	A
anno1.g12556.t1	A	anno1.g11346.t1	A
anno1.g12467.t1	A	anno1.g2411.t1	A
anno1.g12468.t1	A	anno1.g2410.t1	A
anno1.g12475.t1	A	anno1.g9802.t1	A
anno1.g12477.t2	A	anno1.g2983.t1	A
anno1.g12478.t1	A	anno1.g2974.t1	A
anno1.g12479.t1	A	anno1.g3734.t1	A
anno1.g12480.t1	A	anno1.g4961.t1	A
anno1.g12463.t1	A	anno1.g5601.t1	A
anno1.g12464.t2	A	anno1.g5605.t1	A
anno1.g2571.t1	A	anno1.g7544.t1	A
anno1.g2573.t1	A	anno1.g7542.t1	A
anno1.g2574.t1	A	anno1.g14040.t1	A
anno1.g2576.t1	A	anno1.g7541.t1	A
anno1.g2578.t4	A	anno1.g7540.t1	A
anno1.g2581.t2	A	anno1.g7538.t1	A
anno1.g2582.t1	A	anno1.g7537.t1	A
anno1.g2583.t1	A	anno1.g7536.t1	A
anno1.g2584.t2	A	anno1.g7545.t2	A
anno1.g2585.t1	A	anno1.g7546.t1	A
anno1.g2586.t1	A	anno1.g7547.t1	A
anno1.g12456.t1	A	anno1.g13135.t2	A
anno1.g12452.t1	A	anno1.g7196.t1	A
anno1.g12454.t2	A	anno1.g7198.t1	A
anno1.g12447.t1	A	anno1.g12089.t1	A
anno1.g12448.t1	A	anno1.g12096.t2	A
anno1.g2563.t1	A	anno1.g1754.t1	X
anno1.g12388.t1	A	anno1.g211.t1	A
anno1.g12389.t1	A	anno1.g210.t1	A
anno1.g12390.t1	A	anno1.g209.t1	A
anno1.g12391.t1	A	anno1.g208.t1	A
anno1.g12392.t2	A	anno1.g207.t2	A
anno1.g12393.t2	A	anno1.g206.t1	A
anno1.g12394.t1	A	anno1.g205.t1	A
anno1.g12395.t1	A	anno1.g204.t1	A
anno1.g12396.t1	A	anno1.g202.t1	A
anno1.g12397.t1	A	anno1.g201.t1	A
anno1.g12398.t1	A	anno1.g200.t1	A
anno1.g12399.t1	A	anno1.g199.t1	A
anno1.g12400.t1	A	anno1.g197.t2	A
anno1.g12401.t1	A	anno1.g195.t1	A
anno1.g12403.t1	A	anno1.g194.t1	A
anno1.g12405.t1	A	anno1.g193.t1	A
anno1.g12406.t1	A	anno1.g192.t1	A
anno1.g12407.t1	A	anno1.g191.t1	A
anno1.g12408.t3	A	anno1.g190.t1	A
anno1.g12410.t1	A	anno1.g188.t2	A
anno1.g12411.t1	A	anno1.g186.t1	A
anno1.g12413.t1	A	anno1.g185.t1	A
anno1.g12414.t2	A	anno1.g178.t1	A
anno1.g12415.t1	A	anno1.g179.t1	A
anno1.g12416.t1	A	anno1.g183.t1	A
anno1.g12418.t2	A	anno1.g182.t1	A
anno1.g12419.t1	A	anno1.g181.t1	A
anno1.g12420.t1	A	anno1.g1511.t2	A
anno1.g12421.t2	A	anno1.g1512.t2	A
anno1.g12422.t2	A	anno1.g1513.t2	A
anno1.g12423.t1	A	anno1.g1515.t2	A
anno1.g12425.t1	A	anno1.g12523.t1	A
anno1.g12426.t1	A	anno1.g12500.t1	A
anno1.g12428.t1	A	anno1.g12501.t1	A
anno1.g12429.t1	A	anno1.g12517.t1	A
anno1.g12430.t1	A	anno1.g12506.t1	A
anno1.g12434.t1	A	anno1.g12502.t1	A
anno1.g12435.t1	A	anno1.g12516.t1	A
anno1.g12436.t1	A	anno1.g12515.t1	A
anno1.g12437.t1	A	anno1.g12514.t1	A
anno1.g12438.t1	A	anno1.g12513.t1	A
anno1.g12439.t1	A	anno1.g12512.t1	A
anno1.g12440.t2	A	anno1.g12511.t2	A
anno1.g12441.t1	A	anno1.g12510.t1	A
anno1.g12442.t1	A	anno1.g12509.t2	A
anno1.g12380.t1	A	anno1.g11547.t1	A
anno1.g12384.t1	A	anno1.g11546.t2	A
anno1.g12385.t1	A	anno1.g7125.t1	A
anno1.g12386.t1	A	anno1.g11545.t1	A
anno1.g2539.t1	A	anno1.g2262.t1	A
anno1.g2541.t1	A	anno1.g2260.t1	A
anno1.g2543.t1	A	anno1.g2259.t1	A
anno1.g2546.t1	A	anno1.g2257.t1	A
anno1.g2547.t1	A	anno1.g2250.t1	A
anno1.g2548.t1	A	anno1.g2245.t2	A
anno1.g2549.t3	A	anno1.g2255.t1	A
anno1.g2553.t1	A	anno1.g2247.t1	A
anno1.g2554.t1	A	anno1.g14580.t1	A
anno1.g2555.t1	A	anno1.g12794.t1	A
anno1.g2556.t1	A	anno1.g12793.t1	A
anno1.g2557.t1	A	anno1.g12791.t1	A
anno1.g2559.t1	A	anno1.g12789.t1	A
anno1.g12377.t1	A	anno1.g13930.t2	A
anno1.g12378.t2	A	anno1.g13931.t1	A
anno1.g12376.t1	A	anno1.g13193.t1	A
anno1.g12368.t2	A	anno1.g10711.t2	A
anno1.g12369.t1	A	anno1.g3980.t1	A
anno1.g12367.t1	A	anno1.g7657.t1	A
anno1.g12361.t1	A	anno1.g4077.t1	A
anno1.g12362.t1	A	anno1.g1776.t1	X
anno1.g12364.t1	A	anno1.g14611.t1	A
anno1.g12352.t1	X	anno1.g2143.t1	X
anno1.g12353.t1	X	anno1.g2144.t1	X
anno1.g12354.t2	X	anno1.g2146.t1	X
anno1.g12356.t1	X	anno1.g2147.t1	X
anno1.g12360.t2	X	anno1.g2148.t3	X
anno1.g2530.t2	A	anno1.g9206.t1	A
anno1.g2531.t1	A	anno1.g8782.t1	A
anno1.g2534.t1	A	anno1.g9019.t1	A
anno1.g2535.t1	A	anno1.g9018.t1	A
anno1.g2536.t1	A	anno1.g9017.t1	A
anno1.g2528.t1	A	anno1.g13067.t2	A
anno1.g12342.t1	A	anno1.g14722.t1	A
anno1.g12343.t1	A	anno1.g5966.t1	A
anno1.g12344.t2	A	anno1.g5967.t1	A
anno1.g12331.t1	A	anno1.g12866.t1	A
anno1.g12333.t1	A	anno1.g12863.t1	A
anno1.g12335.t1	A	anno1.g12861.t1	A
anno1.g12336.t1	A	anno1.g12860.t1	A
anno1.g12337.t1	A	anno1.g12855.t1	A
anno1.g12338.t1	A	anno1.g12836.t1	A
anno1.g12329.t1	A	anno1.g14669.t1	A
anno1.g12330.t1	A	anno1.g14670.t1	A
anno1.g2525.t1	A	anno1.g2132.t1	X
anno1.g12271.t1	A	anno1.g11058.t4	A
anno1.g12272.t1	A	anno1.g11059.t1	A
anno1.g12273.t1	A	anno1.g11060.t1	A
anno1.g12274.t1	A	anno1.g11062.t1	A
anno1.g12275.t1	A	anno1.g11063.t1	A
anno1.g12276.t1	A	anno1.g11064.t2	A
anno1.g12277.t1	A	anno1.g11065.t1	A
anno1.g12278.t1	A	anno1.g11066.t2	A
anno1.g12279.t3	A	anno1.g11067.t1	A
anno1.g12280.t1	A	anno1.g11004.t1	A
anno1.g12281.t1	A	anno1.g11003.t1	A
anno1.g12282.t1	A	anno1.g11000.t1	A
anno1.g12283.t1	A	anno1.g10999.t2	A
anno1.g12284.t2	A	anno1.g10998.t1	A
anno1.g12287.t1	A	anno1.g10996.t1	A
anno1.g12288.t1	A	anno1.g10995.t1	A
anno1.g12289.t2	A	anno1.g10994.t2	A
anno1.g12290.t1	A	anno1.g10993.t1	A
anno1.g12291.t1	A	anno1.g10991.t1	A
anno1.g12292.t1	A	anno1.g10990.t1	A
anno1.g12293.t1	A	anno1.g10983.t1	A
anno1.g12295.t1	A	anno1.g10981.t1	A
anno1.g12296.t1	A	anno1.g10980.t1	A
anno1.g12298.t1	A	anno1.g10978.t1	A
anno1.g12299.t1	A	anno1.g10977.t1	A
anno1.g12300.t1	A	anno1.g10976.t2	A
anno1.g12302.t1	A	anno1.g10975.t1	A
anno1.g12303.t1	A	anno1.g10974.t2	A
anno1.g12304.t1	A	anno1.g10973.t1	A
anno1.g12306.t1	A	anno1.g10971.t1	A
anno1.g12307.t1	A	anno1.g10970.t1	A
anno1.g12308.t2	A	anno1.g10969.t1	A
anno1.g12309.t2	A	anno1.g10968.t1	A
anno1.g12310.t2	A	anno1.g10966.t1	A
anno1.g12311.t1	A	anno1.g10963.t1	A
anno1.g12313.t1	A	anno1.g10962.t1	A
anno1.g12314.t2	A	anno1.g10961.t1	A
anno1.g12315.t1	A	anno1.g10960.t1	A
anno1.g12316.t1	A	anno1.g10959.t1	A
anno1.g12317.t1	A	anno1.g10958.t1	A
anno1.g12318.t1	A	anno1.g10957.t1	A
anno1.g12319.t1	A	anno1.g10956.t1	A
anno1.g12320.t1	A	anno1.g9250.t1	A
anno1.g12321.t1	A	anno1.g10955.t1	A
anno1.g12322.t1	A	anno1.g10954.t1	A
anno1.g12324.t2	A	anno1.g10951.t1	A
anno1.g12267.t1	X	anno1.g7949.t1	A
anno1.g12269.t1	X	anno1.g1840.t2	X
anno1.g12270.t1	X	anno1.g1839.t1	X
anno1.g12265.t1	A	anno1.g13583.t1	A
anno1.g12255.t1	X	anno1.g2064.t2	X
anno1.g12256.t2	X	anno1.g1977.t2	X
anno1.g12257.t1	X	anno1.g2163.t1	X
anno1.g12258.t1	X	anno1.g2118.t1	X
anno1.g12259.t1	X	anno1.g2119.t1	X
anno1.g12260.t1	X	anno1.g1803.t1	X
anno1.g12261.t1	X	anno1.g2164.t1	X
anno1.g12262.t1	X	anno1.g2032.t1	X
anno1.g12264.t2	X	anno1.g2236.t1	X
anno1.g2492.t1	A	anno1.g1096.t1	A
anno1.g2493.t1	A	anno1.g1097.t1	A
anno1.g2494.t1	A	anno1.g1098.t1	A
anno1.g2495.t1	A	anno1.g1099.t1	A
anno1.g2496.t1	A	anno1.g1100.t2	A
anno1.g2497.t2	A	anno1.g1101.t1	A
anno1.g2498.t1	A	anno1.g1102.t1	A
anno1.g2499.t1	A	anno1.g1104.t1	A
anno1.g2500.t1	A	anno1.g1105.t1	A
anno1.g2501.t2	A	anno1.g1106.t1	A
anno1.g2502.t3	A	anno1.g1109.t6	A
anno1.g2503.t1	A	anno1.g4708.t1	A
anno1.g2505.t1	A	anno1.g1113.t1	A
anno1.g2506.t1	A	anno1.g1114.t1	A
anno1.g2507.t1	A	anno1.g1117.t1	A
anno1.g2508.t1	A	anno1.g1118.t1	A
anno1.g2509.t1	A	anno1.g1119.t2	A
anno1.g2510.t1	A	anno1.g1120.t1	A
anno1.g2511.t1	A	anno1.g1121.t1	A
anno1.g2512.t1	A	anno1.g1123.t1	A
anno1.g2513.t2	A	anno1.g1124.t1	A
anno1.g2514.t1	A	anno1.g1125.t1	A
anno1.g2515.t1	A	anno1.g1126.t1	A
anno1.g2516.t1	A	anno1.g1127.t1	A
anno1.g2518.t1	A	anno1.g1129.t1	A
anno1.g2519.t1	A	anno1.g1130.t1	A
anno1.g2522.t1	A	anno1.g1134.t1	A
anno1.g2523.t1	A	anno1.g1135.t2	A
anno1.g2524.t1	A	anno1.g1136.t1	A
anno1.g12252.t1	A	anno1.g564.t1	A
anno1.g12253.t1	A	anno1.g561.t1	A
anno1.g12246.t1	A	anno1.g5833.t1	A
anno1.g12247.t1	A	anno1.g5832.t1	A
anno1.g12248.t1	A	anno1.g5828.t1	A
anno1.g12249.t1	A	anno1.g5829.t1	A
anno1.g12250.t1	A	anno1.g5830.t1	A
anno1.g12251.t3	A	anno1.g5831.t1	A
anno1.g12242.t1	A	anno1.g13495.t1	A
anno1.g12232.t1	A	anno1.g12357.t1	A
anno1.g12233.t1	A	anno1.g12356.t1	A
anno1.g12234.t1	A	anno1.g12355.t1	A
anno1.g12235.t1	A	anno1.g12354.t1	A
anno1.g12236.t1	A	anno1.g12353.t1	A
anno1.g12239.t1	A	anno1.g12348.t1	A
anno1.g12241.t2	A	anno1.g12346.t1	A
anno1.g12226.t1	A	anno1.g13384.t1	A
anno1.g12227.t1	A	anno1.g13383.t1	A
anno1.g12230.t1	A	anno1.g13311.t1	A
anno1.g12220.t1	A	anno1.g3262.t1	A
anno1.g2483.t1	A	anno1.g11639.t1	A
anno1.g2447.t1	A	anno1.g7132.t1	A
anno1.g2448.t1	A	anno1.g5947.t1	A
anno1.g2449.t1	A	anno1.g6077.t1	A
anno1.g2450.t2	A	anno1.g6078.t2	A
anno1.g2452.t1	A	anno1.g6076.t1	A
anno1.g2453.t1	A	anno1.g6075.t1	A
anno1.g2455.t1	A	anno1.g6073.t1	A
anno1.g2456.t1	A	anno1.g6072.t1	A
anno1.g2459.t1	A	anno1.g6071.t3	A
anno1.g2460.t1	A	anno1.g6070.t1	A
anno1.g2461.t1	A	anno1.g6066.t1	A
anno1.g2463.t1	A	anno1.g6068.t1	A
anno1.g2464.t2	A	anno1.g6064.t2	A
anno1.g2467.t2	A	anno1.g6062.t1	A
anno1.g2468.t1	A	anno1.g7655.t1	A
anno1.g2469.t1	A	anno1.g6061.t1	A
anno1.g2470.t1	A	anno1.g6060.t1	A
anno1.g2471.t1	A	anno1.g6059.t1	A
anno1.g2472.t2	A	anno1.g6057.t2	A
anno1.g2475.t1	A	anno1.g6053.t1	A
anno1.g2476.t1	A	anno1.g6052.t1	A
anno1.g2477.t1	A	anno1.g6051.t1	A
anno1.g2478.t1	A	anno1.g6650.t1	A
anno1.g2479.t1	A	anno1.g6649.t1	A
anno1.g12210.t1	A	anno1.g10011.t1	A
anno1.g12211.t1	A	anno1.g10012.t1	A
anno1.g12212.t1	A	anno1.g10015.t1	A
anno1.g12213.t1	A	anno1.g10016.t1	A
anno1.g12214.t1	A	anno1.g10017.t1	A
anno1.g12215.t1	A	anno1.g10018.t1	A
anno1.g12216.t1	A	anno1.g10019.t1	A
anno1.g12217.t1	A	anno1.g10020.t1	A
anno1.g12218.t1	A	anno1.g10022.t1	A
anno1.g12219.t1	A	anno1.g10023.t1	A
anno1.g12207.t1	A	anno1.g13281.t1	A
anno1.g12208.t1	A	anno1.g13282.t1	A
anno1.g2442.t2	A	anno1.g3889.t1	A
anno1.g2443.t1	A	anno1.g3888.t1	A
anno1.g12198.t1	A	anno1.g3.t1	A
anno1.g12174.t1	A	anno1.g8751.t1	A
anno1.g12175.t1	A	anno1.g8749.t1	A
anno1.g12191.t1	A	anno1.g9239.t1	A
anno1.g12192.t1	A	anno1.g9246.t1	A
anno1.g12193.t1	A	anno1.g9247.t2	A
anno1.g12194.t1	A	anno1.g9248.t1	A
anno1.g12195.t1	A	anno1.g9242.t2	A
anno1.g2439.t1	A	anno1.g3640.t1	A
anno1.g2440.t1	A	anno1.g755.t1	A
anno1.g2436.t1	A	anno1.g11993.t1	A
anno1.g12167.t2	A	anno1.g12690.t2	A
anno1.g12169.t1	A	anno1.g12692.t1	A
anno1.g2402.t1	A	anno1.g105.t1	A
anno1.g2403.t1	A	anno1.g106.t1	A
anno1.g2404.t1	A	anno1.g107.t1	A
anno1.g2405.t1	A	anno1.g109.t1	A
anno1.g2406.t1	A	anno1.g110.t1	A
anno1.g2407.t1	A	anno1.g111.t1	A
