D_carinulata	chromosome	C_chinensis	chromosome
rna-XM_057796620.1	A	anno1.g333.t1	A
rna-XM_057796621.1	A	anno1.g334.t1	A
rna-XM_057795727.1	A	anno1.g11498.t1	A
rna-XM_057795914.1	A	anno1.g4435.t1	A
rna-XM_057796504.1	A	anno1.g4438.t1	A
rna-XM_057796507.1	A	anno1.g10414.t1	A
rna-XM_057796812.1	A	anno1.g10415.t1	A
rna-XM_057796809.1	A	anno1.g6763.t1	A
rna-XM_057796811.1	A	anno1.g12419.t1	A
rna-XM_057795805.1	A	anno1.g10960.t1	A
rna-XM_057795495.1	A	anno1.g6764.t1	A
rna-XM_057795724.1	A	anno1.g2032.t3	A
rna-XM_057795650.1	A	anno1.g12930.t1	A
rna-XM_057795997.1	A	anno1.g12651.t1	A
rna-XM_057795993.1	A	anno1.g3654.t1	A
rna-XM_057795983.1	A	anno1.g6332.t2	A
rna-XM_057795995.1	A	anno1.g6331.t1	A
rna-XM_057795988.1	A	anno1.g6325.t2	A
rna-XM_057795992.1	A	anno1.g6327.t1	A
rna-XM_057795990.1	A	anno1.g6328.t1	A
rna-XM_057796273.1	A	anno1.g4317.t1	A
rna-XM_057796467.1	A	anno1.g4318.t1	A
rna-XM_057796200.1	A	anno1.g10884.t1	A
rna-XM_057797229.1	A	anno1.g5164.t1	A
rna-XM_057797255.1	A	anno1.g3393.t1	A
rna-XM_057797248.1	A	anno1.g3392.t1	A
rna-XM_057795713.1	A	anno1.g3391.t1	A
rna-XM_057795823.1	A	anno1.g3390.t1	A
rna-XM_057795821.1	A	anno1.g3389.t1	A
rna-XM_057795824.1	A	anno1.g1901.t1	A
rna-XM_057796391.1	A	anno1.g3388.t1	A
rna-XM_057795913.1	A	anno1.g4843.t1	A
rna-XM_057795629.1	A	anno1.g4844.t1	A
rna-XM_057795628.1	A	anno1.g13537.t1	A
rna-XM_057795626.1	A	anno1.g13538.t2	A
rna-XM_057795627.1	A	anno1.g7196.t1	A
rna-XM_057795911.1	A	anno1.g2797.t1	A
rna-XM_057796549.1	A	anno1.g13143.t1	A
rna-XM_057796550.1	A	anno1.g13144.t1	A
rna-XM_057796551.1	A	anno1.g13145.t1	A
rna-XM_057796560.1	A	anno1.g13147.t1	A
rna-XM_057796555.1	A	anno1.g13146.t1	A
rna-XM_057796552.1	A	anno1.g2696.t1	A
rna-XM_057796556.1	A	anno1.g2697.t1	A
rna-XM_057796554.1	A	anno1.g2700.t1	A
rna-XM_057796016.1	A	anno1.g2701.t1	A
rna-XM_057795772.1	A	anno1.g2798.t1	A
rna-XM_057797227.1	A	anno1.g61.t1	A
rna-XM_057797221.1	A	anno1.g60.t1	A
rna-XM_057797215.1	A	anno1.g64.t2	A
rna-XM_057797216.1	A	anno1.g63.t1	A
rna-XM_057797219.1	A	anno1.g13637.t1	A
rna-XM_057797212.1	A	anno1.g3882.t1	A
rna-XM_057797194.1	A	anno1.g6433.t1	A
rna-XM_057797210.1	A	anno1.g6045.t1	A
rna-XM_057797226.1	A	anno1.g3297.t1	A
rna-XM_057797208.1	A	anno1.g8532.t1	A
rna-XM_057797214.1	A	anno1.g997.t1	A
rna-XM_057797203.1	A	anno1.g9258.t1	A
rna-XM_057797209.1	A	anno1.g2387.t1	A
rna-XM_057797211.1	A	anno1.g994.t1	A
rna-XM_057797223.1	A	anno1.g3757.t1	A
rna-XM_057797217.1	A	anno1.g824.t1	A
rna-XM_057797206.1	A	anno1.g13275.t1	A
rna-XM_057797198.1	A	anno1.g4431.t2	A
rna-XM_057796565.1	A	anno1.g3826.t1	A
rna-XM_057796152.1	A	anno1.g6531.t1	A
rna-XM_057797324.1	A	anno1.g1371.t2	A
rna-XM_057797325.1	A	anno1.g3639.t1	A
rna-XM_057796242.1	A	anno1.g1369.t1	A
rna-XM_057796254.1	A	anno1.g9274.t1	A
rna-XM_057796248.1	A	anno1.g6374.t2	A
rna-XM_057795712.1	A	anno1.g10534.t1	A
rna-XM_057795711.1	A	anno1.g6375.t1	A
rna-XM_057795710.1	A	anno1.g10532.t1	A
rna-XM_057796920.1	A	anno1.g5460.t1	A
rna-XM_057796914.1	A	anno1.g5454.t2	A
rna-XM_057795970.1	A	anno1.g10486.t1	A
rna-XM_057795971.1	A	anno1.g10484.t1	A
rna-XM_057796481.1	A	anno1.g6236.t1	A
rna-XM_057796484.1	A	anno1.g1446.t1	A
rna-XM_057795735.1	A	anno1.g1447.t2	A
rna-XM_057796355.1	A	anno1.g4733.t1	A
rna-XM_057796177.1	A	anno1.g12271.t1	A
rna-XM_057796615.1	A	anno1.g4736.t1	A
rna-XM_057796616.1	A	anno1.g7359.t1	A
rna-XM_057796617.1	A	anno1.g10109.t2	A
rna-XM_057796494.1	A	anno1.g8492.t1	A
rna-XM_057796389.1	A	anno1.g6709.t1	A
rna-XM_057796829.1	A	anno1.g11618.t1	A
rna-XM_057796834.1	A	anno1.g2983.t1	A
rna-XM_057796831.1	A	anno1.g6344.t3	A
rna-XM_057795504.1	A	anno1.g1713.t1	A
rna-XM_057795929.1	A	anno1.g937.t1	A
rna-XM_057796259.1	A	anno1.g10794.t1	A
rna-XM_057796257.1	A	anno1.g12305.t1	A
rna-XM_057795943.1	A	anno1.g1449.t1	A
rna-XM_057795886.1	A	anno1.g10955.t1	A
rna-XM_057795662.1	A	anno1.g10958.t1	A
rna-XM_057796711.1	A	anno1.g10801.t1	A
rna-XM_057796715.1	A	anno1.g10957.t1	A
rna-XM_057796718.1	A	anno1.g10956.t1	A
rna-XM_057796163.1	A	anno1.g10369.t1	A
rna-XM_057796172.1	A	anno1.g8490.t1	A
rna-XM_057795674.1	A	anno1.g12785.t1	A
rna-XM_057795681.1	A	anno1.g10611.t1	A
rna-XM_057795812.1	A	anno1.g8310.t3	A
rna-XM_057795699.1	A	anno1.g8312.t1	A
rna-XM_057796438.1	A	anno1.g13444.t1	A
rna-XM_057796113.1	A	anno1.g10832.t1	A
rna-XM_057797299.1	A	anno1.g10830.t1	A
rna-XM_057796311.1	A	anno1.g10745.t1	A
rna-XM_057796313.1	A	anno1.g10746.t1	A
rna-XM_057796322.1	A	anno1.g10747.t1	A
rna-XM_057796240.1	A	anno1.g10372.t1	A
rna-XM_057795852.1	A	anno1.g10370.t1	A
rna-XM_057795853.1	A	anno1.g10371.t1	A
rna-XM_057795866.1	A	anno1.g4181.t1	A
rna-XM_057796937.1	A	anno1.g7792.t1	A
rna-XM_057796941.1	A	anno1.g12342.t1	A
rna-XM_057796942.1	A	anno1.g12341.t1	A
rna-XM_057795942.1	A	anno1.g7774.t1	A
rna-XM_057796460.1	A	anno1.g7773.t1	A
rna-XM_057795903.1	A	anno1.g9500.t1	A
rna-XM_057795905.1	A	anno1.g7336.t1	A
rna-XM_057795789.1	A	anno1.g7863.t1	A
rna-XM_057796135.1	A	anno1.g7426.t1	A
rna-XM_057796162.1	A	anno1.g8578.t1	A
rna-XM_057796161.1	A	anno1.g5819.t1	A
rna-XM_057796426.1	A	anno1.g4536.t1	A
rna-XM_057795684.1	A	anno1.g2096.t1	A
rna-XM_057795771.1	A	anno1.g4533.t1	A
rna-XM_057796479.1	A	anno1.g4532.t1	A
rna-XM_057796485.1	A	anno1.g11043.t3	A
rna-XM_057795664.1	A	anno1.g4568.t2	A
rna-XM_057795663.1	A	anno1.g7362.t1	A
rna-XM_057796199.1	A	anno1.g3196.t1	A
rna-XM_057795760.1	A	anno1.g6802.t2	A
rna-XM_057795768.1	A	anno1.g8271.t1	A
rna-XM_057795764.1	A	anno1.g5037.t1	A
rna-XM_057795749.1	A	anno1.g2724.t1	A
rna-XM_057795762.1	A	anno1.g8270.t1	A
rna-XM_057795765.1	A	anno1.g8282.t1	A
rna-XM_057795752.1	A	anno1.g10042.t1	A
rna-XM_057795763.1	A	anno1.g13524.t1	A
rna-XM_057795767.1	A	anno1.g8285.t1	A
rna-XM_057795756.1	A	anno1.g4101.t1	A
rna-XM_057795851.1	A	anno1.g8286.t1	A
rna-XM_057795916.1	A	anno1.g8287.t1	A
rna-XM_057795561.1	A	anno1.g7867.t1	A
rna-XM_057795559.1	A	anno1.g7862.t2	A
rna-XM_057795566.1	A	anno1.g1382.t1	A
rna-XM_057795567.1	A	anno1.g1383.t1	A
rna-XM_057795568.1	A	anno1.g8754.t1	A
rna-XM_057795574.1	A	anno1.g4207.t1	A
rna-XM_057795573.1	A	anno1.g5007.t2	A
rna-XM_057795570.1	A	anno1.g1895.t1	A
rna-XM_057795575.1	A	anno1.g11827.t1	A
rna-XM_057795577.1	A	anno1.g5770.t1	A
rna-XM_057795582.1	A	anno1.g12108.t1	A
rna-XM_057795583.1	A	anno1.g11305.t1	A
rna-XM_057795584.1	A	anno1.g8260.t1	A
rna-XM_057795585.1	A	anno1.g9915.t1	A
rna-XM_057795591.1	A	anno1.g1975.t2	A
rna-XM_057795588.1	A	anno1.g1969.t1	A
rna-XM_057795589.1	A	anno1.g10778.t1	A
rna-XM_057795604.1	A	anno1.g10777.t1	A
rna-XM_057795605.1	A	anno1.g5183.t1	A
rna-XM_057796221.1	A	anno1.g12761.t1	A
rna-XM_057795858.1	A	anno1.g10033.t1	A
rna-XM_057795899.1	A	anno1.g6318.t1	A
rna-XM_057795901.1	A	anno1.g6320.t1	A
rna-XM_057797228.1	A	anno1.g5497.t1	A
rna-XM_057796703.1	A	anno1.g7837.t1	A
rna-XM_057796707.1	A	anno1.g4788.t1	A
rna-XM_057796644.1	A	anno1.g2275.t1	A
rna-XM_057796662.1	A	anno1.g2277.t1	A
rna-XM_057796651.1	A	anno1.g5022.t1	A
rna-XM_057796646.1	A	anno1.g13683.t1	A
rna-XM_057796648.1	A	anno1.g13684.t1	A
rna-XM_057796659.1	A	anno1.g8912.t1	A
rna-XM_057796661.1	A	anno1.g9548.t1	A
rna-XM_057796642.1	A	anno1.g9550.t2	A
rna-XM_057795493.1	A	anno1.g6286.t1	A
rna-XM_057796305.1	A	anno1.g3017.t1	A
rna-XM_057796787.1	A	anno1.g3018.t2	A
rna-XM_057796802.1	A	anno1.g12572.t1	A
rna-XM_057796808.1	A	anno1.g7753.t2	A
rna-XM_057796788.1	A	anno1.g2280.t1	A
rna-XM_057795887.1	A	anno1.g2266.t1	A
rna-XM_057797264.1	A	anno1.g2299.t1	A
rna-XM_057797279.1	A	anno1.g3585.t1	A
rna-XM_057797282.1	A	anno1.g2298.t1	A
rna-XM_057797273.1	A	anno1.g7375.t1	A
rna-XM_057797256.1	A	anno1.g7445.t1	A
rna-XM_057797259.1	A	anno1.g7449.t1	A
rna-XM_057797280.1	A	anno1.g7451.t2	A
rna-XM_057797281.1	A	anno1.g7450.t1	A
rna-XM_057797275.1	A	anno1.g12053.t1	A
rna-XM_057797268.1	A	anno1.g12058.t1	A
rna-XM_057797269.1	A	anno1.g10831.t1	A
rna-XM_057797284.1	A	anno1.g12059.t2	A
rna-XM_057796747.1	A	anno1.g12265.t1	A
rna-XM_057795551.1	A	anno1.g13662.t1	A
rna-XM_057795547.1	A	anno1.g11048.t1	A
rna-XM_057795550.1	A	anno1.g6822.t1	A
rna-XM_057795800.1	A	anno1.g12015.t1	A
rna-XM_057795721.1	A	anno1.g4948.t2	A
rna-XM_057795722.1	A	anno1.g8504.t2	A
rna-XM_057795723.1	A	anno1.g8505.t1	A
rna-XM_057796663.1	A	anno1.g13048.t1	A
rna-XM_057795973.1	A	anno1.g462.t1	A
rna-XM_057795813.1	A	anno1.g573.t1	A
rna-XM_057796490.1	A	anno1.g4059.t1	A
rna-XM_057796144.1	A	anno1.g4058.t1	A
rna-XM_057795778.1	A	anno1.g4057.t1	A
rna-XM_057795658.1	A	anno1.g4056.t1	A
rna-XM_057795649.1	A	anno1.g4061.t1	A
rna-XM_057796182.1	A	anno1.g4761.t1	A
rna-XM_057796181.1	A	anno1.g6823.t1	A
rna-XM_057796764.1	A	anno1.g8900.t1	A
rna-XM_057796765.1	A	anno1.g4947.t1	A
rna-XM_057796769.1	A	anno1.g4945.t2	A
rna-XM_057796770.1	A	anno1.g1291.t1	A
rna-XM_057796896.1	A	anno1.both_agree_g14913.t3	A
rna-XM_057795881.1	A	anno1.g11271.t1	A
rna-XM_057795902.1	A	anno1.g11272.t1	A
rna-XM_057795691.1	A	anno1.g12021.t1	A
rna-XM_057796750.1	A	anno1.g8709.t1	A
rna-XM_057796760.1	A	anno1.g3638.t1	A
rna-XM_057796763.1	A	anno1.g2524.t1	A
rna-XM_057795833.1	A	anno1.g8035.t1	A
rna-XM_057795940.1	A	anno1.g5654.t1	A
rna-XM_057796664.1	A	anno1.g825.t1	A
rna-XM_057796687.1	A	anno1.g826.t1	A
rna-XM_057795920.1	A	anno1.g827.t1	A
rna-XM_057795921.1	A	anno1.g3447.t1	X
rna-XM_057795848.1	A	anno1.g2388.t1	A
rna-XM_057795796.1	A	anno1.g10207.t1	A
rna-XM_057796224.1	A	anno1.g2084.t1	A
rna-XM_057796414.1	A	anno1.g3615.t3	A
rna-XM_057796442.1	A	anno1.g5238.t1	A
rna-XM_057795935.1	A	anno1.g10625.t1	A
rna-XM_057796751.1	A	anno1.g13195.t1	A
rna-XM_057797344.1	A	anno1.g12544.t1	A
rna-XM_057796753.1	A	anno1.g6125.t1	A
rna-XM_057796511.1	A	anno1.g9659.t1	A
rna-XM_057796464.1	A	anno1.g9658.t1	A
rna-XM_057796164.1	A	anno1.g7091.t1	A
rna-XM_057796166.1	A	anno1.g7092.t1	A
rna-XM_057796626.1	A	anno1.g3000.t1	A
rna-XM_057796625.1	A	anno1.g10466.t3	A
rna-XM_057796628.1	A	anno1.g7094.t1	A
rna-XM_057796629.1	A	anno1.g4072.t1	A
rna-XM_057796638.1	A	anno1.g4071.t1	A
rna-XM_057796634.1	A	anno1.g5335.t1	A
rna-XM_057796630.1	A	anno1.g4070.t1	A
rna-XM_057795854.1	A	anno1.g4074.t1	A
rna-XM_057795503.1	A	anno1.g4073.t1	A
rna-XM_057795502.1	A	anno1.g7027.t1	A
rna-XM_057797310.1	A	anno1.g4577.t1	A
rna-XM_057797312.1	A	anno1.g8571.t1	A
rna-XM_057797315.1	A	anno1.g8261.t1	A
rna-XM_057797307.1	A	anno1.g10659.t1	A
rna-XM_057797304.1	A	anno1.g10819.t1	A
rna-XM_057797317.1	A	anno1.g5700.t1	A
rna-XM_057797321.1	A	anno1.g10467.t1	A
rna-XM_057797300.1	A	anno1.g10468.t1	A
rna-XM_057797309.1	A	anno1.g10469.t1	A
rna-XM_057797306.1	A	anno1.g10470.t1	A
rna-XM_057797303.1	A	anno1.g4075.t1	A
rna-XM_057797322.1	A	anno1.g4076.t1	A
rna-XM_057797301.1	A	anno1.g1655.t1	A
rna-XM_057797318.1	A	anno1.g1654.t1	A
rna-XM_057797319.1	A	anno1.g1653.t1	A
rna-XM_057797314.1	A	anno1.g1652.t1	A
rna-XM_057796756.1	A	anno1.g1650.t1	A
rna-XM_057796120.1	A	anno1.g1651.t1	A
rna-XM_057796123.1	A	anno1.g1649.t1	A
rna-XM_057796124.1	A	anno1.g1648.t1	A
rna-XM_057796127.1	A	anno1.g1647.t1	A
rna-XM_057796125.1	A	anno1.g1642.t1	A
rna-XM_057796134.1	A	anno1.g1641.t2	A
rna-XM_057796102.1	A	anno1.g1643.t1	A
rna-XM_057796095.1	A	anno1.g1522.t1	A
rna-XM_057797348.1	A	anno1.g1646.t1	A
rna-XM_057797352.1	A	anno1.g1645.t1	A
rna-XM_057797350.1	A	anno1.g1644.t1	A
rna-XM_057796757.1	A	anno1.g11952.t1	A
rna-XM_057796399.1	A	anno1.g10271.t1	A
rna-XM_057796721.1	A	anno1.g1688.t1	A
rna-XM_057796732.1	A	anno1.g1687.t1	A
rna-XM_057795478.1	A	anno1.both_agree_g5101.t2	A
rna-XM_057796360.1	A	anno1.g6002.t2	A
rna-XM_057796361.1	A	anno1.g6003.t2	A
rna-XM_057796004.1	A	anno1.g6085.t1	A
rna-XM_057798136.1	A	anno1.g13332.t1	A
rna-XM_057798121.1	A	anno1.g1071.t1	A
rna-XM_057797635.1	A	anno1.g1393.t1	A
rna-XM_057797642.1	A	anno1.g2982.t2	A
rna-XM_057797636.1	A	anno1.g13180.t1	A
rna-XM_057798131.1	A	anno1.g13181.t1	A
rna-XM_057798558.1	A	anno1.g12062.t3	A
rna-XM_057798372.1	A	anno1.g12063.t1	A
rna-XM_057798371.1	A	anno1.g4154.t1	A
rna-XM_057798170.1	A	anno1.g1218.t1	A
rna-XM_057798167.1	A	anno1.g1222.t1	A
rna-XM_057798171.1	A	anno1.g1221.t1	A
rna-XM_057799582.1	A	anno1.g9584.t1	A
rna-XM_057799579.1	A	anno1.g8918.t3	A
rna-XM_057799586.1	A	anno1.g1117.t3	A
rna-XM_057799610.1	A	anno1.g1116.t1	A
rna-XM_057799612.1	A	anno1.g1118.t1	A
rna-XM_057799613.1	A	anno1.g13698.t1	A
rna-XM_057799614.1	A	anno1.g4013.t1	A
rna-XM_057799620.1	A	anno1.g11017.t1	A
rna-XM_057799619.1	A	anno1.g11018.t1	A
rna-XM_057797821.1	A	anno1.g11019.t1	A
rna-XM_057797822.1	A	anno1.g4011.t1	A
rna-XM_057798352.1	A	anno1.g3243.t1	A
rna-XM_057798363.1	A	anno1.g13040.t1	A
rna-XM_057798361.1	A	anno1.g4842.t1	A
rna-XM_057799756.1	A	anno1.g1408.t1	A
rna-XM_057799760.1	A	anno1.g13039.t2	A
rna-XM_057797947.1	A	anno1.g3098.t1	A
rna-XM_057797807.1	A	anno1.g13041.t2	A
rna-XM_057797702.1	A	anno1.g9990.t1	A
rna-XM_057797745.1	A	anno1.g2598.t1	A
rna-XM_057798172.1	A	anno1.g12914.t2	A
rna-XM_057799365.1	A	anno1.g4372.t1	A
rna-XM_057799366.1	A	anno1.g9616.t1	A
rna-XM_057797771.1	A	anno1.g706.t1	A
rna-XM_057797779.1	A	anno1.g9615.t1	A
rna-XM_057798839.1	A	anno1.g4368.t1	A
rna-XM_057798730.1	A	anno1.g4365.t1	A
rna-XM_057797875.1	A	anno1.g4367.t1	A
rna-XM_057798369.1	A	anno1.g1683.t1	A
rna-XM_057797826.1	A	anno1.g11902.t1	A
rna-XM_057798542.1	A	anno1.g10458.t1	A
rna-XM_057798543.1	A	anno1.g1685.t1	A
rna-XM_057797407.1	A	anno1.g5038.t1	A
rna-XM_057797408.1	A	anno1.g7832.t1	A
rna-XM_057798073.1	A	anno1.g12968.t1	A
rna-XM_057799078.1	A	anno1.g1677.t3	A
rna-XM_057799076.1	A	anno1.g78.t1	A
rna-XM_057799087.1	A	anno1.g10162.t1	A
rna-XM_057799088.1	A	anno1.g5814.t1	A
rna-XM_057799080.1	A	anno1.g5664.t1	A
rna-XM_057799074.1	A	anno1.g5665.t1	A
rna-XM_057799077.1	A	anno1.g5663.t1	A
rna-XM_057799092.1	A	anno1.g13476.t1	A
rna-XM_057798198.1	A	anno1.g5660.t1	A
rna-XM_057797872.1	A	anno1.g3616.t2	A
rna-XM_057798409.1	A	anno1.g1997.t1	A
rna-XM_057797418.1	A	anno1.g6853.t2	A
rna-XM_057797409.1	A	anno1.g6554.t1	A
rna-XM_057797410.1	A	anno1.g6553.t1	A
rna-XM_057797413.1	A	anno1.g384.t1	A
rna-XM_057797417.1	A	anno1.g846.t1	A
rna-XM_057798846.1	A	anno1.g3318.t1	A
rna-XM_057798845.1	A	anno1.g5856.t1	A
rna-XM_057797361.1	A	anno1.g10803.t1	A
rna-XM_057797360.1	A	anno1.g10802.t1	A
rna-XM_057797364.1	A	anno1.g11719.t1	A
rna-XM_057799449.1	A	anno1.g11718.t1	A
rna-XM_057799452.1	A	anno1.g9699.t1	A
rna-XM_057799453.1	A	anno1.g9698.t1	A
rna-XM_057797487.1	A	anno1.g9697.t1	A
rna-XM_057797484.1	A	anno1.g1341.t1	A
rna-XM_057797488.1	A	anno1.g9695.t1	A
rna-XM_057797447.1	A	anno1.g2886.t1	A
rna-XM_057797448.1	A	anno1.g5998.t1	A
rna-XM_057798011.1	A	anno1.g10722.t1	A
rna-XM_057798010.1	A	anno1.g13477.t1	A
rna-XM_057797715.1	A	anno1.g1995.t1	A
rna-XM_057798465.1	A	anno1.g623.t1	A
rna-XM_057798364.1	A	anno1.g3404.t1	A
rna-XM_057798065.1	A	anno1.g869.t1	A
rna-XM_057798066.1	A	anno1.g6083.t1	A
rna-XM_057798067.1	A	anno1.g11265.t1	A
rna-XM_057797962.1	A	anno1.g502.t1	A
rna-XM_057797382.1	A	anno1.g11476.t1	A
rna-XM_057797387.1	A	anno1.g11074.t4	A
rna-XM_057797389.1	A	anno1.g3668.t1	A
rna-XM_057797401.1	A	anno1.g3669.t1	A
rna-XM_057797395.1	A	anno1.g3671.t2	A
rna-XM_057797397.1	A	anno1.g3670.t1	A
rna-XM_057797384.1	A	anno1.g10926.t1	A
rna-XM_057797388.1	A	anno1.g10925.t1	A
rna-XM_057797396.1	A	anno1.g7089.t1	A
rna-XM_057797399.1	A	anno1.g3074.t1	A
rna-XM_057797400.1	A	anno1.g3073.t1	A
rna-XM_057798020.1	A	anno1.g5496.t1	A
rna-XM_057798021.1	A	anno1.g5495.t1	A
rna-XM_057798006.1	A	anno1.g386.t1	A
rna-XM_057797678.1	A	anno1.g2630.t1	A
rna-XM_057797673.1	A	anno1.g5615.t1	A
rna-XM_057797683.1	A	anno1.g8687.t1	A
rna-XM_057797684.1	A	anno1.g8686.t1	A
rna-XM_057797690.1	A	anno1.g8685.t1	A
rna-XM_057798404.1	A	anno1.g8682.t1	A
rna-XM_057798134.1	A	anno1.g8683.t1	A
rna-XM_057797908.1	A	anno1.g8684.t2	A
rna-XM_057797909.1	A	anno1.g11567.t1	A
rna-XM_057798553.1	A	anno1.g8221.t1	A
rna-XM_057798578.1	A	anno1.g7686.t1	A
rna-XM_057798577.1	A	anno1.g7685.t1	A
rna-XM_057798572.1	A	anno1.g9464.t1	A
rna-XM_057798573.1	A	anno1.g1121.t1	A
rna-XM_057798580.1	A	anno1.g9664.t2	A
rna-XM_057798579.1	A	anno1.g1484.t1	A
rna-XM_057797963.1	A	anno1.g1477.t2	A
rna-XM_057797897.1	A	anno1.g1478.t1	A
rna-XM_057797855.1	A	anno1.g1480.t1	A
rna-XM_057799785.1	A	anno1.g1481.t2	A
rna-XM_057799789.1	A	anno1.g1483.t2	A
rna-XM_057799537.1	A	anno1.g1126.t1	A
rna-XM_057798083.1	A	anno1.g7720.t1	A
rna-XM_057798086.1	A	anno1.g1140.t1	A
rna-XM_057797647.1	A	anno1.g8004.t1	A
rna-XM_057797648.1	A	anno1.g8001.t1	A
rna-XM_057797651.1	A	anno1.g1517.t1	A
rna-XM_057797654.1	A	anno1.g1516.t1	A
rna-XM_057797961.1	A	anno1.g1513.t1	A
rna-XM_057799207.1	A	anno1.g1512.t2	A
rna-XM_057799216.1	A	anno1.g1514.t1	A
rna-XM_057799220.1	A	anno1.g7704.t1	A
rna-XM_057799218.1	A	anno1.g7702.t1	A
rna-XM_057798180.1	A	anno1.g4411.t1	A
rna-XM_057798183.1	A	anno1.g4410.t1	A
rna-XM_057798177.1	A	anno1.g4408.t1	A
rna-XM_057798181.1	A	anno1.g4409.t1	A
rna-XM_057798182.1	A	anno1.g7684.t1	A
rna-XM_057798178.1	A	anno1.g13044.t1	A
rna-XM_057798186.1	A	anno1.g7725.t2	A
rna-XM_057798189.1	A	anno1.g2559.t1	A
rna-XM_057798188.1	A	anno1.g2558.t2	A
rna-XM_057798194.1	A	anno1.g7508.t1	A
rna-XM_057798193.1	A	anno1.g3236.t1	A
rna-XM_057798842.1	A	anno1.g185.t1	A
rna-XM_057798717.1	A	anno1.g11832.t1	A
rna-XM_057797542.1	A	anno1.g11831.t1	A
rna-XM_057799299.1	A	anno1.g12220.t1	A
rna-XM_057799304.1	A	anno1.g11906.t1	X
rna-XM_057799305.1	A	anno1.g9758.t4	A
rna-XM_057799321.1	A	anno1.g9755.t1	A
rna-XM_057799323.1	A	anno1.g1240.t1	A
rna-XM_057797547.1	A	anno1.g1235.t1	A
rna-XM_057799325.1	A	anno1.g1505.t1	A
rna-XM_057799327.1	A	anno1.g1506.t1	A
rna-XM_057799328.1	A	anno1.g9745.t1	A
rna-XM_057799329.1	A	anno1.g9740.t1	A
rna-XM_057799330.1	A	anno1.g9742.t1	A
rna-XM_057799331.1	A	anno1.g9741.t1	A
rna-XM_057799333.1	A	anno1.g9739.t2	A
rna-XM_057799336.1	A	anno1.g11988.t1	A
rna-XM_057799338.1	A	anno1.g11023.t1	A
rna-XM_057797431.1	A	anno1.g5489.t1	A
rna-XM_057798344.1	A	anno1.g5490.t1	A
rna-XM_057797782.1	A	anno1.g452.t1	A
rna-XM_057797786.1	A	anno1.g451.t1	A
rna-XM_057797783.1	A	anno1.g9801.t3	A
rna-XM_057797787.1	A	anno1.g9800.t1	A
rna-XM_057798848.1	A	anno1.g9797.t1	A
rna-XM_057797924.1	A	anno1.g9799.t1	A
rna-XM_057797991.1	A	anno1.g9796.t1	A
rna-XM_057798571.1	A	anno1.g6381.t1	A
rna-XM_057798100.1	A	anno1.g11587.t2	A
rna-XM_057798562.1	A	anno1.g353.t1	A
rna-XM_057797549.1	A	anno1.g11589.t1	A
rna-XM_057797550.1	A	anno1.g11582.t2	A
rna-XM_057797551.1	A	anno1.g11584.t1	A
rna-XM_057798704.1	A	anno1.g872.t2	A
rna-XM_057799709.1	A	anno1.g544.t1	A
rna-XM_057799710.1	A	anno1.g13542.t1	A
rna-XM_057799719.1	A	anno1.g545.t1	A
rna-XM_057799722.1	A	anno1.g546.t1	A
rna-XM_057799723.1	A	anno1.g547.t1	A
rna-XM_057799718.1	A	anno1.g549.t1	A
rna-XM_057799712.1	A	anno1.g550.t1	A
rna-XM_057798040.1	A	anno1.g6757.t1	A
rna-XM_057799466.1	A	anno1.g13062.t4	A
rna-XM_057799480.1	A	anno1.g13063.t2	A
rna-XM_057799479.1	A	anno1.g13616.t2	A
rna-XM_057799484.1	A	anno1.g13617.t1	A
rna-XM_057799489.1	A	anno1.g316.t1	A
rna-XM_057799497.1	A	anno1.g13544.t1	A
rna-XM_057799494.1	A	anno1.g13545.t1	A
rna-XM_057799498.1	A	anno1.g13618.t1	A
rna-XM_057799491.1	A	anno1.g2985.t1	A
rna-XM_057799493.1	A	anno1.g24.t1	A
rna-XM_057799499.1	A	anno1.g13300.t1	A
rna-XM_057799512.1	A	anno1.g13302.t1	A
rna-XM_057799507.1	A	anno1.g9634.t4	A
rna-XM_057799504.1	A	anno1.g13541.t1	A
rna-XM_057799514.1	A	anno1.g10155.t1	A
rna-XM_057799520.1	A	anno1.g8049.t1	A
rna-XM_057799529.1	A	anno1.g5978.t1	A
rna-XM_057799532.1	A	anno1.g5977.t1	A
rna-XM_057799535.1	A	anno1.g3646.t1	A
rna-XM_057799536.1	A	anno1.g3647.t1	A
rna-XM_057798089.1	A	anno1.g5082.t1	A
rna-XM_057797663.1	A	anno1.g828.t1	A
rna-XM_057797664.1	A	anno1.g5084.t1	A
rna-XM_057798041.1	A	anno1.g9992.t2	A
rna-XM_057798042.1	A	anno1.g9993.t1	A
rna-XM_057798054.1	A	anno1.g12277.t1	A
rna-XM_057798052.1	A	anno1.g8914.t1	A
rna-XM_057798082.1	A	anno1.g11427.t1	A
rna-XM_057798447.1	A	anno1.g10743.t2	A
rna-XM_057798446.1	A	anno1.g1991.t1	A
rna-XM_057798175.1	A	anno1.g10970.t1	A
rna-XM_057798305.1	A	anno1.g12698.t2	A
rna-XM_057798376.1	A	anno1.g10048.t2	A
rna-XM_057797788.1	A	anno1.g12211.t1	A
rna-XM_057797870.1	A	anno1.g116.t1	A
rna-XM_057797616.1	A	anno1.g6662.t2	A
rna-XM_057799545.1	A	anno1.g13261.t2	A
