C_maculatus	chromosome	B_siliquastri	chromosome
g6955.t1	A	BRAKERILHT00000008570	A
g6956.t1	A	BRAKERILHT00000009009	A
g6957.t1	A	BRAKERILHT00000009468	A
g6958.t2	A	BRAKERILHT00000010243	A
g6959.t1	A	BRAKERILHT00000009710	A
g6962.t1	A	BRAKERILHT00000009875	A
g6963.t1	A	BRAKERILHT00000009548	A
g6964.t1	A	BRAKERILHT00000008863	A
g6965.t1	A	BRAKERILHT00000008661	A
g6966.t1	A	BRAKERILHT00000008892	A
g6969.t1	A	BRAKERILHT00000008687	A
g6971.t1	A	BRAKERILHT00000009197	A
g6972.t1	A	BRAKERILHT00000008868	A
g6973.t1	A	BRAKERILHT00000009386	A
g6974.t1	A	BRAKERILHT00000008506	A
g6975.t1	A	BRAKERILHT00000009127	A
g6976.t1	A	BRAKERILHT00000008597	A
g6977.t1	A	BRAKERILHT00000010023	A
g6978.t1	A	BRAKERILHT00000010024	A
g6980.t1	A	BRAKERILHT00000009728	A
g6981.t1	A	BRAKERILHT00000009727	A
g6982.t1	A	BRAKERILHT00000009397	A
g6983.t1	A	BRAKERILHT00000009931	A
g6984.t1	A	BRAKERILHT00000009609	A
g6986.t1	A	BRAKERILHT00000009062	A
g6987.t1	A	BRAKERILHT00000008516	A
g6989.t1	A	BRAKERILHT00000010395	A
g6990.t1	A	BRAKERILHT00000010125	A
g6992.t1	A	BRAKERILHT00000009574	A
g6993.t1	A	BRAKERILHT00000008502	A
g6994.t1	A	BRAKERILHT00000010086	A
g6995.t1	A	BRAKERILHT00000008779	A
g6996.t1	A	BRAKERILHT00000010065	A
g6997.t1	A	BRAKERILHT00000008678	A
g6998.t1	A	BRAKERILHT00000008961	A
g6999.t1	A	BRAKERILHT00000009144	A
g7000.t2	A	BRAKERILHT00000009434	A
g7001.t1	A	BRAKERILHT00000010002	A
g7003.t1	A	BRAKERILHT00000008945	A
g7004.t1	A	BRAKERILHT00000009296	A
g7005.t2	A	BRAKERILHT00000009775	A
g7006.t2	A	BRAKERILHT00000009403	A
g7007.t1	A	BRAKERILHT00000009833	A
g7008.t1	A	BRAKERILHT00000008575	A
g7009.t1	A	BRAKERILHT00000008979	A
g7010.t1	A	BRAKERILHT00000009675	A
g7011.t1	A	BRAKERILHT00000010095	A
g7012.t1	A	BRAKERILHT00000008939	A
g7013.t1	A	BRAKERILHT00000009307	A
g7014.t1	A	BRAKERILHT00000010009	A
g7017.t1	A	BRAKERILHT00000009783	A
g7018.t1	A	BRAKERILHT00000013656	A
g7020.t1	A	BRAKERILHT00000009803	A
g7023.t1	A	BRAKERILHT00000008977	A
g7027.t2	A	BRAKERILHT00000009827	A
g7028.t2	A	BRAKERILHT00000009411	A
g7031.t3	A	BRAKERILHT00000009409	A
g7032.t1	A	BRAKERILHT00000009444	A
g7033.t1	A	BRAKERILHT00000009755	A
g7036.t1	A	BRAKERILHT00000008630	A
g7037.t1	A	BRAKERILHT00000009113	A
g7039.t1	A	BRAKERILHT00000008727	A
g7041.t1	A	BRAKERILHT00000010154	A
g7044.t1	A	BRAKERILHT00000008881	A
g7046.t2	A	BRAKERILHT00000009424	A
g7048.t1	A	BRAKERILHT00000009348	A
g7049.t1	A	BRAKERILHT00000009999	A
g7050.t1	A	BRAKERILHT00000008615	A
g7051.t1	A	BRAKERILHT00000009445	A
g7052.t1	A	BRAKERILHT00000008654	A
g7054.t1	A	BRAKERILHT00000009716	A
g7057.t1	A	BRAKERILHT00000010194	A
g7059.t1	A	BRAKERILHT00000009859	A
g7063.t2	A	BRAKERILHT00000009310	A
g7064.t1	A	BRAKERILHT00000009973	A
g7072.t1	A	BRAKERILHT00000008730	A
g7073.t1	A	BRAKERILHT00000009707	A
g7074.t1	A	BRAKERILHT00000010260	A
g7080.t1	A	BRAKERILHT00000009752	A
g7081.t1	A	BRAKERILHT00000010392	A
g7082.t1	A	BRAKERILHT00000009873	A
g7087.t1	A	BRAKERILHT00000009653	A
g7088.t1	A	BRAKERILHT00000009765	A
g7090.t1	A	BRAKERILHT00000009338	A
g7091.t1	A	BRAKERILHT00000008588	A
g7092.t1	A	BRAKERILHT00000009639	A
g7094.t1	A	BRAKERILHT00000008851	A
g7095.t1	A	BRAKERILHT00000010321	A
g7096.t2	A	BRAKERILHT00000009908	A
g7099.t1	A	BRAKERILHT00000008718	A
g7102.t1	A	BRAKERILHT00000008632	A
g7103.t1	A	BRAKERILHT00000008972	A
g7104.t1	A	BRAKERILHT00000008726	A
g7105.t1	A	BRAKERILHT00000009111	A
g7106.t1	A	BRAKERILHT00000009524	A
g7107.t2	A	BRAKERILHT00000010165	A
g7108.t2	A	BRAKERILHT00000010121	A
g7109.t1	A	BRAKERILHT00000009031	A
g7110.t1	A	BRAKERILHT00000010060	A
g7111.t1	A	BRAKERILHT00000009505	A
g7113.t1	A	BRAKERILHT00000009776	A
g7114.t2	A	BRAKERILHT00000008919	A
g7115.t1	A	BRAKERILHT00000009962	A
g7116.t1	A	BRAKERILHT00000008983	A
g7117.t1	A	BRAKERILHT00000009441	A
g7118.t1	A	BRAKERILHT00000010366	A
g7120.t1	A	BRAKERILHT00000010389	A
g7121.t1	A	BRAKERILHT00000008536	A
g7122.t1	A	BRAKERILHT00000009057	A
g7124.t1	A	BRAKERILHT00000008820	A
g7125.t1	A	BRAKERILHT00000010191	A
g7126.t1	A	BRAKERILHT00000009901	A
g7128.t1	A	BRAKERILHT00000009604	A
g7129.t1	A	BRAKERILHT00000008713	A
g7130.t1	A	BRAKERILHT00000008646	A
g7132.t1	A	BRAKERILHT00000009795	A
g7133.t1	A	BRAKERILHT00000010196	A
g7136.t1	A	BRAKERILHT00000008911	A
g7137.t1	A	BRAKERILHT00000008690	A
g7138.t1	A	BRAKERILHT00000008560	A
g7139.t2	A	BRAKERILHT00000010055	A
g7140.t1	A	BRAKERILHT00000010325	A
g7141.t1	A	BRAKERILHT00000009909	A
g7142.t1	A	BRAKERILHT00000009234	A
g7143.t1	A	BRAKERILHT00000008811	A
g7144.t1	A	BRAKERILHT00000009377	A
g7145.t1	A	BRAKERILHT00000009056	A
g7146.t1	A	BRAKERILHT00000010056	A
g7148.t1	A	BRAKERILHT00000010258	A
g7149.t1	A	BRAKERILHT00000008931	A
g7150.t1	A	BRAKERILHT00000008784	A
g7152.t1	A	BRAKERILHT00000008714	A
g7153.t1	A	BRAKERILHT00000009347	A
g7154.t1	A	BRAKERILHT00000009812	A
g7155.t1	A	BRAKERILHT00000010136	A
g7156.t1	A	BRAKERILHT00000010338	A
g7158.t1	A	BRAKERILHT00000010155	A
g7711.t1	A	BRAKERILHT00000004550	A
g7713.t1	A	BRAKERILHT00000006118	A
g7714.t1	A	BRAKERILHT00000004818	A
g7715.t1	A	BRAKERILHT00000004957	A
g7716.t1	A	BRAKERILHT00000005671	A
g7717.t2	A	BRAKERILHT00000005446	A
g7718.t1	A	BRAKERILHT00000005881	A
g7719.t1	A	BRAKERILHT00000006430	A
g7720.t1	A	BRAKERILHT00000004719	A
g7721.t2	A	BRAKERILHT00000004956	A
g7723.t2	A	BRAKERILHT00000005844	A
g7725.t5	A	BRAKERILHT00000005839	A
g7726.t2	A	BRAKERILHT00000005265	A
g7727.t1	A	BRAKERILHT00000005051	A
g7728.t1	A	BRAKERILHT00000005495	A
g7729.t1	A	BRAKERILHT00000005874	A
g7730.t1	A	BRAKERILHT00000005707	A
g7731.t2	A	BRAKERILHT00000004881	A
g7732.t1	A	BRAKERILHT00000006355	A
g7733.t1	A	BRAKERILHT00000006379	A
g7734.t1	A	BRAKERILHT00000005216	A
g7735.t1	A	BRAKERILHT00000004879	A
g7736.t1	A	BRAKERILHT00000006217	A
g7737.t3	A	BRAKERILHT00000005926	A
g7738.t1	A	BRAKERILHT00000005681	A
g7739.t1	A	BRAKERILHT00000005103	A
g7740.t1	A	BRAKERILHT00000004575	A
g7741.t1	A	BRAKERILHT00000005366	A
g7742.t1	A	BRAKERILHT00000005889	A
g7744.t1	A	BRAKERILHT00000005994	A
g7745.t1	A	BRAKERILHT00000004662	A
g7748.t1	A	BRAKERILHT00000005105	A
g7749.t1	A	BRAKERILHT00000005715	A
g7750.t1	A	BRAKERILHT00000004725	A
g7751.t1	A	BRAKERILHT00000006109	A
g7752.t1	A	BRAKERILHT00000004952	A
g7753.t1	A	BRAKERILHT00000005526	A
g7754.t1	A	BRAKERILHT00000004828	A
g7755.t1	A	BRAKERILHT00000005226	A
g7756.t1	A	BRAKERILHT00000006181	A
g7757.t1	A	BRAKERILHT00000005965	A
g7758.t1	A	BRAKERILHT00000004657	A
g7759.t1	A	BRAKERILHT00000005803	A
g7760.t1	A	BRAKERILHT00000006256	A
g7761.t1	A	BRAKERILHT00000004689	A
g7762.t2	A	BRAKERILHT00000005252	A
g7763.t1	A	BRAKERILHT00000004933	A
g7764.t2	A	BRAKERILHT00000005760	A
g7766.t1	A	BRAKERILHT00000005587	A
g7767.t2	A	BRAKERILHT00000006161	A
g7768.t1	A	BRAKERILHT00000004627	A
g7769.t1	A	BRAKERILHT00000005071	A
g7770.t2	A	BRAKERILHT00000005234	A
g7771.t1	A	BRAKERILHT00000006213	A
g7772.t1	A	BRAKERILHT00000004841	A
g7773.t1	A	BRAKERILHT00000005263	A
g7774.t3	A	BRAKERILHT00000004756	A
g7775.t1	A	BRAKERILHT00000006360	A
g7778.t2	A	BRAKERILHT00000005887	A
g7779.t1	A	BRAKERILHT00000005694	A
g7781.t1	A	BRAKERILHT00000006102	A
g7783.t1	A	BRAKERILHT00000004695	A
g7784.t1	A	BRAKERILHT00000004484	A
g7785.t1	A	BRAKERILHT00000004491	A
g7788.t1	A	BRAKERILHT00000005855	A
g7789.t1	A	BRAKERILHT00000006382	A
g7790.t1	A	BRAKERILHT00000004870	A
g7791.t1	A	BRAKERILHT00000005429	A
g7792.t1	A	BRAKERILHT00000005143	A
g7793.t1	A	BRAKERILHT00000005455	A
g7794.t1	A	BRAKERILHT00000006313	A
g7796.t1	A	BRAKERILHT00000005434	A
g7797.t1	A	BRAKERILHT00000005748	A
g7798.t1	A	BRAKERILHT00000004488	A
g7799.t1	A	BRAKERILHT00000004977	A
g7800.t1	A	BRAKERILHT00000005626	A
g7806.t1	A	BRAKERILHT00000005258	A
g7809.t1	A	BRAKERILHT00000005928	A
g7810.t1	A	BRAKERILHT00000006451	A
g7812.t1	A	BRAKERILHT00000004674	A
g7813.t1	A	BRAKERILHT00000006120	A
g7817.t1	A	BRAKERILHT00000005601	A
g7818.t1	A	BRAKERILHT00000005099	A
g7819.t1	A	BRAKERILHT00000005742	A
g7820.t1	A	BRAKERILHT00000004643	A
g7821.t1	A	BRAKERILHT00000005015	A
g7822.t2	A	BRAKERILHT00000004916	A
g7823.t1	A	BRAKERILHT00000006439	A
g7828.t1	A	BRAKERILHT00000004704	A
g7829.t1	A	BRAKERILHT00000005910	A
g7830.t2	A	BRAKERILHT00000005308	A
g7831.t1	A	BRAKERILHT00000004842	A
g7832.t2	A	BRAKERILHT00000005414	A
g7833.t2	A	BRAKERILHT00000005767	A
g7835.t1	A	BRAKERILHT00000005200	A
g7836.t1	A	BRAKERILHT00000004906	A
g7837.t1	A	BRAKERILHT00000006380	A
g7840.t1	A	BRAKERILHT00000004992	A
g7841.t1	A	BRAKERILHT00000005461	A
g7844.t1	A	BRAKERILHT00000005456	A
g7846.t1	A	BRAKERILHT00000004624	A
g7847.t1	A	BRAKERILHT00000006329	A
g7848.t1	A	BRAKERILHT00000005740	A
g7849.t1	A	BRAKERILHT00000005408	A
g7850.t1	A	BRAKERILHT00000004896	A
g7851.t1	A	BRAKERILHT00000005388	A
g7853.t3	A	BRAKERILHT00000006144	A
g7854.t1	A	BRAKERILHT00000006336	A
g7855.t1	A	BRAKERILHT00000005425	A
g7856.t1	A	BRAKERILHT00000005870	A
g7859.t1	A	BRAKERILHT00000004461	A
g7860.t1	A	BRAKERILHT00000005133	A
g7861.t1	A	BRAKERILHT00000005690	A
g7862.t1	A	BRAKERILHT00000011450	A
g7863.t1	A	BRAKERILHT00000005730	A
g7864.t1	A	BRAKERILHT00000004660	A
g7865.t1	A	BRAKERILHT00000006326	A
g7866.t1	A	BRAKERILHT00000005194	A
g7867.t1	A	BRAKERILHT00000006371	A
g7868.t1	A	BRAKERILHT00000004766	A
g7869.t1	A	BRAKERILHT00000004807	A
g7870.t1	A	BRAKERILHT00000005142	A
g7871.t1	A	BRAKERILHT00000005946	A
g7872.t1	A	BRAKERILHT00000006385	A
g7875.t1	A	BRAKERILHT00000004970	A
g7876.t1	A	BRAKERILHT00000005642	A
g7877.t1	A	BRAKERILHT00000005139	A
g7878.t1	A	BRAKERILHT00000005662	A
g7879.t1	A	BRAKERILHT00000005323	A
g7881.t1	A	BRAKERILHT00000004722	A
g7883.t1	A	BRAKERILHT00000005317	A
g7884.t1	A	BRAKERILHT00000004925	A
g7885.t1	A	BRAKERILHT00000006295	A
g7886.t1	A	BRAKERILHT00000005072	A
g7888.t3	A	BRAKERILHT00000005369	A
g7889.t1	A	BRAKERILHT00000004814	A
g7890.t1	A	BRAKERILHT00000005882	A
g7892.t1	A	BRAKERILHT00000005329	A
g7894.t1	A	BRAKERILHT00000004481	A
g7896.t1	A	BRAKERILHT00000006046	A
g7897.t1	A	BRAKERILHT00000005286	A
g7898.t1	A	BRAKERILHT00000004867	A
g7899.t1	A	BRAKERILHT00000006472	A
g7900.t1	A	BRAKERILHT00000005123	A
g7902.t1	A	BRAKERILHT00000004681	A
g7903.t1	A	BRAKERILHT00000004764	A
g7904.t1	A	BRAKERILHT00000005550	A
g7905.t1	A	BRAKERILHT00000005122	A
g7910.t1	A	BRAKERILHT00000004518	A
g7913.t1	A	BRAKERILHT00000005246	A
g7914.t2	A	BRAKERILHT00000005667	A
g7915.t1	A	BRAKERILHT00000006126	A
g7916.t2	A	BRAKERILHT00000004502	A
g7917.t1	A	BRAKERILHT00000006409	A
g7918.t1	A	BRAKERILHT00000006204	A
g7920.t2	A	BRAKERILHT00000005233	A
g7921.t1	A	BRAKERILHT00000004546	A
g7922.t1	A	BRAKERILHT00000005088	A
g7923.t1	A	BRAKERILHT00000005912	A
g7924.t1	A	BRAKERILHT00000005958	A
g7925.t1	A	BRAKERILHT00000005363	A
g7928.t1	A	BRAKERILHT00000004641	A
g7931.t1	A	BRAKERILHT00000005648	A
g7932.t1	A	BRAKERILHT00000005779	A
g7933.t1	A	BRAKERILHT00000005995	A
g7935.t1	A	BRAKERILHT00000004973	A
g7936.t1	A	BRAKERILHT00000004487	A
g7938.t1	A	BRAKERILHT00000006352	A
g7939.t1	A	BRAKERILHT00000005530	A
g7940.t2	A	BRAKERILHT00000004749	A
g7941.t1	A	BRAKERILHT00000005412	A
g7942.t1	A	BRAKERILHT00000004975	A
g7944.t2	A	BRAKERILHT00000005860	A
g7945.t1	A	BRAKERILHT00000005856	A
g7946.t2	A	BRAKERILHT00000005996	A
g7947.t1	A	BRAKERILHT00000004549	A
g7948.t1	A	BRAKERILHT00000005499	A
g7951.t1	A	BRAKERILHT00000005054	A
g7952.t1	A	BRAKERILHT00000004758	A
g7953.t1	A	BRAKERILHT00000006425	A
g7954.t2	A	BRAKERILHT00000005673	A
g7955.t1	A	BRAKERILHT00000005992	A
g7958.t2	A	BRAKERILHT00000005701	A
g7959.t1	A	BRAKERILHT00000004862	A
g7960.t1	A	BRAKERILHT00000006426	A
g7961.t1	A	BRAKERILHT00000005772	A
g7962.t1	A	BRAKERILHT00000005339	A
g7965.t1	A	BRAKERILHT00000006085	A
g7966.t1	A	BRAKERILHT00000005522	A
g7967.t1	A	BRAKERILHT00000005237	A
g7968.t1	A	BRAKERILHT00000004714	A
g7970.t1	A	BRAKERILHT00000016075	A
g7971.t1	A	BRAKERILHT00000004486	A
g7972.t1	A	BRAKERILHT00000006214	A
g7973.t1	A	BRAKERILHT00000004483	A
g7974.t2	A	BRAKERILHT00000006210	A
g7976.t1	A	BRAKERILHT00000005594	A
g7977.t1	A	BRAKERILHT00000005291	A
g7978.t1	A	BRAKERILHT00000005421	A
g7979.t3	A	BRAKERILHT00000006279	A
g7980.t1	A	BRAKERILHT00000004623	A
g7981.t2	A	BRAKERILHT00000004958	A
g7982.t1	A	BRAKERILHT00000005490	A
g7983.t1	A	BRAKERILHT00000006053	A
g7984.t1	A	BRAKERILHT00000005396	A
g7985.t1	A	BRAKERILHT00000004820	A
g7988.t1	A	BRAKERILHT00000006247	A
g7989.t1	A	BRAKERILHT00000006457	A
g7991.t1	A	BRAKERILHT00000005739	A
g7993.t2	A	BRAKERILHT00000005220	A
g7994.t1	A	BRAKERILHT00000005244	A
g7995.t3	A	BRAKERILHT00000005094	A
g7996.t1	A	BRAKERILHT00000005447	A
g7997.t2	A	BRAKERILHT00000004895	A
g7998.t1	A	BRAKERILHT00000006458	A
g7999.t1	A	BRAKERILHT00000005861	A
g8000.t1	A	BRAKERILHT00000005304	A
g8001.t1	A	BRAKERILHT00000004629	A
g8002.t1	A	BRAKERILHT00000005163	A
g8003.t2	A	BRAKERILHT00000004607	A
g8004.t1	A	BRAKERILHT00000006071	A
g8005.t1	A	BRAKERILHT00000006340	A
g8007.t1	A	BRAKERILHT00000006141	A
g8008.t1	A	BRAKERILHT00000005208	A
g8010.t1	A	BRAKERILHT00000013616	A
g8011.t1	A	BRAKERILHT00000005679	A
g8012.t1	A	BRAKERILHT00000004572	A
g8013.t1	A	BRAKERILHT00000006341	A
g8014.t1	A	BRAKERILHT00000005904	A
g8015.t2	A	BRAKERILHT00000005348	A
g8016.t1	A	BRAKERILHT00000004771	A
g8017.t1	A	BRAKERILHT00000006168	A
g8018.t1	A	BRAKERILHT00000005616	A
g8019.t1	A	BRAKERILHT00000005061	A
g8020.t1	A	BRAKERILHT00000004489	A
g8022.t1	A	BRAKERILHT00000004494	A
g8023.t1	A	BRAKERILHT00000005728	A
g8024.t1	A	BRAKERILHT00000005264	A
g8025.t1	A	BRAKERILHT00000006128	A
g8026.t1	A	BRAKERILHT00000005670	A
g8027.t1	A	BRAKERILHT00000006390	A
g8029.t1	A	BRAKERILHT00000005935	A
g8030.t1	A	BRAKERILHT00000005372	A
g8031.t1	A	BRAKERILHT00000004801	A
g8033.t1	A	BRAKERILHT00000005066	A
g8034.t1	A	BRAKERILHT00000005235	A
g8035.t2	A	BRAKERILHT00000005800	A
g8036.t1	A	BRAKERILHT00000006110	A
g8037.t1	A	BRAKERILHT00000004652	A
g8038.t1	A	BRAKERILHT00000005514	A
g8039.t2	A	BRAKERILHT00000005942	A
g8040.t1	A	BRAKERILHT00000006274	A
g8041.t1	A	BRAKERILHT00000004604	A
g8042.t1	A	BRAKERILHT00000005147	A
g8043.t1	A	BRAKERILHT00000005877	A
g8044.t1	A	BRAKERILHT00000005073	A
g8045.t1	A	BRAKERILHT00000004620	A
g8046.t1	A	BRAKERILHT00000005795	A
g8047.t1	A	BRAKERILHT00000006321	A
g8048.t1	A	BRAKERILHT00000005720	A
g8049.t1	A	BRAKERILHT00000005368	A
g8050.t2	A	BRAKERILHT00000005973	A
g8052.t1	A	BRAKERILHT00000005510	A
g8053.t1	A	BRAKERILHT00000004920	A
g8054.t1	A	BRAKERILHT00000006403	A
g8055.t1	A	BRAKERILHT00000005888	A
g8056.t1	A	BRAKERILHT00000004510	A
g8058.t1	A	BRAKERILHT00000005963	A
g8060.t1	A	BRAKERILHT00000005665	A
g8061.t1	A	BRAKERILHT00000005513	A
g8062.t1	A	BRAKERILHT00000006187	A
g8063.t1	A	BRAKERILHT00000004580	A
g8064.t1	A	BRAKERILHT00000005298	A
g8065.t1	A	BRAKERILHT00000006280	A
g8066.t1	A	BRAKERILHT00000004700	A
g8067.t1	A	BRAKERILHT00000005390	A
g8068.t1	A	BRAKERILHT00000005841	A
g8069.t1	A	BRAKERILHT00000006060	A
g8070.t2	A	BRAKERILHT00000004490	A
g8072.t1	A	BRAKERILHT00000004560	A
g8073.t1	A	BRAKERILHT00000005991	A
g8075.t1	A	BRAKERILHT00000005923	A
g8076.t1	A	BRAKERILHT00000005326	A
g8077.t1	A	BRAKERILHT00000004859	A
g8078.t2	A	BRAKERILHT00000006224	A
g8079.t1	A	BRAKERILHT00000005232	A
g8080.t1	A	BRAKERILHT00000004663	A
g8081.t2	A	BRAKERILHT00000006107	A
g8082.t1	A	BRAKERILHT00000005549	A
g8085.t1	A	BRAKERILHT00000005723	A
g8086.t1	A	BRAKERILHT00000005276	A
g8087.t1	A	BRAKERILHT00000006088	A
g8088.t1	A	BRAKERILHT00000005178	A
g8089.t1	A	BRAKERILHT00000004495	A
g8090.t11	A	BRAKERILHT00000006083	A
g8092.t1	A	BRAKERILHT00000005875	A
g8093.t1	A	BRAKERILHT00000005842	A
g8094.t1	A	BRAKERILHT00000005231	A
g8095.t1	A	BRAKERILHT00000005919	A
g8097.t1	A	BRAKERILHT00000006389	A
g8098.t1	A	BRAKERILHT00000006157	A
g8099.t1	A	BRAKERILHT00000006343	A
g8100.t1	A	BRAKERILHT00000004774	A
g8101.t1	A	BRAKERILHT00000004571	A
g8104.t2	A	BRAKERILHT00000004897	A
g8106.t1	A	BRAKERILHT00000005177	A
g8107.t1	A	BRAKERILHT00000004605	A
g8108.t1	A	BRAKERILHT00000005108	A
g8109.t1	A	BRAKERILHT00000004945	A
g8110.t1	A	BRAKERILHT00000004517	A
g8113.t1	A	BRAKERILHT00000005635	A
g8114.t1	A	BRAKERILHT00000004647	A
g8116.t1	A	BRAKERILHT00000005632	A
g8117.t1	A	BRAKERILHT00000006164	A
g8118.t1	A	BRAKERILHT00000005817	A
g8119.t1	A	BRAKERILHT00000004918	A
g8120.t1	A	BRAKERILHT00000006302	A
g8121.t1	A	BRAKERILHT00000005858	A
g8122.t1	A	BRAKERILHT00000005376	A
g8123.t1	A	BRAKERILHT00000005852	A
g8124.t2	A	BRAKERILHT00000004699	A
g8125.t2	A	BRAKERILHT00000004614	A
g8126.t1	A	BRAKERILHT00000005823	A
g8127.t2	A	BRAKERILHT00000005471	A
g8128.t1	A	BRAKERILHT00000006196	A
g8129.t1	A	BRAKERILHT00000004825	A
g8130.t1	A	BRAKERILHT00000005557	A
g8131.t1	A	BRAKERILHT00000006413	A
g8132.t1	A	BRAKERILHT00000004829	A
g8133.t1	A	BRAKERILHT00000005219	A
g8134.t1	A	BRAKERILHT00000004769	A
g8135.t1	A	BRAKERILHT00000005669	A
g8136.t1	A	BRAKERILHT00000005675	A
g8140.t1	A	BRAKERILHT00000005913	A
g8146.t1	A	BRAKERILHT00000005571	A
g8147.t1	A	BRAKERILHT00000005457	A
g8148.t1	A	BRAKERILHT00000006024	A
g8149.t1	A	BRAKERILHT00000005195	A
g8150.t2	A	BRAKERILHT00000005776	A
g8151.t1	A	BRAKERILHT00000006149	A
g8152.t2	A	BRAKERILHT00000004677	A
g8155.t2	A	BRAKERILHT00000005588	A
g8156.t1	A	BRAKERILHT00000006148	A
g8157.t1	A	BRAKERILHT00000004661	A
g8158.t1	A	BRAKERILHT00000005029	A
g8159.t1	A	BRAKERILHT00000006020	A
g8160.t1	A	BRAKERILHT00000005884	A
g8163.t1	A	BRAKERILHT00000006298	A
g8165.t1	A	BRAKERILHT00000006445	A
g8167.t1	A	BRAKERILHT00000005022	A
g8168.t1	A	BRAKERILHT00000006300	A
g8169.t1	A	BRAKERILHT00000004707	A
g8170.t1	A	BRAKERILHT00000006396	A
g8171.t1	A	BRAKERILHT00000005982	A
g8172.t1	A	BRAKERILHT00000005381	A
g8173.t1	A	BRAKERILHT00000005755	A
g8174.t2	A	BRAKERILHT00000005187	A
g8175.t1	A	BRAKERILHT00000006392	A
g8176.t1	A	BRAKERILHT00000006354	A
g8177.t1	A	BRAKERILHT00000006407	A
g8178.t1	A	BRAKERILHT00000005641	A
g8179.t1	A	BRAKERILHT00000006434	A
g8189.t3	A	BRAKERILHT00000005069	A
g8190.t1	A	BRAKERILHT00000006394	A
g8191.t1	A	BRAKERILHT00000005643	A
g8192.t1	A	BRAKERILHT00000005977	A
g8193.t1	A	BRAKERILHT00000005657	A
g8195.t1	A	BRAKERILHT00000006184	A
g8196.t1	A	BRAKERILHT00000002293	A
g8198.t1	A	BRAKERILHT00000004654	A
g8199.t1	A	BRAKERILHT00000005961	A
g8200.t1	A	BRAKERILHT00000005666	A
g8202.t1	A	BRAKERILHT00000005543	A
g8204.t1	A	BRAKERILHT00000006183	A
g8205.t1	A	BRAKERILHT00000004521	A
g8206.t1	A	BRAKERILHT00000005125	A
g8207.t1	A	BRAKERILHT00000005224	A
g8208.t1	A	BRAKERILHT00000004697	A
g8209.t1	A	BRAKERILHT00000006402	A
g8210.t2	A	BRAKERILHT00000005211	A
g8211.t1	A	BRAKERILHT00000004782	A
g8212.t1	A	BRAKERILHT00000006259	A
g8213.t1	A	BRAKERILHT00000005312	A
g8214.t1	A	BRAKERILHT00000004524	A
g8215.t1	A	BRAKERILHT00000005976	A
g8216.t1	A	BRAKERILHT00000005627	A
g8217.t1	A	BRAKERILHT00000006068	A
g8218.t1	A	BRAKERILHT00000004485	A
g8219.t1	A	BRAKERILHT00000005043	A
g8220.t1	A	BRAKERILHT00000005484	A
g8221.t1	A	BRAKERILHT00000006433	A
g8223.t1	A	BRAKERILHT00000005207	A
g8224.t1	A	BRAKERILHT00000004759	A
g8227.t1	A	BRAKERILHT00000005120	A
g8228.t1	A	BRAKERILHT00000004559	A
g8229.t1	A	BRAKERILHT00000005949	A
g8230.t2	A	BRAKERILHT00000004757	A
g8231.t4	A	BRAKERILHT00000004634	A
g8232.t1	A	BRAKERILHT00000006310	A
g8233.t1	A	BRAKERILHT00000005622	A
g8236.t1	A	BRAKERILHT00000006044	A
g8238.t1	A	BRAKERILHT00000005379	A
g8240.t2	A	BRAKERILHT00000004991	A
g8242.t2	A	BRAKERILHT00000005806	A
g8243.t1	A	BRAKERILHT00000006365	A
g8244.t1	A	BRAKERILHT00000004638	A
g8245.t1	A	BRAKERILHT00000005206	A
g8246.t1	A	BRAKERILHT00000005340	A
g8247.t1	A	BRAKERILHT00000005981	A
g8248.t1	A	BRAKERILHT00000004750	A
g8249.t1	A	BRAKERILHT00000005417	A
g8250.t1	A	BRAKERILHT00000005472	A
g8251.t1	A	BRAKERILHT00000006178	A
g8252.t4	A	BRAKERILHT00000005753	A
g8253.t1	A	BRAKERILHT00000006096	A
g8254.t1	A	BRAKERILHT00000005008	A
g8255.t1	A	BRAKERILHT00000004625	A
g8256.t2	A	BRAKERILHT00000006177	A
g8257.t2	A	BRAKERILHT00000005324	A
g8258.t1	A	BRAKERILHT00000004901	A
g8259.t1	A	BRAKERILHT00000005548	A
g8260.t2	A	BRAKERILHT00000004980	A
g8261.t1	A	BRAKERILHT00000004684	A
g8262.t2	A	BRAKERILHT00000005559	A
g8266.t1	A	BRAKERILHT00000006456	A
g8268.t1	A	BRAKERILHT00000005582	A
g8269.t1	A	BRAKERILHT00000005346	A
g8270.t1	A	BRAKERILHT00000004470	A
g8271.t2	A	BRAKERILHT00000004733	A
g8272.t1	A	BRAKERILHT00000004613	A
g8273.t1	A	BRAKERILHT00000005560	A
g8275.t2	A	BRAKERILHT00000005491	A
g8276.t1	A	BRAKERILHT00000006056	A
g8277.t1	A	BRAKERILHT00000006309	A
g8278.t1	A	BRAKERILHT00000004986	A
g8279.t1	A	BRAKERILHT00000006277	A
g8280.t2	A	BRAKERILHT00000005732	A
g8281.t1	A	BRAKERILHT00000006234	A
g8282.t1	A	BRAKERILHT00000004877	A
g8283.t1	A	BRAKERILHT00000005438	A
g8284.t1	A	BRAKERILHT00000005507	A
g8285.t1	A	BRAKERILHT00000006291	A
g8286.t2	A	BRAKERILHT00000006335	A
g8287.t1	A	BRAKERILHT00000006444	A
g8288.t1	A	BRAKERILHT00000006455	A
