D_sublineata	chromosome	B_varius	chromosome
rna-XM_056774117.1	A	anno1.g6702.t1	A
rna-XM_056774126.1	A	anno1.g1302.t1	A
rna-XM_056774128.1	A	anno1.g6328.t1	A
rna-XM_056774127.1	A	anno1.g6327.t1	A
rna-XM_056774131.1	A	anno1.g1026.t1	A
rna-XM_056774129.1	A	anno1.g2259.t1	A
rna-XM_056774167.1	A	anno1.g1100.t1	A
rna-XM_056774173.1	A	anno1.g2220.t1	A
rna-XM_056792980.1	A	anno1.g8934.t1	A
rna-XM_056792567.1	A	anno1.g5220.t1	A
rna-XM_056773995.1	A	anno1.g2237.t2	A
rna-XM_056773874.1	A	anno1.g5879.t1	A
rna-XM_056792542.1	A	anno1.g2238.t1	A
rna-XM_056792544.1	A	anno1.g537.t1	A
rna-XM_056792807.1	A	anno1.g4569.t1	A
rna-XM_056774251.1	A	anno1.g2285.t4	A
rna-XM_056774252.1	A	anno1.g1304.t1	A
rna-XM_056791943.1	A	anno1.g7039.t1	A
rna-XM_056792107.1	A	anno1.g7922.t2	A
rna-XM_056792110.1	A	anno1.g7923.t1	A
rna-XM_056792106.1	A	anno1.g1352.t1	A
rna-XM_056792108.1	A	anno1.g1351.t1	A
rna-XM_056792581.1	A	anno1.g1184.t1	A
rna-XM_056792589.1	A	anno1.g1186.t1	A
rna-XM_056792631.1	A	anno1.g7613.t1	A
rna-XM_056774082.1	A	anno1.g7612.t1	A
rna-XM_056774080.1	A	anno1.g7609.t1	A
rna-XM_056792397.1	A	anno1.g7818.t1	A
rna-XM_056792854.1	A	anno1.g5634.t1	A
rna-XM_056792499.1	A	anno1.g5673.t1	A
rna-XM_056792500.1	A	anno1.g3404.t1	A
rna-XM_056792505.1	A	anno1.g3405.t1	A
rna-XM_056793202.1	A	anno1.g3406.t2	A
rna-XM_056793204.1	A	anno1.g3349.t1	A
rna-XM_056793205.1	A	anno1.g3348.t1	A
rna-XM_056773592.1	A	anno1.g2108.t1	A
rna-XM_056792389.1	A	anno1.g6064.t1	A
rna-XM_056774158.1	A	anno1.g10277.t1	A
rna-XM_056773808.1	A	anno1.g6269.t1	A
rna-XM_056773812.1	A	anno1.g2680.t1	A
rna-XM_056793212.1	A	anno1.g8996.t1	A
rna-XM_056792847.1	A	anno1.g10908.t2	A
rna-XM_056792846.1	A	anno1.g6039.t1	A
rna-XM_056792347.1	A	anno1.g7930.t1	A
rna-XM_056793108.1	A	anno1.g3897.t1	A
rna-XM_056773959.1	A	anno1.g8265.t1	A
rna-XM_056792940.1	A	anno1.g7926.t1	A
rna-XM_056792946.1	A	anno1.g8016.t1	A
rna-XM_056792942.1	A	anno1.g7768.t1	A
rna-XM_056792944.1	A	anno1.g3796.t1	A
rna-XM_056773879.1	A	anno1.g3540.t1	A
rna-XM_056792947.1	A	anno1.g4892.t1	A
rna-XM_056793225.1	A	anno1.g3541.t1	A
rna-XM_056793219.1	A	anno1.g3960.t1	A
rna-XM_056792472.1	A	anno1.g3961.t1	A
rna-XM_056792883.1	A	anno1.g3472.t1	A
rna-XM_056792730.1	A	anno1.g9069.t2	A
rna-XM_056792734.1	A	anno1.g8071.t1	A
rna-XM_056792733.1	A	anno1.g8466.t1	A
rna-XM_056792531.1	A	anno1.g4015.t1	A
rna-XM_056773845.1	A	anno1.g7116.t1	A
rna-XM_056773847.1	A	anno1.g8437.t1	A
rna-XM_056792230.1	A	anno1.g922.t2	A
rna-XM_056792237.1	A	anno1.g2900.t1	A
rna-XM_056792238.1	A	anno1.g8533.t1	A
rna-XM_056792885.1	A	anno1.g8536.t1	A
rna-XM_056773882.1	A	anno1.g7183.t1	A
rna-XM_056792209.1	A	anno1.g8904.t1	A
rna-XM_056793095.1	A	anno1.g1326.t1	A
rna-XM_056773883.1	A	anno1.g1327.t1	A
rna-XM_056792676.1	A	anno1.g1324.t1	A
rna-XM_056773589.1	A	anno1.g1323.t1	A
rna-XM_056792131.1	A	anno1.g1318.t1	A
rna-XM_056792133.1	A	anno1.g1315.t2	A
rna-XM_056792570.1	A	anno1.g1314.t1	A
rna-XM_056793093.1	A	anno1.g7917.t3	A
rna-XM_056792198.1	A	anno1.g10432.t1	A
rna-XM_056773884.1	A	anno1.g10431.t1	A
rna-XM_056792147.1	A	anno1.g1873.t1	A
rna-XM_056774085.1	A	anno1.g1872.t1	A
rna-XM_056774084.1	A	anno1.g1871.t1	A
rna-XM_056791932.1	A	anno1.g1353.t1	A
rna-XM_056791976.1	A	anno1.g1187.t1	A
rna-XM_056792321.1	A	anno1.g1188.t1	A
rna-XM_056792322.1	A	anno1.g5618.t1	A
rna-XM_056792490.1	A	anno1.g5617.t1	A
rna-XM_056792491.1	A	anno1.g9044.t1	A
rna-XM_056792383.1	A	anno1.g7864.t1	A
rna-XM_056792144.1	A	anno1.g1331.t1	A
rna-XM_056792706.1	A	anno1.g1161.t2	A
rna-XM_056773888.1	A	anno1.g4536.t2	A
rna-XM_056791940.1	A	anno1.g1333.t1	A
rna-XM_056791941.1	A	anno1.g2236.t2	A
rna-XM_056792510.1	A	anno1.g2232.t1	A
rna-XM_056792975.1	A	anno1.g2233.t1	A
rna-XM_056792977.1	A	anno1.g2235.t2	A
rna-XM_056792978.1	A	anno1.g4571.t1	A
rna-XM_056792979.1	A	anno1.g4098.t1	A
rna-XM_056792728.1	A	anno1.g4099.t1	A
rna-XM_056792723.1	A	anno1.g4100.t1	A
rna-XM_056792200.1	A	anno1.g4102.t1	A
rna-XM_056792201.1	A	anno1.g4103.t2	A
rna-XM_056773970.1	A	anno1.g1354.t1	A
rna-XM_056773969.1	A	anno1.g1869.t2	A
rna-XM_056773973.1	A	anno1.g1159.t1	A
rna-XM_056791971.1	A	anno1.g9986.t2	A
rna-XM_056791973.1	A	anno1.g9987.t2	A
rna-XM_056792102.1	A	anno1.g341.t1	A
rna-XM_056792100.1	A	anno1.g5236.t1	A
rna-XM_056792103.1	A	anno1.g5235.t1	A
rna-XM_056792185.1	A	anno1.g5234.t1	A
rna-XM_056792010.1	A	anno1.g1561.t1	A
rna-XM_056792014.1	A	anno1.g10514.t2	A
rna-XM_056774013.1	A	anno1.g10492.t1	A
rna-XM_056774014.1	A	anno1.g10582.t1	A
rna-XM_056774015.1	A	anno1.g8109.t1	A
rna-XM_056774017.1	A	anno1.g5233.t1	A
rna-XM_056774018.1	A	anno1.g10971.t1	A
rna-XM_056774230.1	A	anno1.g5736.t2	A
rna-XM_056774226.1	A	anno1.g5779.t1	A
rna-XM_056774224.1	A	anno1.g5780.t1	A
rna-XM_056774225.1	A	anno1.g4819.t1	A
rna-XM_056792214.1	A	anno1.g5196.t1	A
rna-XM_056792213.1	A	anno1.g6877.t1	A
rna-XM_056792522.1	A	anno1.g7167.t1	A
rna-XM_056774066.1	A	anno1.g9103.t2	A
rna-XM_056774067.1	A	anno1.g7393.t1	A
rna-XM_056774064.1	A	anno1.g5777.t1	A
rna-XM_056792228.1	A	anno1.g4229.t1	A
rna-XM_056792215.1	A	anno1.g3197.t1	A
rna-XM_056792216.1	A	anno1.g8777.t1	A
rna-XM_056773551.1	A	anno1.g4587.t3	A
rna-XM_056793069.1	A	anno1.g9485.t1	A
rna-XM_056773960.1	A	anno1.g4594.t1	A
rna-XM_056791926.1	A	anno1.g6461.t1	A
rna-XM_056773891.1	A	anno1.g8980.t1	A
rna-XM_056791962.1	A	anno1.g5971.t1	A
rna-XM_056791960.1	A	anno1.g1340.t1	A
rna-XM_056791957.1	A	anno1.g5973.t1	A
rna-XM_056793098.1	A	anno1.g10430.t1	A
rna-XM_056773892.1	A	anno1.g10349.t1	A
rna-XM_056792116.1	A	anno1.g10367.t1	A
rna-XM_056792117.1	A	anno1.g12155.t1	X
rna-XM_056792120.1	A	anno1.g10682.t1	A
rna-XM_056792122.1	A	anno1.g10681.t1	A
rna-XM_056792123.1	A	anno1.g10307.t1	A
rna-XM_056792118.1	A	anno1.g10306.t1	A
rna-XM_056774180.1	A	anno1.g11213.t1	A
rna-XM_056774181.1	A	anno1.g10955.t1	A
rna-XM_056792628.1	A	anno1.g8801.t2	A
rna-XM_056792498.1	A	anno1.g10725.t1	A
rna-XM_056773980.1	A	anno1.g10954.t1	A
rna-XM_056773983.1	A	anno1.g7059.t1	A
rna-XM_056773982.1	A	anno1.g12040.t1	X
rna-XM_056773985.1	A	anno1.g5774.t1	A
rna-XM_056793249.1	A	anno1.g11337.t1	A
rna-XM_056792287.1	A	anno1.g1261.t1	A
rna-XM_056792288.1	A	anno1.g10103.t1	A
rna-XM_056792899.1	A	anno1.g9377.t1	A
rna-XM_056792898.1	A	anno1.g4660.t1	A
rna-XM_056792370.1	A	anno1.g4707.t1	A
rna-XM_056773781.1	A	anno1.g3459.t2	A
rna-XM_056773778.1	A	anno1.g3458.t2	A
rna-XM_056773780.1	A	anno1.g3457.t1	A
rna-XM_056773785.1	A	anno1.g6733.t1	A
rna-XM_056773787.1	A	anno1.g3518.t1	A
rna-XM_056773790.1	A	anno1.g3516.t2	A
rna-XM_056773893.1	A	anno1.g3514.t1	A
rna-XM_056793096.1	A	anno1.g6809.t1	A
rna-XM_056792999.1	A	anno1.g3579.t1	A
rna-XM_056773604.1	A	anno1.g3577.t1	A
rna-XM_056773611.1	A	anno1.g3576.t1	A
rna-XM_056773605.1	A	anno1.g814.t1	A
rna-XM_056773609.1	A	anno1.g3519.t3	A
rna-XM_056773600.1	A	anno1.g3580.t3	A
rna-XM_056773612.1	A	anno1.g3581.t3	A
rna-XM_056773616.1	A	anno1.g3582.t2	A
rna-XM_056773614.1	A	anno1.g3825.t1	A
rna-XM_056773633.1	A	anno1.g3826.t1	A
rna-XM_056773635.1	A	anno1.g3827.t2	A
rna-XM_056773637.1	A	anno1.g3774.t1	A
rna-XM_056773639.1	A	anno1.g3773.t1	A
rna-XM_056773642.1	A	anno1.g3772.t1	A
rna-XM_056773640.1	A	anno1.g3905.t2	A
rna-XM_056773645.1	A	anno1.g3906.t1	A
rna-XM_056773644.1	A	anno1.g3879.t1	A
rna-XM_056773648.1	A	anno1.g9313.t1	A
rna-XM_056773649.1	A	anno1.g3875.t1	A
rna-XM_056773656.1	A	anno1.g3878.t1	A
rna-XM_056773662.1	A	anno1.g4563.t1	A
rna-XM_056773664.1	A	anno1.g4561.t1	A
rna-XM_056773666.1	A	anno1.g7563.t1	A
rna-XM_056773670.1	A	anno1.g3675.t2	A
rna-XM_056773669.1	A	anno1.g3778.t1	A
rna-XM_056773667.1	A	anno1.g3673.t2	A
rna-XM_056773672.1	A	anno1.g3777.t1	A
rna-XM_056792769.1	A	anno1.g222.t1	A
rna-XM_056792770.1	A	anno1.g221.t1	A
rna-XM_056773583.1	A	anno1.g10183.t1	A
rna-XM_056773581.1	A	anno1.g10184.t1	A
rna-XM_056773586.1	A	anno1.g9973.t1	A
rna-XM_056792616.1	A	anno1.g10160.t1	A
rna-XM_056792538.1	A	anno1.g10290.t1	A
rna-XM_056792598.1	A	anno1.g2963.t1	A
rna-XM_056793232.1	A	anno1.g1652.t1	A
rna-XM_056773800.1	A	anno1.g11317.t3	A
rna-XM_056773802.1	A	anno1.g11318.t1	A
rna-XM_056773806.1	A	anno1.g11319.t1	A
rna-XM_056773807.1	A	anno1.g4908.t1	A
rna-XM_056792804.1	A	anno1.g3228.t1	A
rna-XM_056792855.1	A	anno1.g10960.t1	A
rna-XM_056774001.1	A	anno1.g5112.t1	A
rna-XM_056774010.1	A	anno1.g8796.t1	A
rna-XM_056774002.1	A	anno1.g8797.t1	A
rna-XM_056793138.1	A	anno1.g10242.t1	A
rna-XM_056792566.1	A	anno1.g2544.t1	A
rna-XM_056773898.1	A	anno1.g3693.t3	A
rna-XM_056792915.1	A	anno1.g4955.t1	A
rna-XM_056773900.1	A	anno1.g4957.t1	A
rna-XM_056773673.1	A	anno1.g7759.t1	A
rna-XM_056792352.1	A	anno1.g4962.t1	A
rna-XM_056792174.1	A	anno1.g331.t1	A
rna-XM_056792182.1	A	anno1.g161.t1	A
rna-XM_056792323.1	A	anno1.g10025.t1	A
rna-XM_056792635.1	A	anno1.g4614.t1	A
rna-XM_056792289.1	A	anno1.g4018.t1	A
rna-XM_056792294.1	A	anno1.g4596.t1	A
rna-XM_056792817.1	A	anno1.g4598.t1	A
rna-XM_056792509.1	A	anno1.g4597.t1	A
rna-XM_056792329.1	A	anno1.g10122.t1	A
rna-XM_056792208.1	A	anno1.g10094.t1	A
rna-XM_056791952.1	A	anno1.g10168.t1	A
rna-XM_056791953.1	A	anno1.g10520.t1	A
rna-XM_056791950.1	A	anno1.g10521.t2	A
rna-XM_056791956.1	A	anno1.g10581.t1	A
rna-XM_056792111.1	A	anno1.g7293.t2	A
rna-XM_056792864.1	A	anno1.g7292.t1	A
rna-XM_056792661.1	A	anno1.g7005.t1	A
rna-XM_056792753.1	A	anno1.g8709.t1	A
rna-XM_056792751.1	A	anno1.g8405.t1	A
rna-XM_056792758.1	A	anno1.g6847.t1	A
rna-XM_056792757.1	A	anno1.g1849.t1	A
rna-XM_056792875.1	A	anno1.g616.t2	A
rna-XM_056792561.1	A	anno1.g12087.t3	X
rna-XM_056792560.1	A	anno1.g3234.t1	A
rna-XM_056792551.1	A	anno1.g3361.t1	A
rna-XM_056793209.1	A	anno1.g3363.t1	A
rna-XM_056793210.1	A	anno1.g3362.t1	A
rna-XM_056792317.1	A	anno1.g3394.t1	A
rna-XM_056773754.1	A	anno1.g5217.t1	A
rna-XM_056773751.1	A	anno1.g5781.t1	A
rna-XM_056792831.1	A	anno1.g9171.t1	A
rna-XM_056792223.1	A	anno1.g2121.t2	A
rna-XM_056792955.1	A	anno1.g2120.t1	A
rna-XM_056792960.1	A	anno1.g4080.t1	A
rna-XM_056792958.1	A	anno1.g4078.t2	A
rna-XM_056792962.1	A	anno1.g3779.t1	A
rna-XM_056773574.1	A	anno1.g4079.t2	A
rna-XM_056773998.1	A	anno1.g6458.t1	A
rna-XM_056792781.1	A	anno1.g5597.t1	A
rna-XM_056792597.1	A	anno1.g8082.t1	A
rna-XM_056792239.1	A	anno1.g8353.t1	A
rna-XM_056774177.1	A	anno1.g5307.t1	A
rna-XM_056793119.1	A	anno1.g701.t1	A
rna-XM_056773819.1	A	anno1.g1646.t1	A
rna-XM_056773820.1	A	anno1.g1647.t1	A
rna-XM_056773821.1	A	anno1.g1761.t1	A
rna-XM_056773822.1	A	anno1.g1648.t1	A
rna-XM_056792359.1	A	anno1.g966.t1	A
rna-XM_056792739.1	A	anno1.g9555.t1	A
rna-XM_056774133.1	A	anno1.g10439.t1	A
rna-XM_056792172.1	A	anno1.g9656.t2	A
rna-XM_056792546.1	A	anno1.g10920.t1	A
rna-XM_056792246.1	A	anno1.g10904.t1	A
rna-XM_056792374.1	A	anno1.g10913.t1	A
rna-XM_056773912.1	A	anno1.g10914.t1	A
rna-XM_056773694.1	A	anno1.g10919.t1	A
rna-XM_056792700.1	A	anno1.g10918.t1	A
rna-XM_056792008.1	A	anno1.g10915.t1	A
rna-XM_056792968.1	A	anno1.g7000.t1	A
rna-XM_056792250.1	A	anno1.g7004.t1	A
rna-XM_056773691.1	A	anno1.g7003.t1	A
rna-XM_056773693.1	A	anno1.g7258.t1	A
rna-XM_056792766.1	A	anno1.g3432.t1	A
rna-XM_056774087.1	A	anno1.g3343.t1	A
rna-XM_056774089.1	A	anno1.g8929.t1	A
rna-XM_056774091.1	A	anno1.g3340.t1	A
rna-XM_056774090.1	A	anno1.g1741.t1	A
rna-XM_056774088.1	A	anno1.g11893.t1	X
rna-XM_056792141.1	A	anno1.g11369.t1	A
rna-XM_056792857.1	A	anno1.g11368.t1	A
rna-XM_056792742.1	A	anno1.g11367.t1	A
rna-XM_056792743.1	A	anno1.g11415.t1	A
rna-XM_056792744.1	A	anno1.g11416.t1	A
rna-XM_056791977.1	A	anno1.g11417.t1	A
rna-XM_056791981.1	A	anno1.g11314.t1	A
rna-XM_056791979.1	A	anno1.g10546.t1	A
rna-XM_056773767.1	A	anno1.g10545.t2	A
rna-XM_056773766.1	A	anno1.g10544.t1	A
rna-XM_056773776.1	A	anno1.g996.t1	A
rna-XM_056773769.1	A	anno1.g5572.t1	A
rna-XM_056773775.1	A	anno1.g1129.t1	A
rna-XM_056792207.1	A	anno1.g1134.t2	A
rna-XM_056792202.1	A	anno1.g1649.t1	A
rna-XM_056792929.1	A	anno1.g1769.t1	A
rna-XM_056793199.1	A	anno1.g1214.t1	A
rna-XM_056793201.1	A	anno1.g7259.t1	A
rna-XM_056774248.1	A	anno1.g8894.t1	A
rna-XM_056774249.1	A	anno1.g8843.t1	A
rna-XM_056793021.1	A	anno1.g10938.t1	A
rna-XM_056792664.1	A	anno1.g913.t1	A
rna-XM_056792382.1	A	anno1.g2088.t1	A
rna-XM_056793223.1	A	anno1.g3666.t1	A
rna-XM_056792600.1	A	anno1.g3665.t1	A
rna-XM_056793049.1	A	anno1.g3671.t1	A
rna-XM_056793055.1	A	anno1.g3670.t1	A
rna-XM_056793035.1	A	anno1.g9713.t1	A
rna-XM_056793052.1	A	anno1.g10296.t2	A
rna-XM_056793045.1	A	anno1.g9709.t1	A
rna-XM_056793040.1	A	anno1.g3672.t1	A
rna-XM_056773922.1	A	anno1.g8901.t1	A
rna-XM_056773923.1	A	anno1.g3669.t1	A
rna-XM_056792714.1	A	anno1.g3744.t1	A
rna-XM_056792715.1	A	anno1.g3667.t1	A
rna-XM_056792562.1	A	anno1.g3691.t1	A
rna-XM_056773742.1	A	anno1.g3393.t1	A
rna-XM_056773745.1	A	anno1.g4023.t1	A
rna-XM_056773746.1	A	anno1.g4025.t1	A
rna-XM_056792495.1	A	anno1.g8549.t1	A
rna-XM_056792963.1	A	anno1.g4033.t1	A
rna-XM_056793062.1	A	anno1.g4032.t1	A
rna-XM_056793244.1	A	anno1.g4029.t1	A
rna-XM_056792604.1	A	anno1.g4026.t2	A
rna-XM_056792608.1	A	anno1.g258.t1	A
rna-XM_056792346.1	A	anno1.g259.t1	A
rna-XM_056793146.1	A	anno1.g9378.t2	A
rna-XM_056793147.1	A	anno1.g10314.t2	A
rna-XM_056793150.1	A	anno1.g178.t1	A
rna-XM_056793154.1	A	anno1.g396.t1	A
rna-XM_056793153.1	A	anno1.g2539.t1	A
rna-XM_056793156.1	A	anno1.g6996.t1	A
rna-XM_056793155.1	A	anno1.g6995.t1	A
rna-XM_056793158.1	A	anno1.g7835.t1	A
rna-XM_056793163.1	A	anno1.g11503.t1	A
rna-XM_056793162.1	A	anno1.g389.t1	A
rna-XM_056793159.1	A	anno1.g1756.t1	A
rna-XM_056793161.1	A	anno1.g9238.t2	A
rna-XM_056793160.1	A	anno1.g544.t1	A
rna-XM_056793165.1	A	anno1.g543.t1	A
rna-XM_056793181.1	A	anno1.g388.t1	A
rna-XM_056793166.1	A	anno1.g9204.t1	A
rna-XM_056793169.1	A	anno1.g9203.t2	A
rna-XM_056793175.1	A	anno1.g9205.t1	A
rna-XM_056793171.1	A	anno1.g9206.t1	A
rna-XM_056793179.1	A	anno1.g9211.t1	A
rna-XM_056793168.1	A	anno1.g9212.t1	A
rna-XM_056793183.1	A	anno1.g9213.t1	A
rna-XM_056793185.1	A	anno1.g9214.t1	A
rna-XM_056793194.1	A	anno1.g9193.t1	A
rna-XM_056793193.1	A	anno1.g3791.t1	A
rna-XM_056793192.1	A	anno1.g3792.t1	A
rna-XM_056793186.1	A	anno1.g3804.t1	A
rna-XM_056793195.1	A	anno1.g3800.t1	A
rna-XM_056774163.1	A	anno1.g1792.t1	A
rna-XM_056774162.1	A	anno1.g538.t1	A
rna-XM_056792851.1	A	anno1.g550.t1	A
rna-XM_056792849.1	A	anno1.g3752.t1	A
rna-XM_056792591.1	A	anno1.g3692.t1	A
rna-XM_056792595.1	A	anno1.g1175.t1	A
rna-XM_056792593.1	A	anno1.g3643.t1	A
rna-XM_056792159.1	A	anno1.g6598.t1	A
rna-XM_056792154.1	A	anno1.g9217.t1	A
rna-XM_056792158.1	A	anno1.g6599.t2	A
rna-XM_056792153.1	A	anno1.g6603.t1	A
rna-XM_056792155.1	A	anno1.g6604.t1	A
rna-XM_056792161.1	A	anno1.g6605.t1	A
rna-XM_056792638.1	A	anno1.g6606.t1	A
rna-XM_056792909.1	A	anno1.g6591.t1	A
rna-XM_056792145.1	A	anno1.g6590.t1	A
rna-XM_056792146.1	A	anno1.g6589.t1	A
rna-XM_056792634.1	A	anno1.g6588.t1	A
rna-XM_056792716.1	A	anno1.g6592.t1	A
rna-XM_056792720.1	A	anno1.g9447.t1	A
rna-XM_056792620.1	A	anno1.g1452.t3	A
rna-XM_056792619.1	A	anno1.g1451.t1	A
rna-XM_056773827.1	A	anno1.g9192.t1	A
rna-XM_056773829.1	A	anno1.g9620.t1	A
rna-XM_056773828.1	A	anno1.g9619.t1	A
rna-XM_056793217.1	A	anno1.g6519.t1	A
rna-XM_056791986.1	A	anno1.g6518.t1	A
rna-XM_056791983.1	A	anno1.g609.t1	A
rna-XM_056791985.1	A	anno1.g4263.t1	A
rna-XM_056791984.1	A	anno1.g7093.t1	A
rna-XM_056792361.1	A	anno1.g1447.t1	A
rna-XM_056774178.1	A	anno1.g8164.t1	A
rna-XM_056792568.1	A	anno1.g611.t1	A
rna-XM_056773696.1	A	anno1.g7100.t1	A
rna-XM_056773726.1	A	anno1.g3233.t1	A
rna-XM_056773732.1	A	anno1.g3753.t1	A
rna-XM_056793077.1	A	anno1.g3754.t1	A
rna-XM_056793081.1	A	anno1.g3757.t2	A
rna-XM_056793082.1	A	anno1.g3758.t1	A
rna-XM_056793078.1	A	anno1.g3743.t1	A
rna-XM_056793085.1	A	anno1.g3771.t1	A
rna-XM_056793083.1	A	anno1.g3769.t1	A
rna-XM_056792408.1	A	anno1.g3766.t1	A
rna-XM_056792421.1	A	anno1.g10945.t1	A
rna-XM_056792422.1	A	anno1.g6444.t1	A
rna-XM_056792423.1	A	anno1.g6184.t1	A
rna-XM_056792428.1	A	anno1.g6547.t1	A
rna-XM_056792426.1	A	anno1.g6548.t2	A
rna-XM_056792430.1	A	anno1.g6549.t1	A
rna-XM_056792440.1	A	anno1.g9750.t1	A
rna-XM_056792441.1	A	anno1.g1213.t1	A
rna-XM_056792449.1	A	anno1.g1212.t1	A
rna-XM_056792455.1	A	anno1.g7294.t1	A
rna-XM_056792457.1	A	anno1.g9420.t1	A
rna-XM_056792452.1	A	anno1.g1171.t1	A
rna-XM_056792456.1	A	anno1.g10900.t1	A
rna-XM_056792450.1	A	anno1.g10898.t1	A
rna-XM_056792462.1	A	anno1.g10894.t1	A
rna-XM_056792464.1	A	anno1.g186.t2	A
rna-XM_056793102.1	A	anno1.g182.t1	A
rna-XM_056773936.1	A	anno1.g180.t1	A
rna-XM_056792917.1	A	anno1.g179.t1	A
rna-XM_056791933.1	A	anno1.g9379.t2	A
rna-XM_056791995.1	A	anno1.g9380.t2	A
rna-XM_056791992.1	A	anno1.g10505.t1	A
rna-XM_056791997.1	A	anno1.g10504.t1	A
rna-XM_056792259.1	A	anno1.g11214.t2	A
rna-XM_056792261.1	A	anno1.g11215.t1	A
rna-XM_056792260.1	A	anno1.g5648.t1	A
rna-XM_056792262.1	A	anno1.g3864.t1	A
rna-XM_056792263.1	A	anno1.g3862.t1	A
rna-XM_056792268.1	A	anno1.g3863.t1	A
rna-XM_056792267.1	A	anno1.g10238.t1	A
rna-XM_056792269.1	A	anno1.g10239.t1	A
rna-XM_056792952.1	A	anno1.g4560.t1	A
rna-XM_056792953.1	A	anno1.g110.t1	A
rna-XM_056792825.1	A	anno1.g112.t1	A
rna-XM_056773682.1	A	anno1.g111.t1	A
rna-XM_056773684.1	A	anno1.g177.t1	A
rna-XM_056773683.1	A	anno1.g4985.t1	A
rna-XM_056774143.1	A	anno1.g549.t1	A
rna-XM_056774145.1	A	anno1.g410.t1	A
rna-XM_056774144.1	A	anno1.g408.t1	A
rna-XM_056774147.1	A	anno1.g409.t1	A
rna-XM_056773596.1	A	anno1.g413.t1	A
rna-XM_056773594.1	A	anno1.g415.t1	A
rna-XM_056773598.1	A	anno1.g405.t1	A
rna-XM_056773991.1	A	anno1.g412.t1	A
rna-XM_056773988.1	A	anno1.g392.t1	A
rna-XM_056773986.1	A	anno1.g395.t2	A
rna-XM_056793129.1	A	anno1.g5146.t1	A
rna-XM_056793125.1	A	anno1.g3195.t1	A
rna-XM_056773938.1	A	anno1.g5143.t1	A
rna-XM_056792837.1	A	anno1.g2828.t3	A
rna-XM_056792839.1	A	anno1.g2829.t1	A
rna-XM_056792381.1	A	anno1.g2842.t1	A
rna-XM_056773756.1	A	anno1.g2843.t1	A
rna-XM_056773762.1	A	anno1.g2844.t1	A
rna-XM_056773761.1	A	anno1.g2845.t1	A
rna-XM_056773759.1	A	anno1.g2846.t1	A
rna-XM_056773763.1	A	anno1.g815.t1	A
rna-XM_056792085.1	A	anno1.g9458.t1	A
rna-XM_056791991.1	A	anno1.g7902.t1	A
rna-XM_056791988.1	A	anno1.g7903.t1	A
rna-XM_056792353.1	A	anno1.g7904.t1	A
rna-XM_056773942.1	A	anno1.g7905.t1	A
rna-XM_056773826.1	A	anno1.g7906.t1	A
rna-XM_056773825.1	A	anno1.g2917.t1	A
rna-XM_056792796.1	A	anno1.g2916.t1	A
rna-XM_056792683.1	A	anno1.g2915.t4	A
rna-XM_056792687.1	A	anno1.g2914.t1	A
rna-XM_056792279.1	A	anno1.g2912.t1	A
rna-XM_056792859.1	A	anno1.g2911.t1	A
rna-XM_056792368.1	A	anno1.g3170.t4	A
rna-XM_056792984.1	A	anno1.g2920.t1	A
rna-XM_056792986.1	A	anno1.g2919.t1	A
rna-XM_056792314.1	A	anno1.g2910.t1	A
rna-XM_056792315.1	A	anno1.g2925.t1	A
rna-XM_056792987.1	A	anno1.g2924.t1	A
rna-XM_056792990.1	A	anno1.g2410.t1	A
rna-XM_056792995.1	A	anno1.g10300.t1	A
rna-XM_056792996.1	A	anno1.g965.t1	A
rna-XM_056792993.1	A	anno1.g963.t1	A
rna-XM_056792297.1	A	anno1.g878.t1	A
rna-XM_056792301.1	A	anno1.g2899.t1	A
rna-XM_056792166.1	A	anno1.g2901.t1	A
rna-XM_056792602.1	A	anno1.g2392.t1	A
rna-XM_056792907.1	A	anno1.g10291.t2	A
rna-XM_056792908.1	A	anno1.g919.t1	A
rna-XM_056792926.1	A	anno1.g5511.t1	A
rna-XM_056792927.1	A	anno1.g813.t1	A
rna-XM_056792076.1	A	anno1.g2740.t1	A
rna-XM_056792074.1	A	anno1.g803.t1	A
rna-XM_056792072.1	A	anno1.g5322.t1	A
rna-XM_056792403.1	A	anno1.g8407.t1	A
rna-XM_056773946.1	A	anno1.g853.t1	A
rna-XM_056773949.1	A	anno1.g8417.t1	A
rna-XM_056792677.1	A	anno1.g8430.t1	A
rna-XM_056792326.1	A	anno1.g964.t2	A
rna-XM_056793076.1	A	anno1.g8713.t1	A
rna-XM_056792645.1	A	anno1.g765.t2	A
rna-XM_056792646.1	A	anno1.g2419.t1	A
rna-XM_056792905.1	A	anno1.g1507.t1	A
rna-XM_056792906.1	A	anno1.g3184.t1	A
rna-XM_056774072.1	A	anno1.g8717.t1	A
rna-XM_056774073.1	A	anno1.g8716.t1	A
rna-XM_056774071.1	A	anno1.g6586.t1	A
rna-XM_056774092.1	A	anno1.g1508.t1	A
rna-XM_056774098.1	A	anno1.g8714.t1	A
rna-XM_056774096.1	A	anno1.g1509.t1	A
rna-XM_056792319.1	A	anno1.g802.t1	A
rna-XM_056792640.1	A	anno1.g4945.t1	A
rna-XM_056792641.1	A	anno1.g2741.t1	A
rna-XM_056791964.1	A	anno1.g5008.t1	A
rna-XM_056791965.1	A	anno1.g8715.t1	A
rna-XM_056791970.1	A	anno1.g2101.t1	A
