D_sublineata	chromosome	A_obtectus	chromosome
rna-XM_056775458.1	A	anno1.g12498.t1	A
rna-XM_056775387.1	A	anno1.g9666.t1	A
rna-XM_056776067.1	A	anno1.g7752.t1	A
rna-XM_056776068.1	A	anno1.g7017.t1	A
rna-XM_056775769.1	A	anno1.g10630.t7	A
rna-XM_056775777.1	A	anno1.g10631.t1	A
rna-XM_056775782.1	A	anno1.g3012.t1	A
rna-XM_056775783.1	A	anno1.g3878.t1	A
rna-XM_056775391.1	A	anno1.g3015.t1	A
rna-XM_056775643.1	A	anno1.g3014.t1	A
rna-XM_056775641.1	A	anno1.g3013.t2	A
rna-XM_056775106.1	A	anno1.g3016.t1	A
rna-XM_056775109.1	A	anno1.g3017.t1	A
rna-XM_056775104.1	A	anno1.g3018.t1	A
rna-XM_056775289.1	A	anno1.g3019.t1	A
rna-XM_056774507.1	A	anno1.g3020.t1	A
rna-XM_056774678.1	A	anno1.g3021.t1	A
rna-XM_056774680.1	A	anno1.g3024.t1	A
rna-XM_056775192.1	A	anno1.g2630.t1	A
rna-XM_056775886.1	A	anno1.g2632.t2	A
rna-XM_056774775.1	A	anno1.g14798.t1	A
rna-XM_056774776.1	A	anno1.g2345.t1	A
rna-XM_056775099.1	A	anno1.g2343.t1	A
rna-XM_056775098.1	A	anno1.g3201.t1	A
rna-XM_056775466.1	A	anno1.g4074.t1	A
rna-XM_056775236.1	A	anno1.g9755.t1	A
rna-XM_056775237.1	A	anno1.g9754.t2	A
rna-XM_056774886.1	A	anno1.g9756.t1	A
rna-XM_056775467.1	A	anno1.g9752.t1	A
rna-XM_056775796.1	A	anno1.g2572.t1	A
rna-XM_056775800.1	A	anno1.g2571.t1	A
rna-XM_056775802.1	A	anno1.g2376.t1	A
rna-XM_056774891.1	A	anno1.g3680.t1	A
rna-XM_056774889.1	A	anno1.g3239.t2	A
rna-XM_056774890.1	A	anno1.g3240.t1	A
rna-XM_056774529.1	A	anno1.g3242.t1	A
rna-XM_056775471.1	A	anno1.g6057.t2	A
rna-XM_056775472.1	A	anno1.g6059.t1	A
rna-XM_056775473.1	A	anno1.g6060.t1	A
rna-XM_056775255.1	A	anno1.g6064.t2	A
rna-XM_056775166.1	A	anno1.g6068.t1	A
rna-XM_056775163.1	A	anno1.g10922.t1	A
rna-XM_056774920.1	A	anno1.g6069.t1	A
rna-XM_056775628.1	A	anno1.g6070.t1	A
rna-XM_056774948.1	A	anno1.g6071.t3	A
rna-XM_056775262.1	A	anno1.g6072.t1	A
rna-XM_056775970.1	A	anno1.g6075.t1	A
rna-XM_056775972.1	A	anno1.g11213.t1	A
rna-XM_056775978.1	A	anno1.g5490.t1	A
rna-XM_056775982.1	A	anno1.g5483.t1	A
rna-XM_056775986.1	A	anno1.g5485.t1	A
rna-XM_056775989.1	A	anno1.g2416.t1	A
rna-XM_056775990.1	A	anno1.g2417.t1	A
rna-XM_056775992.1	A	anno1.g5725.t1	A
rna-XM_056775994.1	A	anno1.g5724.t1	A
rna-XM_056775999.1	A	anno1.g11539.t1	A
rna-XM_056775998.1	A	anno1.g10675.t1	A
rna-XM_056776000.1	A	anno1.g2811.t1	A
rna-XM_056776007.1	A	anno1.g10525.t1	A
rna-XM_056776005.1	A	anno1.g10275.t2	A
rna-XM_056776008.1	A	anno1.g8833.t1	A
rna-XM_056776010.1	A	anno1.g8567.t3	A
rna-XM_056776012.1	A	anno1.g10562.t1	A
rna-XM_056776013.1	A	anno1.g10561.t1	A
rna-XM_056776015.1	A	anno1.g10560.t4	A
rna-XM_056776022.1	A	anno1.g207.t2	A
rna-XM_056776018.1	A	anno1.g208.t1	A
rna-XM_056776023.1	A	anno1.g211.t1	A
rna-XM_056775044.1	A	anno1.g6162.t1	A
rna-XM_056775045.1	A	anno1.g209.t1	A
rna-XM_056775173.1	A	anno1.g4095.t1	A
rna-XM_056775321.1	A	anno1.g428.t1	A
rna-XM_056774887.1	A	anno1.g13101.t1	A
rna-XM_056775476.1	A	anno1.g10626.t2	A
rna-XM_056774473.1	A	anno1.g8278.t1	A
rna-XM_056774300.1	A	anno1.g1253.t1	A
rna-XM_056774303.1	A	anno1.g1254.t1	A
rna-XM_056775436.1	A	anno1.g8279.t1	A
rna-XM_056774934.1	A	anno1.g8282.t2	A
rna-XM_056775372.1	A	anno1.g8283.t2	A
rna-XM_056776033.1	A	anno1.g8275.t1	A
rna-XM_056776035.1	A	anno1.g8277.t1	A
rna-XM_056776036.1	A	anno1.g8276.t3	A
rna-XM_056776031.1	A	anno1.g7447.t1	A
rna-XM_056774429.1	A	anno1.g8274.t2	A
rna-XM_056775203.1	A	anno1.g9060.t1	A
rna-XM_056774439.1	A	anno1.g8273.t3	A
rna-XM_056774864.1	A	anno1.g8193.t1	A
rna-XM_056775479.1	A	anno1.g8192.t1	A
rna-XM_056776215.1	A	anno1.g8190.t1	A
rna-XM_056774754.1	A	anno1.g8184.t1	A
rna-XM_056774962.1	A	anno1.g13768.t1	A
rna-XM_056775433.1	A	anno1.g8183.t1	A
rna-XM_056774968.1	A	anno1.g14454.t1	A
rna-XM_056775601.1	A	anno1.g12607.t1	A
rna-XM_056775604.1	A	anno1.g12619.t1	A
rna-XM_056775605.1	A	anno1.g12608.t1	A
rna-XM_056775157.1	A	anno1.g8326.t1	A
rna-XM_056775160.1	A	anno1.g12279.t1	A
rna-XM_056775158.1	A	anno1.g8132.t1	A
rna-XM_056775161.1	A	anno1.g8131.t1	A
rna-XM_056775606.1	A	anno1.g8050.t1	A
rna-XM_056774885.1	A	anno1.g8134.t1	A
rna-XM_056775482.1	A	anno1.g8642.t2	A
rna-XM_056775742.1	A	anno1.g8133.t1	A
rna-XM_056774549.1	A	anno1.g8138.t1	A
rna-XM_056774561.1	A	anno1.g14679.t1	A
rna-XM_056774542.1	A	anno1.g12390.t1	A
rna-XM_056774564.1	A	anno1.g12389.t1	A
rna-XM_056774569.1	A	anno1.g12387.t1	A
rna-XM_056774586.1	A	anno1.g12386.t1	A
rna-XM_056774589.1	A	anno1.g12385.t1	A
rna-XM_056774587.1	A	anno1.g12384.t1	A
rna-XM_056774591.1	A	anno1.g12383.t1	A
rna-XM_056774590.1	A	anno1.g4537.t1	A
rna-XM_056774593.1	A	anno1.g14428.t1	A
rna-XM_056774594.1	A	anno1.g14429.t1	A
rna-XM_056774595.1	A	anno1.g11179.t1	A
rna-XM_056774596.1	A	anno1.g11172.t1	A
rna-XM_056774597.1	A	anno1.g14155.t1	A
rna-XM_056774600.1	A	anno1.g4060.t1	A
rna-XM_056774601.1	A	anno1.g4477.t1	A
rna-XM_056774602.1	A	anno1.g8232.t1	A
rna-XM_056774606.1	A	anno1.g11423.t1	A
rna-XM_056774607.1	A	anno1.g12934.t1	A
rna-XM_056774608.1	A	anno1.g14356.t1	A
rna-XM_056774609.1	A	anno1.g13109.t1	A
rna-XM_056774610.1	A	anno1.g13111.t1	A
rna-XM_056774611.1	A	anno1.g12905.t1	A
rna-XM_056774613.1	A	anno1.g12906.t1	A
rna-XM_056774612.1	A	anno1.g12936.t1	A
rna-XM_056774614.1	A	anno1.g12937.t4	A
rna-XM_056774616.1	A	anno1.g12938.t1	A
rna-XM_056774618.1	A	anno1.g12939.t1	A
rna-XM_056774624.1	A	anno1.g12940.t1	A
rna-XM_056774627.1	A	anno1.g12941.t1	A
rna-XM_056774622.1	A	anno1.g12942.t1	A
rna-XM_056774625.1	A	anno1.g12933.t1	A
rna-XM_056774631.1	A	anno1.g13054.t1	A
rna-XM_056774633.1	A	anno1.g12931.t1	A
rna-XM_056774636.1	A	anno1.g12932.t1	A
rna-XM_056774637.1	A	anno1.g13053.t1	A
rna-XM_056774639.1	A	anno1.g13052.t1	A
rna-XM_056774645.1	A	anno1.g12911.t1	A
rna-XM_056775483.1	A	anno1.g12912.t1	A
rna-XM_056775485.1	A	anno1.g12915.t1	A
rna-XM_056775486.1	A	anno1.g12916.t1	A
rna-XM_056774647.1	A	anno1.g12920.t1	A
rna-XM_056775496.1	A	anno1.g12921.t1	A
rna-XM_056775497.1	A	anno1.g12924.t1	A
rna-XM_056774649.1	A	anno1.g12928.t2	A
rna-XM_056774650.1	A	anno1.g12929.t1	A
rna-XM_056774654.1	A	anno1.g10277.t1	A
rna-XM_056774657.1	A	anno1.g12904.t1	A
rna-XM_056774665.1	A	anno1.g12935.t1	A
rna-XM_056774667.1	A	anno1.g12902.t1	A
rna-XM_056774284.1	A	anno1.g11018.t1	A
rna-XM_056776146.1	A	anno1.g11667.t1	A
rna-XM_056776148.1	A	anno1.g8378.t1	A
rna-XM_056776145.1	A	anno1.g11811.t1	A
rna-XM_056775244.1	A	anno1.g11810.t1	A
rna-XM_056776340.1	A	anno1.g11665.t1	A
rna-XM_056774673.1	A	anno1.g8141.t2	A
rna-XM_056775499.1	A	anno1.g676.t1	A
rna-XM_056775029.1	A	anno1.g8142.t2	A
rna-XM_056774916.1	A	anno1.g8140.t2	A
rna-XM_056774757.1	A	anno1.g8139.t2	A
rna-XM_056775806.1	A	anno1.g14281.t1	A
rna-XM_056775808.1	A	anno1.g14292.t1	A
rna-XM_056775811.1	A	anno1.g13218.t1	A
rna-XM_056775812.1	A	anno1.g8304.t1	A
rna-XM_056775814.1	A	anno1.g11731.t1	A
rna-XM_056775813.1	A	anno1.g8306.t2	A
rna-XM_056775815.1	A	anno1.g8307.t1	A
rna-XM_056775818.1	A	anno1.g8308.t3	A
rna-XM_056775822.1	A	anno1.g8309.t1	A
rna-XM_056775824.1	A	anno1.g8310.t1	A
rna-XM_056775823.1	A	anno1.g11629.t1	A
rna-XM_056775826.1	A	anno1.g8182.t1	A
rna-XM_056775827.1	A	anno1.g5792.t6	A
rna-XM_056775847.1	A	anno1.g5790.t1	A
rna-XM_056775853.1	A	anno1.g5789.t2	A
rna-XM_056775857.1	A	anno1.g5780.t1	A
rna-XM_056775854.1	A	anno1.g5781.t1	A
rna-XM_056775859.1	A	anno1.g10808.t1	A
rna-XM_056776071.1	A	anno1.g7633.t2	A
rna-XM_056776074.1	A	anno1.g6093.t1	A
rna-XM_056774287.1	A	anno1.g10809.t1	A
rna-XM_056775505.1	A	anno1.g10810.t1	A
rna-XM_056774841.1	A	anno1.g11075.t1	A
rna-XM_056774843.1	A	anno1.g11076.t1	A
rna-XM_056775180.1	A	anno1.g6968.t1	A
rna-XM_056775182.1	A	anno1.g4879.t1	A
rna-XM_056775013.1	A	anno1.g4876.t1	A
rna-XM_056774806.1	A	anno1.g4875.t2	A
rna-XM_056775383.1	A	anno1.g4870.t1	A
rna-XM_056775385.1	A	anno1.g4869.t2	A
rna-XM_056775611.1	A	anno1.g4500.t2	A
rna-XM_056774368.1	A	anno1.g4956.t1	A
rna-XM_056774370.1	A	anno1.g4957.t1	A
rna-XM_056775508.1	A	anno1.g4962.t1	A
rna-XM_056775740.1	A	anno1.g13067.t2	A
rna-XM_056775724.1	A	anno1.g13066.t3	A
rna-XM_056776177.1	A	anno1.g12907.t1	A
rna-XM_056776176.1	A	anno1.g1252.t1	A
rna-XM_056776188.1	A	anno1.g14768.t1	A
rna-XM_056775920.1	A	anno1.g4767.t1	A
rna-XM_056775919.1	A	anno1.g1874.t1	X
rna-XM_056775917.1	A	anno1.g4768.t1	A
rna-XM_056774694.1	A	anno1.g12983.t1	A
rna-XM_056774697.1	A	anno1.g13001.t1	A
rna-XM_056774702.1	A	anno1.g13002.t1	A
rna-XM_056775749.1	A	anno1.g4544.t1	A
rna-XM_056774905.1	A	anno1.g14427.t1	A
rna-XM_056775510.1	A	anno1.g14426.t1	A
rna-XM_056774737.1	A	anno1.g14425.t1	A
rna-XM_056774739.1	A	anno1.g14414.t1	A
rna-XM_056774738.1	A	anno1.g14415.t1	A
rna-XM_056775512.1	A	anno1.g14416.t1	A
rna-XM_056776334.1	A	anno1.g13083.t1	A
rna-XM_056775345.1	A	anno1.g13090.t2	A
rna-XM_056774784.1	A	anno1.g13089.t1	A
rna-XM_056775355.1	A	anno1.g13088.t1	A
rna-XM_056775199.1	A	anno1.g917.t1	A
rna-XM_056774691.1	A	anno1.g14141.t1	A
rna-XM_056774693.1	A	anno1.g10916.t2	A
rna-XM_056774306.1	A	anno1.g11776.t1	A
rna-XM_056775660.1	A	anno1.g11129.t1	A
rna-XM_056775514.1	A	anno1.g6356.t1	A
rna-XM_056774876.1	A	anno1.g13295.t1	A
rna-XM_056775515.1	A	anno1.g12399.t1	A
rna-XM_056775247.1	A	anno1.g9022.t2	A
rna-XM_056774335.1	A	anno1.g6654.t1	A
rna-XM_056774336.1	A	anno1.g7350.t1	A
rna-XM_056774339.1	A	anno1.g10271.t1	A
rna-XM_056774342.1	A	anno1.g10270.t1	A
rna-XM_056774341.1	A	anno1.g10269.t1	A
rna-XM_056774344.1	A	anno1.g7351.t1	A
rna-XM_056774343.1	A	anno1.g10100.t1	A
rna-XM_056776226.1	A	anno1.g1244.t1	A
rna-XM_056776228.1	A	anno1.g2260.t1	A
rna-XM_056776229.1	A	anno1.g7326.t1	A
rna-XM_056776230.1	A	anno1.g3684.t1	A
rna-XM_056776227.1	A	anno1.g2496.t1	A
rna-XM_056775898.1	A	anno1.g2498.t1	A
rna-XM_056775900.1	A	anno1.g2499.t1	A
rna-XM_056775899.1	A	anno1.g2342.t2	A
rna-XM_056775903.1	A	anno1.g2255.t1	A
rna-XM_056775905.1	A	anno1.g2530.t1	A
rna-XM_056775531.1	A	anno1.g6335.t2	A
rna-XM_056774742.1	A	anno1.g2495.t1	A
rna-XM_056775241.1	A	anno1.g2256.t1	A
rna-XM_056775242.1	A	anno1.g3023.t1	A
rna-XM_056776098.1	A	anno1.g12031.t1	A
rna-XM_056776101.1	A	anno1.g8347.t1	A
rna-XM_056776103.1	A	anno1.g8529.t1	A
rna-XM_056776114.1	A	anno1.g8534.t1	A
rna-XM_056776102.1	A	anno1.g8535.t1	A
rna-XM_056775197.1	A	anno1.g8537.t1	A
rna-XM_056775520.1	A	anno1.g8540.t1	A
rna-XM_056774348.1	A	anno1.g10602.t1	A
rna-XM_056774349.1	A	anno1.g12030.t1	A
rna-XM_056774347.1	A	anno1.g12406.t2	A
rna-XM_056774282.1	A	anno1.g12404.t1	A
rna-XM_056774275.1	A	anno1.g12403.t1	A
rna-XM_056775521.1	A	anno1.g5936.t2	A
rna-XM_056775043.1	A	anno1.g5937.t1	A
rna-XM_056775035.1	A	anno1.g14432.t1	A
rna-XM_056775170.1	A	anno1.g198.t1	A
rna-XM_056775004.1	A	anno1.g5650.t1	A
rna-XM_056775006.1	A	anno1.g5696.t2	A
rna-XM_056775001.1	A	anno1.g7485.t1	A
rna-XM_056775010.1	A	anno1.g9370.t1	A
rna-XM_056775008.1	A	anno1.g4223.t1	A
rna-XM_056775011.1	A	anno1.g6872.t1	A
rna-XM_056775913.1	A	anno1.g4435.t1	A
rna-XM_056775911.1	A	anno1.g6873.t1	A
rna-XM_056775915.1	A	anno1.g4412.t1	A
rna-XM_056775916.1	A	anno1.g4413.t1	A
rna-XM_056775283.1	A	anno1.g4416.t1	A
rna-XM_056775284.1	A	anno1.g4418.t1	A
rna-XM_056775276.1	A	anno1.g9020.t1	A
rna-XM_056775277.1	A	anno1.g8776.t1	A
rna-XM_056774733.1	A	anno1.g4772.t1	A
rna-XM_056775413.1	A	anno1.g4771.t1	A
rna-XM_056775414.1	A	anno1.g4770.t1	A
rna-XM_056775522.1	A	anno1.g4769.t1	A
rna-XM_056775124.1	A	anno1.g12982.t1	A
rna-XM_056775129.1	A	anno1.g12981.t1	A
rna-XM_056775126.1	A	anno1.g12980.t1	A
rna-XM_056775127.1	A	anno1.g12979.t2	A
rna-XM_056775523.1	A	anno1.g12978.t1	A
rna-XM_056775132.1	A	anno1.g12825.t1	A
rna-XM_056775363.1	A	anno1.g12829.t1	A
rna-XM_056775629.1	A	anno1.g6332.t1	A
rna-XM_056775632.1	A	anno1.g6118.t1	A
rna-XM_056775631.1	A	anno1.g6117.t1	A
rna-XM_056775633.1	A	anno1.g6116.t1	A
rna-XM_056775640.1	A	anno1.g6115.t1	A
rna-XM_056775610.1	A	anno1.g6114.t1	A
rna-XM_056775659.1	A	anno1.g6110.t1	A
rna-XM_056775368.1	A	anno1.g6104.t3	A
rna-XM_056775245.1	A	anno1.g6100.t1	A
rna-XM_056775526.1	A	anno1.g6099.t1	A
rna-XM_056775888.1	A	anno1.g6097.t1	A
rna-XM_056775889.1	A	anno1.g6095.t1	A
rna-XM_056775894.1	A	anno1.g6018.t1	A
rna-XM_056775895.1	A	anno1.g6094.t1	A
rna-XM_056775896.1	A	anno1.g6017.t1	A
rna-XM_056776278.1	A	anno1.g6015.t1	A
rna-XM_056774746.1	A	anno1.g6014.t1	A
rna-XM_056775183.1	A	anno1.g5912.t1	A
rna-XM_056774897.1	A	anno1.g5916.t5	A
rna-XM_056775333.1	A	anno1.g5163.t1	A
rna-XM_056774822.1	A	anno1.g5159.t1	A
rna-XM_056774844.1	A	anno1.g5150.t1	A
rna-XM_056775426.1	A	anno1.g4656.t1	A
rna-XM_056776155.1	A	anno1.g8383.t1	A
rna-XM_056776156.1	A	anno1.g6273.t1	A
rna-XM_056776159.1	A	anno1.g4995.t1	A
rna-XM_056776157.1	A	anno1.g4994.t1	A
rna-XM_056776158.1	A	anno1.g4996.t1	A
rna-XM_056775661.1	A	anno1.g4997.t1	A
rna-XM_056775666.1	A	anno1.g705.t1	A
rna-XM_056775669.1	A	anno1.g8448.t1	A
rna-XM_056775672.1	A	anno1.g8447.t2	A
rna-XM_056775674.1	A	anno1.g8451.t1	A
rna-XM_056775676.1	A	anno1.g8442.t1	A
rna-XM_056775678.1	A	anno1.g5000.t1	A
rna-XM_056775353.1	A	anno1.g8384.t1	A
rna-XM_056775658.1	A	anno1.g9631.t1	A
rna-XM_056775234.1	A	anno1.g8386.t1	A
rna-XM_056774726.1	A	anno1.g8381.t1	A
rna-XM_056775095.1	A	anno1.g8380.t1	A
rna-XM_056774756.1	A	anno1.g8379.t1	A
rna-XM_056775278.1	A	anno1.g8387.t1	A
rna-XM_056774986.1	A	anno1.g8388.t1	A
rna-XM_056775879.1	A	anno1.g4862.t1	A
rna-XM_056775882.1	A	anno1.g7371.t1	A
rna-XM_056775884.1	A	anno1.g4860.t1	A
rna-XM_056775150.1	A	anno1.g4573.t1	A
rna-XM_056775317.1	A	anno1.g4217.t1	A
rna-XM_056775375.1	A	anno1.g4454.t1	A
rna-XM_056775287.1	A	anno1.g10119.t1	A
rna-XM_056774766.1	A	anno1.g9763.t1	A
rna-XM_056774781.1	A	anno1.g6307.t1	A
rna-XM_056774783.1	A	anno1.g14412.t1	A
rna-XM_056774464.1	A	anno1.g4221.t1	A
rna-XM_056774463.1	A	anno1.g1928.t1	X
rna-XM_056775141.1	A	anno1.g4533.t1	A
rna-XM_056775709.1	A	anno1.g13365.t1	A
rna-XM_056775711.1	A	anno1.g10115.t1	A
rna-XM_056775714.1	A	anno1.g9245.t1	A
rna-XM_056775713.1	A	anno1.g9195.t1	A
rna-XM_056775654.1	A	anno1.g9197.t1	A
rna-XM_056776144.1	A	anno1.g9198.t1	A
rna-XM_056776140.1	A	anno1.g9199.t2	A
rna-XM_056775537.1	A	anno1.g4632.t1	A
rna-XM_056774928.1	A	anno1.g9087.t2	A
rna-XM_056774851.1	A	anno1.g1025.t1	A
rna-XM_056775031.1	A	anno1.g10332.t1	A
rna-XM_056774292.1	A	anno1.g10366.t1	A
rna-XM_056774291.1	A	anno1.g10394.t2	A
rna-XM_056774299.1	A	anno1.g10329.t1	A
rna-XM_056775016.1	A	anno1.g10282.t3	A
rna-XM_056775228.1	A	anno1.g10328.t1	A
rna-XM_056775539.1	A	anno1.g10326.t1	A
rna-XM_056775266.1	A	anno1.g10324.t1	A
rna-XM_056774753.1	A	anno1.g12032.t1	A
rna-XM_056775697.1	A	anno1.g4991.t1	A
rna-XM_056775698.1	A	anno1.g4992.t1	A
rna-XM_056775405.1	A	anno1.g12890.t3	A
rna-XM_056775401.1	A	anno1.g5743.t6	A
rna-XM_056775399.1	A	anno1.g1567.t1	A
rna-XM_056775229.1	A	anno1.g11895.t2	A
rna-XM_056775231.1	A	anno1.g9963.t1	A
rna-XM_056774794.1	A	anno1.g8785.t1	A
rna-XM_056774795.1	A	anno1.g3879.t1	A
rna-XM_056774932.1	A	anno1.g8398.t2	A
rna-XM_056774834.1	A	anno1.g7282.t1	A
rna-XM_056774465.1	A	anno1.g11562.t1	A
rna-XM_056774468.1	A	anno1.g4267.t1	A
rna-XM_056774748.1	A	anno1.g829.t1	A
rna-XM_056775541.1	A	anno1.g4262.t2	A
rna-XM_056776330.1	A	anno1.g4263.t1	A
rna-XM_056774749.1	A	anno1.g7315.t1	A
rna-XM_056775122.1	A	anno1.g6053.t1	A
rna-XM_056774430.1	A	anno1.g5495.t1	A
rna-XM_056774432.1	A	anno1.g828.t1	A
rna-XM_056774434.1	A	anno1.g9012.t2	A
rna-XM_056774847.1	A	anno1.g9619.t1	A
rna-XM_056774921.1	A	anno1.g12749.t1	A
rna-XM_056774922.1	A	anno1.g5491.t1	A
rna-XM_056776234.1	A	anno1.g10249.t1	A
rna-XM_056776233.1	A	anno1.g5377.t1	A
rna-XM_056775542.1	A	anno1.g2381.t1	A
rna-XM_056775119.1	A	anno1.g14380.t1	A
rna-XM_056775332.1	A	anno1.g2385.t1	A
rna-XM_056775715.1	A	anno1.g2387.t3	A
rna-XM_056775208.1	A	anno1.g2390.t2	A
rna-XM_056775380.1	A	anno1.g6019.t1	A
rna-XM_056775282.1	A	anno1.g10353.t1	A
rna-XM_056775544.1	A	anno1.g10354.t2	A
rna-XM_056776030.1	A	anno1.g4904.t2	A
rna-XM_056775425.1	A	anno1.g4906.t1	A
rna-XM_056774947.1	A	anno1.g10682.t1	A
rna-XM_056775545.1	A	anno1.g6624.t1	A
rna-XM_056776197.1	A	anno1.g822.t4	A
rna-XM_056776213.1	A	anno1.g8963.t1	A
rna-XM_056775025.1	A	anno1.g14743.t1	A
rna-XM_056776277.1	A	anno1.g14744.t1	A
rna-XM_056774902.1	A	anno1.g2908.t1	A
rna-XM_056774999.1	A	anno1.g3722.t1	A
rna-XM_056775316.1	A	anno1.g3724.t1	A
rna-XM_056775207.1	A	anno1.g3725.t1	A
rna-XM_056774510.1	A	anno1.g10707.t5	A
rna-XM_056774835.1	A	anno1.g10706.t1	A
rna-XM_056775546.1	A	anno1.g2564.t1	A
rna-XM_056775136.1	A	anno1.g5242.t1	A
rna-XM_056775135.1	A	anno1.g5241.t1	A
rna-XM_056776313.1	A	anno1.g13149.t1	A
rna-XM_056774426.1	A	anno1.g13152.t1	A
rna-XM_056774428.1	A	anno1.g12541.t1	A
rna-XM_056774427.1	A	anno1.g12469.t1	A
rna-XM_056775322.1	A	anno1.g12468.t1	A
rna-XM_056775707.1	A	anno1.g12465.t1	A
rna-XM_056775547.1	A	anno1.g12466.t1	A
rna-XM_056775598.1	A	anno1.g9319.t1	A
rna-XM_056775620.1	A	anno1.g9318.t1	A
rna-XM_056775624.1	A	anno1.g9317.t1	A
rna-XM_056775623.1	A	anno1.g9316.t1	A
rna-XM_056775622.1	A	anno1.g12173.t1	A
rna-XM_056775621.1	A	anno1.g12538.t1	A
rna-XM_056775548.1	A	anno1.g5318.t1	A
rna-XM_056775550.1	A	anno1.g5319.t1	A
rna-XM_056776161.1	A	anno1.g4697.t1	A
rna-XM_056774520.1	A	anno1.g3402.t4	A
rna-XM_056775552.1	A	anno1.g2384.t1	A
rna-XM_056774261.1	A	anno1.g9486.t1	A
rna-XM_056774260.1	A	anno1.g9485.t2	A
rna-XM_056774259.1	A	anno1.g9068.t1	A
rna-XM_056774929.1	A	anno1.g14745.t1	A
rna-XM_056774755.1	A	anno1.g10553.t1	A
rna-XM_056774481.1	A	anno1.g725.t1	A
rna-XM_056774484.1	A	anno1.g13655.t1	A
rna-XM_056775785.1	A	anno1.g13685.t1	A
rna-XM_056775786.1	A	anno1.g13612.t1	A
rna-XM_056775788.1	A	anno1.g5890.t2	A
rna-XM_056774917.1	A	anno1.g13448.t1	A
rna-XM_056774450.1	A	anno1.g6847.t1	A
rna-XM_056774449.1	A	anno1.g6812.t1	A
rna-XM_056774448.1	A	anno1.g13834.t1	A
rna-XM_056776115.1	A	anno1.g13337.t6	A
rna-XM_056774346.1	A	anno1.g8717.t1	A
rna-XM_056774345.1	A	anno1.g8715.t1	A
rna-XM_056775614.1	A	anno1.g2808.t2	A
rna-XM_056775613.1	A	anno1.g2812.t2	A
rna-XM_056775030.1	A	anno1.g4209.t1	A
rna-XM_056775215.1	A	anno1.g14377.t2	A
rna-XM_056774367.1	A	anno1.g3892.t1	A
rna-XM_056775908.1	A	anno1.g11000.t1	A
rna-XM_056775909.1	A	anno1.g12169.t3	A
rna-XM_056775556.1	A	anno1.g10593.t1	A
rna-XM_056775395.1	A	anno1.g13476.t1	A
rna-XM_056775394.1	A	anno1.g12170.t1	A
rna-XM_056774707.1	A	anno1.g5056.t1	A
rna-XM_056774708.1	A	anno1.g5057.t2	A
rna-XM_056774858.1	A	anno1.g5266.t1	A
rna-XM_056775110.1	A	anno1.g13568.t1	A
rna-XM_056775873.1	A	anno1.both_agree_g18375.t3	A
rna-XM_056776321.1	A	anno1.g4287.t1	A
rna-XM_056775186.1	A	anno1.g12540.t1	A
rna-XM_056775188.1	A	anno1.g13566.t1	A
rna-XM_056775187.1	A	anno1.g13567.t1	A
rna-XM_056774452.1	A	anno1.g5330.t1	A
rna-XM_056775691.1	A	anno1.g13574.t1	A
rna-XM_056775683.1	A	anno1.g1450.t1	A
rna-XM_056775684.1	A	anno1.g1038.t1	A
rna-XM_056775682.1	A	anno1.g9652.t1	A
rna-XM_056775688.1	A	anno1.g3179.t1	A
rna-XM_056775225.1	A	anno1.g4429.t1	A
rna-XM_056774849.1	A	anno1.g231.t1	A
rna-XM_056775558.1	A	anno1.g5038.t1	A
rna-XM_056775223.1	A	anno1.g12703.t1	A
rna-XM_056775221.1	A	anno1.g12701.t1	A
rna-XM_056774537.1	A	anno1.g2509.t1	A
rna-XM_056774536.1	A	anno1.g5044.t1	A
rna-XM_056775559.1	A	anno1.g5045.t1	A
rna-XM_056776239.1	A	anno1.g5048.t1	A
rna-XM_056775560.1	A	anno1.g5049.t1	A
rna-XM_056774953.1	A	anno1.g5050.t1	A
rna-XM_056775397.1	A	anno1.g5040.t1	A
rna-XM_056775396.1	A	anno1.g4907.t1	A
rna-XM_056776150.1	A	anno1.g8205.t2	A
rna-XM_056776152.1	A	anno1.g7605.t1	A
rna-XM_056776151.1	A	anno1.g5041.t1	A
rna-XM_056776154.1	A	anno1.g5047.t1	A
rna-XM_056775865.1	A	anno1.g13662.t2	A
rna-XM_056775860.1	A	anno1.g4908.t1	A
rna-XM_056775863.1	A	anno1.g11870.t3	A
rna-XM_056775866.1	A	anno1.g4909.t1	A
rna-XM_056775864.1	A	anno1.g4910.t1	A
rna-XM_056776162.1	A	anno1.g9325.t1	A
rna-XM_056776164.1	A	anno1.g7981.t1	A
rna-XM_056776163.1	A	anno1.g7984.t1	A
rna-XM_056775151.1	A	anno1.g9326.t1	A
rna-XM_056774998.1	A	anno1.g7983.t1	A
rna-XM_056775561.1	A	anno1.g7784.t1	A
rna-XM_056775378.1	A	anno1.g4445.t1	A
rna-XM_056776165.1	A	anno1.g4108.t6	A
rna-XM_056775563.1	A	anno1.g7681.t1	A
rna-XM_056774797.1	A	anno1.g7643.t1	A
rna-XM_056775265.1	A	anno1.g13602.t1	A
rna-XM_056776240.1	A	anno1.g4845.t1	A
rna-XM_056776242.1	A	anno1.g13601.t1	A
rna-XM_056776247.1	A	anno1.g4844.t1	A
rna-XM_056776244.1	A	anno1.g7602.t2	A
