B_siliquastri	chromosome	D_carinulata	chromosome
BRAKERILHT00000004197	A	rna-XM_057816928.1	A
BRAKERILHT00000003225	A	rna-XM_057807134.1	A
BRAKERILHT00000003736	A	rna-XM_057816694.1	A
BRAKERILHT00000003156	A	rna-XM_057816818.1	A
BRAKERILHT00000002473	A	rna-XM_057804329.1	A
BRAKERILHT00000004162	A	rna-XM_057796423.1	X
BRAKERILHT00000003123	A	rna-XM_057808642.1	X
BRAKERILHT00000002888	A	rna-XM_057808602.1	X
BRAKERILHT00000002223	A	rna-XM_057808589.1	X
BRAKERILHT00000003739	A	rna-XM_057794867.1	X
BRAKERILHT00000002470	A	rna-XM_057816228.1	A
BRAKERILHT00000003365	A	rna-XM_057806599.1	A
BRAKERILHT00000004321	A	rna-XM_057814874.1	A
BRAKERILHT00000003143	A	rna-XM_057814851.1	A
BRAKERILHT00000003639	A	rna-XM_057814875.1	A
BRAKERILHT00000002449	A	rna-XM_057816648.1	X
BRAKERILHT00000003906	A	rna-XM_057816562.1	X
BRAKERILHT00000004194	A	rna-XM_057797936.1	X
BRAKERILHT00000002681	A	rna-XM_057807017.1	X
BRAKERILHT00000002740	A	rna-XM_057804352.1	X
BRAKERILHT00000003931	A	rna-XM_057813484.1	X
BRAKERILHT00000003343	A	rna-XM_057812383.1	A
BRAKERILHT00000002991	A	rna-XM_057796363.1	X
BRAKERILHT00000002514	A	rna-XM_057807562.1	X
BRAKERILHT00000004288	A	rna-XM_057807526.1	X
BRAKERILHT00000003789	A	rna-XM_057810304.1	X
BRAKERILHT00000003302	A	rna-XM_057810255.1	X
BRAKERILHT00000004376	A	rna-XM_057811922.1	A
BRAKERILHT00000003808	A	rna-XM_057797217.1	A
BRAKERILHT00000003936	A	rna-XM_057796664.1	A
BRAKERILHT00000003253	A	rna-XM_057796687.1	A
BRAKERILHT00000003538	A	rna-XM_057795920.1	A
BRAKERILHT00000003503	A	rna-XM_057797663.1	A
BRAKERILHT00000004022	A	rna-XM_057806648.1	A
BRAKERILHT00000003181	A	rna-XM_057816225.1	A
BRAKERILHT00000002623	A	rna-XM_057795855.1	A
BRAKERILHT00000003611	A	rna-XM_057796503.1	A
BRAKERILHT00000004007	A	rna-XM_057803725.1	A
BRAKERILHT00000002341	A	rna-XM_057805090.1	A
BRAKERILHT00000002525	A	rna-XM_057805082.1	A
BRAKERILHT00000003163	A	rna-XM_057805081.1	A
BRAKERILHT00000003773	A	rna-XM_057805095.1	A
BRAKERILHT00000004423	A	rna-XM_057810072.1	A
BRAKERILHT00000003208	A	rna-XM_057805091.1	A
BRAKERILHT00000002225	A	rna-XM_057798625.1	A
BRAKERILHT00000003900	A	rna-XM_057798605.1	A
BRAKERILHT00000003062	A	rna-XM_057798615.1	A
BRAKERILHT00000004139	A	rna-XM_057798611.1	A
BRAKERILHT00000004029	A	rna-XM_057798607.1	A
BRAKERILHT00000003677	A	rna-XM_057796540.1	A
BRAKERILHT00000002871	A	rna-XM_057804280.1	A
BRAKERILHT00000002715	A	rna-XM_057811517.1	A
BRAKERILHT00000004415	A	rna-XM_057802106.1	A
BRAKERILHT00000003595	A	rna-XM_057816841.1	X
BRAKERILHT00000002479	A	rna-XM_057811722.1	A
BRAKERILHT00000004137	A	rna-XM_057807126.1	X
BRAKERILHT00000003418	A	rna-XM_057813778.1	A
BRAKERILHT00000003025	A	rna-XM_057811733.1	A
BRAKERILHT00000004222	A	rna-XM_057811728.1	A
BRAKERILHT00000003232	A	rna-XM_057813323.1	A
BRAKERILHT00000002259	A	rna-XM_057812952.1	A
BRAKERILHT00000002989	A	rna-XM_057804587.1	A
BRAKERILHT00000003869	A	rna-XM_057804586.1	A
BRAKERILHT00000003116	A	rna-XM_057804344.1	A
BRAKERILHT00000003444	A	rna-XM_057811088.1	A
BRAKERILHT00000003168	A	rna-XM_057805032.1	A
BRAKERILHT00000004421	A	rna-XM_057805035.1	A
BRAKERILHT00000002659	A	rna-XM_057804410.1	A
BRAKERILHT00000002840	A	rna-XM_057802910.1	A
BRAKERILHT00000003320	A	rna-XM_057801313.1	A
BRAKERILHT00000003568	A	rna-XM_057812567.1	A
BRAKERILHT00000003965	A	rna-XM_057801452.1	A
BRAKERILHT00000003011	A	rna-XM_057806775.1	A
BRAKERILHT00000002364	A	rna-XM_057809981.1	A
BRAKERILHT00000003982	A	rna-XM_057810267.1	A
BRAKERILHT00000003257	A	rna-XM_057807133.1	A
BRAKERILHT00000003019	A	rna-XM_057801882.1	A
BRAKERILHT00000002186	A	rna-XM_057814148.1	A
BRAKERILHT00000003528	A	rna-XM_057806560.1	A
BRAKERILHT00000004240	A	rna-XM_057815423.1	A
BRAKERILHT00000003707	A	rna-XM_057806931.1	A
BRAKERILHT00000002323	A	rna-XM_057804813.1	A
BRAKERILHT00000004098	A	rna-XM_057802551.1	A
BRAKERILHT00000003396	A	rna-XM_057815006.1	A
BRAKERILHT00000003636	A	rna-XM_057815010.1	A
BRAKERILHT00000003306	A	rna-XM_057812188.1	A
BRAKERILHT00000003460	A	rna-XM_057814424.1	A
BRAKERILHT00000002206	A	rna-XM_057812922.1	A
BRAKERILHT00000002275	A	rna-XM_057811771.1	A
BRAKERILHT00000003918	A	rna-XM_057812435.1	X
BRAKERILHT00000002492	A	rna-XM_057799803.1	X
BRAKERILHT00000004271	A	rna-XM_057812204.1	A
BRAKERILHT00000002663	A	rna-XM_057814075.1	A
BRAKERILHT00000004068	A	rna-XM_057805182.1	A
BRAKERILHT00000003559	A	rna-XM_057816249.1	A
BRAKERILHT00000003138	A	rna-XM_057815818.1	A
BRAKERILHT00000002340	A	rna-XM_057815072.1	A
BRAKERILHT00000003282	A	rna-XM_057813804.1	A
BRAKERILHT00000002345	A	rna-XM_057810256.1	A
BRAKERILHT00000002998	A	rna-XM_057810244.1	A
BRAKERILHT00000003963	A	rna-XM_057810248.1	A
BRAKERILHT00000003278	A	rna-XM_057810250.1	A
BRAKERILHT00000003086	A	rna-XM_057810254.1	A
BRAKERILHT00000003555	A	rna-XM_057810754.1	A
BRAKERILHT00000003962	A	rna-XM_057810253.1	A
BRAKERILHT00000002524	A	rna-XM_057810194.1	A
BRAKERILHT00000004206	A	rna-XM_057810242.1	A
BRAKERILHT00000003166	A	rna-XM_057804571.1	A
BRAKERILHT00000003464	A	rna-XM_057803932.1	A
BRAKERILHT00000002722	A	rna-XM_057796753.1	A
BRAKERILHT00000003996	A	rna-XM_057810439.1	A
BRAKERILHT00000002627	A	rna-XM_057810442.1	A
BRAKERILHT00000002388	A	rna-XM_057810270.1	A
BRAKERILHT00000003682	A	rna-XM_057810087.1	A
BRAKERILHT00000002182	A	rna-XM_057809438.1	A
BRAKERILHT00000002416	A	rna-XM_057809442.1	A
BRAKERILHT00000004056	A	rna-XM_057797211.1	A
BRAKERILHT00000002769	A	rna-XM_057806286.1	A
BRAKERILHT00000002733	A	rna-XM_057800157.1	A
BRAKERILHT00000003964	A	rna-XM_057797214.1	A
BRAKERILHT00000002927	A	rna-XM_057795838.1	A
BRAKERILHT00000002678	A	rna-XM_057795786.1	A
BRAKERILHT00000004235	A	rna-XM_057795685.1	A
BRAKERILHT00000003219	A	rna-XM_057798386.1	A
BRAKERILHT00000003549	A	rna-XM_057796618.1	A
BRAKERILHT00000002777	A	rna-XM_057795707.1	A
BRAKERILHT00000003560	A	rna-XM_057797288.1	A
BRAKERILHT00000004070	A	rna-XM_057797289.1	A
BRAKERILHT00000002511	A	rna-XM_057807151.1	A
BRAKERILHT00000004104	A	rna-XM_057796345.1	A
BRAKERILHT00000003140	A	rna-XM_057796335.1	A
BRAKERILHT00000002866	A	rna-XM_057794859.1	A
BRAKERILHT00000003361	A	rna-XM_057816640.1	A
BRAKERILHT00000003997	A	rna-XM_057814924.1	A
BRAKERILHT00000002938	A	rna-XM_057808343.1	A
BRAKERILHT00000004186	A	rna-XM_057808911.1	A
BRAKERILHT00000004164	A	rna-XM_057809368.1	A
BRAKERILHT00000002469	A	rna-XM_057808956.1	A
BRAKERILHT00000003581	A	rna-XM_057808952.1	A
BRAKERILHT00000004261	A	rna-XM_057808989.1	A
BRAKERILHT00000002548	A	rna-XM_057809153.1	A
BRAKERILHT00000004278	A	rna-XM_057808994.1	A
BRAKERILHT00000003625	A	rna-XM_057798732.1	A
BRAKERILHT00000003295	A	rna-XM_057798252.1	A
BRAKERILHT00000003384	A	rna-XM_057797001.1	A
BRAKERILHT00000002764	A	rna-XM_057806586.1	X
BRAKERILHT00000002549	A	rna-XM_057797002.1	A
BRAKERILHT00000004180	A	rna-XM_057807028.1	A
BRAKERILHT00000002874	A	rna-XM_057807030.1	A
BRAKERILHT00000002285	A	rna-XM_057807575.1	A
BRAKERILHT00000003762	A	rna-XM_057807581.1	A
BRAKERILHT00000004250	A	rna-XM_057815001.1	A
BRAKERILHT00000003043	A	rna-XM_057815007.1	A
BRAKERILHT00000002243	A	rna-XM_057816626.1	A
BRAKERILHT00000003656	A	rna-XM_057816624.1	A
BRAKERILHT00000002327	A	rna-XM_057816632.1	A
BRAKERILHT00000004126	A	rna-XM_057814850.1	A
BRAKERILHT00000003353	A	rna-XM_057802336.1	A
BRAKERILHT00000003791	A	rna-XM_057799457.1	A
BRAKERILHT00000003304	A	rna-XM_057799459.1	A
BRAKERILHT00000003847	A	rna-XM_057805185.1	A
BRAKERILHT00000004189	A	rna-XM_057809536.1	A
BRAKERILHT00000003681	A	rna-XM_057796620.1	A
BRAKERILHT00000004182	A	rna-XM_057796621.1	A
BRAKERILHT00000003650	A	rna-XM_057808658.1	A
BRAKERILHT00000004090	A	rna-XM_057808652.1	A
BRAKERILHT00000002457	A	rna-XM_057808648.1	A
BRAKERILHT00000002798	A	rna-XM_057808649.1	A
BRAKERILHT00000003421	A	rna-XM_057808640.1	A
BRAKERILHT00000002706	A	rna-XM_057808643.1	A
BRAKERILHT00000003054	A	rna-XM_057808644.1	A
BRAKERILHT00000003508	A	rna-XM_057808646.1	A
BRAKERILHT00000003362	A	rna-XM_057808651.1	A
BRAKERILHT00000004409	A	rna-XM_057808637.1	A
BRAKERILHT00000002640	A	rna-XM_057808690.1	A
BRAKERILHT00000003110	A	rna-XM_057804359.1	A
BRAKERILHT00000003820	A	rna-XM_057801528.1	A
BRAKERILHT00000003240	A	rna-XM_057801814.1	A
BRAKERILHT00000003067	A	rna-XM_057809804.1	X
BRAKERILHT00000004049	A	rna-XM_057799650.1	X
BRAKERILHT00000002900	A	rna-XM_057802104.1	A
BRAKERILHT00000002220	A	rna-XM_057808660.1	A
BRAKERILHT00000002452	A	rna-XM_057808677.1	A
BRAKERILHT00000003586	A	rna-XM_057808623.1	A
BRAKERILHT00000002957	A	rna-XM_057804565.1	A
BRAKERILHT00000002183	A	rna-XM_057808626.1	A
BRAKERILHT00000003780	A	rna-XM_057809705.1	A
BRAKERILHT00000002231	A	rna-XM_057813313.1	A
BRAKERILHT00000004416	A	rna-XM_057808665.1	A
BRAKERILHT00000003983	A	rna-XM_057795348.1	A
BRAKERILHT00000003161	A	rna-XM_057795347.1	A
BRAKERILHT00000004149	A	rna-XM_057795352.1	A
BRAKERILHT00000003644	A	rna-XM_057795355.1	A
BRAKERILHT00000002399	A	rna-XM_057798263.1	A
BRAKERILHT00000003129	A	rna-XM_057815484.1	A
BRAKERILHT00000003467	A	rna-XM_057799135.1	A
BRAKERILHT00000002928	A	rna-XM_057795817.1	A
BRAKERILHT00000004345	A	rna-XM_057801167.1	A
BRAKERILHT00000003341	A	rna-XM_057810552.1	A
BRAKERILHT00000003286	A	rna-XM_057800691.1	A
BRAKERILHT00000002643	A	rna-XM_057800690.1	A
BRAKERILHT00000002724	A	rna-XM_057810022.1	A
BRAKERILHT00000004105	A	rna-XM_057809211.1	A
BRAKERILHT00000003532	A	rna-XM_057799999.1	A
BRAKERILHT00000004155	A	rna-XM_057798140.1	A
BRAKERILHT00000002562	A	rna-XM_057816856.1	A
BRAKERILHT00000003865	A	rna-XM_057807563.1	A
BRAKERILHT00000003047	A	rna-XM_057798125.1	X
BRAKERILHT00000003553	A	rna-XM_057808966.1	A
BRAKERILHT00000002812	A	rna-XM_057798040.1	A
BRAKERILHT00000002271	A	rna-XM_057812182.1	A
BRAKERILHT00000002743	A	rna-XM_057798141.1	A
BRAKERILHT00000004231	A	rna-XM_057808633.1	A
BRAKERILHT00000003407	A	rna-XM_057804701.1	A
BRAKERILHT00000004245	A	rna-XM_057796809.1	A
BRAKERILHT00000003214	A	rna-XM_057795495.1	A
BRAKERILHT00000002291	A	rna-XM_057801461.1	A
BRAKERILHT00000003856	A	rna-XM_057801450.1	A
BRAKERILHT00000003322	A	rna-XM_057801453.1	A
BRAKERILHT00000004404	A	rna-XM_057795545.1	A
BRAKERILHT00000002352	A	rna-XM_057800242.1	A
BRAKERILHT00000003159	A	rna-XM_057798177.1	A
BRAKERILHT00000003618	A	rna-XM_057798184.1	A
BRAKERILHT00000003388	A	rna-XM_057798181.1	A
BRAKERILHT00000003687	A	rna-XM_057798183.1	A
BRAKERILHT00000004383	A	rna-XM_057798180.1	A
BRAKERILHT00000003109	A	rna-XM_057807194.1	A
BRAKERILHT00000003709	A	rna-XM_057806820.1	A
BRAKERILHT00000004311	A	rna-XM_057806697.1	A
BRAKERILHT00000003788	A	rna-XM_057807530.1	A
BRAKERILHT00000003988	A	rna-XM_057802207.1	A
BRAKERILHT00000003451	A	rna-XM_057802343.1	A
BRAKERILHT00000003632	A	rna-XM_057802145.1	A
BRAKERILHT00000004216	A	rna-XM_057801897.1	A
BRAKERILHT00000003137	A	rna-XM_057801900.1	A
BRAKERILHT00000004123	A	rna-XM_057813624.1	A
BRAKERILHT00000002193	A	rna-XM_057803342.1	A
BRAKERILHT00000002983	A	rna-XM_057801920.1	A
BRAKERILHT00000002676	A	rna-XM_057803908.1	A
BRAKERILHT00000003299	A	rna-XM_057812385.1	A
BRAKERILHT00000003626	A	rna-XM_057812384.1	A
BRAKERILHT00000004279	A	rna-XM_057805165.1	A
BRAKERILHT00000002993	A	rna-XM_057805151.1	A
BRAKERILHT00000002892	A	rna-XM_057808656.1	A
BRAKERILHT00000004135	A	rna-XM_057795727.1	A
BRAKERILHT00000002204	A	rna-XM_057795914.1	A
BRAKERILHT00000003635	A	rna-XM_057796504.1	A
BRAKERILHT00000003954	A	rna-XM_057811665.1	A
BRAKERILHT00000003768	A	rna-XM_057815028.1	A
BRAKERILHT00000002523	A	rna-XM_057814725.1	A
BRAKERILHT00000002221	A	rna-XM_057809841.1	A
BRAKERILHT00000003413	A	rna-XM_057799614.1	A
BRAKERILHT00000002660	A	rna-XM_057803649.1	A
BRAKERILHT00000003890	A	rna-XM_057806645.1	A
BRAKERILHT00000002330	A	rna-XM_057806644.1	A
BRAKERILHT00000002847	A	rna-XM_057797947.1	A
BRAKERILHT00000003607	A	rna-XM_057805635.1	A
BRAKERILHT00000004208	A	rna-XM_057805636.1	A
BRAKERILHT00000003198	A	rna-XM_057805885.1	A
BRAKERILHT00000003158	A	rna-XM_057807262.1	A
BRAKERILHT00000002563	A	rna-XM_057807259.1	A
BRAKERILHT00000002790	A	rna-XM_057798842.1	A
BRAKERILHT00000003832	A	rna-XM_057798717.1	A
BRAKERILHT00000002719	A	rna-XM_057797542.1	A
BRAKERILHT00000003468	A	rna-XM_057799295.1	A
BRAKERILHT00000004370	A	rna-XM_057799299.1	A
BRAKERILHT00000002862	A	rna-XM_057804139.1	A
BRAKERILHT00000002361	A	rna-XM_057804402.1	A
BRAKERILHT00000003726	A	rna-XM_057799305.1	A
BRAKERILHT00000003216	A	rna-XM_057799314.1	A
BRAKERILHT00000002723	A	rna-XM_057799321.1	A
BRAKERILHT00000003338	A	rna-XM_057807068.1	A
BRAKERILHT00000003222	A	rna-XM_057807443.1	A
BRAKERILHT00000003702	A	rna-XM_057807440.1	A
BRAKERILHT00000004169	A	rna-XM_057816737.1	A
BRAKERILHT00000003042	A	rna-XM_057805435.1	A
BRAKERILHT00000002406	A	rna-XM_057802891.1	A
BRAKERILHT00000002914	A	rna-XM_057804982.1	A
BRAKERILHT00000003348	A	rna-XM_057804349.1	A
BRAKERILHT00000003914	A	rna-XM_057807328.1	A
BRAKERILHT00000003741	A	rna-XM_057799333.1	A
BRAKERILHT00000003610	A	rna-XM_057800230.1	A
BRAKERILHT00000003247	A	rna-XM_057797202.1	A
BRAKERILHT00000003978	A	rna-XM_057797210.1	A
BRAKERILHT00000004196	A	rna-XM_057801613.1	A
BRAKERILHT00000004157	A	rna-XM_057797226.1	A
BRAKERILHT00000002903	A	rna-XM_057810958.1	A
BRAKERILHT00000002213	A	rna-XM_057799074.1	A
BRAKERILHT00000003817	A	rna-XM_057799080.1	A
BRAKERILHT00000003209	A	rna-XM_057799077.1	A
BRAKERILHT00000002835	A	rna-XM_057798198.1	A
BRAKERILHT00000003297	A	rna-XM_057804295.1	A
BRAKERILHT00000003786	A	rna-XM_057804325.1	A
BRAKERILHT00000004281	A	rna-XM_057800639.1	A
BRAKERILHT00000003176	A	rna-XM_057809281.1	A
BRAKERILHT00000004429	A	rna-XM_057809645.1	A
BRAKERILHT00000003770	A	rna-XM_057809652.1	A
BRAKERILHT00000002557	A	rna-XM_057809240.1	A
BRAKERILHT00000002441	A	rna-XM_057809772.1	A
BRAKERILHT00000003319	A	rna-XM_057809760.1	A
BRAKERILHT00000003272	A	rna-XM_057809771.1	A
BRAKERILHT00000004106	A	rna-XM_057809029.1	A
BRAKERILHT00000003461	A	rna-XM_057809024.1	A
BRAKERILHT00000003153	A	rna-XM_057809023.1	A
BRAKERILHT00000002377	A	rna-XM_057804995.1	A
BRAKERILHT00000004401	A	rna-XM_057806959.1	A
BRAKERILHT00000002836	A	rna-XM_057801345.1	A
BRAKERILHT00000002303	A	rna-XM_057801360.1	A
BRAKERILHT00000002476	A	rna-XM_057809408.1	A
BRAKERILHT00000003592	A	rna-XM_057813973.1	A
BRAKERILHT00000004346	A	rna-XM_057811979.1	A
BRAKERILHT00000002224	A	rna-XM_057809343.1	A
BRAKERILHT00000002872	A	rna-XM_057809307.1	A
BRAKERILHT00000003500	A	rna-XM_057799620.1	A
BRAKERILHT00000003527	A	rna-XM_057799619.1	A
BRAKERILHT00000003009	A	rna-XM_057797821.1	A
BRAKERILHT00000004051	A	rna-XM_057798194.1	A
BRAKERILHT00000004318	A	rna-XM_057812424.1	A
BRAKERILHT00000003535	A	rna-XM_057812425.1	A
BRAKERILHT00000002774	A	rna-XM_057814849.1	A
BRAKERILHT00000002350	A	rna-XM_057814876.1	A
BRAKERILHT00000004110	A	rna-XM_057812366.1	A
BRAKERILHT00000003922	A	rna-XM_057812368.1	A
BRAKERILHT00000002418	A	rna-XM_057802884.1	A
BRAKERILHT00000003233	A	rna-XM_057802883.1	A
BRAKERILHT00000003429	A	rna-XM_057802870.1	A
BRAKERILHT00000004312	A	rna-XM_057802878.1	A
BRAKERILHT00000002520	A	rna-XM_057809428.1	A
BRAKERILHT00000003132	A	rna-XM_057809427.1	A
BRAKERILHT00000002498	A	rna-XM_057806943.1	A
BRAKERILHT00000002255	A	rna-XM_057809608.1	A
BRAKERILHT00000003497	A	rna-XM_057809605.1	A
BRAKERILHT00000003134	A	rna-XM_057806027.1	A
BRAKERILHT00000002795	A	rna-XM_057811989.1	A
BRAKERILHT00000002286	A	rna-XM_057811986.1	A
BRAKERILHT00000003569	A	rna-XM_057811971.1	A
BRAKERILHT00000003057	A	rna-XM_057811996.1	A
BRAKERILHT00000002569	A	rna-XM_057801543.1	A
BRAKERILHT00000002817	A	rna-XM_057806490.1	A
BRAKERILHT00000002475	A	rna-XM_057803573.1	A
BRAKERILHT00000002294	A	rna-XM_057802439.1	X
BRAKERILHT00000002737	A	rna-XM_057808388.1	A
BRAKERILHT00000003883	A	rna-XM_057810628.1	A
BRAKERILHT00000002878	A	rna-XM_057801309.1	X
BRAKERILHT00000002410	A	rna-XM_057806255.1	A
BRAKERILHT00000004158	A	rna-XM_057794933.1	A
BRAKERILHT00000004377	A	rna-XM_057810630.1	A
BRAKERILHT00000003810	A	rna-XM_057814089.1	A
BRAKERILHT00000002622	A	rna-XM_057814480.1	A
BRAKERILHT00000004335	A	rna-XM_057796254.1	A
BRAKERILHT00000003800	A	rna-XM_057801526.1	A
BRAKERILHT00000002216	A	rna-XM_057813220.1	A
BRAKERILHT00000003439	A	rna-XM_057798996.1	A
BRAKERILHT00000002489	A	rna-XM_057800888.1	A
BRAKERILHT00000004102	A	rna-XM_057803951.1	A
BRAKERILHT00000002315	A	rna-XM_057802159.1	A
BRAKERILHT00000002853	A	rna-XM_057802520.1	A
BRAKERILHT00000003339	A	rna-XM_057812814.1	A
BRAKERILHT00000002653	A	rna-XM_057797203.1	A
BRAKERILHT00000003645	A	rna-XM_057797151.1	A
BRAKERILHT00000003583	A	rna-XM_057804487.1	A
BRAKERILHT00000004008	A	rna-XM_057811841.1	A
BRAKERILHT00000002360	A	rna-XM_057814285.1	A
BRAKERILHT00000002768	A	rna-XM_057800891.1	A
BRAKERILHT00000004442	A	rna-XM_057800887.1	A
BRAKERILHT00000002501	A	rna-XM_057800874.1	A
BRAKERILHT00000004217	A	rna-XM_057801563.1	A
BRAKERILHT00000003391	A	rna-XM_057802184.1	A
BRAKERILHT00000003119	A	rna-XM_057797198.1	A
BRAKERILHT00000002483	A	rna-XM_057804054.1	A
BRAKERILHT00000003751	A	rna-XM_057809149.1	A
BRAKERILHT00000002252	A	rna-XM_057809575.1	A
BRAKERILHT00000004096	A	rna-XM_057809579.1	A
BRAKERILHT00000003142	A	rna-XM_057809588.1	A
BRAKERILHT00000003798	A	rna-XM_057809283.1	A
BRAKERILHT00000003449	A	rna-XM_057809286.1	A
BRAKERILHT00000003069	A	rna-XM_057809282.1	A
BRAKERILHT00000003616	A	rna-XM_057803521.1	A
BRAKERILHT00000003223	A	rna-XM_057797223.1	A
BRAKERILHT00000002433	A	rna-XM_057813463.1	A
BRAKERILHT00000002396	A	rna-XM_057807967.1	A
BRAKERILHT00000002925	A	rna-XM_057804702.1	A
BRAKERILHT00000003374	A	rna-XM_057807813.1	A
BRAKERILHT00000003878	A	rna-XM_057796856.1	A
BRAKERILHT00000002409	A	rna-XM_057800428.1	A
BRAKERILHT00000002951	A	rna-XM_057799099.1	A
BRAKERILHT00000004292	A	rna-XM_057798446.1	A
BRAKERILHT00000002503	A	rna-XM_057810952.1	A
BRAKERILHT00000003052	A	rna-XM_057810955.1	A
BRAKERILHT00000002451	A	rna-XM_057801363.1	A
BRAKERILHT00000004089	A	rna-XM_057797715.1	A
BRAKERILHT00000002258	A	rna-XM_057809614.1	A
BRAKERILHT00000002801	A	rna-XM_057798409.1	A
BRAKERILHT00000003868	A	rna-XM_057811846.1	A
BRAKERILHT00000003833	A	rna-XM_057799096.1	A
BRAKERILHT00000004344	A	rna-XM_057799097.1	A
BRAKERILHT00000002992	A	rna-XM_057796198.1	A
BRAKERILHT00000003345	A	rna-XM_057798628.1	A
BRAKERILHT00000003973	A	rna-XM_057803125.1	A
BRAKERILHT00000002667	A	rna-XM_057808237.1	X
BRAKERILHT00000002670	A	rna-XM_057803127.1	A
BRAKERILHT00000003622	A	rna-XM_057811054.1	A
BRAKERILHT00000003326	A	rna-XM_057803145.1	A
BRAKERILHT00000003948	A	rna-XM_057802185.1	A
BRAKERILHT00000003434	A	rna-XM_057802176.1	A
BRAKERILHT00000003196	A	rna-XM_057803153.1	A
BRAKERILHT00000002683	A	rna-XM_057801354.1	A
BRAKERILHT00000002694	A	rna-XM_057803139.1	A
BRAKERILHT00000004191	A	rna-XM_057803141.1	A
BRAKERILHT00000003680	A	rna-XM_057800241.1	A
BRAKERILHT00000002445	A	rna-XM_057801449.1	A
BRAKERILHT00000002432	A	rna-XM_057801465.1	A
BRAKERILHT00000003927	A	rna-XM_057795971.1	A
BRAKERILHT00000003309	A	rna-XM_057795970.1	A
BRAKERILHT00000003815	A	rna-XM_057799241.1	A
BRAKERILHT00000003148	A	rna-XM_057796914.1	A
BRAKERILHT00000002505	A	rna-XM_057796920.1	A
BRAKERILHT00000003958	A	rna-XM_057804495.1	A
BRAKERILHT00000002970	A	rna-XM_057809038.1	A
BRAKERILHT00000003493	A	rna-XM_057816226.1	A
BRAKERILHT00000004277	A	rna-XM_057809483.1	A
BRAKERILHT00000004296	A	rna-XM_057809698.1	A
BRAKERILHT00000003307	A	rna-XM_057809700.1	A
BRAKERILHT00000003146	A	rna-XM_057809837.1	A
BRAKERILHT00000002780	A	rna-XM_057809482.1	A
BRAKERILHT00000002574	A	rna-XM_057809208.1	A
BRAKERILHT00000004353	A	rna-XM_057809209.1	A
BRAKERILHT00000004062	A	rna-XM_057811051.1	A
BRAKERILHT00000003563	A	rna-XM_057809295.1	A
BRAKERILHT00000002804	A	rna-XM_057809146.1	A
BRAKERILHT00000002310	A	rna-XM_057809685.1	A
BRAKERILHT00000004307	A	rna-XM_057809022.1	A
BRAKERILHT00000002671	A	rna-XM_057809017.1	A
BRAKERILHT00000002265	A	rna-XM_057809014.1	A
BRAKERILHT00000003455	A	rna-XM_057809012.1	A
BRAKERILHT00000003991	A	rna-XM_057809010.1	A
BRAKERILHT00000004396	A	rna-XM_057809559.1	A
BRAKERILHT00000004077	A	rna-XM_057809949.1	A
BRAKERILHT00000004248	A	rna-XM_057809303.1	A
BRAKERILHT00000003705	A	rna-XM_057809288.1	A
BRAKERILHT00000003226	A	rna-XM_057808957.1	A
BRAKERILHT00000002721	A	rna-XM_057813460.1	A
BRAKERILHT00000003771	A	rna-XM_057813459.1	A
BRAKERILHT00000003283	A	rna-XM_057813466.1	A
BRAKERILHT00000002422	A	rna-XM_057813464.1	A
BRAKERILHT00000003409	A	rna-XM_057813429.1	A
BRAKERILHT00000003164	A	rna-XM_057813010.1	A
BRAKERILHT00000002845	A	rna-XM_057814700.1	A
BRAKERILHT00000002209	A	rna-XM_057814696.1	A
BRAKERILHT00000002787	A	rna-XM_057797000.1	A
BRAKERILHT00000002394	A	rna-XM_057811261.1	A
BRAKERILHT00000004299	A	rna-XM_057812541.1	A
BRAKERILHT00000004133	A	rna-XM_057814795.1	A
BRAKERILHT00000003258	A	rna-XM_057812945.1	A
BRAKERILHT00000003749	A	rna-XM_057799329.1	A
BRAKERILHT00000004267	A	rna-XM_057799331.1	A
BRAKERILHT00000002460	A	rna-XM_057799330.1	A
BRAKERILHT00000002669	A	rna-XM_057813823.1	A
BRAKERILHT00000004331	A	rna-XM_057813825.1	A
BRAKERILHT00000003651	A	rna-XM_057812018.1	A
BRAKERILHT00000002431	A	rna-XM_057813826.1	A
BRAKERILHT00000003959	A	rna-XM_057811257.1	A
BRAKERILHT00000003031	A	rna-XM_057808698.1	A
BRAKERILHT00000002495	A	rna-XM_057811972.1	X
BRAKERILHT00000004225	A	rna-XM_057813821.1	A
BRAKERILHT00000003248	A	rna-XM_057803650.1	A
BRAKERILHT00000004161	A	rna-XM_057805645.1	A
BRAKERILHT00000003315	A	rna-XM_057803582.1	A
BRAKERILHT00000003160	A	rna-XM_057803587.1	A
BRAKERILHT00000002686	A	rna-XM_057816827.1	A
BRAKERILHT00000003066	A	rna-XM_057816523.1	A
BRAKERILHT00000003435	A	rna-XM_057809624.1	A
BRAKERILHT00000002434	A	rna-XM_057815064.1	A
BRAKERILHT00000004185	A	rna-XM_057806261.1	A
BRAKERILHT00000002961	A	rna-XM_057803509.1	A
BRAKERILHT00000003824	A	rna-XM_057809862.1	A
BRAKERILHT00000002963	A	rna-XM_057795848.1	A
BRAKERILHT00000002328	A	rna-XM_057797209.1	A
BRAKERILHT00000004211	A	rna-XM_057813810.1	A
BRAKERILHT00000003575	A	rna-XM_057813815.1	A
BRAKERILHT00000003063	A	rna-XM_057813807.1	A
