B_varius	chromosome	B_siliquastri	chromosome
anno1.g3269.t1	A	BRAKERILHT00000001009	A
anno1.g3270.t1	A	BRAKERILHT00000001147	A
anno1.g3271.t1	A	BRAKERILHT00000002074	A
anno1.g3272.t1	A	BRAKERILHT00000000089	A
anno1.g3273.t1	A	BRAKERILHT00000013556	A
anno1.g3274.t1	A	BRAKERILHT00000001277	A
anno1.g3275.t1	A	BRAKERILHT00000001738	A
anno1.g3276.t1	A	BRAKERILHT00000002019	A
anno1.g3277.t1	A	BRAKERILHT00000001727	A
anno1.g3278.t1	A	BRAKERILHT00000000796	A
anno1.g3279.t1	A	BRAKERILHT00000001485	A
anno1.g3282.t1	A	BRAKERILHT00000001869	A
anno1.g3283.t1	A	BRAKERILHT00000000675	A
anno1.g3284.t1	A	BRAKERILHT00000001327	A
anno1.g3285.t1	A	BRAKERILHT00000000276	A
anno1.g3286.t1	A	BRAKERILHT00000002126	A
anno1.g3287.t1	A	BRAKERILHT00000000656	A
anno1.g3288.t1	A	BRAKERILHT00000000880	A
anno1.g3289.t1	A	BRAKERILHT00000001884	A
anno1.g3294.t1	A	BRAKERILHT00000001237	A
anno1.g3295.t1	A	BRAKERILHT00000002111	A
anno1.g3296.t1	A	BRAKERILHT00000000057	A
anno1.g3297.t1	A	BRAKERILHT00000000920	A
anno1.g3298.t1	A	BRAKERILHT00000001125	A
anno1.g3300.t1	A	BRAKERILHT00000001669	A
anno1.g3301.t1	A	BRAKERILHT00000017037	X
anno1.g3302.t2	A	BRAKERILHT00000002049	A
anno1.g3303.t1	A	BRAKERILHT00000000659	A
anno1.g3304.t1	A	BRAKERILHT00000000107	A
anno1.g3305.t1	A	BRAKERILHT00000000964	A
anno1.g3306.t1	A	BRAKERILHT00000001451	A
anno1.g3307.t1	A	BRAKERILHT00000001864	A
anno1.g3309.t1	A	BRAKERILHT00000006358	A
anno1.g3310.t1	A	BRAKERILHT00000001705	A
anno1.g3311.t1	A	BRAKERILHT00000001321	A
anno1.g3313.t1	A	BRAKERILHT00000000742	A
anno1.g3314.t1	A	BRAKERILHT00000009143	A
anno1.g3316.t1	A	BRAKERILHT00000000497	A
anno1.g3319.t1	A	BRAKERILHT00000010483	A
anno1.g3320.t3	A	BRAKERILHT00000001496	A
anno1.g3321.t1	A	BRAKERILHT00000001178	A
anno1.g3323.t1	A	BRAKERILHT00000001828	A
anno1.g3324.t1	A	BRAKERILHT00000000239	A
anno1.g3325.t1	A	BRAKERILHT00000000818	A
anno1.g3326.t1	A	BRAKERILHT00000009298	A
anno1.g3327.t1	A	BRAKERILHT00000001474	A
anno1.g3329.t1	A	BRAKERILHT00000002055	A
anno1.g3330.t1	A	BRAKERILHT00000001544	A
anno1.g3331.t1	A	BRAKERILHT00000000313	A
anno1.g3332.t1	A	BRAKERILHT00000001312	A
anno1.g3334.t1	A	BRAKERILHT00000001795	A
anno1.g3335.t1	A	BRAKERILHT00000000075	A
anno1.g3338.t2	A	BRAKERILHT00000001037	A
anno1.g3339.t1	A	BRAKERILHT00000000657	A
anno1.g3340.t1	A	BRAKERILHT00000000003	A
anno1.g3341.t1	A	BRAKERILHT00000001891	A
anno1.g3342.t1	A	BRAKERILHT00000001452	A
anno1.g3343.t1	A	BRAKERILHT00000001183	A
anno1.g3344.t2	A	BRAKERILHT00000001777	A
anno1.g3345.t1	A	BRAKERILHT00000000540	A
anno1.g3346.t1	A	BRAKERILHT00000001194	A
anno1.g3347.t1	A	BRAKERILHT00000000006	A
anno1.g3348.t1	A	BRAKERILHT00000000345	A
anno1.g3349.t1	A	BRAKERILHT00000000971	A
anno1.g3350.t2	A	BRAKERILHT00000001367	A
anno1.g3351.t1	A	BRAKERILHT00000001977	A
anno1.g3352.t1	A	BRAKERILHT00000004559	A
anno1.g3353.t1	A	BRAKERILHT00000001430	A
anno1.g3354.t2	A	BRAKERILHT00000001342	A
anno1.g3355.t1	A	BRAKERILHT00000000673	A
anno1.g3356.t1	A	BRAKERILHT00000000063	A
anno1.g3357.t1	A	BRAKERILHT00000001344	A
anno1.g3358.t1	A	BRAKERILHT00000000230	A
anno1.g3359.t1	A	BRAKERILHT00000000380	A
anno1.g3360.t1	A	BRAKERILHT00000001969	A
anno1.g3361.t1	A	BRAKERILHT00000001633	A
anno1.g3362.t1	A	BRAKERILHT00000002136	A
anno1.g3363.t1	A	BRAKERILHT00000000112	A
anno1.g3364.t1	A	BRAKERILHT00000000522	A
anno1.g3365.t1	A	BRAKERILHT00000001706	A
anno1.g3367.t1	A	BRAKERILHT00000001640	A
anno1.g3369.t1	A	BRAKERILHT00000000004	A
anno1.g3371.t1	A	BRAKERILHT00000000844	A
anno1.g3375.t1	A	BRAKERILHT00000002021	A
anno1.g3377.t1	A	BRAKERILHT00000000338	A
anno1.g3378.t1	A	BRAKERILHT00000000754	A
anno1.g3379.t1	A	BRAKERILHT00000001210	A
anno1.g3380.t1	A	BRAKERILHT00000000769	A
anno1.g3381.t1	A	BRAKERILHT00000001088	A
anno1.g3382.t1	A	BRAKERILHT00000001778	A
anno1.g3383.t1	A	BRAKERILHT00000000232	A
anno1.g3384.t2	A	BRAKERILHT00000001051	A
anno1.g3387.t1	A	BRAKERILHT00000000803	A
anno1.g3388.t1	A	BRAKERILHT00000000054	A
anno1.g3389.t1	A	BRAKERILHT00000000958	A
anno1.g3391.t1	A	BRAKERILHT00000002151	A
anno1.g3393.t1	A	BRAKERILHT00000000026	A
anno1.g3394.t1	A	BRAKERILHT00000001219	A
anno1.g3395.t1	A	BRAKERILHT00000000738	A
anno1.g3396.t2	A	BRAKERILHT00000001789	A
anno1.g3397.t1	A	BRAKERILHT00000000561	A
anno1.g3398.t1	A	BRAKERILHT00000001144	A
anno1.g3403.t1	A	BRAKERILHT00000017457	X
anno1.g3404.t1	A	BRAKERILHT00000001967	A
anno1.g3405.t1	A	BRAKERILHT00000001034	A
anno1.g3406.t2	A	BRAKERILHT00000001506	A
anno1.g3407.t1	A	BRAKERILHT00000002013	A
anno1.g3408.t1	A	BRAKERILHT00000001410	A
anno1.g3409.t1	A	BRAKERILHT00000000833	A
anno1.g3410.t1	A	BRAKERILHT00000000251	A
anno1.g3411.t3	A	BRAKERILHT00000000666	A
anno1.g3413.t2	A	BRAKERILHT00000001526	A
anno1.g3417.t2	A	BRAKERILHT00000001808	A
anno1.g3419.t1	A	BRAKERILHT00000001712	A
anno1.g3421.t1	A	BRAKERILHT00000001954	A
anno1.g3422.t1	A	BRAKERILHT00000000710	A
anno1.g3423.t1	A	BRAKERILHT00000001047	A
anno1.g3424.t1	A	BRAKERILHT00000001340	A
anno1.g3425.t1	A	BRAKERILHT00000000556	A
anno1.g3426.t1	A	BRAKERILHT00000000407	A
anno1.g3427.t1	A	BRAKERILHT00000001271	A
anno1.g3428.t1	A	BRAKERILHT00000001522	A
anno1.g3429.t1	A	BRAKERILHT00000000883	A
anno1.g3430.t1	A	BRAKERILHT00000000012	A
anno1.g3431.t1	A	BRAKERILHT00000000770	A
anno1.g3432.t1	A	BRAKERILHT00000000218	A
anno1.g3433.t1	A	BRAKERILHT00000000598	A
anno1.g3434.t1	A	BRAKERILHT00000001591	A
anno1.g3437.t1	A	BRAKERILHT00000002043	A
anno1.g3438.t1	A	BRAKERILHT00000000320	A
anno1.g3439.t1	A	BRAKERILHT00000000835	A
anno1.g3440.t1	A	BRAKERILHT00000001810	A
anno1.g3442.t1	A	BRAKERILHT00000000402	A
anno1.g3443.t1	A	BRAKERILHT00000005764	A
anno1.g3444.t2	A	BRAKERILHT00000006098	A
anno1.g3445.t1	A	BRAKERILHT00000004535	A
anno1.g3446.t1	A	BRAKERILHT00000005030	A
anno1.g3447.t5	A	BRAKERILHT00000005482	A
anno1.g3448.t2	A	BRAKERILHT00000004716	A
anno1.g3449.t1	A	BRAKERILHT00000006193	A
anno1.g3452.t3	A	BRAKERILHT00000004550	A
anno1.g3453.t1	A	BRAKERILHT00000006118	A
anno1.g3454.t1	A	BRAKERILHT00000004818	A
anno1.g3456.t1	A	BRAKERILHT00000004957	A
anno1.g3457.t1	A	BRAKERILHT00000005671	A
anno1.g3458.t2	A	BRAKERILHT00000005012	A
anno1.g3459.t2	A	BRAKERILHT00000005446	A
anno1.g3460.t1	A	BRAKERILHT00000005881	A
anno1.g3461.t1	A	BRAKERILHT00000006430	A
anno1.g3462.t2	A	BRAKERILHT00000004719	A
anno1.g3463.t1	A	BRAKERILHT00000004956	A
anno1.g3465.t1	A	BRAKERILHT00000005292	A
anno1.g3467.t1	A	BRAKERILHT00000004619	A
anno1.g3469.t1	A	BRAKERILHT00000005190	A
anno1.g3470.t2	A	BRAKERILHT00000005957	A
anno1.g3471.t1	A	BRAKERILHT00000005661	A
anno1.g3472.t1	A	BRAKERILHT00000005383	A
anno1.g3473.t1	A	BRAKERILHT00000004839	A
anno1.g3474.t1	A	BRAKERILHT00000006395	A
anno1.g3475.t2	A	BRAKERILHT00000004553	A
anno1.g3476.t1	A	BRAKERILHT00000006434	A
anno1.g3477.t1	A	BRAKERILHT00000017553	X
anno1.g3478.t1	A	BRAKERILHT00000005173	A
anno1.g3482.t1	A	BRAKERILHT00000013676	A
anno1.g3489.t2	A	BRAKERILHT00000005069	A
anno1.g3490.t1	A	BRAKERILHT00000006394	A
anno1.g3491.t1	A	BRAKERILHT00000005643	A
anno1.g3492.t1	A	BRAKERILHT00000005977	A
anno1.g3493.t2	A	BRAKERILHT00000005657	A
anno1.g3495.t1	A	BRAKERILHT00000006184	A
anno1.g3496.t1	A	BRAKERILHT00000004654	A
anno1.g3497.t1	A	BRAKERILHT00000005961	A
anno1.g3498.t1	A	BRAKERILHT00000005113	A
anno1.g3499.t1	A	BRAKERILHT00000004703	A
anno1.g3500.t1	A	BRAKERILHT00000005274	A
anno1.g3501.t1	A	BRAKERILHT00000004960	A
anno1.g3502.t2	A	BRAKERILHT00000004504	A
anno1.g3503.t1	A	BRAKERILHT00000006185	A
anno1.g3504.t1	A	BRAKERILHT00000005844	A
anno1.g3505.t1	A	BRAKERILHT00000005055	A
anno1.g3506.t1	A	BRAKERILHT00000005839	A
anno1.g3507.t1	A	BRAKERILHT00000005265	A
anno1.g3508.t1	A	BRAKERILHT00000005051	A
anno1.g3509.t2	A	BRAKERILHT00000005495	A
anno1.g3510.t1	A	BRAKERILHT00000005874	A
anno1.g3511.t1	A	BRAKERILHT00000005707	A
anno1.g3512.t1	A	BRAKERILHT00000004881	A
anno1.g3513.t1	A	BRAKERILHT00000006355	A
anno1.g3514.t1	A	BRAKERILHT00000006379	A
anno1.g3516.t2	A	BRAKERILHT00000005216	A
anno1.g3517.t1	A	BRAKERILHT00000004879	A
anno1.g3518.t1	A	BRAKERILHT00000006217	A
anno1.g3519.t3	A	BRAKERILHT00000005926	A
anno1.g3520.t1	A	BRAKERILHT00000005681	A
anno1.g3521.t1	A	BRAKERILHT00000005103	A
anno1.g3522.t1	A	BRAKERILHT00000004575	A
anno1.g3523.t1	A	BRAKERILHT00000005366	A
anno1.g3524.t1	A	BRAKERILHT00000005889	A
anno1.g3525.t1	A	BRAKERILHT00000005994	A
anno1.g3526.t1	A	BRAKERILHT00000004662	A
anno1.g3529.t1	A	BRAKERILHT00000005105	A
anno1.g3530.t1	A	BRAKERILHT00000004725	A
anno1.g3531.t1	A	BRAKERILHT00000006109	A
anno1.g3532.t1	A	BRAKERILHT00000004952	A
anno1.g3533.t1	A	BRAKERILHT00000005526	A
anno1.g3534.t1	A	BRAKERILHT00000004828	A
anno1.g3535.t2	A	BRAKERILHT00000005226	A
anno1.g3536.t1	A	BRAKERILHT00000005813	A
anno1.g3537.t1	A	BRAKERILHT00000005623	A
anno1.g3538.t1	A	BRAKERILHT00000004645	A
anno1.g3539.t1	A	BRAKERILHT00000004946	A
anno1.g3540.t1	A	BRAKERILHT00000006364	A
anno1.g3541.t1	A	BRAKERILHT00000006438	A
anno1.g3542.t1	A	BRAKERILHT00000004917	A
anno1.g3543.t2	A	BRAKERILHT00000005887	A
anno1.g3545.t1	A	BRAKERILHT00000004922	A
anno1.g3549.t1	A	BRAKERILHT00000005075	A
anno1.g3550.t1	A	BRAKERILHT00000004802	A
anno1.g3552.t1	A	BRAKERILHT00000005102	A
anno1.g3553.t1	A	BRAKERILHT00000005603	A
anno1.g3554.t1	A	BRAKERILHT00000006170	A
anno1.g3555.t1	A	BRAKERILHT00000006043	A
anno1.g3556.t1	A	BRAKERILHT00000005319	A
anno1.g3557.t1	A	BRAKERILHT00000005903	A
anno1.g3558.t1	A	BRAKERILHT00000009048	A
anno1.g3559.t1	A	BRAKERILHT00000006271	A
anno1.g3560.t1	A	BRAKERILHT00000006108	A
anno1.g3562.t1	A	BRAKERILHT00000006115	A
anno1.g3563.t1	A	BRAKERILHT00000005148	A
anno1.g3564.t1	A	BRAKERILHT00000005602	A
anno1.g3565.t1	A	BRAKERILHT00000004990	A
anno1.g3566.t1	A	BRAKERILHT00000004552	A
anno1.g3567.t1	A	BRAKERILHT00000004951	A
anno1.g3568.t1	A	BRAKERILHT00000005666	A
anno1.g3570.t1	A	BRAKERILHT00000005543	A
anno1.g3572.t1	A	BRAKERILHT00000006183	A
anno1.g3573.t1	A	BRAKERILHT00000004521	A
anno1.g3574.t1	A	BRAKERILHT00000005125	A
anno1.g3575.t1	A	BRAKERILHT00000005654	A
anno1.g3576.t1	A	BRAKERILHT00000004697	A
anno1.g3577.t1	A	BRAKERILHT00000005224	A
anno1.g3578.t1	A	BRAKERILHT00000006402	A
anno1.g3579.t1	A	BRAKERILHT00000005211	A
anno1.g3580.t3	A	BRAKERILHT00000004756	A
anno1.g3581.t3	A	BRAKERILHT00000006360	A
anno1.g3582.t2	A	BRAKERILHT00000004982	A
anno1.g3583.t1	A	BRAKERILHT00000006102	A
anno1.g3584.t2	A	BRAKERILHT00000004844	A
anno1.g3586.t1	A	BRAKERILHT00000004695	A
anno1.g3587.t1	A	BRAKERILHT00000004484	A
anno1.g3589.t1	A	BRAKERILHT00000004491	A
anno1.g3590.t1	A	BRAKERILHT00000006382	A
anno1.g3591.t1	A	BRAKERILHT00000005855	A
anno1.g3592.t1	A	BRAKERILHT00000004870	A
anno1.g3593.t1	A	BRAKERILHT00000005429	A
anno1.g3594.t1	A	BRAKERILHT00000005143	A
anno1.g3595.t1	A	BRAKERILHT00000005455	A
anno1.g3596.t1	A	BRAKERILHT00000006313	A
anno1.g3598.t1	A	BRAKERILHT00000005434	A
anno1.g3599.t1	A	BRAKERILHT00000005748	A
anno1.g3600.t1	A	BRAKERILHT00000006427	A
anno1.g3601.t1	A	BRAKERILHT00000004488	A
anno1.g3602.t1	A	BRAKERILHT00000004977	A
anno1.g3603.t1	A	BRAKERILHT00000005626	A
anno1.g3604.t1	A	BRAKERILHT00000005258	A
anno1.g3607.t1	A	BRAKERILHT00000005928	A
anno1.g3608.t1	A	BRAKERILHT00000006451	A
anno1.g3609.t1	A	BRAKERILHT00000005281	A
anno1.g3610.t1	A	BRAKERILHT00000004779	A
anno1.g3612.t1	A	BRAKERILHT00000005601	A
anno1.g3614.t1	A	BRAKERILHT00000005099	A
anno1.g3615.t2	A	BRAKERILHT00000005742	A
anno1.g3616.t1	A	BRAKERILHT00000004643	A
anno1.g3618.t1	A	BRAKERILHT00000005015	A
anno1.g3620.t1	A	BRAKERILHT00000006439	A
anno1.g3623.t1	A	BRAKERILHT00000004704	A
anno1.g3624.t1	A	BRAKERILHT00000012420	A
anno1.g3625.t1	A	BRAKERILHT00000005910	A
anno1.g3626.t1	A	BRAKERILHT00000005308	A
anno1.g3627.t1	A	BRAKERILHT00000004842	A
anno1.g3628.t2	A	BRAKERILHT00000005414	A
anno1.g3629.t2	A	BRAKERILHT00000005767	A
anno1.g3630.t1	A	BRAKERILHT00000004906	A
anno1.g3631.t1	A	BRAKERILHT00000006380	A
anno1.g3632.t1	A	BRAKERILHT00000004992	A
anno1.g3633.t1	A	BRAKERILHT00000005461	A
anno1.g3637.t1	A	BRAKERILHT00000005456	A
anno1.g3641.t1	A	BRAKERILHT00000004624	A
anno1.g3643.t1	A	BRAKERILHT00000005740	A
anno1.g3644.t1	A	BRAKERILHT00000005408	A
anno1.g3645.t1	A	BRAKERILHT00000004896	A
anno1.g3646.t1	A	BRAKERILHT00000005388	A
anno1.g3647.t1	A	BRAKERILHT00000006144	A
anno1.g3648.t1	A	BRAKERILHT00000006336	A
anno1.g3650.t1	A	BRAKERILHT00000004741	A
anno1.g3651.t1	A	BRAKERILHT00000005425	A
anno1.g3654.t1	A	BRAKERILHT00000004461	A
anno1.g3655.t1	A	BRAKERILHT00000005133	A
anno1.g3656.t1	A	BRAKERILHT00000005690	A
anno1.g3657.t1	A	BRAKERILHT00000005185	A
anno1.g3658.t1	A	BRAKERILHT00000005730	A
anno1.g3659.t1	A	BRAKERILHT00000004660	A
anno1.g3660.t1	A	BRAKERILHT00000004826	A
anno1.g3661.t1	A	BRAKERILHT00000006326	A
anno1.g3662.t1	A	BRAKERILHT00000005194	A
anno1.g3663.t1	A	BRAKERILHT00000004766	A
anno1.g3665.t1	A	BRAKERILHT00000005139	A
anno1.g3666.t1	A	BRAKERILHT00000005662	A
anno1.g3667.t1	A	BRAKERILHT00000005323	A
anno1.g3668.t1	A	BRAKERILHT00000006133	A
anno1.g3669.t1	A	BRAKERILHT00000004722	A
anno1.g3670.t1	A	BRAKERILHT00000005317	A
anno1.g3671.t1	A	BRAKERILHT00000004925	A
anno1.g3672.t1	A	BRAKERILHT00000006295	A
anno1.g3673.t2	A	BRAKERILHT00000005369	A
anno1.g3674.t1	A	BRAKERILHT00000004814	A
anno1.g3675.t2	A	BRAKERILHT00000005882	A
anno1.g3677.t1	A	BRAKERILHT00000005329	A
anno1.g3679.t1	A	BRAKERILHT00000004481	A
anno1.g3680.t1	A	BRAKERILHT00000006046	A
anno1.g3681.t1	A	BRAKERILHT00000005286	A
anno1.g3682.t1	A	BRAKERILHT00000004867	A
anno1.g3683.t1	A	BRAKERILHT00000005123	A
anno1.g3685.t1	A	BRAKERILHT00000004681	A
anno1.g3686.t1	A	BRAKERILHT00000004764	A
anno1.g3687.t1	A	BRAKERILHT00000005586	A
anno1.g3688.t1	A	BRAKERILHT00000005394	A
anno1.g3689.t1	A	BRAKERILHT00000004713	A
anno1.g3690.t1	A	BRAKERILHT00000006070	A
anno1.g3691.t1	A	BRAKERILHT00000004493	A
anno1.g3692.t1	A	BRAKERILHT00000004845	A
anno1.g3693.t3	A	BRAKERILHT00000004626	A
anno1.g3694.t1	A	BRAKERILHT00000013164	A
anno1.g3695.t1	A	BRAKERILHT00000006097	A
anno1.g3698.t1	A	BRAKERILHT00000005050	A
anno1.g3699.t1	A	BRAKERILHT00000005267	A
anno1.g3700.t2	A	BRAKERILHT00000005673	A
anno1.g3701.t1	A	BRAKERILHT00000005992	A
anno1.g3702.t1	A	BRAKERILHT00000004862	A
anno1.g3703.t1	A	BRAKERILHT00000005701	A
anno1.g3704.t1	A	BRAKERILHT00000006317	A
anno1.g3706.t1	A	BRAKERILHT00000004611	A
anno1.g3707.t1	A	BRAKERILHT00000004738	A
anno1.g3709.t2	A	BRAKERILHT00000005039	A
anno1.g3710.t1	A	BRAKERILHT00000006454	A
anno1.g3711.t2	A	BRAKERILHT00000004630	A
anno1.g3712.t1	A	BRAKERILHT00000006150	A
anno1.g3716.t1	A	BRAKERILHT00000006113	A
anno1.g3717.t1	A	BRAKERILHT00000006405	A
anno1.g3718.t1	A	BRAKERILHT00000004651	A
anno1.g3719.t1	A	BRAKERILHT00000005436	A
anno1.g3723.t1	A	BRAKERILHT00000005818	A
anno1.g3724.t2	A	BRAKERILHT00000005452	A
anno1.g3725.t1	A	BRAKERILHT00000006156	A
anno1.g3727.t1	A	BRAKERILHT00000004693	A
anno1.g3728.t1	A	BRAKERILHT00000005236	A
anno1.g3729.t1	A	BRAKERILHT00000004465	A
anno1.g3730.t1	A	BRAKERILHT00000005321	A
anno1.g3731.t1	A	BRAKERILHT00000005915	A
anno1.g3732.t1	A	BRAKERILHT00000006236	A
anno1.g3733.t1	A	BRAKERILHT00000004770	A
anno1.g3734.t2	A	BRAKERILHT00000006443	A
anno1.g3735.t1	A	BRAKERILHT00000006151	A
anno1.g3736.t2	A	BRAKERILHT00000005296	A
anno1.g3737.t1	A	BRAKERILHT00000005028	A
anno1.g3738.t1	A	BRAKERILHT00000004452	A
anno1.g3739.t1	A	BRAKERILHT00000006455	A
anno1.g3740.t1	A	BRAKERILHT00000005840	A
anno1.g3741.t1	A	BRAKERILHT00000006444	A
anno1.g3742.t1	A	BRAKERILHT00000006335	A
anno1.g3743.t1	A	BRAKERILHT00000006291	A
anno1.g3744.t1	A	BRAKERILHT00000005507	A
anno1.g3745.t1	A	BRAKERILHT00000005438	A
anno1.g3746.t1	A	BRAKERILHT00000004877	A
anno1.g3747.t1	A	BRAKERILHT00000006234	A
anno1.g3748.t1	A	BRAKERILHT00000005732	A
anno1.g3749.t1	A	BRAKERILHT00000006277	A
anno1.g3751.t1	A	BRAKERILHT00000004986	A
anno1.g3752.t1	A	BRAKERILHT00000004840	A
anno1.g3753.t1	A	BRAKERILHT00000006056	A
anno1.g3754.t1	A	BRAKERILHT00000005491	A
anno1.g3756.t1	A	BRAKERILHT00000005560	A
anno1.g3757.t2	A	BRAKERILHT00000004733	A
anno1.g3758.t1	A	BRAKERILHT00000004470	A
anno1.g3759.t1	A	BRAKERILHT00000005346	A
anno1.g3760.t1	A	BRAKERILHT00000005582	A
anno1.g3764.t1	A	BRAKERILHT00000005506	A
anno1.g3765.t1	A	BRAKERILHT00000004810	A
anno1.g3766.t1	A	BRAKERILHT00000005834	A
anno1.g3767.t1	A	BRAKERILHT00000006231	A
anno1.g3769.t1	A	BRAKERILHT00000005395	A
anno1.g3770.t1	A	BRAKERILHT00000005492	A
anno1.g3771.t1	A	BRAKERILHT00000005555	A
anno1.g3772.t1	A	BRAKERILHT00000005997	A
anno1.g3773.t1	A	BRAKERILHT00000004686	A
anno1.g3774.t1	A	BRAKERILHT00000004622	A
anno1.g3775.t1	A	BRAKERILHT00000005559	A
anno1.g3777.t1	A	BRAKERILHT00000004980	A
anno1.g3778.t1	A	BRAKERILHT00000005548	A
anno1.g3779.t1	A	BRAKERILHT00000004901	A
anno1.g3780.t1	A	BRAKERILHT00000005324	A
anno1.g3781.t2	A	BRAKERILHT00000006177	A
anno1.g3782.t1	A	BRAKERILHT00000004625	A
anno1.g3783.t1	A	BRAKERILHT00000005008	A
anno1.g3784.t1	A	BRAKERILHT00000005753	A
anno1.g3785.t1	A	BRAKERILHT00000006178	A
anno1.g3786.t1	A	BRAKERILHT00000005472	A
anno1.g3787.t1	A	BRAKERILHT00000005417	A
anno1.g3788.t1	A	BRAKERILHT00000004750	A
anno1.g3789.t1	A	BRAKERILHT00000005981	A
anno1.g3790.t1	A	BRAKERILHT00000005340	A
anno1.g3791.t1	A	BRAKERILHT00000005206	A
anno1.g3792.t1	A	BRAKERILHT00000004638	A
anno1.g3793.t1	A	BRAKERILHT00000006365	A
anno1.g3794.t2	A	BRAKERILHT00000005806	A
anno1.g3795.t2	A	BRAKERILHT00000004991	A
anno1.g3797.t1	A	BRAKERILHT00000005115	A
anno1.g3798.t1	A	BRAKERILHT00000004453	A
anno1.g3799.t1	A	BRAKERILHT00000006044	A
anno1.g3800.t1	A	BRAKERILHT00000005622	A
anno1.g3802.t1	A	BRAKERILHT00000006310	A
anno1.g3803.t1	A	BRAKERILHT00000005897	A
anno1.g3804.t1	A	BRAKERILHT00000004634	A
anno1.g3805.t1	A	BRAKERILHT00000004757	A
anno1.g3806.t1	A	BRAKERILHT00000005949	A
anno1.g3807.t1	A	BRAKERILHT00000005120	A
anno1.g3808.t1	A	BRAKERILHT00000004759	A
anno1.g3809.t1	A	BRAKERILHT00000005207	A
anno1.g3811.t1	A	BRAKERILHT00000006433	A
anno1.g3812.t1	A	BRAKERILHT00000005484	A
anno1.g3813.t1	A	BRAKERILHT00000005043	A
anno1.g3814.t1	A	BRAKERILHT00000004485	A
anno1.g3815.t1	A	BRAKERILHT00000006068	A
anno1.g3816.t1	A	BRAKERILHT00000005627	A
anno1.g3817.t1	A	BRAKERILHT00000005976	A
anno1.g3818.t2	A	BRAKERILHT00000004524	A
anno1.g3819.t1	A	BRAKERILHT00000005312	A
anno1.g3820.t1	A	BRAKERILHT00000004782	A
anno1.g3821.t1	A	BRAKERILHT00000005263	A
anno1.g3822.t2	A	BRAKERILHT00000004841	A
anno1.g3823.t1	A	BRAKERILHT00000006213	A
anno1.g3824.t2	A	BRAKERILHT00000005234	A
anno1.g3825.t1	A	BRAKERILHT00000005071	A
anno1.g3826.t1	A	BRAKERILHT00000004627	A
anno1.g3827.t2	A	BRAKERILHT00000006161	A
anno1.g3828.t1	A	BRAKERILHT00000005587	A
anno1.g3829.t1	A	BRAKERILHT00000017896	X
anno1.g3830.t1	A	BRAKERILHT00000005760	A
anno1.g3832.t1	A	BRAKERILHT00000004689	A
anno1.g3833.t2	A	BRAKERILHT00000005252	A
anno1.g3834.t1	A	BRAKERILHT00000004933	A
anno1.g3835.t1	A	BRAKERILHT00000006256	A
anno1.g3836.t1	A	BRAKERILHT00000005803	A
anno1.g3837.t1	A	BRAKERILHT00000005965	A
anno1.g3838.t1	A	BRAKERILHT00000004657	A
anno1.g3839.t1	A	BRAKERILHT00000006181	A
anno1.g3840.t1	A	BRAKERILHT00000006425	A
anno1.g3841.t1	A	BRAKERILHT00000004758	A
anno1.g3842.t1	A	BRAKERILHT00000005054	A
anno1.g3845.t2	A	BRAKERILHT00000005499	A
anno1.g3846.t1	A	BRAKERILHT00000004549	A
anno1.g3847.t1	A	BRAKERILHT00000005996	A
anno1.g3848.t1	A	BRAKERILHT00000005856	A
anno1.g3849.t1	A	BRAKERILHT00000005860	A
anno1.g3850.t2	A	BRAKERILHT00000004975	A
anno1.g3851.t6	A	BRAKERILHT00000004749	A
anno1.g3852.t2	A	BRAKERILHT00000006221	A
anno1.g3853.t1	A	BRAKERILHT00000005530	A
anno1.g3854.t1	A	BRAKERILHT00000006352	A
anno1.g3855.t1	A	BRAKERILHT00000004487	A
anno1.g3856.t1	A	BRAKERILHT00000004973	A
anno1.g3857.t1	A	BRAKERILHT00000005995	A
anno1.g3858.t1	A	BRAKERILHT00000005648	A
anno1.g3860.t1	A	BRAKERILHT00000004641	A
anno1.g3859.t3	A	BRAKERILHT00000005363	A
anno1.g3862.t1	A	BRAKERILHT00000005958	A
anno1.g3863.t1	A	BRAKERILHT00000005912	A
anno1.g3864.t1	A	BRAKERILHT00000005088	A
anno1.g3865.t1	A	BRAKERILHT00000004546	A
anno1.g3866.t1	A	BRAKERILHT00000005233	A
anno1.g3867.t1	A	BRAKERILHT00000006204	A
anno1.g3868.t2	A	BRAKERILHT00000006409	A
anno1.g3869.t1	A	BRAKERILHT00000004502	A
anno1.g3870.t1	A	BRAKERILHT00000006126	A
anno1.g3871.t1	A	BRAKERILHT00000005667	A
anno1.g3872.t1	A	BRAKERILHT00000005246	A
anno1.g3875.t1	A	BRAKERILHT00000004827	A
anno1.g3876.t1	A	BRAKERILHT00000006374	A
anno1.g3878.t1	A	BRAKERILHT00000004537	A
anno1.g3879.t1	A	BRAKERILHT00000006420	A
anno1.g3880.t1	A	BRAKERILHT00000004783	A
anno1.g3881.t1	A	BRAKERILHT00000005243	A
anno1.g3882.t1	A	BRAKERILHT00000005660	A
anno1.g3883.t1	A	BRAKERILHT00000004518	A
anno1.g3884.t1	A	BRAKERILHT00000004950	A
anno1.g3885.t2	A	BRAKERILHT00000005328	A
anno1.g3887.t1	A	BRAKERILHT00000005550	A
anno1.g3888.t1	A	BRAKERILHT00000006426	A
anno1.g3889.t4	A	BRAKERILHT00000005772	A
