D_sublineata	chromosome	C_maculatus	chromosome
rna-XM_056776097.1	A	g2306.t1	A
rna-XM_056774793.1	A	g736.t1	A
rna-XM_056774796.1	A	g734.t1	A
rna-XM_056774804.1	A	g729.t1	A
rna-XM_056774809.1	A	g5579.t1	A
rna-XM_056776275.1	A	g727.t1	A
rna-XM_056775258.1	A	g9835.t1	A
rna-XM_056774831.1	A	g6791.t1	A
rna-XM_056774767.1	A	g3443.t1	A
rna-XM_056775349.1	A	g2392.t1	A
rna-XM_056774819.1	A	g9925.t1	A
rna-XM_056774839.1	A	g6704.t1	A
rna-XM_056774963.1	A	g4041.t2	A
rna-XM_056774384.1	A	g4789.t1	A
rna-XM_056774389.1	A	g5161.t1	A
rna-XM_056774391.1	A	g13956.t1	A
rna-XM_056774392.1	A	g10167.t1	A
rna-XM_056774394.1	A	g585.t1	A
rna-XM_056774397.1	A	g11017.t1	A
rna-XM_056774398.1	A	g3992.t1	A
rna-XM_056774407.1	A	g2214.t1	A
rna-XM_056774400.1	A	g4006.t1	A
rna-XM_056775445.1	A	g179.t1	A
rna-XM_056774768.1	A	g12162.t1	A
rna-XM_056776047.1	A	g773.t1	A
rna-XM_056776051.1	A	g772.t1	A
rna-XM_056774505.1	A	g5654.t1	A
rna-XM_056774488.1	A	g5655.t1	A
rna-XM_056774868.1	A	g5734.t1	A
rna-XM_056774870.1	A	g4742.t2	A
rna-XM_056774872.1	A	g4743.t1	A
rna-XM_056775649.1	A	g12189.t3	A
rna-XM_056775921.1	A	g12489.t1	A
rna-XM_056775924.1	A	g2300.t1	A
rna-XM_056775927.1	A	g10495.t1	A
rna-XM_056775926.1	A	g12490.t1	A
rna-XM_056775932.1	A	g12392.t1	A
rna-XM_056775933.1	A	g4327.t2	A
rna-XM_056775930.1	A	g4328.t1	A
rna-XM_056775928.1	A	g4378.t1	A
rna-XM_056775934.1	A	g4379.t1	A
rna-XM_056775936.1	A	g4383.t1	A
rna-XM_056775935.1	A	g4384.t1	A
rna-XM_056775937.1	A	g1809.t1	A
rna-XM_056775938.1	A	g1812.t1	A
rna-XM_056775939.1	A	g11679.t1	A
rna-XM_056775941.1	A	g9107.t1	A
rna-XM_056775943.1	A	g9106.t1	A
rna-XM_056775948.1	A	g11867.t1	A
rna-XM_056775947.1	A	g9016.t1	A
rna-XM_056775944.1	A	g6401.t2	A
rna-XM_056775945.1	A	g7627.t1	A
rna-XM_056775453.1	A	g5608.t1	A
rna-XM_056775957.1	A	g4340.t1	A
rna-XM_056775959.1	A	g10912.t1	A
rna-XM_056775960.1	A	g9883.t1	A
rna-XM_056775964.1	A	g4351.t1	A
rna-XM_056775961.1	A	g10806.t1	A
rna-XM_056775458.1	A	g10191.t1	A
rna-XM_056775387.1	A	g6297.t1	A
rna-XM_056774880.1	A	g4002.t1	A
rna-XM_056775217.1	A	g256.t1	A
rna-XM_056775769.1	A	g7171.t4	A
rna-XM_056775777.1	A	g7172.t1	A
rna-XM_056775782.1	A	g11570.t1	A
rna-XM_056775783.1	A	g9290.t1	A
rna-XM_056775391.1	A	g11567.t1	A
rna-XM_056775643.1	A	g11568.t1	A
rna-XM_056775641.1	A	g11569.t2	A
rna-XM_056775106.1	A	g11566.t1	A
rna-XM_056775109.1	A	g11565.t1	A
rna-XM_056775104.1	A	g11564.t1	A
rna-XM_056775289.1	A	g11563.t1	A
rna-XM_056774507.1	A	g11812.t1	A
rna-XM_056774678.1	A	g11813.t1	A
rna-XM_056775192.1	A	g5620.t1	A
rna-XM_056775886.1	A	g5619.t1	A
rna-XM_056774775.1	A	g12169.t1	A
rna-XM_056774776.1	A	g11713.t2	A
rna-XM_056775099.1	A	g11716.t1	A
rna-XM_056775098.1	A	g11863.t1	A
rna-XM_056775236.1	A	g6692.t2	A
rna-XM_056775237.1	A	g6583.t1	A
rna-XM_056774886.1	A	g6695.t1	A
rna-XM_056775795.1	A	g11927.t1	A
rna-XM_056775796.1	A	g11961.t1	A
rna-XM_056775800.1	A	g13714.t1	A
rna-XM_056775802.1	A	g11682.t1	A
rna-XM_056774891.1	A	g5554.t1	A
rna-XM_056774889.1	A	g9295.t1	A
rna-XM_056774890.1	A	g9260.t1	A
rna-XM_056774529.1	A	g9297.t3	A
rna-XM_056775471.1	A	g166.t1	A
rna-XM_056775473.1	A	g164.t1	A
rna-XM_056775255.1	A	g1745.t1	A
rna-XM_056775166.1	A	g157.t2	A
rna-XM_056775163.1	A	g8209.t1	A
rna-XM_056774920.1	A	g155.t1	A
rna-XM_056775628.1	A	g154.t1	A
rna-XM_056774948.1	A	g153.t1	A
rna-XM_056774860.1	A	g152.t1	A
rna-XM_056775262.1	A	g151.t1	A
rna-XM_056775970.1	A	g149.t2	A
rna-XM_056775972.1	A	g8060.t1	A
rna-XM_056775978.1	A	g2590.t1	A
rna-XM_056775982.1	A	g2652.t1	A
rna-XM_056775986.1	A	g2653.t1	A
rna-XM_056775989.1	A	g11928.t1	A
rna-XM_056775990.1	A	g11929.t1	A
rna-XM_056775992.1	A	g12855.t1	A
rna-XM_056775994.1	A	g12858.t1	A
rna-XM_056775999.1	A	g8515.t1	A
rna-XM_056775998.1	A	g9130.t1	A
rna-XM_056776000.1	A	g11525.t1	A
rna-XM_056776007.1	A	g9080.t1	A
rna-XM_056776005.1	A	g9150.t4	A
rna-XM_056776008.1	A	g5861.t1	A
rna-XM_056776010.1	A	g4405.t1	A
rna-XM_056776012.1	A	g9046.t1	A
rna-XM_056776013.1	A	g9047.t1	A
rna-XM_056776015.1	A	g9048.t1	A
rna-XM_056776022.1	A	g10251.t1	A
rna-XM_056776018.1	A	g10252.t1	A
rna-XM_056776023.1	A	g10255.t1	A
rna-XM_056775044.1	A	g3184.t2	A
rna-XM_056775045.1	A	g10253.t1	A
rna-XM_056775173.1	A	g12764.t1	A
rna-XM_056775321.1	A	g10620.t1	A
rna-XM_056774887.1	A	g7544.t1	A
rna-XM_056774473.1	A	g4572.t1	A
rna-XM_056774300.1	A	g10633.t1	A
rna-XM_056774303.1	A	g10634.t1	A
rna-XM_056775436.1	A	g4573.t2	A
rna-XM_056774934.1	A	g4574.t1	A
rna-XM_056775372.1	A	g4575.t2	A
rna-XM_056776033.1	A	g4568.t1	A
rna-XM_056776036.1	A	g4569.t1	A
rna-XM_056776034.1	A	g4567.t1	A
rna-XM_056774429.1	A	g4566.t1	A
rna-XM_056775203.1	A	g5958.t1	A
rna-XM_056774439.1	A	g4565.t1	A
rna-XM_056774864.1	A	g4676.t1	A
rna-XM_056775479.1	A	g4675.t1	A
rna-XM_056776215.1	A	g4674.t1	A
rna-XM_056774754.1	A	g4673.t1	A
rna-XM_056774962.1	A	g14654.t1	A
rna-XM_056775433.1	A	g4672.t1	A
rna-XM_056774968.1	A	g5166.t1	A
rna-XM_056775601.1	A	g5162.t1	A
rna-XM_056775604.1	A	g5165.t1	A
rna-XM_056775605.1	A	g5163.t1	A
rna-XM_056775157.1	A	g4779.t1	A
rna-XM_056775160.1	A	g12360.t1	A
rna-XM_056775158.1	A	g4842.t1	A
rna-XM_056775161.1	A	g4761.t1	A
rna-XM_056775606.1	A	g4853.t1	A
rna-XM_056774885.1	A	g4841.t1	A
rna-XM_056775742.1	A	g4840.t1	A
rna-XM_056774549.1	A	g4839.t2	A
rna-XM_056774561.1	A	g1221.t1	A
rna-XM_056774542.1	A	g3502.t3	A
rna-XM_056774564.1	A	g3501.t1	A
rna-XM_056774569.1	A	g7540.t1	A
rna-XM_056774589.1	A	g7539.t1	A
rna-XM_056774587.1	A	g7538.t1	A
rna-XM_056774591.1	A	g7537.t1	A
rna-XM_056774590.1	A	g13020.t1	A
rna-XM_056774593.1	A	g3518.t1	A
rna-XM_056774594.1	A	g3517.t1	A
rna-XM_056774595.1	A	g8094.t1	A
rna-XM_056774596.1	A	g8098.t1	A
rna-XM_056774597.1	A	g2324.t1	A
rna-XM_056774600.1	A	g13022.t1	A
rna-XM_056774601.1	A	g13122.t1	A
rna-XM_056774602.1	A	g4714.t1	A
rna-XM_056774606.1	A	g8360.t1	A
rna-XM_056774607.1	A	g9601.t1	A
rna-XM_056774609.1	A	g9616.t1	A
rna-XM_056774610.1	A	g5190.t1	A
rna-XM_056774611.1	A	g9572.t1	A
rna-XM_056774613.1	A	g9574.t1	A
rna-XM_056774612.1	A	g9605.t1	A
rna-XM_056774614.1	A	g9606.t1	A
rna-XM_056774616.1	A	g9607.t1	A
rna-XM_056774618.1	A	g9608.t1	A
rna-XM_056774624.1	A	g9610.t1	A
rna-XM_056774627.1	A	g9611.t1	A
rna-XM_056774622.1	A	g9612.t1	A
rna-XM_056774625.1	A	g9600.t1	A
rna-XM_056774631.1	A	g7500.t1	A
rna-XM_056774633.1	A	g9598.t1	A
rna-XM_056774636.1	A	g9599.t1	A
rna-XM_056774637.1	A	g7499.t1	A
rna-XM_056774639.1	A	g7498.t1	A
rna-XM_056774645.1	A	g9580.t1	A
rna-XM_056775483.1	A	g9581.t1	A
rna-XM_056774640.1	A	g9583.t1	A
rna-XM_056775485.1	A	g9584.t1	A
rna-XM_056775486.1	A	g9585.t1	A
rna-XM_056775493.1	A	g9590.t1	A
rna-XM_056774649.1	A	g9595.t2	A
rna-XM_056774650.1	A	g9596.t1	A
rna-XM_056774654.1	A	g9148.t2	A
rna-XM_056774657.1	A	g9571.t1	A
rna-XM_056774665.1	A	g9602.t1	A
rna-XM_056774667.1	A	g9569.t1	A
rna-XM_056774285.1	A	g7822.t2	A
rna-XM_056776146.1	A	g8250.t1	A
rna-XM_056776148.1	A	g1103.t1	A
rna-XM_056776145.1	A	g8326.t1	A
rna-XM_056775244.1	A	g7722.t1	A
rna-XM_056776340.1	A	g8251.t1	A
rna-XM_056774673.1	A	g4831.t1	A
rna-XM_056774677.1	A	g1746.t1	A
rna-XM_056775029.1	A	g4832.t1	A
rna-XM_056774916.1	A	g4835.t1	A
rna-XM_056774757.1	A	g4836.t2	A
rna-XM_056775808.1	A	g3510.t1	A
rna-XM_056775811.1	A	g3511.t1	A
rna-XM_056775812.1	A	g4662.t1	A
rna-XM_056775814.1	A	g7941.t1	A
rna-XM_056775813.1	A	g4663.t2	A
rna-XM_056775815.1	A	g4664.t1	A
rna-XM_056775818.1	A	g4665.t1	A
rna-XM_056775822.1	A	g4666.t1	A
rna-XM_056775824.1	A	g4667.t1	A
rna-XM_056775823.1	A	g8269.t1	A
rna-XM_056775826.1	A	g4671.t1	A
rna-XM_056775847.1	A	g1245.t1	A
rna-XM_056775853.1	A	g1246.t1	A
rna-XM_056775857.1	A	g1248.t1	A
rna-XM_056775854.1	A	g1249.t1	A
rna-XM_056775503.1	A	g1253.t1	A
rna-XM_056775859.1	A	g7828.t1	A
rna-XM_056776071.1	A	g3689.t1	A
rna-XM_056776074.1	A	g1132.t1	A
rna-XM_056774287.1	A	g7829.t1	A
rna-XM_056775505.1	A	g7830.t2	A
rna-XM_056774841.1	A	g8426.t1	A
rna-XM_056774843.1	A	g8425.t1	A
rna-XM_056775180.1	A	g710.t1	A
rna-XM_056775182.1	A	g13514.t1	A
rna-XM_056775013.1	A	g13515.t1	A
rna-XM_056774806.1	A	g13516.t1	A
rna-XM_056775383.1	A	g13518.t2	A
rna-XM_056775385.1	A	g13520.t1	A
rna-XM_056775611.1	A	g13053.t2	A
rna-XM_056774368.1	A	g5033.t1	A
rna-XM_056774370.1	A	g5032.t1	A
rna-XM_056775508.1	A	g5030.t1	A
rna-XM_056775740.1	A	g7319.t2	A
rna-XM_056775724.1	A	g7318.t2	A
rna-XM_056776177.1	A	g9576.t1	A
rna-XM_056776176.1	A	g10632.t1	A
rna-XM_056776191.1	A	g4115.t1	A
rna-XM_056776188.1	A	g13557.t1	A
rna-XM_056775920.1	A	g13299.t1	A
rna-XM_056775919.1	A	g2886.t1	X
rna-XM_056775917.1	A	g13300.t1	A
rna-XM_056774694.1	A	g14181.t1	A
rna-XM_056774697.1	A	g5514.t1	A
rna-XM_056774702.1	A	g5513.t1	A
rna-XM_056775749.1	A	g13017.t3	A
rna-XM_056775748.1	A	g13018.t2	A
rna-XM_056774905.1	A	g3519.t1	A
rna-XM_056775510.1	A	g3520.t1	A
rna-XM_056774737.1	A	g3521.t1	A
rna-XM_056774739.1	A	g3532.t1	A
rna-XM_056774738.1	A	g3531.t1	A
rna-XM_056774896.1	A	g12032.t1	A
rna-XM_056776331.1	A	g3530.t1	A
rna-XM_056776334.1	A	g7336.t1	A
rna-XM_056775345.1	A	g7554.t1	A
rna-XM_056774784.1	A	g7553.t1	A
rna-XM_056775355.1	A	g7547.t1	A
rna-XM_056775199.1	A	g10294.t1	A
rna-XM_056774691.1	A	g2311.t1	A
rna-XM_056774693.1	A	g7782.t2	A
rna-XM_056774306.1	A	g7725.t5	A
rna-XM_056775660.1	A	g8167.t1	A
rna-XM_056775514.1	A	g1073.t1	A
rna-XM_056774876.1	A	g14722.t1	A
rna-XM_056775515.1	A	g13331.t1	A
rna-XM_056774335.1	A	g548.t2	A
rna-XM_056774336.1	A	g3818.t1	A
rna-XM_056774339.1	A	g9155.t1	A
rna-XM_056774342.1	A	g9156.t1	A
rna-XM_056774341.1	A	g9157.t1	A
rna-XM_056774344.1	A	g3817.t1	A
rna-XM_056774343.1	A	g7592.t1	A
rna-XM_056776226.1	A	g10840.t1	A
rna-XM_056776228.1	A	g5674.t1	A
rna-XM_056776229.1	A	g3837.t1	A
rna-XM_056776230.1	A	g5550.t1	A
rna-XM_056776227.1	A	g11677.t1	A
rna-XM_056775898.1	A	g11676.t1	A
rna-XM_056775900.1	A	g11674.t1	A
rna-XM_056775899.1	A	g11717.t1	A
rna-XM_056775903.1	A	g9176.t1	A
rna-XM_056775905.1	A	g5642.t1	A
rna-XM_056775531.1	A	g1122.t2	A
rna-XM_056774742.1	A	g11678.t1	A
rna-XM_056775241.1	A	g5681.t1	A
rna-XM_056775242.1	A	g11815.t1	A
rna-XM_056776098.1	A	g13889.t1	A
rna-XM_056776101.1	A	g4609.t1	A
rna-XM_056776103.1	A	g4366.t2	A
rna-XM_056776102.1	A	g4370.t1	A
rna-XM_056775197.1	A	g4372.t2	A
rna-XM_056774969.1	A	g4373.t1	A
rna-XM_056775520.1	A	g4374.t1	A
rna-XM_056774348.1	A	g7207.t1	A
rna-XM_056774347.1	A	g14258.t1	A
rna-XM_056774282.1	A	g14257.t1	A
rna-XM_056774275.1	A	g14256.t1	A
rna-XM_056775043.1	A	g559.t1	A
rna-XM_056775035.1	A	g5109.t1	A
rna-XM_056775170.1	A	g10243.t1	A
rna-XM_056775004.1	A	g7647.t1	A
rna-XM_056775006.1	A	g12843.t2	A
rna-XM_056775001.1	A	g4032.t1	A
rna-XM_056775010.1	A	g6463.t1	A
rna-XM_056775008.1	A	g5057.t1	A
rna-XM_056775011.1	A	g1082.t1	A
rna-XM_056775913.1	A	g13079.t1	A
rna-XM_056775911.1	A	g1075.t1	A
rna-XM_056775915.1	A	g13055.t1	A
rna-XM_056775916.1	A	g13056.t1	A
rna-XM_056775283.1	A	g13057.t1	A
rna-XM_056775284.1	A	g13059.t1	A
rna-XM_056775276.1	A	g6026.t1	A
rna-XM_056775277.1	A	g5737.t1	A
rna-XM_056774733.1	A	g13304.t1	A
rna-XM_056775413.1	A	g13303.t1	A
rna-XM_056775414.1	A	g13302.t1	A
rna-XM_056775522.1	A	g13301.t1	A
rna-XM_056775124.1	A	g14180.t1	A
rna-XM_056775129.1	A	g14179.t1	A
rna-XM_056775126.1	A	g14178.t1	A
rna-XM_056775127.1	A	g14177.t2	A
rna-XM_056775523.1	A	g14176.t1	A
rna-XM_056775130.1	A	g3540.t1	A
rna-XM_056775363.1	A	g3539.t1	A
rna-XM_056775629.1	A	g1126.t1	A
rna-XM_056775632.1	A	g1154.t1	A
rna-XM_056775631.1	A	g1153.t1	A
rna-XM_056775633.1	A	g1152.t1	A
rna-XM_056775640.1	A	g1151.t2	A
rna-XM_056775610.1	A	g1150.t1	A
rna-XM_056775659.1	A	g1145.t1	A
rna-XM_056775368.1	A	g1143.t3	A
rna-XM_056775245.1	A	g1142.t2	A
rna-XM_056775526.1	A	g1141.t1	A
rna-XM_056775888.1	A	g1136.t2	A
rna-XM_056775889.1	A	g1134.t1	A
rna-XM_056775894.1	A	g806.t1	A
rna-XM_056775895.1	A	g1133.t1	A
rna-XM_056775896.1	A	g807.t1	A
rna-XM_056776278.1	A	g780.t1	A
rna-XM_056774746.1	A	g811.t1	A
rna-XM_056775183.1	A	g787.t1	A
rna-XM_056774897.1	A	g816.t1	A
rna-XM_056775333.1	A	g5041.t1	A
rna-XM_056774822.1	A	g5040.t1	A
rna-XM_056774844.1	A	g13553.t1	A
rna-XM_056775426.1	A	g13556.t2	A
rna-XM_056776156.1	A	g1046.t1	A
rna-XM_056776157.1	A	g5006.t1	A
rna-XM_056775661.1	A	g5005.t1	A
rna-XM_056775668.1	A	g10688.t1	A
rna-XM_056775669.1	A	g4491.t1	A
rna-XM_056775672.1	A	g4493.t1	A
rna-XM_056775674.1	A	g4489.t1	A
rna-XM_056775676.1	A	g4498.t1	A
rna-XM_056775677.1	A	g4999.t2	A
rna-XM_056775678.1	A	g5000.t1	A
rna-XM_056774854.1	A	g5004.t1	A
rna-XM_056775353.1	A	g4642.t1	A
rna-XM_056775658.1	A	g7047.t1	A
rna-XM_056775234.1	A	g4644.t1	A
rna-XM_056776231.1	A	g4640.t1	A
rna-XM_056774726.1	A	g4639.t2	A
rna-XM_056775095.1	A	g4638.t1	A
rna-XM_056774756.1	A	g4637.t1	A
rna-XM_056775278.1	A	g4542.t1	A
rna-XM_056774986.1	A	g4541.t1	A
rna-XM_056775874.1	A	g13529.t1	A
rna-XM_056775879.1	A	g13526.t1	A
rna-XM_056775882.1	A	g4189.t1	A
rna-XM_056775884.1	A	g13530.t1	A
rna-XM_056775150.1	A	g12982.t1	A
rna-XM_056775317.1	A	g5063.t1	A
rna-XM_056775375.1	A	g13097.t1	A
rna-XM_056775287.1	A	g2525.t1	A
rna-XM_056774766.1	A	g6592.t1	A
rna-XM_056774781.1	A	g1011.t1	A
rna-XM_056774783.1	A	g3536.t1	A
rna-XM_056774464.1	A	g5059.t1	A
rna-XM_056774463.1	A	g5060.t1	A
rna-XM_056775141.1	A	g13026.t1	A
rna-XM_056775711.1	A	g2522.t1	A
rna-XM_056775714.1	A	g9432.t1	A
rna-XM_056775713.1	A	g6031.t1	A
rna-XM_056775654.1	A	g6029.t1	A
rna-XM_056776144.1	A	g6028.t1	A
rna-XM_056776140.1	A	g6027.t1	A
rna-XM_056774928.1	A	g6033.t1	A
rna-XM_056774851.1	A	g10324.t1	A
rna-XM_056775031.1	A	g8876.t1	A
rna-XM_056774292.1	A	g9224.t1	A
rna-XM_056774291.1	A	g9235.t1	A
rna-XM_056774298.1	A	g3364.t1	A
rna-XM_056774299.1	A	g8879.t1	A
rna-XM_056775016.1	A	g8878.t2	A
rna-XM_056775228.1	A	g8880.t1	A
rna-XM_056775539.1	A	g8881.t1	A
rna-XM_056775266.1	A	g8883.t1	A
rna-XM_056775268.1	A	g8884.t1	A
rna-XM_056774753.1	A	g13888.t1	A
rna-XM_056775697.1	A	g5011.t1	A
rna-XM_056775698.1	A	g5009.t1	A
rna-XM_056775405.1	A	g13673.t1	A
rna-XM_056775401.1	A	g461.t6	A
rna-XM_056775399.1	A	g9870.t1	A
rna-XM_056775657.1	A	g12805.t2	A
rna-XM_056775229.1	A	g3414.t3	A
rna-XM_056775231.1	A	g6779.t1	A
rna-XM_056774794.1	A	g5743.t1	A
rna-XM_056774795.1	A	g9291.t1	A
rna-XM_056774932.1	A	g4527.t1	A
rna-XM_056774946.1	A	g3185.t1	A
rna-XM_056774834.1	A	g14391.t1	A
rna-XM_056774465.1	A	g8539.t1	A
rna-XM_056774748.1	A	g10309.t1	A
rna-XM_056775541.1	A	g12808.t1	A
rna-XM_056776330.1	A	g12809.t1	A
rna-XM_056774749.1	A	g3879.t1	A
rna-XM_056775122.1	A	g13665.t1	A
rna-XM_056774430.1	A	g2657.t1	A
rna-XM_056774432.1	A	g10310.t1	A
rna-XM_056774434.1	A	g5736.t1	A
rna-XM_056774847.1	A	g6889.t1	A
rna-XM_056774921.1	A	g14832.t1	A
rna-XM_056774922.1	A	g2591.t1	A
rna-XM_056776234.1	A	g9173.t3	A
rna-XM_056776233.1	A	g12643.t1	A
rna-XM_056775119.1	A	g10771.t1	A
rna-XM_056775332.1	A	g11621.t1	A
rna-XM_056775715.1	A	g11617.t1	A
rna-XM_056775208.1	A	g11615.t1	A
rna-XM_056775380.1	A	g1273.t1	A
rna-XM_056775114.1	A	g1965.t1	A
rna-XM_056775282.1	A	g9213.t1	A
rna-XM_056776030.1	A	g4303.t1	A
rna-XM_056775425.1	A	g13493.t1	A
rna-XM_056774947.1	A	g8870.t1	A
rna-XM_056775545.1	A	g888.t1	A
rna-XM_056776214.1	A	g11400.t1	A
rna-XM_056776197.1	A	g10315.t3	A
rna-XM_056776213.1	A	g5919.t1	A
rna-XM_056776277.1	A	g5571.t1	A
rna-XM_056774902.1	A	g11554.t1	A
rna-XM_056774999.1	A	g12248.t1	A
rna-XM_056775316.1	A	g12249.t1	A
rna-XM_056775207.1	A	g12250.t1	A
rna-XM_056774510.1	A	g8840.t10	A
rna-XM_056774835.1	A	g8841.t1	A
rna-XM_056775546.1	A	g14684.t1	A
rna-XM_056775136.1	A	g12884.t1	A
rna-XM_056775135.1	A	g12885.t1	A
rna-XM_056776313.1	A	g1826.t1	A
rna-XM_056774426.1	A	g7570.t1	A
rna-XM_056774428.1	A	g9559.t1	A
rna-XM_056774427.1	A	g14310.t1	A
rna-XM_056775322.1	A	g14312.t1	A
rna-XM_056775707.1	A	g14314.t1	A
rna-XM_056775547.1	A	g14307.t1	A
rna-XM_056775598.1	A	g6515.t1	A
rna-XM_056775620.1	A	g6619.t1	A
rna-XM_056775624.1	A	g6517.t1	A
rna-XM_056775623.1	A	g6621.t1	A
rna-XM_056775622.1	A	g2438.t1	A
rna-XM_056775621.1	A	g9553.t1	A
rna-XM_056775548.1	A	g3056.t1	A
rna-XM_056775550.1	A	g3055.t1	A
rna-XM_056776161.1	A	g13230.t1	A
rna-XM_056774520.1	A	g11004.t2	A
rna-XM_056775552.1	A	g11622.t1	A
rna-XM_056774261.1	A	g7010.t1	A
rna-XM_056774260.1	A	g7009.t1	A
rna-XM_056774257.1	A	g4760.t1	A
rna-XM_056774259.1	A	g6110.t2	A
rna-XM_056774755.1	A	g9056.t1	A
rna-XM_056774481.1	A	g10479.t1	A
rna-XM_056774484.1	A	g10993.t1	A
rna-XM_056775785.1	A	g9650.t1	A
rna-XM_056775786.1	A	g14472.t1	A
rna-XM_056775788.1	A	g964.t1	A
rna-XM_056774917.1	A	g3304.t1	A
rna-XM_056775554.1	A	g11806.t1	A
rna-XM_056774450.1	A	g470.t1	A
rna-XM_056774449.1	A	g395.t1	A
rna-XM_056774448.1	A	g2118.t1	A
rna-XM_056776115.1	A	g2038.t1	A
rna-XM_056774346.1	A	g3218.t1	A
rna-XM_056774345.1	A	g3216.t1	A
rna-XM_056775614.1	A	g2232.t1	A
rna-XM_056775613.1	A	g2233.t1	A
rna-XM_056775030.1	A	g5072.t1	A
rna-XM_056775215.1	A	g11469.t2	A
rna-XM_056774367.1	A	g12303.t1	A
rna-XM_056775908.1	A	g7740.t1	A
rna-XM_056775909.1	A	g2432.t2	A
rna-XM_056775906.1	A	g7219.t1	A
rna-XM_056775556.1	A	g7217.t1	A
rna-XM_056775395.1	A	g7410.t1	A
rna-XM_056775394.1	A	g2435.t1	A
rna-XM_056774707.1	A	g13605.t1	A
rna-XM_056774708.1	A	g13604.t1	A
rna-XM_056774858.1	A	g12919.t2	A
rna-XM_056775110.1	A	g9329.t1	A
rna-XM_056775873.1	A	g3809.t3	A
rna-XM_056776321.1	A	g12829.t1	A
rna-XM_056775186.1	A	g9554.t1	A
rna-XM_056775188.1	A	g9344.t1	A
rna-XM_056775187.1	A	g9328.t1	A
rna-XM_056775691.1	A	g9335.t2	A
rna-XM_056775683.1	A	g10684.t1	A
rna-XM_056775684.1	A	g10333.t1	A
rna-XM_056775682.1	A	g6311.t1	A
rna-XM_056775688.1	A	g11886.t2	A
rna-XM_056775225.1	A	g13072.t4	A
rna-XM_056774849.1	A	g10034.t1	A
rna-XM_056775558.1	A	g9463.t1	A
rna-XM_056775223.1	A	g2278.t1	A
rna-XM_056775221.1	A	g2277.t1	A
rna-XM_056774537.1	A	g11662.t1	A
rna-XM_056774536.1	A	g9501.t1	A
rna-XM_056775559.1	A	g9502.t1	A
rna-XM_056776239.1	A	g9480.t1	A
rna-XM_056775560.1	A	g9505.t1	A
rna-XM_056774953.1	A	g13611.t1	A
rna-XM_056775397.1	A	g9465.t1	A
rna-XM_056775396.1	A	g13492.t1	A
rna-XM_056776150.1	A	g4690.t2	A
rna-XM_056776152.1	A	g3665.t1	A
rna-XM_056776151.1	A	g9476.t1	A
rna-XM_056776154.1	A	g9479.t1	A
rna-XM_056775865.1	A	g9659.t1	A
rna-XM_056775860.1	A	g13491.t2	A
rna-XM_056775863.1	A	g7473.t1	X
rna-XM_056775866.1	A	g13490.t1	A
rna-XM_056775864.1	A	g13489.t1	A
rna-XM_056776162.1	A	g6611.t1	A
rna-XM_056776164.1	A	g4283.t1	A
rna-XM_056775151.1	A	g6610.t1	A
rna-XM_056774998.1	A	g4286.t1	A
rna-XM_056775561.1	A	g3802.t1	A
rna-XM_056775378.1	A	g13089.t1	A
rna-XM_056776165.1	A	g4927.t2	A
rna-XM_056775563.1	A	g3930.t1	A
rna-XM_056774797.1	A	g3696.t1	A
rna-XM_056775265.1	A	g14448.t1	A
rna-XM_056776240.1	A	g13186.t1	A
rna-XM_056776242.1	A	g14484.t1	A
rna-XM_056776247.1	A	g13187.t1	A
rna-XM_056776244.1	A	g3662.t2	A
rna-XM_056776246.1	A	g12650.t1	A
rna-XM_056776249.1	A	g13231.t1	A
rna-XM_056776042.1	A	g12653.t1	A
rna-XM_056776046.1	A	g12652.t1	A
rna-XM_056776043.1	A	g12655.t1	A
rna-XM_056776038.1	A	g12651.t2	A
rna-XM_056775293.1	A	g2694.t1	A
rna-XM_056775354.1	A	g12812.t1	A
rna-XM_056774524.1	A	g12768.t1	A
rna-XM_056774527.1	A	g7563.t1	A
rna-XM_056774526.1	A	g7564.t1	A
rna-XM_056775100.1	A	g12746.t1	A
rna-XM_056774469.1	A	g12767.t1	A
rna-XM_056774470.1	A	g6615.t1	A
rna-XM_056775079.1	A	g6507.t2	A
rna-XM_056775435.1	A	g6613.t1	A
rna-XM_056775388.1	A	g10962.t1	A
rna-XM_056774413.1	A	g6609.t2	A
rna-XM_056776306.1	A	g13259.t2	A
rna-XM_056776307.1	A	g13256.t2	A
rna-XM_056776308.1	A	g3801.t1	A
rna-XM_056776312.1	A	g10532.t1	A
rna-XM_056776310.1	A	g13488.t1	A
rna-XM_056775145.1	A	g2613.t1	A
rna-XM_056774955.1	A	g10908.t1	A
rna-XM_056775567.1	A	g580.t1	A
rna-XM_056776294.1	A	g12755.t1	A
rna-XM_056776297.1	A	g12753.t1	A
rna-XM_056774760.1	A	g13290.t1	A
rna-XM_056776029.1	A	g12840.t1	A
rna-XM_056776028.1	A	g12701.t1	A
rna-XM_056776027.1	A	g13291.t1	A
rna-XM_056776090.1	A	g12839.t1	A
rna-XM_056776092.1	A	g12838.t1	A
rna-XM_056776095.1	A	g12731.t1	A
rna-XM_056776094.1	A	g12730.t1	A
rna-XM_056774741.1	A	g4928.t1	A
rna-XM_056774740.1	A	g4929.t1	A
rna-XM_056774846.1	A	g11553.t1	A
rna-XM_056775373.1	A	g11006.t2	A
rna-XM_056775121.1	A	g11005.t1	A
rna-XM_056774732.1	A	g4170.t1	A
