HOG	OG	Gene Tree Parent Clade	A_obtectus	B_siliquastri	B_varius	C_chinensis	C_maculatus	C_maculatusC	D_carinulata	D_sublineata
N0.HOG0000706	OG0000518	n0	anno1.g7857.t2	BRAKERILHT00000013296_1, BRAKERILHT00000013363_1	anno1.g9320.t1	anno1.g11601.t1, anno1.g11600.t1	g3729.t1_1, g3730.t1_1, g3728.t1_1	anno1.g4961.t1, anno1.g4962.t1, anno1.g4960.t1	rna-XM_057804045.1_1	rna-XM_056787557.1_1
N0.HOG0000707	OG0000519	n1	anno1.g8181.t1	BRAKERILHT00000013539_1		anno1.g9707.t1	g4670.t1_1	anno1.g5869.t1	rna-XM_057800479.1_1	rna-XM_056783761.1_1
N0.HOG0000708	OG0000519	n7		BRAKERILHT00000013258_1	anno1.g10090.t1, anno1.g10091.t1	anno1.g4517.t1		anno1.g6011.t1	rna-XM_057802960.1_1	rna-XM_056784836.1_1
N0.HOG0000709	OG0000520	n0	anno1.g8375.t1	BRAKERILHT00000015602_1, BRAKERILHT00000015433_1, BRAKERILHT00000013315_1		anno1.g10300.t1, anno1.g5678.t1, anno1.g7442.t1	g7543.t1_1, g7347.t1_1, g4633.t1_1	anno1.g7243.t1, anno1.g7428.t1, anno1.g5828.t1	rna-XM_057816282.1_1	
N0.HOG0000710	OG0000521	n0	anno1.g10307.t1, anno1.g8768.t2	BRAKERILHT00000006116_1, BRAKERILHT00000010101_1	anno1.g4663.t1, anno1.g4662.t1, anno1.g8391.t1	anno1.g8039.t2, anno1.g8038.t1, anno1.g6747.t2	g8898.t3_1, g3241.t1_1	anno1.g3528.t1, anno1.g2476.t1		
N0.HOG0000711	OG0000522	n0	anno1.g8850.t1	BRAKERILHT00000010388_1	anno1.g8115.t1	anno1.g9351.t1, anno1.g11915.t1	g5846.t1_1	anno1.g2890.t1	rna-XM_057813089.1_1, rna-XM_057813083.1_1, rna-XM_057813085.1_1, rna-XM_057813084.1_1	rna-XM_056787032.1_1, rna-XM_056786994.1_1, rna-XM_056787007.1_1
N0.HOG0000712	OG0000523	n0	anno1.g12429.t1, anno1.g9244.t1	BRAKERILHT00000015012_1, BRAKERILHT00000008786_1	anno1.g850.t1, anno1.g8429.t2	anno1.g12776.t1, anno1.g10165.t1	g14281.t1_1, g6682.t2_1	anno1.g7844.t1, anno1.g2032.t1	rna-XM_057803909.1_1	rna-XM_056787880.1_1
N0.HOG0000713	OG0000524	n0	anno1.g9363.t1, anno1.g9820.t1	BRAKERILHT00000009768_1, BRAKERILHT00000009764_1	anno1.g8538.t1, anno1.g8904.t1	anno1.g3280.t1, anno1.g4619.t1	g6471.t1_1, g6749.t1_1	anno1.g2126.t1, anno1.g1967.t1	rna-XM_057813267.1_1	rna-XM_056792209.1_1
N0.HOG0000714	OG0000525	n0	anno1.g13170.t1, anno1.g9366.t1	BRAKERILHT00000010333_1		anno1.g13326.t1, anno1.g3278.t1, anno1.g13327.t1	g6469.t1_1, g6468.t1_1	anno1.g2129.t1, anno1.g2128.t1, anno1.g2130.t1, anno1.g2131.t1	rna-XM_057806811.1_1	rna-XM_056786301.1_1
N0.HOG0000715	OG0000526	n0	anno1.g9382.t1, anno1.g9383.t1	BRAKERILHT00000009647_1, BRAKERILHT00000009194_1	anno1.g8560.t1, anno1.g8561.t1	anno1.g9575.t1, anno1.g13565.t1, anno1.g9576.t1, anno1.g10129.t1	g6446.t1_1	anno1.g2152.t1	rna-XM_057811842.1_1	rna-XM_056776529.1_1
N0.HOG0000716	OG0000527	n0	anno1.g9638.t1	BRAKERILHT00000006237_1, BRAKERILHT00000008508_1		anno1.g7397.t1, anno1.g7396.t1, anno1.g7623.t1, anno1.g11723.t1	g8852.t1_1, g8851.t1_1, g8853.t1_1	anno1.g3564.t2, anno1.g3565.t1, anno1.g3563.t2, anno1.g1687.t1		
N0.HOG0000717	OG0000528	n0	anno1.g9759.t1	BRAKERILHT00000009919_1, BRAKERILHT00000009247_1, BRAKERILHT00000009423_1, BRAKERILHT00000010202_1, BRAKERILHT00000008620_1, BRAKERILHT00000009147_1	anno1.g8870.t1	anno1.g11778.t1	g6589.t1_1, g6699.t1_1	anno1.g2016.t1	rna-XM_057794992.1_1	rna-XM_056773545.1_1
N0.HOG0000718	OG0000529	n0	anno1.g9871.t1	BRAKERILHT00000008690_1, BRAKERILHT00000010000_1, BRAKERILHT00000009291_1, BRAKERILHT00000009539_1, BRAKERILHT00000009705_1	anno1.g9115.t1	anno1.g6449.t1, anno1.g6448.t1	g7137.t1_1	anno1.g1608.t1, anno1.g1609.t1	rna-XM_057798898.1_1	rna-XM_056781119.1_1
N0.HOG0000719	OG0000530	n0	anno1.g9878.t1, anno1.g9958.t1	BRAKERILHT00000009727_1, BRAKERILHT00000009855_1	anno1.g8988.t1, anno1.g8939.t1	anno1.g6687.t1, anno1.g4501.t1	g6981.t1_1, g6785.t1_1	anno1.g1741.t1, anno1.g1929.t1	rna-XM_057814581.1_1	rna-XM_056789239.1_1
N0.HOG0000720	OG0000531	n0	anno1.g10612.t1	BRAKERILHT00000006039_1, BRAKERILHT00000005097_1, BRAKERILHT00000005048_1	anno1.g5041.t1, anno1.g5042.t2	anno1.g1058.t2, anno1.g1053.t1	g7189.t1_1, g7191.t1_1	anno1.g3097.t1, anno1.g3095.t1	rna-XM_057807587.1_1	rna-XM_056786474.1_1
N0.HOG0000721	OG0000532	n1	anno1.g10646.t1	BRAKERILHT00000005002_1	anno1.g5006.t2	anno1.g1599.t3	g9255.t1_1	anno1.g3131.t2	rna-XM_057810364.1_1	rna-XM_056788589.1_1
N0.HOG0000722	OG0000532	n8	anno1.g10647.t1	BRAKERILHT00000005562_1		anno1.g1598.t1, anno1.g1597.t1		anno1.g3295.t2		rna-XM_056785097.1_1
N0.HOG0000723	OG0000533	n0	anno1.g11679.t1	BRAKERILHT00000017362_1, BRAKERILHT00000011739_1, BRAKERILHT00000017895_1	anno1.g4465.t1		g2020.t1_1, g209.t2_1, g4121.t1_1, g6222.t1_1, g12260.t1_1, g624.t1_1, g1963.t1_1, g7276.t1_1		rna-XM_057811271.1_1	
N0.HOG0000724	OG0000534	n0	anno1.g11987.t1, anno1.g11950.t1	BRAKERILHT00000014741_1	anno1.g630.t1	anno1.g8480.t1, anno1.g12765.t1	g13912.t1_1	anno1.g8232.t1	rna-XM_057798502.1_1, rna-XM_057814500.1_1, rna-XM_057798500.1_1, rna-XM_057798498.1_1	rna-XM_056790257.1_1, rna-XM_056782013.1_1
N0.HOG0000725	OG0000535	n0	anno1.g12346.t1, anno1.g12345.t1	BRAKERILHT00000015220_1, BRAKERILHT00000015546_1	anno1.g519.t1, anno1.g520.t1	anno1.g1357.t1, anno1.g1356.t1, anno1.g12241.t2	g14039.t1_1, g14038.t1_1	anno1.g8111.t2	rna-XM_057808829.1_1	rna-XM_056776353.1_1
N0.HOG0000726	OG0000536	n0	anno1.g12635.t1	BRAKERILHT00000015074_1	anno1.g1060.t1	anno1.g7182.t1, anno1.g7183.t1	g5136.t1_1, g5135.t1_1	anno1.g8418.t1, anno1.g8419.t1, anno1.g8420.t1	rna-XM_057804314.1_1, rna-XM_057804311.1_1	rna-XM_056787884.1_1, rna-XM_056787085.1_1
N0.HOG0000727	OG0000537	n1	anno1.g12695.t1	BRAKERILHT00000014524_1		anno1.g8140.t1		anno1.g7597.t1	rna-XM_057810967.1_1	rna-XM_056783978.1_1
N0.HOG0000728	OG0000537	n6	anno1.g12694.t1, anno1.g12685.t1	BRAKERILHT00000014129_1		anno1.g8139.t1	g5384.t1_1	anno1.g7596.t1	rna-XM_057810968.1_1	rna-XM_056783787.1_1
N0.HOG0000729	OG0000538	n1	anno1.g12840.t1	BRAKERILHT00000015315_1	anno1.g329.t1	anno1.g12755.t1, anno1.g4330.t1	g14198.t1_1, g5507.t1_1	anno1.g7952.t1	rna-XM_057797218.1_1	rna-XM_056779533.1_1
N0.HOG0000730	OG0000538	n10				anno1.g12833.t1	g262.t1_1	anno1.g12472.t1	rna-XM_057803893.1_1	
N0.HOG0000731	OG0000539	n0	anno1.g14833.t1, anno1.g12997.t1, anno1.g12993.t1	BRAKERILHT00000014937_1, BRAKERILHT00000014245_1, BRAKERILHT00000014679_1, BRAKERILHT00000015402_1	anno1.g179.t1	anno1.g2950.t3, anno1.g1555.t1	g9620.t1_1	anno1.g7313.t1	rna-XM_057815851.1_1	rna-XM_056792917.1_1
N0.HOG0000732	OG0000540	n0	anno1.g14631.t1, anno1.g14782.t1, anno1.g14736.t1, anno1.g14641.t1, anno1.g13206.t1, anno1.g14632.t1, anno1.g13210.t1	BRAKERILHT00000015826_1	anno1.g1957.t1	anno1.g4677.t2	g14752.t2_1	anno1.g7161.t2	rna-XM_057811852.1_1	rna-XM_056787800.1_1
N0.HOG0000733	OG0000541	n0	anno1.g14305.t1, anno1.g13372.t1				g2486.t1_1, g12798.t1_1, g5260.t1_1, g14597.t1_1, g12207.t1_1	anno1.g7799.t1, anno1.g1071.t1, anno1.g6735.t1, anno1.g6950.t1, anno1.g13814.t1, anno1.g6619.t1, anno1.g9117.t1		
N0.HOG0000734	OG0000542	n0	anno1.g13521.t1, anno1.g13546.t1	BRAKERILHT00000015620_1	anno1.g1591.t1	anno1.g500.t1	g14525.t1_1	anno1.g13904.t4, anno1.g6875.t1	rna-XM_057810427.1_1, rna-XM_057810425.1_1, rna-XM_057810424.1_1	rna-XM_056788631.1_1, rna-XM_056788628.1_1, rna-XM_056788632.1_1
N0.HOG0000735	OG0000543	n0	anno1.g13693.t1, anno1.g13646.t1, anno1.g13692.t1, anno1.g13636.t1	BRAKERILHT00000016570_1, BRAKERILHT00000016521_1, BRAKERILHT00000015650_1	anno1.g1682.t1	anno1.g13769.t1	g9640.t1_1, g10983.t1_1	anno1.g6272.t1	rna-XM_057808423.1_1	rna-XM_056778068.1_1
N0.HOG0000736	OG0000544	n1	anno1.g13810.t9, anno1.g13809.t1	BRAKERILHT00000016306_1	anno1.g1814.t1	anno1.g625.t1	g2094.t1_1	anno1.g6415.t1	rna-XM_057805039.1_1	rna-XM_056787564.1_1
N0.HOG0000737	OG0000544	n9					g2095.t1_1	anno1.g6413.t1, anno1.g6414.t3	rna-XM_057814693.1_1	rna-XM_056789970.1_1
N0.HOG0000738	OG0000545	n1	anno1.g13956.t1	BRAKERILHT00000016435_1		anno1.g3720.t1	g5257.t1_1	anno1.g6733.t1, anno1.g13981.t1	rna-XM_057812657.1_1	rna-XM_056792128.1_1
N0.HOG0000739	OG0000545	n8		BRAKERILHT00000002068_1		anno1.g10460.t1	g626.t2_1	anno1.g13566.t1	rna-XM_057807331.1_1	rna-XM_056786691.1_1
N0.HOG0000740	OG0000546	n0	anno1.g14514.t1	BRAKERILHT00000012305_1			g9696.t2_1, g9699.t1_1, g9694.t1_1, g9695.t1_1, g9698.t1_1, g9697.t2_1, g9693.t2_1	anno1.g9801.t1, anno1.g9799.t1, anno1.g9798.t1, anno1.g9800.t1		rna-XM_056775644.1_1
N0.HOG0000741	OG0000547	n0	anno1.g14563.t1, anno1.g14562.t1, anno1.g14599.t1, anno1.g14732.t1	BRAKERILHT00000017610_1, BRAKERILHT00000011844_1, BRAKERILHT00000017437_1, BRAKERILHT00000001403_1, BRAKERILHT00000010591_1	anno1.g14.t1, anno1.g13.t1			anno1.g13949.t1, anno1.g13947.t1, anno1.g3055.t1		
N0.HOG0000742	OG0000548	n0		BRAKERILHT00000010098_1, BRAKERILHT00000000140_1		anno1.g4458.t1, anno1.g10917.t1, anno1.g10625.t1, anno1.g10158.t1, anno1.g10159.t1		anno1.g5026.t1, anno1.g11828.t1	rna-XM_057796001.1_1, rna-XM_057795935.1_1	rna-XM_056779450.1_1, rna-XM_056779451.1_1, rna-XM_056779448.1_1
N0.HOG0000743	OG0000549	n1		BRAKERILHT00000002102_1	anno1.g2074.t1	anno1.g6540.t1	g904.t1_1	anno1.g11869.t1	rna-XM_057807555.1_1	rna-XM_056786034.1_1
N0.HOG0000744	OG0000549	n7		BRAKERILHT00000000781_1, BRAKERILHT00000005659_1, BRAKERILHT00000009753_1, BRAKERILHT00000004513_1	anno1.g4843.t1				rna-XM_057806607.1_1	rna-XM_056786664.1_1
N0.HOG0000745	OG0000550	n0		BRAKERILHT00000004258_1, BRAKERILHT00000014680_1, BRAKERILHT00000000594_1, BRAKERILHT00000016009_1, BRAKERILHT00000013066_1, BRAKERILHT00000010459_1, BRAKERILHT00000015884_1, BRAKERILHT00000005589_1, BRAKERILHT00000002147_1, BRAKERILHT00000002349_1	anno1.g2271.t1, anno1.g2643.t1			anno1.g14034.t1		rna-XM_056779585.1_1
N0.HOG0000746	OG0000551	n0		BRAKERILHT00000002484_1, BRAKERILHT00000002808_1, BRAKERILHT00000003336_1, BRAKERILHT00000004032_1, BRAKERILHT00000003171_1, BRAKERILHT00000004153_1, BRAKERILHT00000003389_1, BRAKERILHT00000002923_1, BRAKERILHT00000006203_1, BRAKERILHT00000005741_1, BRAKERILHT00000003318_1, BRAKERILHT00000002145_1, BRAKERILHT00000002208_1, BRAKERILHT00000005384_1						
N0.HOG0000747	OG0000552	n0		BRAKERILHT00000014898_1, BRAKERILHT00000017341_1, BRAKERILHT00000017046_1, BRAKERILHT00000017929_1, BRAKERILHT00000017423_1, BRAKERILHT00000017736_1, BRAKERILHT00000000929_1, BRAKERILHT00000017795_1, BRAKERILHT00000009359_1, BRAKERILHT00000017984_1	anno1.g10820.t1	anno1.g6383.t1, anno1.g10505.t1, anno1.g8204.t1				
N0.HOG0000748	OG0000553	n0		BRAKERILHT00000004180_1, BRAKERILHT00000004350_1, BRAKERILHT00000003823_1	anno1.g6536.t1, anno1.g6537.t1, anno1.g6535.t2	anno1.g10951.t1, anno1.g10168.t1, anno1.g10170.t1	g11141.t2_1	anno1.g9875.t3, anno1.g9878.t2	rna-XM_057807028.1_1	rna-XM_056786396.1_1
N0.HOG0000749	OG0000554	n0		BRAKERILHT00000005878_1	anno1.g3042.t1				rna-XM_057801421.1_1, rna-XM_057810058.1_1, rna-XM_057800862.1_1, rna-XM_057801380.1_1, rna-XM_057815265.1_1, rna-XM_057801387.1_1	rna-XM_056791245.1_1, rna-XM_056791238.1_1, rna-XM_056791434.1_1, rna-XM_056789857.1_1, rna-XM_056791352.1_1, rna-XM_056786840.1_1
N0.HOG0000750	OG0000555	n0		BRAKERILHT00000005725_1, BRAKERILHT00000014348_1			g331.t1_1, g9508.t1_1, g2566.t1_1, g6381.t1_1, g3067.t1_1	anno1.g12827.t1, anno1.g9361.t1, anno1.g13771.t2, anno1.g7735.t2, anno1.g952.t1, anno1.g8889.t1		rna-XM_056787851.1_1
N0.HOG0000751	OG0000556	n0		BRAKERILHT00000011305_1, BRAKERILHT00000011076_1	anno1.g1583.t2	anno1.g3562.t1	g10483.t1_1, g10484.t1_1, g10481.t1_1, g10486.t1_1, g10485.t1_1, g10482.t1_1	anno1.g8958.t3, anno1.g8957.t3, anno1.g8959.t1, anno1.g8956.t2		
N0.HOG0000752	OG0000557	n0		BRAKERILHT00000011854_1, BRAKERILHT00000011111_1				anno1.g3712.t1, anno1.g3988.t1, anno1.g3901.t1, anno1.g3739.t1, anno1.g3997.t1		rna-XM_056791520.1_1, rna-XM_056787922.1_1, rna-XM_056786870.1_1, rna-XM_056791387.1_1, rna-XM_056791386.1_1, rna-XM_056786863.1_1, rna-XM_056788838.1_1
N0.HOG0000753	OG0000558	n0		BRAKERILHT00000016868_1, BRAKERILHT00000016399_1, BRAKERILHT00000017682_1, BRAKERILHT00000011041_1, BRAKERILHT00000017393_1, BRAKERILHT00000017835_1, BRAKERILHT00000017404_1	anno1.g3292.t1	anno1.g7099.t1, anno1.g5429.t1	g11631.t1_1, g3230.t1_1, g10075.t1_1	anno1.g2484.t1		
N0.HOG0000754	OG0000559	n0		BRAKERILHT00000013084_1	anno1.g9518.t1, anno1.g10012.t1, anno1.g1289.t1, anno1.g1235.t1, anno1.g10985.t1, anno1.g6066.t1, anno1.g10992.t1, anno1.g1245.t1, anno1.g8481.t1	anno1.g12607.t1			rna-XM_057800864.1_1, rna-XM_057801377.1_1, rna-XM_057796758.1_1	
N0.HOG0000755	OG0000560	n0		BRAKERILHT00000015142_1, BRAKERILHT00000017435_1	anno1.g8576.t1	anno1.g5563.t1, anno1.g4857.t1	g5829.t1_1, g7086.t1_1, g5195.t1_1	anno1.g3809.t1, anno1.g3344.t1, anno1.g7649.t1, anno1.g4409.t1, anno1.g1663.t1, anno1.g13401.t1		
N0.HOG0000756	OG0000561	n0		BRAKERILHT00000018057_1, BRAKERILHT00000017553_1, BRAKERILHT00000017787_1, BRAKERILHT00000016947_1	anno1.g12363.t1, anno1.g3477.t1	anno1.g11259.t1	g570.t1_1, g8742.t1_1	anno1.g6754.t2, anno1.g12158.t1, anno1.g3366.t1, anno1.g6446.t1, anno1.g5967.t1		
N0.HOG0000757	OG0000562	n0			anno1.g7790.t1, anno1.g48.t1	anno1.g7184.t2	g12732.t1_1, g12000.t1_1, g11399.t1_1, g12001.t1_1, g13788.t1_1	anno1.g13891.t1, anno1.g5573.t1, anno1.g10139.t1, anno1.g12701.t1, anno1.g7098.t1, anno1.g12068.t1		
N0.HOG0000758	OG0000563	n0			anno1.g6389.t1, anno1.g6390.t1, anno1.g6391.t1, anno1.g2574.t1, anno1.g11092.t1, anno1.g4421.t1, anno1.g1730.t1, anno1.g10846.t1, anno1.g1185.t1, anno1.g4825.t1, anno1.g8233.t1, anno1.g5347.t1, anno1.g6225.t1, anno1.g2946.t1					
N0.HOG0000759	OG0000564	n0			anno1.g2304.t1	anno1.g3698.t1, anno1.g3527.t1, anno1.g11593.t1, anno1.g4663.t1, anno1.g4301.t1, anno1.g1164.t1, anno1.g1159.t1, anno1.g8082.t1	g1897.t1_1, g8664.t1_1, g3080.t1_1	anno1.g5499.t1, anno1.g10828.t1		
N0.HOG0000760	OG0000565	n0			anno1.g9299.t1, anno1.g5510.t1, anno1.g5144.t1, anno1.g2375.t1, anno1.g8298.t1, anno1.g5910.t1		g7288.t1_1, g479.t1_1	anno1.g3799.t2, anno1.g10649.t1, anno1.g56.t1, anno1.g12952.t1, anno1.g3583.t1, anno1.g3584.t1		
N0.HOG0000761	OG0000566	n0			anno1.g11693.t1, anno1.g4514.t1, anno1.g11818.t1, anno1.g11785.t1, anno1.g3006.t1, anno1.g10791.t1, anno1.g4752.t1		g6530.t1_1, g2360.t1_1, g1970.t1_1		rna-XM_057814188.1_1	rna-XM_056783436.1_1, rna-XM_056789079.1_1, rna-XM_056780903.1_1
N0.HOG0000762	OG0000567	n0			anno1.g4448.t1, anno1.g7308.t1			anno1.g871.t1, anno1.g10173.t1	rna-XM_057798744.1_1, rna-XM_057798754.1_1, rna-XM_057811239.1_1, rna-XM_057815230.1_1, rna-XM_057815231.1_1, rna-XM_057815203.1_1, rna-XM_057815241.1_1, rna-XM_057815234.1_1, rna-XM_057798753.1_1, rna-XM_057798743.1_1	
N0.HOG0000763	OG0000568	n0				anno1.g12197.t1	g14555.t1_1	anno1.g13833.t1, anno1.g6910.t1	rna-XM_057801776.1_1, rna-XM_057809999.1_1, rna-XM_057807160.1_1, rna-XM_057798271.1_1	rna-XM_056783380.1_1, rna-XM_056777460.1_1, rna-XM_056789820.1_1, rna-XM_056788548.1_1, rna-XM_056787144.1_1, rna-XM_056784423.1_1
N0.HOG0000764	OG0000569	n0							rna-XM_057802538.1_1, rna-XM_057810049.1_1, rna-XM_057800854.1_1, rna-XM_057815220.1_1, rna-XM_057806283.1_1, rna-XM_057815199.1_1, rna-XM_057797886.1_1, rna-XM_057803312.1_1, rna-XM_057815350.1_1, rna-XM_057815337.1_1, rna-XM_057798770.1_1, rna-XM_057810065.1_1, rna-XM_057814377.1_1, rna-XM_057815215.1_1	
N0.HOG0000765	OG0000570	n0	anno1.g454.t2, anno1.g14659.t2	BRAKERILHT00000010542_1	anno1.g10615.t1, anno1.g10614.t2	anno1.g12718.t2, anno1.g12717.t2	g10930.t1_1, g10931.t2_1	anno1.g8547.t1, anno1.g8548.t2	rna-XM_057807471.1_1	rna-XM_056786125.1_1
N0.HOG0000766	OG0000571	n0	anno1.g474.t1, anno1.g6363.t1			anno1.g7548.t1, anno1.g8957.t1, anno1.g6526.t1, anno1.g12479.t1, anno1.g8404.t1, anno1.g1059.t1, anno1.g4253.t1, anno1.g5168.t1, anno1.g7547.t1, anno1.g3262.t1	g12589.t1_1			
N0.HOG0000767	OG0000572	n0	anno1.g506.t1, anno1.g487.t1, anno1.g510.t1, anno1.g507.t1	BRAKERILHT00000010452_1, BRAKERILHT00000012307_1	anno1.g10587.t2, anno1.g10585.t1	anno1.g6016.t1	g10713.t1_1	anno1.g8688.t1	rna-XM_057798850.1_1	rna-XM_056780902.1_1
N0.HOG0000768	OG0000573	n0	anno1.g9275.t1, anno1.g620.t1, anno1.g622.t1	BRAKERILHT00000010319_1, BRAKERILHT00000008822_1, BRAKERILHT00000010520_1	anno1.g8631.t1, anno1.g10716.t1	anno1.g70.t1	g10900.t1_1	anno1.g8513.t1	rna-XM_057808001.1_1	rna-XM_056778103.1_1
N0.HOG0000769	OG0000574	n0	anno1.g670.t1, anno1.g674.t1, anno1.g705.t1	BRAKERILHT00000010440_1		anno1.g5976.t1	g10688.t1_1	anno1.g8716.t1	rna-XM_057816922.1_1, rna-XM_057816115.1_1, rna-XM_057816921.1_1	rna-XM_056775668.1_1, rna-XM_056775666.1_1, rna-XM_056775667.1_1
N0.HOG0000770	OG0000575	n0	anno1.g878.t1	BRAKERILHT00000009361_1, BRAKERILHT00000008701_1, BRAKERILHT00000005000_1	anno1.g1674.t1	anno1.g986.t1, anno1.g3107.t1, anno1.g5253.t1, anno1.g2574.t1		anno1.g7561.t1, anno1.g11389.t1, anno1.g11117.t1, anno1.g13869.t1		
N0.HOG0000771	OG0000576	n0	anno1.g1113.t1, anno1.g8430.t2	BRAKERILHT00000010743_1	anno1.g11067.t1, anno1.g9956.t5	anno1.g2505.t1, anno1.g1904.t2	g9915.t1_1, g4508.t2_1	anno1.g9563.t1, anno1.g5694.t2	rna-XM_057808787.1_1	rna-XM_056776842.1_1
N0.HOG0000772	OG0000577	n0	anno1.g7327.t2, anno1.g1129.t1	BRAKERILHT00000011257_1	anno1.g9459.t1, anno1.g11055.t1	anno1.g6359.t1, anno1.g2518.t1	g3698.t1_1, g9902.t1_1	anno1.g4927.t1, anno1.g9589.t1	rna-XM_057814769.1_1	rna-XM_056785000.1_1
N0.HOG0000773	OG0000578	n0	anno1.g12388.t1, anno1.g1154.t1, anno1.g14809.t1	BRAKERILHT00000014967_1, BRAKERILHT00000011137_1		anno1.g8865.t1, anno1.g11708.t1	g3500.t1_1, g10760.t1_1	anno1.g7445.t1, anno1.g8642.t1	rna-XM_057813304.1_1, rna-XM_057813303.1_1	
N0.HOG0000774	OG0000579	n0	anno1.g8312.t1, anno1.g14032.t1, anno1.g3687.t1, anno1.g5328.t1, anno1.g7921.t1, anno1.g3452.t1, anno1.g3206.t1, anno1.g9992.t1, anno1.g8078.t1, anno1.g1259.t1		anno1.g2851.t1		g1982.t1_1, g14393.t1_1			
N0.HOG0000775	OG0000580	n0	anno1.g1911.t1, anno1.g1321.t1	BRAKERILHT00000017571_1, BRAKERILHT00000010692_1	anno1.g11926.t1	anno1.g6261.t1, anno1.g8835.t1	g1669.t1_1, g10121.t1_1	anno1.g13447.t1, anno1.g9355.t1	rna-XM_057811833.1_1	rna-XM_056791963.1_1
N0.HOG0000776	OG0000581	n0	anno1.g11990.t1, anno1.g1688.t1	BRAKERILHT00000018050_1	anno1.g9141.t2, anno1.g7452.t1, anno1.g6159.t1, anno1.g2896.t1, anno1.g12354.t1, anno1.g10707.t1, anno1.g1062.t1, anno1.g10706.t1	anno1.g8910.t1	g6896.t1_1			
N0.HOG0000777	OG0000582	n0	anno1.g14713.t1, anno1.g14470.t1, anno1.g9047.t1, anno1.g14396.t1, anno1.g1690.t1, anno1.g1695.t1, anno1.g14466.t1	BRAKERILHT00000009964_1		anno1.g13209.t1	g5814.t1_1	anno1.g2925.t2	rna-XM_057802624.1_1	rna-XM_056785504.1_1
N0.HOG0000778	OG0000583	n0	anno1.g2005.t1, anno1.g1723.t1	BRAKERILHT00000018003_1	anno1.g11888.t1	anno1.g10307.t1, anno1.g2351.t1, anno1.g2352.t1, anno1.g12831.t1	g1633.t1_1, g1437.t1_1	anno1.g13198.t2	rna-XM_057805102.1_1	rna-XM_056787218.1_1
N0.HOG0000779	OG0000584	n0	anno1.g12015.t1, anno1.g4945.t1, anno1.g3736.t1, anno1.g14584.t1, anno1.g1766.t1, anno1.g12127.t1, anno1.g14399.t1, anno1.g14656.t1, anno1.g7707.t1, anno1.g5213.t1, anno1.g9092.t1, anno1.g2736.t1							rna-XM_056777576.1_1
N0.HOG0000780	OG0000585	n0	anno1.g4220.t1, anno1.g1928.t1	BRAKERILHT00000007482_1, BRAKERILHT00000017543_1	anno1.g5323.t1, anno1.g11933.t1	anno1.g13633.t1	g5060.t1_1, g1526.t1_1	anno1.g26.t1, anno1.g13287.t1	rna-XM_057795225.1_1	rna-XM_056774463.1_1
N0.HOG0000781	OG0000586	n0	anno1.g1952.t1, anno1.g1961.t1	BRAKERILHT00000018002_1	anno1.g12235.t1	anno1.g13406.t1, anno1.g1289.t1, anno1.g2807.t1, anno1.g3665.t1, anno1.g13407.t1	g7429.t2_1	anno1.g13114.t1	rna-XM_057810616.1_1	rna-XM_056789129.1_1
N0.HOG0000782	OG0000587	n0	anno1.g2031.t2, anno1.g2030.t2	BRAKERILHT00000017612_1	anno1.g12041.t2	anno1.g1704.t3, anno1.g393.t3, anno1.g1929.t1, anno1.g4653.t1, anno1.g2074.t4	g1598.t1_1	anno1.g13368.t1	rna-XM_057816155.1_1	rna-XM_056790944.1_1
N0.HOG0000783	OG0000588	n0	anno1.g2506.t1, anno1.g2518.t1	BRAKERILHT00000017949_1, BRAKERILHT00000002279_1	anno1.g6942.t1	anno1.g12907.t1, anno1.g12903.t1, anno1.g12266.t1, anno1.g1518.t1	g11666.t1_1	anno1.g10359.t1	rna-XM_057797108.1_1	rna-XM_056778858.1_1
N0.HOG0000784	OG0000589	n0	anno1.g2591.t1, anno1.g2527.t1, anno1.g2616.t1	BRAKERILHT00000003144_1	anno1.g7677.t1	anno1.g10071.t1, anno1.g8606.t1, anno1.g942.t1, anno1.g8607.t1	g5638.t1_1	anno1.g11257.t1	rna-XM_057811990.1_1	rna-XM_056779936.1_1
N0.HOG0000785	OG0000590	n1		BRAKERILHT00000003479_1	anno1.g7231.t3	anno1.g1117.t3	g11977.t7_1	anno1.g10708.t4	rna-XM_057799586.1_1	rna-XM_056780178.1_1
N0.HOG0000786	OG0000590	n7	anno1.g2554.t3, anno1.g2615.t2	BRAKERILHT00000002190_1, BRAKERILHT00000002933_1	anno1.g7232.t1					rna-XM_056780164.1_1
N0.HOG0000787	OG0000591	n0	anno1.g2634.t1, anno1.g2635.t2, anno1.g14381.t1, anno1.g2636.t1, anno1.g2649.t1	BRAKERILHT00000002996_1	anno1.g7649.t1	anno1.g8195.t1	g3210.t1_1, g7657.t1_1	anno1.g11220.t3	rna-XM_057798383.1_1	rna-XM_056780406.1_1
N0.HOG0000788	OG0000592	n0	anno1.g3047.t1, anno1.g3050.t1, anno1.g3048.t1, anno1.g3049.t1	BRAKERILHT00000002672_1	anno1.g7083.t1, anno1.g7085.t1	anno1.g3850.t1, anno1.g3849.t1	g11831.t1_1, g11832.t1_1	anno1.g10525.t1, anno1.g10526.t1		
